,scenario,node,count,time_above
0,BGN,J10-S_depth,18,90
1,BGN,J116-S_depth,16,80
2,BGN,J128-S_depth,17,85
3,BGN,J130-S_depth,50,250
4,BGN,J131-S_depth,3,15
5,BGN,J136-S_depth,29,145
6,BGN,J138-S_depth,4,20
7,BGN,J157-S_depth,24,120
8,BGN,J182-S_depth,30,150
9,BGN,J191-S_depth,12,60
10,BGN,J208-S_depth,7,35
11,BGN,J211-S_depth,6,30
12,BGN,J227-S_depth,40,200
13,BGN,J240-S_depth,5,25
14,BGN,J245-S_depth,28,140
15,BGN,J253-S_depth,5,25
16,BGN,J260-S_depth,6,30
17,BGN,J266-S_depth,3,15
18,BGN,J27-S_depth,33,165
19,BGN,J278-S_depth,11,55
20,BGN,J280-S_depth,23,115
21,BGN,J3-S_depth,15,75
22,BGN,J328-S_depth,18,90
23,BGN,J329-S_depth,11,55
24,BGN,J33-S_depth,41,205
25,BGN,J338-S_depth,22,110
26,BGN,J361-S_depth,15,75
27,BGN,J366-S_depth,12,60
28,BGN,J385-S_depth,26,130
29,BGN,J4-S_depth,4,20
30,BGN,J421-S_depth,25,125
31,BGN,J437-S_depth,5,25
32,BGN,J438-S_depth,38,190
33,BGN,J456-S_depth,1,5
34,BGN,J460-S_depth,5,25
35,BGN,J461-S_depth,15,75
36,BGN,J471-S_depth,53,265
37,BGN,J480-S_depth,7,35
38,BGN,J484-S_depth,28,140
39,BGN,J491-S_depth,19,95
40,BGN,J5-S_depth,17,85
41,BGN,J506-S_depth,7,35
42,BGN,J507-S_depth,31,155
43,BGN,J512-S_depth,15,75
44,BGN,J534-S_depth,10,50
45,BGN,J539-S_depth,37,185
46,BGN,J541-S_depth,1,5
47,BGN,J548-S_depth,24,120
48,BGN,J556-S_depth,19,95
49,BGN,J567-S_depth,2,10
50,BGN,J568-S_depth,54,270
51,BGN,J576-S_depth,13,65
52,BGN,J578-S_depth,17,85
53,BGN,J587-S_depth,9,45
54,BGN,J60-S_depth,5,25
55,BGN,J619-S_depth,6,30
56,BGN,J62-S_depth,36,180
57,BGN,J620-S_depth,68,340
58,BGN,J624-S_depth,60,300
59,BGN,J637-S_depth,15,75
60,BGN,J640-S_depth,12,60
61,BGN,J659-S_depth,9,45
62,BGN,J672-S_depth,8,40
63,BGN,J675-S_depth,8,40
64,BGN,J695-S_depth,5,25
65,BGN,J7-S_depth,23,115
66,BGN,J71-S_depth,31,155
67,BGN,J714-S_depth,7,35
68,BGN,J732-S_depth,22,110
69,BGN,J749-S_depth,5,25
70,BGN,J756-S_depth,11,55
71,BGN,J761-S_depth,35,175
72,BGN,J765-S_depth,3,15
73,BGN,J772-S_depth,9,45
74,BGN,J789-S_depth,3,15
75,BGN,J792-S_depth,19,95
76,BGN,J799-S_depth,4,20
77,BGN,J8-S_depth,33,165
78,BGN,J801-S_depth,8,40
79,BGN,J88-S_depth,35,175
80,BGNx3,J10-S_depth,18,90
81,BGNx3,J116-S_depth,16,80
82,BGNx3,J128-S_depth,17,85
83,BGNx3,J130-S_depth,50,250
84,BGNx3,J131-S_depth,3,15
85,BGNx3,J136-S_depth,29,145
86,BGNx3,J138-S_depth,4,20
87,BGNx3,J157-S_depth,24,120
88,BGNx3,J182-S_depth,30,150
89,BGNx3,J191-S_depth,12,60
90,BGNx3,J208-S_depth,7,35
91,BGNx3,J211-S_depth,2,10
92,BGNx3,J227-S_depth,40,200
93,BGNx3,J240-S_depth,5,25
94,BGNx3,J245-S_depth,28,140
95,BGNx3,J253-S_depth,4,20
96,BGNx3,J260-S_depth,6,30
97,BGNx3,J266-S_depth,3,15
98,BGNx3,J27-S_depth,33,165
99,BGNx3,J278-S_depth,12,60
100,BGNx3,J280-S_depth,26,130
101,BGNx3,J3-S_depth,15,75
102,BGNx3,J328-S_depth,18,90
103,BGNx3,J329-S_depth,11,55
104,BGNx3,J33-S_depth,41,205
105,BGNx3,J338-S_depth,21,105
106,BGNx3,J361-S_depth,15,75
107,BGNx3,J366-S_depth,12,60
108,BGNx3,J385-S_depth,27,135
109,BGNx3,J4-S_depth,4,20
110,BGNx3,J413-S_depth,1,5
111,BGNx3,J421-S_depth,25,125
112,BGNx3,J437-S_depth,5,25
113,BGNx3,J438-S_depth,38,190
114,BGNx3,J456-S_depth,1,5
115,BGNx3,J460-S_depth,5,25
116,BGNx3,J461-S_depth,15,75
117,BGNx3,J471-S_depth,53,265
118,BGNx3,J480-S_depth,7,35
119,BGNx3,J484-S_depth,28,140
120,BGNx3,J491-S_depth,19,95
121,BGNx3,J5-S_depth,17,85
122,BGNx3,J506-S_depth,7,35
123,BGNx3,J507-S_depth,31,155
124,BGNx3,J512-S_depth,15,75
125,BGNx3,J534-S_depth,9,45
126,BGNx3,J539-S_depth,37,185
127,BGNx3,J541-S_depth,1,5
128,BGNx3,J548-S_depth,24,120
129,BGNx3,J556-S_depth,19,95
130,BGNx3,J567-S_depth,2,10
131,BGNx3,J568-S_depth,54,270
132,BGNx3,J576-S_depth,13,65
133,BGNx3,J578-S_depth,17,85
134,BGNx3,J587-S_depth,9,45
135,BGNx3,J60-S_depth,5,25
136,BGNx3,J619-S_depth,6,30
137,BGNx3,J62-S_depth,36,180
138,BGNx3,J620-S_depth,67,335
139,BGNx3,J624-S_depth,60,300
140,BGNx3,J637-S_depth,15,75
141,BGNx3,J640-S_depth,12,60
142,BGNx3,J659-S_depth,9,45
143,BGNx3,J672-S_depth,8,40
144,BGNx3,J675-S_depth,8,40
145,BGNx3,J695-S_depth,5,25
146,BGNx3,J7-S_depth,23,115
147,BGNx3,J71-S_depth,31,155
148,BGNx3,J714-S_depth,7,35
149,BGNx3,J732-S_depth,22,110
150,BGNx3,J749-S_depth,2,10
151,BGNx3,J756-S_depth,11,55
152,BGNx3,J761-S_depth,32,160
153,BGNx3,J765-S_depth,3,15
154,BGNx3,J772-S_depth,9,45
155,BGNx3,J789-S_depth,2,10
156,BGNx3,J792-S_depth,19,95
157,BGNx3,J799-S_depth,4,20
158,BGNx3,J8-S_depth,33,165
159,BGNx3,J801-S_depth,8,40
160,BGNx3,J88-S_depth,35,175
161,Base,J10-S_depth,18,90
162,Base,J116-S_depth,16,80
163,Base,J128-S_depth,17,85
164,Base,J130-S_depth,51,255
165,Base,J131-S_depth,3,15
166,Base,J136-S_depth,29,145
167,Base,J138-S_depth,4,20
168,Base,J157-S_depth,24,120
169,Base,J182-S_depth,30,150
170,Base,J191-S_depth,12,60
171,Base,J208-S_depth,7,35
172,Base,J211-S_depth,6,30
173,Base,J227-S_depth,40,200
174,Base,J240-S_depth,5,25
175,Base,J245-S_depth,28,140
176,Base,J253-S_depth,5,25
177,Base,J260-S_depth,6,30
178,Base,J266-S_depth,3,15
179,Base,J27-S_depth,33,165
180,Base,J278-S_depth,12,60
181,Base,J280-S_depth,26,130
182,Base,J3-S_depth,15,75
183,Base,J328-S_depth,18,90
184,Base,J329-S_depth,11,55
185,Base,J33-S_depth,41,205
186,Base,J338-S_depth,23,115
187,Base,J361-S_depth,15,75
188,Base,J366-S_depth,13,65
189,Base,J385-S_depth,27,135
190,Base,J4-S_depth,4,20
191,Base,J413-S_depth,1,5
192,Base,J421-S_depth,26,130
193,Base,J437-S_depth,6,30
194,Base,J438-S_depth,40,200
195,Base,J456-S_depth,1,5
196,Base,J460-S_depth,5,25
197,Base,J461-S_depth,15,75
198,Base,J471-S_depth,53,265
199,Base,J480-S_depth,7,35
200,Base,J484-S_depth,28,140
201,Base,J491-S_depth,19,95
202,Base,J5-S_depth,17,85
203,Base,J506-S_depth,7,35
204,Base,J507-S_depth,31,155
205,Base,J512-S_depth,15,75
206,Base,J534-S_depth,10,50
207,Base,J539-S_depth,37,185
208,Base,J541-S_depth,1,5
209,Base,J548-S_depth,24,120
210,Base,J556-S_depth,19,95
211,Base,J567-S_depth,2,10
212,Base,J568-S_depth,54,270
213,Base,J576-S_depth,13,65
214,Base,J578-S_depth,17,85
215,Base,J587-S_depth,9,45
216,Base,J60-S_depth,5,25
217,Base,J619-S_depth,6,30
218,Base,J62-S_depth,36,180
219,Base,J620-S_depth,68,340
220,Base,J624-S_depth,63,315
221,Base,J637-S_depth,15,75
222,Base,J640-S_depth,12,60
223,Base,J659-S_depth,9,45
224,Base,J672-S_depth,8,40
225,Base,J675-S_depth,8,40
226,Base,J695-S_depth,5,25
227,Base,J7-S_depth,23,115
228,Base,J71-S_depth,31,155
229,Base,J714-S_depth,7,35
230,Base,J732-S_depth,22,110
231,Base,J749-S_depth,5,25
232,Base,J756-S_depth,11,55
233,Base,J761-S_depth,35,175
234,Base,J765-S_depth,3,15
235,Base,J772-S_depth,9,45
236,Base,J789-S_depth,3,15
237,Base,J792-S_depth,19,95
238,Base,J799-S_depth,4,20
239,Base,J8-S_depth,33,165
240,Base,J801-S_depth,8,40
241,Base,J88-S_depth,35,175
242,G,J10-S_depth,18,90
243,G,J116-S_depth,16,80
244,G,J128-S_depth,17,85
245,G,J130-S_depth,50,250
246,G,J131-S_depth,3,15
247,G,J136-S_depth,29,145
248,G,J138-S_depth,4,20
249,G,J157-S_depth,24,120
250,G,J182-S_depth,29,145
251,G,J191-S_depth,12,60
252,G,J208-S_depth,7,35
253,G,J211-S_depth,2,10
254,G,J227-S_depth,40,200
255,G,J240-S_depth,5,25
256,G,J245-S_depth,28,140
257,G,J253-S_depth,4,20
258,G,J260-S_depth,6,30
259,G,J266-S_depth,3,15
260,G,J27-S_depth,33,165
261,G,J278-S_depth,11,55
262,G,J280-S_depth,23,115
263,G,J3-S_depth,15,75
264,G,J328-S_depth,18,90
265,G,J329-S_depth,11,55
266,G,J33-S_depth,41,205
267,G,J338-S_depth,19,95
268,G,J361-S_depth,15,75
269,G,J366-S_depth,11,55
270,G,J385-S_depth,25,125
271,G,J4-S_depth,4,20
272,G,J421-S_depth,25,125
273,G,J437-S_depth,4,20
274,G,J438-S_depth,37,185
275,G,J456-S_depth,1,5
276,G,J460-S_depth,5,25
277,G,J461-S_depth,14,70
278,G,J471-S_depth,52,260
279,G,J480-S_depth,7,35
280,G,J484-S_depth,28,140
281,G,J491-S_depth,18,90
282,G,J5-S_depth,17,85
283,G,J506-S_depth,7,35
284,G,J507-S_depth,31,155
285,G,J512-S_depth,15,75
286,G,J534-S_depth,9,45
287,G,J539-S_depth,36,180
288,G,J541-S_depth,1,5
289,G,J548-S_depth,24,120
290,G,J556-S_depth,19,95
291,G,J567-S_depth,2,10
292,G,J568-S_depth,54,270
293,G,J576-S_depth,13,65
294,G,J578-S_depth,16,80
295,G,J587-S_depth,9,45
296,G,J60-S_depth,5,25
297,G,J619-S_depth,6,30
298,G,J62-S_depth,36,180
299,G,J620-S_depth,64,320
300,G,J624-S_depth,60,300
301,G,J637-S_depth,13,65
302,G,J640-S_depth,12,60
303,G,J659-S_depth,9,45
304,G,J672-S_depth,8,40
305,G,J675-S_depth,7,35
306,G,J695-S_depth,5,25
307,G,J7-S_depth,23,115
308,G,J71-S_depth,31,155
309,G,J714-S_depth,7,35
310,G,J732-S_depth,22,110
311,G,J749-S_depth,1,5
312,G,J756-S_depth,11,55
313,G,J761-S_depth,32,160
314,G,J765-S_depth,3,15
315,G,J772-S_depth,9,45
316,G,J789-S_depth,1,5
317,G,J792-S_depth,18,90
318,G,J799-S_depth,4,20
319,G,J8-S_depth,33,165
320,G,J801-S_depth,8,40
321,G,J88-S_depth,35,175
322,G&I,J10-S_depth,12,60
323,G&I,J116-S_depth,13,65
324,G&I,J128-S_depth,9,45
325,G&I,J130-S_depth,46,230
326,G&I,J136-S_depth,22,110
327,G&I,J138-S_depth,5,25
328,G&I,J157-S_depth,18,90
329,G&I,J182-S_depth,22,110
330,G&I,J191-S_depth,8,40
331,G&I,J208-S_depth,7,35
332,G&I,J227-S_depth,35,175
333,G&I,J240-S_depth,5,25
334,G&I,J245-S_depth,20,100
335,G&I,J260-S_depth,5,25
336,G&I,J266-S_depth,3,15
337,G&I,J27-S_depth,21,105
338,G&I,J278-S_depth,7,35
339,G&I,J280-S_depth,15,75
340,G&I,J3-S_depth,11,55
341,G&I,J328-S_depth,20,100
342,G&I,J329-S_depth,7,35
343,G&I,J33-S_depth,35,175
344,G&I,J338-S_depth,13,65
345,G&I,J361-S_depth,11,55
346,G&I,J366-S_depth,5,25
347,G&I,J385-S_depth,26,130
348,G&I,J421-S_depth,22,110
349,G&I,J438-S_depth,22,110
350,G&I,J456-S_depth,1,5
351,G&I,J460-S_depth,2,10
352,G&I,J461-S_depth,13,65
353,G&I,J471-S_depth,53,265
354,G&I,J480-S_depth,7,35
355,G&I,J484-S_depth,24,120
356,G&I,J491-S_depth,15,75
357,G&I,J5-S_depth,13,65
358,G&I,J506-S_depth,7,35
359,G&I,J507-S_depth,24,120
360,G&I,J512-S_depth,12,60
361,G&I,J534-S_depth,7,35
362,G&I,J539-S_depth,27,135
363,G&I,J541-S_depth,1,5
364,G&I,J548-S_depth,24,120
365,G&I,J556-S_depth,13,65
366,G&I,J568-S_depth,45,225
367,G&I,J576-S_depth,3,15
368,G&I,J578-S_depth,11,55
369,G&I,J587-S_depth,9,45
370,G&I,J60-S_depth,5,25
371,G&I,J619-S_depth,6,30
372,G&I,J62-S_depth,31,155
373,G&I,J620-S_depth,62,310
374,G&I,J624-S_depth,60,300
375,G&I,J637-S_depth,9,45
376,G&I,J640-S_depth,5,25
377,G&I,J659-S_depth,9,45
378,G&I,J672-S_depth,5,25
379,G&I,J675-S_depth,7,35
380,G&I,J695-S_depth,2,10
381,G&I,J7-S_depth,19,95
382,G&I,J71-S_depth,26,130
383,G&I,J714-S_depth,7,35
384,G&I,J732-S_depth,16,80
385,G&I,J756-S_depth,11,55
386,G&I,J761-S_depth,19,95
387,G&I,J772-S_depth,9,45
388,G&I,J792-S_depth,19,95
389,G&I,J8-S_depth,30,150
390,G&I,J801-S_depth,4,20
391,G&I,J88-S_depth,31,155
392,I,J10-S_depth,12,60
393,I,J116-S_depth,13,65
394,I,J128-S_depth,10,50
395,I,J130-S_depth,46,230
396,I,J136-S_depth,22,110
397,I,J138-S_depth,5,25
398,I,J157-S_depth,18,90
399,I,J182-S_depth,22,110
400,I,J191-S_depth,8,40
401,I,J208-S_depth,7,35
402,I,J211-S_depth,1,5
403,I,J227-S_depth,35,175
404,I,J240-S_depth,5,25
405,I,J245-S_depth,20,100
406,I,J260-S_depth,5,25
407,I,J266-S_depth,3,15
408,I,J27-S_depth,21,105
409,I,J278-S_depth,9,45
410,I,J280-S_depth,19,95
411,I,J3-S_depth,11,55
412,I,J328-S_depth,20,100
413,I,J329-S_depth,9,45
414,I,J33-S_depth,35,175
415,I,J338-S_depth,14,70
416,I,J361-S_depth,13,65
417,I,J366-S_depth,7,35
418,I,J385-S_depth,28,140
419,I,J413-S_depth,1,5
420,I,J421-S_depth,23,115
421,I,J438-S_depth,23,115
422,I,J456-S_depth,1,5
423,I,J460-S_depth,2,10
424,I,J461-S_depth,14,70
425,I,J471-S_depth,53,265
426,I,J480-S_depth,7,35
427,I,J484-S_depth,24,120
