,node_name,BGN,BGNx3,Base,G,G&I,I,node_id,neighborhood,historic_stream
0,J105-S_depth,0.145565145637572,0.1455651899036339,0.1455654963951803,0.145218452930813,0.1452745987484441,0.1456215877881221,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_depth,0.245298251006084,0.2452982739438172,0.2452982651804048,0.2444847928639146,0.2109967970023284,0.2115316001001494,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_depth,0.2751887327344159,0.2751888503617507,0.2751888790339275,0.2740428421612661,0.2524271596761454,0.2535980220845381,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_depth,0.1512716594357509,0.151271724100389,0.1512717645540436,0.1507193135863381,0.1365070364625484,0.1370521722678315,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_depth,0.2868701174030637,0.2864043979967147,0.2869882779380899,0.2853078560786125,0.2121755158559672,0.2131456295775738,J128-S,Canton,Harris Creek
5,J130-S_depth,0.383567002996703,0.3835672185830573,0.3835673016431523,0.3822249904174826,0.3429860453694626,0.3443226240738848,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_depth,0.1633440171265963,0.1633440542688878,0.1633441118958492,0.1627660212827587,0.1455955813635718,0.1461861185781113,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_depth,0.4294918303746665,0.429491961096669,0.4294918043924546,0.4285951279332837,0.407922500956149,0.408898279765792,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_depth,0.1963639071854106,0.1963644451517161,0.1963564558864574,0.1957690763081754,0.1968257761939745,0.1974168247996054,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_depth,0.1402935162252377,0.1402935177290725,0.1402935186073365,0.1399110355301585,0.1399138019734178,0.1402963453218859,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_depth,0.2725962023152657,0.2725962424809484,0.2725962559257807,0.271828475775257,0.2502258535960646,0.251025670631508,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_depth,0.1328355191777598,0.1328355285319363,0.1328355334581401,0.132496103436606,0.1325057048007477,0.1328451931059525,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_depth,0.1233390609765415,0.1233390668700869,0.1233390640409934,0.1230135619963711,0.1212719610890421,0.1215955400397155,J165-S,Federal Hill,"Southside, Drains to Harbor"
