,node_name,BGN,BGNx3,Base,G,G&I,I,node_id,neighborhood
0,J105-S_flow,2.789688918427891,2.7904665800749235,2.790647638702668,2.77418312871072,2.774186069330057,2.7896622048598627,J105-S,"('Downtown', 'Southside, Drains to Harbor')"
1,J10-S_flow,2.484212197832558,2.484243357451604,2.4843868851567774,2.4693900195744143,2.4871956038481136,2.502014554985051,J10-S,"('Downtown', 'Southside, Drains to Harbor')"
2,J116-S_flow,7.444797468384532,7.444805717452838,7.444977074508992,7.396167391158553,7.39814573955635,7.446611513538113,J116-S,"('Downtown', 'Southside, Drains to Harbor')"
3,J119-S_flow,4.786007574097289,4.786012556763575,4.78601314557479,4.745605543875012,3.982723945301547,4.0201793774240775,J119-S,"('Downtown', 'Southside, Drains to Harbor')"
4,J128-S_flow,3.455510703366947,3.450664316003384,3.457163672924609,3.425237466571611,2.5659963238421057,2.591775087794124,J128-S,"('Canton', 'Harris Creek')"
5,J130-S_flow,4.034042268315364,4.034043617880156,4.034047703713711,4.000957626106123,3.072199499073653,3.1024164210365925,J130-S,"('Downtown', 'Southside, Drains to Harbor')"
6,J131-S_flow,4.757153805134973,4.7571575669783,4.757159571957318,4.717084067332795,3.857980834328509,3.893885170592138,J131-S,"('Downtown', 'Southside, Drains to Harbor')"
7,J136-S_flow,2.539499627902097,2.5394821890447257,2.539490796918567,2.522461965692014,2.522593302499228,2.539625729289351,J136-S,"('Downtown', 'Southside, Drains to Harbor')"
8,J138-S_flow,1.0354048041877593,1.035495806257874,1.0355169937627478,1.0289740138560712,1.0289743554333408,1.0354016781624502,J138-S,"('Downtown', 'Southside, Drains to Harbor')"
9,J141-S_flow,2.7014134806437142,2.702270520361778,2.702470060143465,2.686994127041297,2.686997371666348,2.701384040348056,J141-S,"('Downtown', 'Southside, Drains to Harbor')"
10,J157-S_flow,2.4915992382036385,2.491444359265219,2.4915209099262023,2.4753780531556835,2.475909879840502,2.492058858592783,J157-S,"('Downtown', 'Southside, Drains to Harbor')"
11,J163-S_flow,2.565464495364542,2.565164175596148,2.5653126174038667,2.5486452946073244,2.5487929729666816,2.565464495364542,J163-S,"('Downtown', 'Southside, Drains to Harbor')"
12,J165-S_flow,1.8093183289349088,1.8093010075915588,1.80930956143694,1.7976190152123446,1.7976977253976314,1.8093183293813808,J165-S,"('Federal Hill', 'Southside, Drains to Harbor')"
13,J171-S_flow,1.4481373445840893,1.4482778019550235,1.448310503861997,1.4384271748042496,1.4384276999963148,1.4481325197125687,J171-S,"('Canton', 'Northside, Drains to Harbor')"
14,J177-S_flow,2.85344802031979,2.854350876241577,2.8545610831546653,2.837851030871598,2.837854445935424,2.8534170061850723,J177-S,"('Federal Hill', 'Southside, Drains to Harbor')"
15,J182-S_flow,4.288581156513893,4.28853842101258,4.2885595152897045,4.258316575236101,4.19862346935536,4.228646978503477,J182-S,"('Federal Hill', 'Southside, Drains to Harbor')"
16,J191-S_flow,1.690684510327391,1.6906061987870695,1.690644917915346,1.679434393996155,1.6797663291030758,1.6909895439033142,J191-S,"('Fells Point', 'Canal Street Creek')"
17,J1-S_flow,1.835057960534464,1.834584331025492,1.8348184362290112,1.8239091628620572,1.8241440269592315,1.835057960534464,J1-S,"('Clifton Park', 'Canal Street Creek')"
18,J204-S_flow,1.7517621262354268,1.751614893116338,1.751687667381151,1.7400606049532197,1.7401329400589935,1.7517621262354268,J204-S,"('Fells Point', 'Canal Street Creek')"
19,J208-S_flow,5.150599764611032,5.149911651688587,5.150251771577026,5.116968337775641,5.117307107042707,5.150599764611032,J208-S,"('Downtown', 'Southside, Drains to Harbor')"
20,J211-S_flow,3.900768809884486,3.131056881660492,3.900936950224474,3.0930088308046284,2.3572448869987146,3.081360029340323,J211-S,"('Fells Point', 'Canal Street Creek')"
21,J227-S_flow,3.2354702954824623,3.2353840163886245,3.235426702712363,3.2134423425696284,3.21351696369855,3.235458987364797,J227-S,"('Locust Point', 'Southside, Drains to Harbor')"
22,J231-S_flow,0.0595736419050434,0.0595736419050434,0.0595736419050434,0.0595736419050434,0.0597186522623314,0.059690467973352,J231-S,"('Locust Point', 'Southside, Drains to Harbor')"
