,BGN,BGNx3,Base,G,G&I,I,node_name,node_id,neighborhood,historic_stream
0,-3.5075760829172964e-07,-2.042909076904742e-07,0.0,-0.00034704346436728595,-0.00029089764673620455,5.6091392941798324e-05,J105-S_depth,J105-S,Downtown,"Southside, Drains to Harbor"
1,-1.4174320800419693e-08,7.611651309247236e-09,0.0,-0.0008134723164901769,-0.03430146817807639,-0.03376666508025539,J10-S_depth,J10-S,Downtown,"Southside, Drains to Harbor"
2,-1.4629951161637678e-07,-1.2489182743546934e-08,0.0,-0.0011460368726614045,-0.02276171935778215,-0.021590856949389448,J116-S_depth,J116-S,Downtown,"Southside, Drains to Harbor"
3,-1.0511829268144979e-07,-2.2500126789504193e-08,0.0,-0.0005524509677054812,-0.014764728091495205,-0.014219592286212085,J119-S_depth,J119-S,Downtown,"Southside, Drains to Harbor"
4,-0.00011816053502622381,-0.00046054819942731307,0.0,-0.0016804218594774212,-0.0748127620821227,-0.0738426483605161,J128-S_depth,J128-S,Canton,Harris Creek
5,-2.9864644929267214e-07,-2.4365944800708306e-07,0.0,-0.00134231122566969,-0.04058125627368969,-0.03924467756926747,J130-S_depth,J130-S,Downtown,"Southside, Drains to Harbor"
6,-9.476925288964821e-08,-7.114409217301443e-08,0.0,-0.0005780906130904984,-0.017748530532277373,-0.017157993317737874,J131-S_depth,J131-S,Downtown,"Southside, Drains to Harbor"
7,2.59822118819919e-08,1.4778530676995416e-08,0.0,-0.0008966764591709087,-0.021569303436305587,-0.020593524626662585,J136-S_depth,J136-S,Downtown,"Southside, Drains to Harbor"
8,7.4512989532149465e-06,7.796515630598133e-06,0.0,-0.0005873795782820046,0.0004693203075171182,0.0010603689131480076,J138-S_depth,J138-S,Downtown,"Southside, Drains to Harbor"
9,-2.3820987959943807e-09,3.595359815422583e-09,0.0,-0.000382483077178003,-0.0003797166339186975,2.8267145494031976e-06,J141-S_depth,J141-S,Downtown,"Southside, Drains to Harbor"
10,-5.361051497176916e-08,3.20272510179187e-08,0.0,-0.0007677801505237003,-0.0223704023297161,-0.021570585294272693,J157-S_depth,J157-S,Downtown,"Southside, Drains to Harbor"
11,-1.4280380294939832e-08,9.788736710092394e-09,0.0,-0.00033943002153408175,-0.00032982865739239475,9.659647812410022e-06,J163-S_depth,J163-S,Downtown,"Southside, Drains to Harbor"
12,-3.064451900569587e-09,5.838271893710001e-09,0.0,-0.00032550204462229726,-0.002067102951951297,-0.0017435240012779046,J165-S_depth,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,-4.112857300564432e-08,-3.33351706099938e-08,0.0,-0.00023586419675530879,-0.00022797266248911208,7.617993333000617e-06,J171-S_depth,J171-S,Canton,"Northside, Drains to Harbor"
