,link_name,Base,I,V,V&I,link_id,neighborhood
0,timestamp,1.68804492e+18,1.68804492e+18,1.68804492e+18,1.68804492e+18,timestamp,
1,C102-S_velocity,0.0006509386726976,0.0006476161816764,0.000649609527532,0.0006462361665441,C102-S,Patterson Park
2,C105-S_velocity,0.0008307283084769,0.0008265786185242,0.0008282809057402,0.0008241923150117,C105-S,Patterson Park
3,C111-S_velocity,0.0033065460508464,0.0017322579990769,0.0032943522920052,0.0017256819760349,C111-S,Baltimore Highlands
4,C113-S_velocity,0.0008343043790624,0.0005022777126861,0.0008326844622893,0.0005010462630202,C113-S,Baltimore Highlands
5,C131-S_velocity,0.0001756854799766,0.0001444113240961,0.0001756863929267,0.0001444119326445,C131-S,Fells Point
6,C141-S_velocity,0.0006821115267998,0.0006821312528541,0.0006821184007067,0.0006821327767671,C141-S,Canton
7,C159-S_velocity,0.0004563588818251,0.0004744122185049,0.0004563603879091,0.0004744126685394,C159-S,Upper Fells Point
8,C163-S_velocity,0.0005628894054729,0.0005513459407505,0.0005627949481785,0.0005512498629095,C163-S,Upper Fells Point
9,C168-S_velocity,0.0008198720383929,0.0008373692371181,0.0008198123591294,0.0008373600741625,C168-S,Canton
10,C182-S_velocity,0.0026230015618415,0.0026647569798177,0.0026230189349592,0.0026648553538103,C182-S,Canton
11,C187-S_velocity,0.0001726966402401,0.0001788206202179,0.0001541768607935,0.000158298131815,C187-S,Canton
12,C190-S_velocity,0.0029637065186217,0.0015724918213184,0.00295964787759,0.0015708194562031,C190-S,Baltimore Highlands
13,C191-S_velocity,0.0004604816231299,0.0001744486670699,0.0004597767471322,0.0001742874787095,C191-S,Patterson Park
14,C211-S_velocity,0.0010667810946483,0.0010661038961653,0.0010659249588386,0.0010652299700895,C211-S,Patterson Park
15,C21-S_velocity,0.0006729951499489,0.0005277188820029,0.0006535524431911,0.0005128788352786,C21-S,Broadway East
16,C226-S_velocity,0.0008375152535917,0.0008129200863774,0.0008361619248978,0.0008120106747944,C226-S,Baltimore Highlands
17,C227-S_velocity,0.0009027642918062,0.0005308671243417,0.0008975832568859,0.0005282515813071,C227-S,Kresson
18,C229-S_velocity,0.0003793805172417,0.000359217227167,0.0003789790937907,0.000359014892784,C229-S,Kresson
19,C236-S_velocity,0.0002079141449802,0.000204692073068,0.0002015363865342,0.0001983296206748,C236-S,Orangeville
20,C23-S_velocity,8.982396101046754e-05,3.0068597531149063e-05,8.460953313414152e-05,2.855169445275214e-05,C23-S,Broadway East
21,C249-S_velocity,0.0008684531709647,0.0008840549504885,0.00086668338322,0.0008825247280682,C249-S,Madison-Eastend
22,C251-S_velocity,0.0004771788392187,0.0004065667759146,0.0004759134928526,0.0004072880435751,C251-S,Madison-Eastend
23,C260-S_velocity,0.000795333200569,0.0007976407502233,0.0007953649829712,0.0007976366535909,C260-S,Baltimore Highlands
24,C26-S_velocity,0.0016294230807827,0.0011131534046699,0.0015480607403712,0.0010462891480095,C26-S,Broadway East
25,C274-S_velocity,0.0006477807364093,0.0006380360994582,0.0006472681702775,0.0006376231748221,C274-S,Kresson
26,C279-S_velocity,0.0005282834881818,0.0005305221985039,0.0005110316674291,0.0005127859076801,C279-S,Broadway East
27,C27-S_velocity,0.0004671339421948,0.0001985092689248,0.0004258313808072,0.0001834661343371,C27-S,Broadway East
28,C292-S_velocity,0.0003781097371899,0.0002264215339694,0.0003398434410375,0.0002043486069988,C292-S,Broadway East
29,C2-S_velocity,0.0001645165682968,0.0001720019278909,0.0001653960420719,0.0001746217943423,C2-S,South Clifton Park
30,C301-S_velocity,0.001151057016079,0.0012566416250083,0.0010889244246379,0.0011875248146598,C301-S,Eager Park
31,C314-S_velocity,0.000355694598823,0.0003742070505966,0.0003541149782463,0.0003721790237655,C314-S,Dunbar-Broadway
32,C317-S_velocity,0.0002601749348683,0.0001774553751995,0.0002584061144679,0.0001761768057262,C317-S,Dunbar-Broadway
33,C319-S_velocity,1.012319568125539e-05,2.6384643170959378e-06,9.967061153029277e-06,2.598926007602508e-06,C319-S,Washington Hill
34,C321-S_velocity,0.0001026587322036,6.558562437822434e-05,0.0001023188897927,6.538487104461343e-05,C321-S,Washington Hill
35,C325-S_velocity,2.5516406817216305e-05,1.2398512760974787e-05,2.5482068536928924e-05,1.240004473684939e-05,C325-S,Fells Point
36,C327-S_velocity,0.0026930260158546,0.0021924951749115,0.0026830381824203,0.0021840741364398,C327-S,Fells Point
37,C328-S_velocity,0.0010896966906415,0.0007012895613917,0.0010851056996657,0.0006975272817761,C328-S,Fells Point
38,C338-S_velocity,0.0008103127641425,0.0008101928225782,0.0008029308449224,0.000802854975014,C338-S,Washington Hill
39,C340-S_velocity,0.0008650690542583,0.000865739732549,0.0008604974538833,0.0008611985950731,C340-S,Fells Point
40,C34-S_velocity,0.0002353721801874,0.0002378190594503,0.0002303792553349,0.0002333043752224,C34-S,South Clifton Park
41,C351-S_velocity,0.0004903783959157,0.0004903638676577,0.0004903709356671,0.0004903623768794,C351-S,Fells Point
