,Base,I,V,V&I,link_id,neighborhood,link_name
0,0.0,0.0,0.0,0.0,timestamp,,timestamp
1,0.0,-3.3348266666999565e-06,-1.3282822660000545e-06,-4.7132083789999755e-06,C102-S,Patterson Park,C102-S_velocity
2,0.0,-4.144297071900045e-06,-2.454661367300051e-06,-6.528162152900051e-06,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.001574276000931,-1.2196036127799879e-05,-0.0015808604278037001,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.0003320265202269,-1.6194810631000667e-06,-0.0003332590201543,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-3.127365478960002e-05,1.8590563999787597e-09,-3.127230939160001e-05,C131-S,Fells Point,C131-S_velocity
6,0.0,1.979032399990286e-08,6.9381765999783004e-09,2.1314236999924602e-08,C141-S,Canton,C141-S_velocity
7,0.0,1.8054397866300005e-05,1.475700399985319e-09,1.805457929249997e-05,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,-1.1543109265200004e-05,-9.428527770007945e-08,-1.1638138208900067e-05,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,1.7486190396199934e-05,-7.456277680006895e-08,1.7482509554399956e-05,C168-S,Canton,C168-S_velocity
10,0.0,4.176031184220013e-05,1.7493621900024903e-08,4.185827936779981e-05,C182-S,Canton,C182-S_velocity
11,0.0,6.0517299865999765e-06,-1.852468716740001e-05,-1.4441975730000018e-05,C187-S,Canton,C187-S_velocity
12,0.0,-0.0013912261592867001,-4.057630368199932e-06,-0.0013928999215452,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,-0.0002860474412263,-7.046230426000139e-07,-0.000286208443678,C191-S,Patterson Park,C191-S_velocity
14,0.0,-6.773565446999402e-07,-8.562938713999046e-07,-1.5512826204999459e-06,C211-S,Patterson Park,C211-S_velocity
15,0.0,-0.00014508530192149994,-1.9415329221399982e-05,-0.00015994557390989995,C21-S,Broadway East,C21-S_velocity
16,0.0,-2.4598055755299924e-05,-1.3527966598000148e-06,-2.5506341539299998e-05,C226-S,Baltimore Highlands,C226-S_velocity
17,0.0,-0.00037189061964739995,-5.1770057593000275e-06,-0.0003745241202004,C227-S,Kresson,C227-S_velocity
18,0.0,-2.0160612787199967e-05,-4.0105046549996845e-07,-2.0364309865900012e-05,C229-S,Kresson,C229-S_velocity
19,0.0,-3.222546356500017e-06,-6.377749398400008e-06,-9.583763293500013e-06,C236-S,Orangeville,C236-S_velocity
20,0.0,-5.963399440092513e-05,-5.2000607879595364e-06,-6.113097488086509e-05,C23-S,Broadway East,C23-S_velocity
21,0.0,1.5602944617199976e-05,-1.7692008281999794e-06,1.4072204400099992e-05,C249-S,Madison-Eastend,C249-S_velocity
22,0.0,-7.061176925750003e-05,-1.264259692600005e-06,-6.988981885439998e-05,C251-S,Madison-Eastend,C251-S_velocity
23,0.0,2.3030889623999956e-06,2.4959581800031508e-08,2.3013709060000498e-06,C260-S,Baltimore Highlands,C260-S_velocity
24,0.0,-0.0005158470818917001,-8.141525815190008e-05,-0.0005826949148547,C26-S,Broadway East,C26-S_velocity
25,0.0,-9.744098312700002e-06,-5.123472677999496e-07,-1.0156301556299993e-05,C274-S,Kresson,C274-S_velocity
26,0.0,2.197593926500001e-06,-1.7294712540400002e-05,-1.5538695674500048e-05,C279-S,Broadway East,C279-S_velocity
27,0.0,-0.0002683286487997,-4.1219195704599986e-05,-0.0002835422636206,C27-S,Broadway East,C27-S_velocity
28,0.0,-0.0001515447344772,-3.82611062973e-05,-0.00017361100143359999,C292-S,Broadway East,C292-S_velocity
29,0.0,7.419067064300014e-06,6.649056978000074e-07,9.963498949100012e-06,C2-S,South Clifton Park,C2-S_velocity
30,0.0,0.00010551612878480004,-6.217551847049986e-05,3.645100117090003e-05,C301-S,Eager Park,C301-S_velocity
31,0.0,1.8512585044400012e-05,-1.5794175422999767e-06,1.648497469240002e-05,C314-S,Dunbar-Broadway,C314-S_velocity
32,0.0,-8.271952098909998e-05,-1.7688060565000034e-06,-8.399805374449998e-05,C317-S,Dunbar-Broadway,C317-S_velocity
33,0.0,-7.4847554459643055e-06,-1.5615089445803756e-07,-7.524283263865432e-06,C319-S,Washington Hill,C319-S_velocity
34,0.0,-3.707271364046026e-05,-3.3943099929999534e-07,-3.727336470436657e-05,C321-S,Washington Hill,C321-S_velocity
35,0.0,-1.3117866908992862e-05,-3.444531002845213e-08,-1.3116334933118259e-05,C325-S,Fells Point,C325-S_velocity
36,0.0,-0.0005005097558644003,-9.978155746599975e-06,-0.0005089341692665001,C327-S,Fells Point,C327-S_velocity
37,0.0,-0.0003883815707134001,-4.559532348099964e-06,-0.00039216424820460007,C328-S,Fells Point,C328-S_velocity
38,0.0,-1.2859942650003675e-07,-7.395239623699998e-06,-7.4619697701e-06,C338-S,Washington Hill,C338-S_velocity
39,0.0,6.642574605000146e-07,-4.58121137059998e-06,-3.872838118000057e-06,C340-S,Fells Point,C340-S_velocity
40,0.0,2.5084713956000147e-06,-4.931332720599997e-06,-2.0062128336000083e-06,C34-S,South Clifton Park,C34-S_velocity
41,0.0,-1.568490249996817e-08,-9.23780670003798e-09,-1.6311885899953846e-08,C351-S,Fells Point,C351-S_velocity
42,0.0,-4.5320111740700006e-05,8.373056000171401e-10,-4.531991402359999e-05,C355-S,Fells Point,C355-S_velocity
43,0.0,1.685208590800004e-05,-4.2110372900066445e-08,1.685211892840004e-05,C361-S,Fells Point,C361-S_velocity
44,0.0,-5.6961830951200005e-05,-2.2567879997496126e-10,-5.6961129652099995e-05,C362-S,Fells Point,C362-S_velocity
45,0.0,-7.467669857639999e-05,-1.9482719923100003e-05,-8.800881168900002e-05,C37-S,South Clifton Park,C37-S_velocity
46,0.0,3.12787505106001e-05,1.1698788599965801e-08,3.129761645489994e-05,C382-S,Canton,C382-S_velocity
47,0.0,1.154217108159997e-05,-5.63121696740002e-06,5.369133056999957e-06,C3-S,Upper Fells Point,C3-S_velocity
48,0.0,-1.3026018700311448e-08,-0.00017391355715370028,-0.00017392925896020026,C417-S,Canton Industrial,C417-S_velocity
