scenario,row,timestamp,C102-S_velocity,C105-S_velocity,C111-S_velocity,C113-S_velocity,C131-S_velocity,C141-S_velocity,C159-S_velocity,C163-S_velocity,C168-S_velocity,C182-S_velocity,C187-S_velocity,C190-S_velocity,C191-S_velocity,C211-S_velocity,C21-S_velocity,C226-S_velocity,C227-S_velocity,C229-S_velocity,C236-S_velocity,C23-S_velocity,C249-S_velocity,C251-S_velocity,C260-S_velocity,C26-S_velocity,C274-S_velocity,C279-S_velocity,C27-S_velocity,C292-S_velocity,C2-S_velocity,C301-S_velocity,C314-S_velocity,C317-S_velocity,C319-S_velocity,C321-S_velocity,C325-S_velocity,C327-S_velocity,C328-S_velocity,C338-S_velocity,C340-S_velocity,C34-S_velocity,C351-S_velocity,C355-S_velocity,C361-S_velocity,C362-S_velocity,C37-S_velocity,C382-S_velocity,C3-S_velocity,C417-S_velocity,C418-S_velocity,C422-S_velocity,C449-S_velocity,C462-S_velocity,C463-S_velocity,C473-S_velocity,C474-S_velocity,C478-S_velocity,C530-S_velocity,C532-S_velocity,C548-S_velocity,C549-S_velocity,C550-S_velocity,C551-S_velocity,C556-S_velocity,C576-S_velocity,C602-S_velocity,C638-S_velocity,C650-S_velocity,C659-S_velocity,C65-S_velocity,C677-S_velocity,C681-S_velocity,C685-S_velocity,C687-S_velocity,C68-S_velocity,C69-S_velocity,C708-S_velocity,C725-S_velocity,C728-S_velocity,C729-S_velocity,C734-S_velocity,C740-S_velocity,C742-S_velocity,C744-S_velocity,C74-S_velocity,C752-S_velocity,C756-S_velocity,C758-S_velocity,C759-S_velocity,C761-S_velocity,C771-S_velocity,C772-S_velocity,C779-S_velocity,C79-S_velocity,C7-S_velocity,C816-S_velocity,C830-S_velocity,C839-S_velocity,C84-S_velocity,C89-S_velocity
Base,0,1687833120000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,1,1687833420000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,2,1687833720000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,3,1687834020000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,4,1687834320000000000,2.771029402057988e-05,8.96632790104035e-05,2.2871153588361144e-06,4.134075734266821e-05,1.3349665255020468e-07,0.0002934853351114512,0.00012175443973080896,6.154042467475861e-05,0.00024363932644637886,0.0004907851875335749,1.230609328916592e-07,0.0001672234910311095,1.7285564954758506e-07,0.0003715792957742983,5.761436223524132e-05,5.1323709489305864e-05,3.230658788856174e-05,2.9103047014313055e-05,2.123452508366674e-05,2.899516369240201e-06,0.00034533848130476465,4.1118518195300616e-05,0.0002549476488509582,0.0001641532918514139,6.950648747318086e-05,2.0062271780918505e-05,1.5015884835696485e-06,1.113431174162047e-05,7.495339951821872e-05,0.0,5.7840135845466286e-05,2.6250840300578646e-06,0.0,1.3739687418582697e-05,4.61552817298879e-06,0.00012363850886179366,2.467029456720291e-08,0.00030275737900286844,0.0001209619442561587,0.00012097183500049009,0.00010773060010778915,0.0,0.0004000809027210264,6.169045169251025e-06,5.421113625780692e-05,0.00035297607964314095,1.682754034575899e-05,0.0007355853909819001,8.618704678118936e-05,0.0006801690886805959,4.8691434817351374e-05,1.1262736581124318e-05,0.00027833887547316753,0.0005780068959620149,0.00011644328166251263,0.0012245756597387815,9.234027219454905e-05,2.532418649163441e-08,0.0,0.0,0.00047360669420999196,5.96910117933414e-05,2.406932862155421e-07,8.299004432003907e-10,0.00013455439385234576,9.74294148841424e-06,0.00027574778115316663,7.703448585892156e-05,1.757334313625518e-05,0.00026798203362624317,7.965841137549791e-13,2.4787835787734003e-05,0.0004162352824494938,-5.846892339519839e-06,3.1845518635960104e-06,0.0003504171108395974,9.334574433117665e-05,0.0005565882988503322,0.0005911983076601593,0.0007862002295730712,0.000632582078340513,-1.9122449231351838e-11,0.00031174624253143423,1.7611675618881653e-05,0.00013064942728639741,0.0018968814709624476,8.378482158719544e-12,4.398818037550865e-05,0.0020138426100776326,0.001008295360050544,7.718010868592109e-05,0.0003239919112278182,1.3582835015854714e-05,8.552148115035399e-05,0.00028767909242629876,3.0794564151935867e-06,0.0005474678204539372,2.5210304028161125e-06,5.521174925745366e-05
Base,5,1687834620000000000,8.92443999318145e-05,0.0002229659426380901,0.00014790177502169952,9.357439449633987e-05,3.925458782148893e-05,0.00035937373369035664,0.000255317425838404,0.00013680335788578984,0.000315514165718932,0.0008171343748013043,7.053389826672285e-13,0.00033407989119059396,1.8195489517895804e-05,0.0005177341679306846,0.000200791662684,0.00020279007247943855,0.00012957975713777224,9.229207493263661e-05,5.1477315005730886e-05,8.735476313944628e-06,0.0003186650810378712,0.00016785903926213051,0.0003200160091259352,0.00027473598136178564,0.0001533544592052184,9.946991486680214e-05,3.566940417578266e-05,2.9864270309464405e-05,8.790369678141302e-05,2.2659807250043934e-06,0.00012249921983658511,2.921374131235934e-05,0.0,2.199468094560662e-05,7.885305549805226e-06,0.0005470631977054425,8.009558634615103e-05,0.0003324483627991835,0.0002853003064136805,0.00013440473834705846,0.0002084887146675255,1.8374369223450972e-06,0.0005108388744357344,9.53866650276293e-05,0.00013735881590429237,0.0005655954001552246,5.437691383749203e-05,0.0009187434841509406,0.0003466549094879902,0.0006776746322549989,0.00010564567287730822,0.00020767208874083274,0.0004506965405841694,0.00045398746257406514,0.00028557063908457,0.0006732464466378336,0.00018992485166280807,6.33958669599139e-06,0.0,0.0,0.0006251656576458286,0.00036463912753080535,2.5833134384998133e-05,1.692089707816316e-05,0.0002480942186115407,3.435646823302913e-05,0.0004018081759242107,0.00016948659834492807,7.034513618080108e-05,0.0004564190546746563,1.1952662876560302e-06,8.343148092042917e-05,0.0004946388911570318,-5.093841661157042e-05,5.2798721560217214e-05,0.0003800440045659808,0.00028103139812548364,0.0005818825346223063,0.0006613865757579042,0.0006486154845041726,0.000578591575657702,-2.3333813003724906e-08,0.0002718254090533319,8.67736621045984e-05,0.00018704956525525493,0.0016858574960257808,1.1880986424058013e-08,4.390198907462822e-05,0.0025213561573367285,0.000943657954752481,0.00033307067273321373,0.00031925042471991807,0.0001441269731670585,0.00013798943969520932,0.00019428556952057484,6.340352672709819e-05,0.0011260021290550807,1.4967876749642074e-06,0.00012868288106088053
Base,6,1687834920000000000,0.00013280317691486426,0.0002668937971163775,0.0003375842160124867,0.00011470828394593866,6.824493892132835e-05,0.00029958131852955786,0.00022874279648778814,0.00016293273539237183,0.0002717223992176743,0.0008735943723775047,0.0,0.0004031127638165357,3.029549254279985e-05,0.0004203846976068777,0.00020896772627360788,0.0002613658027844804,0.00018971407992574824,0.0001144593820245488,6.573312697700788e-05,1.0340450103186603e-05,0.00024222607486163282,0.00011721971605352022,0.0003291071000835483,0.00031188492851204753,0.00017812653318247825,0.00013759765080330536,5.510152072772133e-05,4.257039969300254e-05,6.274681401189866e-05,3.789898220930322e-05,0.00013505778180210613,3.750936050285806e-05,3.662536243848625e-12,2.5068928266388314e-05,4.974464285928619e-06,0.0007006154262996321,0.00021335783335110295,0.0003240937245992769,0.00027461197568975633,9.273389332646312e-05,0.00021571165618889418,2.1667261746435857e-05,0.0005308007573029114,0.00012358692047282968,0.00013980779066535652,0.00047671658415297243,7.3757916996052e-05,0.0010619709854639287,0.00037282265690409983,0.0006556635263153681,0.00012542912484613938,0.0003723717683200829,0.000600112486694485,0.0003654837237341807,0.0002148649260416638,0.0005549999371484881,0.0002126907299593636,1.1615929023138356e-05,2.6750771384745266e-07,0.0,0.0006174544449579101,0.000361835376785306,4.8012151348354084e-05,2.8422903078505114e-05,0.0002719678056058956,4.9542415367861065e-05,0.00038944119385683366,0.0001824930342998335,9.215138316048613e-05,0.0003947874854075547,2.5142065711294662e-05,7.595018343581385e-05,0.0004511565091486539,-8.814282452143053e-05,8.07623735923514e-05,0.00038162620821304406,0.0002761835358107346,0.0005514725985467962,0.000638397725298504,0.0005066412472307278,0.0006101100296839422,-7.280268617607746e-09,0.0001995480429834505,0.00010073510950215492,0.0002018546157629531,0.0016326780900912357,3.1140594530280296e-09,1.8251679163161062e-05,0.0022576902398534202,0.0010289617225299717,0.00035108647471278,0.00024154689600798515,0.00015450201968317148,0.00013104870201460973,0.00012361072258232735,0.00010166058285800619,0.0009652251814294552,3.2026520552015778e-09,0.00015382340031474216
Base,7,1687835220000000000,0.00013979296918580105,0.00023789142203299666,0.00044348361181481934,0.0001179002960242546,6.364180341646951e-05,0.00023835757272778677,0.00018865729136596343,0.00016341151823811006,0.0002271225784896387,0.0007982474814216898,0.0,0.0004241674387070533,3.700017429515851e-05,0.0003111982060366528,0.00016608192778485,0.00024819612227919134,0.0001990908673148977,0.00010469266973948863,6.701683755157964e-05,8.258896710825373e-06,0.0001815755238962303,7.750002584053718e-05,0.00029476367958318657,0.00030954528750679777,0.00017675965296601385,0.00015112412281305336,6.129327124842832e-05,5.3936493366158996e-05,4.467616013815887e-05,0.00010065894362929375,0.00013401216929303446,3.9182656120987394e-05,1.196324291843288e-09,2.442630453057778e-05,3.1282955787055196e-06,0.0006689002050699607,0.0002323274472656137,0.000277190824590939,0.00023580155637145385,6.573013633422717e-05,0.00020614194175835212,4.169412915502257e-05,0.0004982996622377868,0.0001247481541727248,0.00012101161382280819,0.00037673498648166826,8.501842409454294e-05,0.0010290009478700825,0.0003556470410885331,0.0005126816869264176,0.00013177459143366084,0.0005299649107536332,0.0008020992190585828,0.00027565170482557027,0.00015547024007642415,0.00039313403606938647,0.00021275477799957064,1.0605568593688078e-05,2.7194819884510788e-06,0.0,0.0005296408124338126,0.0003158802781606656,5.9377471594630505e-05,3.026433141099234e-05,0.0002682719328548846,6.099006431124822e-05,0.00035023781696281786,0.0001783204395587085,9.938666198290301e-05,0.0003055942384998218,4.414823130251672e-05,8.519715105687166e-05,0.0003436372904763438,-9.377726119331423e-05,8.33105272756905e-05,0.0003506786023131678,0.0002372653874755796,0.0004547461060735173,0.0005501351167491669,0.00033204180478349065,0.0005244967791522462,-0.0,0.0001502913134268176,0.00010214627884377147,0.00019833915480274843,0.0013744617409630715,0.0,4.228070525254771e-06,0.0016539556289924076,0.0009683227370513604,0.0003144578666576952,0.00016654611527471997,0.00012300373474327504,0.00012359488371549006,7.903169096765332e-05,0.00010920706034613369,0.0007772377574005887,0.0,0.00014596409566579497
Base,8,1687835520000000000,0.00011978454133648663,0.00019791126282608956,0.0004503523025144559,0.0001065013929490506,4.916338759720586e-05,0.00019281819652394735,0.00015036119042269232,0.00015065259808931812,0.000189043147537679,0.0006940580453316034,0.0,0.0004028829089206092,3.65873648377896e-05,0.00023602599897621317,0.00011521273823569058,0.00021485204678382537,0.00017414299440674603,8.58797911222342e-05,5.951570951910443e-05,4.781313845233939e-06,0.00014014618032914887,4.795793564297674e-05,0.00025690953807659846,0.0002819159349700827,0.00016532175955053,0.0001460433128939764,5.6290169506599435e-05,5.9152620729230066e-05,3.2220462664492214e-05,0.00015362377689839601,0.00012731968895127795,3.5631470191318726e-05,2.472030051594922e-09,2.0809743376355393e-05,1.936680852905917e-06,0.0005602783422257988,0.00019178750601829198,0.00023413979727826008,0.00019187968188033748,4.8738923268316515e-05,0.00018789391824843607,4.7746274669439536e-05,0.0004477325062051681,0.00011108088549427356,9.603501083338714e-05,0.00028876242435475725,9.045846766536231e-05,0.000947551495583774,0.0003297122390213169,0.0003837459845611679,0.00012833120612393606,0.0006570153541249236,0.001030997705560248,0.0002140363497581918,0.0001093123216018445,0.00028993770104049794,0.00019969075939445962,6.81810595950677e-06,5.497585023506703e-06,4.492014536430472e-13,0.0004411969330284191,0.00026506905784717626,5.746333751534079e-05,2.6149636378667143e-05,0.00025123123469472766,6.363560155742929e-05,0.00029312734016021257,0.00016730467537650218,0.00010254043135680503,0.0002352976973904046,4.7344209728121235e-05,8.99981266161659e-05,0.00026013233416917974,-8.454507466785526e-05,7.271869162880904e-05,0.00031903950059885053,0.0001907221746050639,0.0003712811384843761,0.00046925273859884503,0.00023011322403520618,0.00043005137701277954,-0.0,0.00011552795890647401,9.140294458506346e-05,0.00018659360168677655,0.0011580413964353126,0.0,6.179221906915331e-08,0.0011750705819857756,0.0008731885889899878,0.00026740929864025437,0.00011725639900699776,8.721376583058077e-05,0.00011076691645448847,5.672019868625805e-05,9.769549357945955e-05,0.0005392505946044245,0.0,0.00012539543198502624
Base,9,1687835820000000000,9.462959170991278e-05,0.0001656291943104527,0.0004094283883175746,8.968591533463448e-05,3.68764739085881e-05,0.0001608414529505567,0.00012365784746214367,0.00013772428919089246,0.00015407426171687335,0.0005951753167208597,0.0,0.00036347724372391504,3.2550829218272624e-05,0.00018333877511918735,7.325669322813369e-05,0.00018277645707354985,0.00014146731756092132,6.809722658548431e-05,5.2289819537793924e-05,2.2546275033790306e-06,0.00011234383174273948,2.927938600239086e-05,0.000223561212845719,0.00024733457408903004,0.0001521566786690269,0.00013407118641321143,4.730364964709672e-05,5.8609041593309215e-05,2.4093055659749733e-05,0.00020462700693577019,0.00012001312638236314,3.0323648925752564e-05,1.2991373812661487e-11,1.6560635531429373e-05,1.2467401671184503e-06,0.00044462938593136747,0.00014467684035015453,0.0001938203733212956,0.00015218382010104986,3.690963537834334e-05,0.0001705023531155565,4.33006369068875e-05,0.0003942021802520263,9.454815597911503e-05,7.719312785428074e-05,0.00022391118131116693,9.092012532797526e-05,0.0008535014344016639,0.0003023076786394343,0.0002924172322968842,0.00012029203065565933,0.0008178396014042724,0.0011975567071113866,0.00017456912799954173,7.67069467724768e-05,0.0002273276575728843,0.00018298437323246148,3.6197224138349303e-06,6.182605678583606e-06,0.0,0.0003621755181216944,0.00021935597720914673,5.095029877281157e-05,2.043513288806081e-05,0.00023345951160004064,5.9893855107575986e-05,0.0002429109034737616,0.00015394612099385558,0.00010560891456696148,0.00018525408474259316,3.983747108456688e-05,7.825459445650919e-05,0.0002133088104015451,-7.058469010201834e-05,5.944951722888889e-05,0.0002875970060878469,0.0001551070884839434,0.0003010940674374873,0.00041237077737385996,0.0001587269147376295,0.00035410392988250886,-0.0,9.229254119802786e-05,7.912370096831462e-05,0.00017597612080004732,0.0009911239082335767,0.0,0.0,0.0008367278777208802,0.0007690553265169858,0.0002244838547812971,8.078778905008193e-05,5.712456902219278e-05,9.51076854886125e-05,4.2399004637232254e-05,8.271255931847708e-05,0.00036396310661697905,0.0,0.00010862351358666708
