,link_name,Base,I,V,V&I,link_id,neighborhood
0,timestamp,1.68788652e+18,1.68788652e+18,1.68788652e+18,1.68788652e+18,timestamp,
1,C102-S_velocity,0.0040933791512314,0.0041407544222782,0.0040977953330449,0.0041453951986719,C102-S,Patterson Park
2,C105-S_velocity,0.0016883669266788,0.0016305929166392,0.0016843339018421,0.0016291477761797,C105-S,Patterson Park
3,C111-S_velocity,0.0172040174488585,0.0136844079895947,0.0172303755595578,0.0136825410023627,C111-S,Baltimore Highlands
4,C113-S_velocity,0.0055689188756185,0.0051601805984056,0.0055552821839678,0.0051520105347347,C113-S,Baltimore Highlands
5,C131-S_velocity,0.000996340901489,0.000926639450289,0.0009957897811592,0.0009265689658379,C131-S,Fells Point
6,C141-S_velocity,0.0032815933127062,0.0032806719670249,0.0032804338643446,0.00328105954201,C141-S,Canton
7,C159-S_velocity,0.0023697282336121,0.0023834481797963,0.0023688562605227,0.0023834619824329,C159-S,Upper Fells Point
8,C163-S_velocity,0.0017263995602179,0.0017420420754761,0.0017264539881405,0.0017419716305531,C163-S,Upper Fells Point
9,C168-S_velocity,0.003871152516114,0.0038698666852452,0.0038697428009884,0.0038703456353672,C168-S,Canton
10,C182-S_velocity,0.0068658301578349,0.006804149805373,0.0068658272456376,0.00680414832469,C182-S,Canton
11,C187-S_velocity,0.0003918256076506,0.0004064013331323,0.0003918599192923,0.0004064427648665,C187-S,Canton
12,C190-S_velocity,0.0079859259658912,0.0078611976477316,0.0079871605062954,0.0078611976477316,C190-S,Baltimore Highlands
13,C191-S_velocity,0.0018800344395383,0.0015790344938323,0.0018869341208184,0.0015799689450595,C191-S,Patterson Park
14,C211-S_velocity,0.0051583160683425,0.0052087367196412,0.0051505642103242,0.0051994658734395,C211-S,Patterson Park
15,C21-S_velocity,0.0087281606391822,0.0084724424312731,0.0087271101098141,0.0084717986517413,C21-S,Broadway East
16,C226-S_velocity,0.0033955593350702,0.0033954931917138,0.0033887534792331,0.0033886911959177,C226-S,Baltimore Highlands
17,C227-S_velocity,0.0047474197371808,0.0049453294158649,0.0047486518094804,0.0049453720707963,C227-S,Kresson
18,C229-S_velocity,0.0013019373539175,0.0013048335584729,0.0013013668234515,0.0013051389126713,C229-S,Kresson
19,C236-S_velocity,0.0009658487357651,0.0009658138231175,0.0009658111138075,0.0009658133156661,C236-S,Orangeville
20,C23-S_velocity,0.0022272504192664,0.0019776933096228,0.0022775841682002,0.0020427988587948,C23-S,Broadway East
21,C249-S_velocity,0.0067213799032865,0.0067647768959647,0.006706707415879,0.0067499831465719,C249-S,Madison-Eastend
22,C251-S_velocity,0.0047254888878767,0.0044449893159793,0.0047121235003226,0.0044318835101297,C251-S,Madison-Eastend
23,C260-S_velocity,0.0029031738077713,0.0031863334064915,0.0029056285144592,0.0031977315999097,C260-S,Baltimore Highlands
24,C26-S_velocity,0.0121992095276458,0.0107098062319275,0.0116165438999012,0.0102881651439683,C26-S,Broadway East
25,C274-S_velocity,0.0028409897315729,0.0029443034448537,0.0028389169351781,0.0029421100932911,C274-S,Kresson
26,C279-S_velocity,0.0023584723469689,0.0023608319115973,0.0022637254094807,0.0022667075685166,C279-S,Broadway East
27,C27-S_velocity,0.0067313441057183,0.004857119636516,0.0062755898026031,0.0044590304108413,C27-S,Broadway East
28,C292-S_velocity,0.0021974968088227,0.0023098693376813,0.0021621281240858,0.0023336877920313,C292-S,Broadway East
29,C2-S_velocity,0.0016661470804059,0.0016661676443965,0.0016666845492836,0.0016667256150701,C2-S,South Clifton Park
30,C301-S_velocity,0.0042321060689387,0.0042164136169683,0.0042297795938166,0.0042161668391747,C301-S,Eager Park
31,C314-S_velocity,0.0024598286905908,0.0024648153674131,0.0024444790922694,0.0024525055051993,C314-S,Dunbar-Broadway
32,C317-S_velocity,0.0033288735013496,0.0032924706630372,0.0033055433577195,0.003242988463767,C317-S,Dunbar-Broadway
33,C319-S_velocity,0.0008436295504008,0.000595416506391,0.0008272475775605,0.0005796736611663,C319-S,Washington Hill
34,C321-S_velocity,0.0010125366275335,0.0007079432520786,0.0010077056545494,0.0007039973200195,C321-S,Washington Hill
35,C325-S_velocity,0.0046140989765856,0.0046140989765856,0.0046140989765856,0.0046140989765856,C325-S,Fells Point
36,C327-S_velocity,0.0119337517691103,0.0116593324694834,0.01193375176911,0.0116593324694833,C327-S,Fells Point
37,C328-S_velocity,0.0062786158862633,0.0056101485458236,0.0062786158862624,0.0056101485458233,C328-S,Fells Point
38,C338-S_velocity,0.004647418008154,0.0046540622679464,0.0046054271468643,0.0046143201666707,C338-S,Washington Hill
39,C340-S_velocity,0.0041039814062686,0.0040731047507682,0.0040786439599909,0.0040501555516786,C340-S,Fells Point
40,C34-S_velocity,0.0016148719524929,0.0016577249592506,0.0016064840126601,0.0016490266150627,C34-S,South Clifton Park
41,C351-S_velocity,0.0027742091691627,0.0027742207650178,0.0027744014506329,0.0027744169781905,C351-S,Fells Point
42,C355-S_velocity,0.0024652606045383,0.0025900169160188,0.0024653999148202,0.0025900393212829,C355-S,Fells Point
43,C361-S_velocity,0.0074522550062032,0.0074744542316788,0.0074488141409409,0.0074753414799763,C361-S,Fells Point
44,C362-S_velocity,0.0023545182717051,0.0023249946666712,0.0023546588589035,0.0023251498325254,C362-S,Fells Point
45,C37-S_velocity,0.0034310105363848,0.0031274285742346,0.0033186411052018,0.0030130884509702,C37-S,South Clifton Park
46,C382-S_velocity,0.0048740078662137,0.0050932066769106,0.0048749061184606,0.0050931280258729,C382-S,Canton
47,C3-S_velocity,0.0010568996991203,0.0010421004440768,0.0010568996470885,0.0010421004431629,C3-S,Upper Fells Point
48,C417-S_velocity,0.0145838161775827,0.0145839198410044,0.0147896718772957,0.0147920217815464,C417-S,Canton Industrial
49,C418-S_velocity,0.004906549782604,0.004906549782604,0.004906549782604,0.004906549782604,C418-S,Canton Industrial
50,C422-S_velocity,0.0103518371975525,0.0103487995136965,0.0103224564384413,0.0103250349700673,C422-S,Canton Industrial
51,C449-S_velocity,0.0023568354195412,0.0023568372758421,0.0023201514786676,0.0023201617946378,C449-S,Broadway East
52,C462-S_velocity,0.0103073310893783,0.0102913575483868,0.0103049971608094,0.0102912045972075,C462-S,Eager Park
53,C463-S_velocity,0.0110883650620896,0.0109731484267576,0.0113218166724813,0.011126931421212,C463-S,Eager Park
54,C473-S_velocity,0.0081517437692649,0.008108767528307,0.0081425933587643,0.008108737304203,C473-S,Berea
55,C474-S_velocity,0.0079794134710075,0.007094533091726,0.0079788302041477,0.0070942793092098,C474-S,Berea
56,C478-S_velocity,0.014801648620519,0.0148017415933667,0.0148038759240371,0.0148041499509006,C478-S,Orangeville
57,C530-S_velocity,0.0054103234188138,0.0054311243317679,0.0054334984979046,0.0054566260926176,C530-S,Eager Park
58,C532-S_velocity,0.0015748328762912,0.0013297872039356,0.0015703031198547,0.0012418730704934,C532-S,Eager Park
59,C548-S_velocity,0.0020407021086599,0.0020291233608295,0.0020408349426927,0.0020291384979211,C548-S,Dunbar-Broadway
60,C549-S_velocity,0.0050325512952631,0.003992699233796,0.0050324556154047,0.0039926961306323,C549-S,Dunbar-Broadway
61,C550-S_velocity,0.0056957341402761,0.0056917464608951,0.0056957341425222,0.0056917464655028,C550-S,Dunbar-Broadway
62,C551-S_velocity,0.0025621633661412,0.0027149401171498,0.0025621634349302,0.002715731564207,C551-S,Dunbar-Broadway
63,C556-S_velocity,0.0050875731946362,0.0051351370906393,0.0050698498567131,0.0051042656274365,C556-S,Eager Park
64,C576-S_velocity,0.001145558672402,0.0011408222831693,0.0011456055967462,0.0011406102572338,C576-S,Dunbar-Broadway
65,C602-S_velocity,0.0031603079510686,0.0031603079510686,0.0031603079510686,0.0031603079510686,C602-S,Downtown
66,C638-S_velocity,0.0012859488471618,0.0013226006109685,0.0012860712240789,0.0013226585778869,C638-S,Downtown
67,C650-S_velocity,0.0047691346002276,0.0047691346002277,0.0047691346002274,0.0047691346002275,C650-S,Downtown
68,C659-S_velocity,0.0018780723218956,0.001906616030589,0.001845713400211,0.0019192973402708,C659-S,Downtown
69,C65-S_velocity,0.0027080825936452,0.0027254751796093,0.0027080825121864,0.002717528564471,C65-S,McElderry Park
70,C677-S_velocity,0.0044167326195763,0.0044150736881571,0.0044143217410018,0.0044149072355477,C677-S,Downtown
71,C681-S_velocity,0.0012566001897212,0.001033794663047,0.0012547440272569,0.0010337946318261,C681-S,Downtown
72,C685-S_velocity,0.0050387008330024,0.0039422411231354,0.0050390108537598,0.0039423094003734,C685-S,Downtown
73,C687-S_velocity,0.0042407638626171,0.0042393047729232,0.0042130669484252,0.0042136547587743,C687-S,Federal Hill
74,C68-S_velocity,0.0006424811490785,0.0006063941905043,0.000629165970989,0.0006072667311931,C68-S,Patterson Park
75,C69-S_velocity,0.000725180471312,0.0006438530262242,0.0007231951131851,0.000646642222182,C69-S,McElderry Park
76,C708-S_velocity,0.0051696744791105,0.0055977034309233,0.005096875111995,0.0055231676964391,C708-S,Federal Hill
77,C725-S_velocity,0.0044694341381593,0.0044281206120912,0.0044075957985177,0.0043688399763536,C725-S,Federal Hill
78,C728-S_velocity,0.0071200037285292,0.0071321272567906,0.0070507773735073,0.007066537040894,C728-S,Federal Hill
79,C729-S_velocity,0.0089605941646793,0.0089577878890257,0.0089507397365697,0.0089526610200046,C729-S,Federal Hill
80,C734-S_velocity,0.0127642003383764,0.0125801921369203,0.0127588243108661,0.0125770658550593,C734-S,Federal Hill
81,C740-S_velocity,0.0069541933692746,0.00695210238014,0.0069334276279017,0.0069349676195693,C740-S,Federal Hill
82,C742-S_velocity,-0.0,-0.0,-0.0,-0.0,C742-S,Locust Point
83,C744-S_velocity,0.0035249421748649,0.0035523861556787,0.003522785206966,0.0035520932825157,C744-S,Locust Point
84,C74-S_velocity,0.0019739312529625,0.0015748589975144,0.001973930322572,0.001574860845604,C74-S,Canton
85,C752-S_velocity,0.0028950629707875,0.0028950789876474,0.0028953179489819,0.0028953386684837,C752-S,Locust Point
86,C756-S_velocity,0.0187086165258877,0.0187029841834051,0.0187005656932885,0.0187048541307494,C756-S,Locust Point
87,C758-S_velocity,0.0006435711839626,0.0008505377276822,0.0006435844368235,0.000850559159014,C758-S,Locust Point
88,C759-S_velocity,0.0002645392814872,0.0002232309777792,0.0002645484295558,0.0002231772243031,C759-S,Locust Point
89,C761-S_velocity,0.0246038495621503,0.0245969019640028,0.0245938229175642,0.024599341091462,C761-S,Locust Point
90,C771-S_velocity,0.0147296250977119,0.0147281686035027,0.0146896198801898,0.014698118186014,C771-S,Locust Point
91,C772-S_velocity,0.0058190879568452,0.0058189101042102,0.005805325465652,0.0058051244299937,C772-S,Locust Point
92,C779-S_velocity,0.0026346267986057,0.0026345368993638,0.0026357738234527,0.0026371002955974,C779-S,Locust Point
93,C79-S_velocity,0.0043187764637062,0.0033076160611994,0.0043181252417955,0.0033095380515642,C79-S,Canton
94,C7-S_velocity,0.0041428310319774,0.0041431617484552,0.0041431503840238,0.004143557953956,C7-S,Orangeville
95,C816-S_velocity,0.0026939491256773,0.0026939805790279,0.0026925234422401,0.0026925674335501,C816-S,South Clifton Park
96,C830-S_velocity,0.0015092843746801,0.0014884684467603,0.001509284373077,0.0014884684445471,C830-S,Downtown
97,C839-S_velocity,0.0362452983545235,0.028078532430593,0.0345759577040491,0.0269982818096327,C839-S,Eager Park
98,C84-S_velocity,0.0001348731557998,0.0001636142757051,0.0001348718517588,0.0001636139786545,C84-S,Canton
99,C89-S_velocity,0.0015687747117911,0.0015687747117911,0.0015687747117911,0.0015687747117911,C89-S,Canton
