,Base,I,V,V&I,link_id,neighborhood,link_name
0,0.0,0.0,0.0,0.0,timestamp,,timestamp
1,0.0,4.737527104680013e-05,4.416181813500161e-06,5.201604744049966e-05,C102-S,Patterson Park,C102-S_velocity
2,0.0,-5.777401003960003e-05,-4.033024836700046e-06,-5.9219150499100056e-05,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.0035196094592638005,2.6358110699297582e-05,-0.003521476446495801,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.0004087382772129007,-1.3636691650700285e-05,-0.00041690834088380004,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-6.970145120000003e-05,-5.51120329800054e-07,-6.977193565110005e-05,C131-S,Fells Point,C131-S_velocity
6,0.0,-9.213456813000724e-07,-1.15944836160016e-06,-5.337706962000449e-07,C141-S,Canton,C141-S_velocity
7,0.0,1.3719946184200145e-05,-8.719730893998016e-07,1.373374882080022e-05,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,1.5642515258199995e-05,5.442792259989851e-08,1.5572070335199842e-05,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,-1.2858308688001516e-06,-1.4097151256001889e-06,-8.068807468000413e-07,C168-S,Canton,C168-S_velocity
10,0.0,-6.168035246190053e-05,-2.9121973001491885e-09,-6.168183314490035e-05,C182-S,Canton,C182-S_velocity
11,0.0,1.4575725481700012e-05,3.431164170001515e-08,1.4617157215900047e-05,C187-S,Canton,C187-S_velocity
12,0.0,-0.0001247283181596004,1.2345404041998187e-06,-0.0001247283181596004,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,-0.000300999945706,6.8996812801001405e-06,-0.0003000654944787999,C191-S,Patterson Park,C191-S_velocity
14,0.0,5.042065129870054e-05,-7.751858018299924e-06,4.1149805097000225e-05,C211-S,Patterson Park,C211-S_velocity
15,0.0,-0.0002557182079090999,-1.0505293681004058e-06,-0.00025636198744089997,C21-S,Broadway East,C21-S_velocity
16,0.0,-6.614335640005645e-08,-6.805855837100326e-06,-6.8681391525000045e-06,C226-S,Baltimore Highlands,C226-S_velocity
17,0.0,0.00019790967868409982,1.2320722995997832e-06,0.00019795233361550018,C227-S,Kresson,C227-S_velocity
18,0.0,2.896204555399807e-06,-5.705304660002034e-07,3.201558753799941e-06,C229-S,Kresson,C229-S_velocity
19,0.0,-3.491264760006451e-08,-3.762195760004597e-08,-3.542009900008372e-08,C236-S,Orangeville,C236-S_velocity
20,0.0,-0.00024955710964359983,5.033374893380002e-05,-0.00018445156047159966,C23-S,Broadway East,C23-S_velocity
21,0.0,4.339699267820029e-05,-1.4672487407500073e-05,2.8603243285399947e-05,C249-S,Madison-Eastend,C249-S_velocity
22,0.0,-0.0002804995718974001,-1.3365387554100348e-05,-0.0002936053777470001,C251-S,Madison-Eastend,C251-S_velocity
23,0.0,0.0002831595987202,2.454706687899863e-06,0.0002945577921384,C260-S,Baltimore Highlands,C260-S_velocity
24,0.0,-0.001489403295718299,-0.0005826656277445989,-0.0019110443836775001,C26-S,Broadway East,C26-S_velocity
25,0.0,0.00010331371328080015,-2.0727963948000312e-06,0.00010112036171820021,C274-S,Kresson,C274-S_velocity
26,0.0,2.3595646283999794e-06,-9.474693748820007e-05,-9.176477845230027e-05,C279-S,Broadway East,C279-S_velocity
27,0.0,-0.0018742244692023001,-0.00045575430311519966,-0.0022723136948769995,C27-S,Broadway East,C27-S_velocity
28,0.0,0.00011237252885860005,-3.5368684736900025e-05,0.00013619098320860005,C292-S,Broadway East,C292-S_velocity
29,0.0,2.056399059998e-08,5.374688777000109e-07,5.785346642000599e-07,C2-S,South Clifton Park,C2-S_velocity
30,0.0,-1.5692451970399784e-05,-2.3264751220991933e-06,-1.5939229763999897e-05,C301-S,Eager Park,C301-S_velocity
31,0.0,4.986676822299821e-06,-1.5349598321400242e-05,-7.3231853914999465e-06,C314-S,Dunbar-Broadway,C314-S_velocity
32,0.0,-3.6402838312400015e-05,-2.3330143630099793e-05,-8.588503758259975e-05,C317-S,Dunbar-Broadway,C317-S_velocity
33,0.0,-0.0002482130440098,-1.6381972840299954e-05,-0.0002639558892344999,C319-S,Washington Hill,C319-S_velocity
34,0.0,-0.00030459337545490006,-4.830972984100129e-06,-0.0003085393075140001,C321-S,Washington Hill,C321-S_velocity
35,0.0,0.0,0.0,0.0,C325-S,Fells Point,C325-S_velocity
36,0.0,-0.0002744192996268994,-2.983724378680108e-16,-0.000274419299627,C327-S,Fells Point,C327-S_velocity
37,0.0,-0.0006684673404396997,-9.003214840319629e-16,-0.0006684673404399998,C328-S,Fells Point,C328-S_velocity
38,0.0,6.644259792399493e-06,-4.199086128970058e-05,-3.3097841483300736e-05,C338-S,Washington Hill,C338-S_velocity
39,0.0,-3.0876655500399613e-05,-2.5337446277699967e-05,-5.382585458999986e-05,C340-S,Fells Point,C340-S_velocity
40,0.0,4.28530067576999e-05,-8.387939832800017e-06,3.415466256980002e-05,C34-S,South Clifton Park,C34-S_velocity
41,0.0,1.1595855099917618e-08,1.9228147019999947e-07,2.0780902779994614e-07,C351-S,Fells Point,C351-S_velocity
42,0.0,0.00012475631148049999,1.3931028190012837e-07,0.00012477871674460017,C355-S,Fells Point,C355-S_velocity
