,link_name,Base,I,V,V&I,link_id,neighborhood
0,timestamp,1.68804492e+18,1.68804492e+18,1.68804492e+18,1.68804492e+18,timestamp,
1,C102-S_velocity,0.0032406065280292,0.0033843020651192,0.0032327754254285,0.0033818671921164,C102-S,Patterson Park
2,C105-S_velocity,0.0019273258314575,0.0019131987770495,0.0019232402341007,0.0019094692004578,C105-S,Patterson Park
3,C111-S_velocity,0.0123330201273192,0.0095889745841305,0.0123027673707188,0.0095676515302536,C111-S,Baltimore Highlands
4,C113-S_velocity,0.0027646953030881,0.0021244384356834,0.002762193465743,0.0021203181436541,C113-S,Baltimore Highlands
5,C131-S_velocity,0.0006156957408139,0.0005205594131283,0.0006156778577589,0.0005205452772996,C131-S,Fells Point
6,C141-S_velocity,0.0020182843819201,0.0020177122371063,0.00201743507373,0.0020180651143261,C141-S,Canton
7,C159-S_velocity,0.0013466041341959,0.0013579620880597,0.0013461440221529,0.0013581771686979,C159-S,Upper Fells Point
8,C163-S_velocity,0.0014642839686649,0.0015033356611299,0.0014642276664381,0.0015032206761331,C163-S,Upper Fells Point
9,C168-S_velocity,0.0022972185466326,0.002410197457833,0.0022965702313698,0.0024104869723065,C168-S,Canton
10,C182-S_velocity,0.0063544097692598,0.0064515437571065,0.0063544223860991,0.0064515535514421,C182-S,Canton
11,C187-S_velocity,0.0002770256845265,0.0002991924936822,0.0002773579864114,0.0002998148109079,C187-S,Canton
12,C190-S_velocity,0.0148278186289618,0.0152947579882746,0.0147673539686678,0.0152353564763565,C190-S,Baltimore Highlands
13,C191-S_velocity,0.0037897289332703,0.0040366437048702,0.0037991788660257,0.0040624651014578,C191-S,Patterson Park
14,C211-S_velocity,0.003330458702917,0.0033567461188918,0.0033233115183653,0.0033518864781122,C211-S,Patterson Park
15,C21-S_velocity,0.0053708274670336,0.0054219798775711,0.0052129875507023,0.0052319435389196,C21-S,Broadway East
16,C226-S_velocity,0.0022015448359149,0.0022410736593434,0.0022004203938855,0.0022400656563745,C226-S,Baltimore Highlands
17,C227-S_velocity,0.0041407454659622,0.0035291897222577,0.0041220560192307,0.0035122871720768,C227-S,Kresson
18,C229-S_velocity,0.0011513896705944,0.0011942044773143,0.0011523418341341,0.0011942249910843,C229-S,Kresson
19,C236-S_velocity,0.00113877244506,0.0011383229336118,0.0011267221579968,0.001126151358578,C236-S,Orangeville
20,C23-S_velocity,0.001164354017079,0.0010209067082809,0.0011534973027503,0.0009634950311921,C23-S,Broadway East
21,C249-S_velocity,0.0036607559389387,0.0036967126263159,0.003653056287862,0.0036875972025442,C249-S,Madison-Eastend
22,C251-S_velocity,0.0021165816586012,0.0020173162765518,0.0021239939030117,0.0020243026114282,C251-S,Madison-Eastend
23,C260-S_velocity,0.0021825393374149,0.0023029215490058,0.002182942994425,0.0023037340195701,C260-S,Baltimore Highlands
24,C26-S_velocity,0.0063075524427591,0.0049514674615573,0.0059164183090381,0.0049260162454447,C26-S,Broadway East
25,C274-S_velocity,0.0016879755314618,0.0017796106604982,0.0016883615832217,0.0017785104385596,C274-S,Kresson
26,C279-S_velocity,0.0013968161234726,0.0014404116666401,0.0013515867167886,0.00139282739386,C279-S,Broadway East
27,C27-S_velocity,0.0029092115167181,0.001796483496598,0.0027080354730279,0.0018563793582416,C27-S,Broadway East
28,C292-S_velocity,0.001702843957174,0.0015220436563453,0.0016115695822263,0.0012972700014391,C292-S,Broadway East
29,C2-S_velocity,0.0008524894635786,0.0008760722435089,0.0008570259853966,0.0008795709741106,C2-S,South Clifton Park
30,C301-S_velocity,0.0035451939627373,0.0037580897042161,0.0033857682580733,0.0036322196706236,C301-S,Eager Park
31,C314-S_velocity,0.0013338089877191,0.0013307407749746,0.0013240399563085,0.0013203884718976,C314-S,Dunbar-Broadway
32,C317-S_velocity,0.0014051760669266,0.0008816416637478,0.0013912185555987,0.000873228743865,C317-S,Dunbar-Broadway
33,C319-S_velocity,0.0001877062805467,4.64353983108262e-05,0.0001849211633144,4.5671708713542656e-05,C319-S,Washington Hill
34,C321-S_velocity,0.0006071333365549,0.0003308661799558,0.0005974134065028,0.0003208435811118,C321-S,Washington Hill
35,C325-S_velocity,0.0032188623085041,0.0031347279800788,0.0031530895273752,0.0030819447928413,C325-S,Fells Point
36,C327-S_velocity,0.0115116372387439,0.0108515988693838,0.0113441806530546,0.0107500183930027,C327-S,Fells Point
37,C328-S_velocity,0.0043126308403567,0.003554267751761,0.0042266882033136,0.0034898639261106,C328-S,Fells Point
38,C338-S_velocity,0.0028049053563279,0.0028041833788251,0.0027844857838214,0.0027847803192768,C338-S,Washington Hill
