,Base,I,V,V&I,link_id,neighborhood,link_name
0,0.0,0.0,0.0,0.0,timestamp,,timestamp
1,0.0,0.00014369553709000019,-7.831102600699882e-06,0.00014126066408719998,C102-S,Patterson Park,C102-S_velocity
2,0.0,-1.4127054408000087e-05,-4.085597356799902e-06,-1.7856630999700095e-05,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.002744045543188701,-3.0252756600400096e-05,-0.0027653685970656008,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.0006402568674046998,-2.501837345099747e-06,-0.0006443771594340001,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-9.513632768560001e-05,-1.788305500005031e-08,-9.515046351429998e-05,C131-S,Fells Point,C131-S_velocity
6,0.0,-5.721448138001732e-07,-8.493081900999913e-07,-2.1926759399999718e-07,C141-S,Canton,C141-S_velocity
7,0.0,1.1357953863800046e-05,-4.6011204299996507e-07,1.1573034501999964e-05,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,3.9051692464999854e-05,-5.6302226800024335e-08,3.893670746819996e-05,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,0.00011297891120039998,-6.483152628000352e-07,0.00011326842567389991,C168-S,Canton,C168-S_velocity
10,0.0,9.713398784669952e-05,1.2616839299879612e-08,9.714378218229989e-05,C182-S,Canton,C182-S_velocity
11,0.0,2.2166809155699967e-05,3.323018848999681e-07,2.2789126381399976e-05,C187-S,Canton,C187-S_velocity
12,0.0,0.00046693935931279955,-6.0464660294001424e-05,0.00040753784739469903,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,0.00024691477159989985,9.449932755400178e-06,0.00027273616818749994,C191-S,Patterson Park,C191-S_velocity
14,0.0,2.6287415974800016e-05,-7.14718455169976e-06,2.142777519520021e-05,C211-S,Patterson Park,C211-S_velocity
15,0.0,5.115241053750032e-05,-0.0001578399163312998,-0.00013888392811399995,C21-S,Broadway East,C21-S_velocity
16,0.0,3.952882342849991e-05,-1.1244420293999788e-06,3.852082045960022e-05,C226-S,Baltimore Highlands,C226-S_velocity
17,0.0,-0.0006115557437044996,-1.8689446731499568e-05,-0.0006284582938853997,C227-S,Kresson,C227-S_velocity
18,0.0,4.281480671990004e-05,9.521635397000388e-07,4.283532048989999e-05,C229-S,Kresson,C229-S_velocity
19,0.0,-4.495114482000028e-07,-1.2050287063200028e-05,-1.262108648200015e-05,C236-S,Orangeville,C236-S_velocity
20,0.0,-0.00014344730879809983,-1.0856714328699984e-05,-0.00020085898588689994,C23-S,Broadway East,C23-S_velocity
21,0.0,3.5956687377200047e-05,-7.699651076700266e-06,2.6841263605499946e-05,C249-S,Madison-Eastend,C249-S_velocity
22,0.0,-9.926538204939979e-05,7.412244410500129e-06,-9.227904717299968e-05,C251-S,Madison-Eastend,C251-S_velocity
23,0.0,0.00012038221159089979,4.0365701009991914e-07,0.00012119468215519976,C260-S,Baltimore Highlands,C260-S_velocity
24,0.0,-0.0013560849812018,-0.000391134133721,-0.0013815361973144001,C26-S,Broadway East,C26-S_velocity
25,0.0,9.163512903640012e-05,3.860517599001915e-07,9.053490709780006e-05,C274-S,Kresson,C274-S_velocity
26,0.0,4.359554316750013e-05,-4.522940668399999e-05,-3.988729612599846e-06,C279-S,Broadway East,C279-S_velocity
27,0.0,-0.0011127280201201,-0.00020117604369019985,-0.0010528321584764998,C27-S,Broadway East,C27-S_velocity
28,0.0,-0.00018080030082870012,-9.127437494770019e-05,-0.0004055739557349001,C292-S,Broadway East,C292-S_velocity
29,0.0,2.3582779930299996e-05,4.536521818000023e-06,2.708151053200001e-05,C2-S,South Clifton Park,C2-S_velocity
30,0.0,0.00021289574147880007,-0.00015942570466399983,8.702570788630005e-05,C301-S,Eager Park,C301-S_velocity
31,0.0,-3.068212744499919e-06,-9.7690314106e-06,-1.3420515821499978e-05,C314-S,Dunbar-Broadway,C314-S_velocity
32,0.0,-0.0005235344031788001,-1.3957511327900149e-05,-0.0005319473230616001,C317-S,Dunbar-Broadway,C317-S_velocity
33,0.0,-0.0001412708822358738,-2.7851172322999797e-06,-0.00014203457183315733,C319-S,Washington Hill,C319-S_velocity
34,0.0,-0.00027626715659909997,-9.719930052099943e-06,-0.0002862897554431,C321-S,Washington Hill,C321-S_velocity
35,0.0,-8.413432842530001e-05,-6.577278112890024e-05,-0.00013691751566280008,C325-S,Fells Point,C325-S_velocity
36,0.0,-0.0006600383693600997,-0.000167456585689299,-0.0007616188457411997,C327-S,Fells Point,C327-S_velocity
37,0.0,-0.0007583630885956995,-8.59426370431e-05,-0.0008227669142460998,C328-S,Fells Point,C328-S_velocity
38,0.0,-7.21977502800026e-07,-2.0419572506499926e-05,-2.012503705109978e-05,C338-S,Washington Hill,C338-S_velocity
39,0.0,7.22264164519002e-05,-8.267657206100041e-06,6.470684608679989e-05,C340-S,Fells Point,C340-S_velocity
40,0.0,1.7313902391900057e-05,-1.1504695269899993e-05,4.360252729600071e-06,C34-S,South Clifton Park,C34-S_velocity
41,0.0,-6.885624589990716e-08,-9.451010049999625e-08,-2.5070659799911188e-08,C351-S,Fells Point,C351-S_velocity
42,0.0,-0.00011490253852759996,9.648245600005732e-08,-0.00011513221439790004,C355-S,Fells Point,C355-S_velocity
43,0.0,8.523777364410033e-05,-1.3600390888993813e-06,8.540682686850043e-05,C361-S,Fells Point,C361-S_velocity
44,0.0,-0.00015374384178349992,6.076740819999787e-08,-0.00015375683746840008,C362-S,Fells Point,C362-S_velocity
45,0.0,-0.00016348307169680005,-4.812179958549995e-05,-0.00020589283159389992,C37-S,South Clifton Park,C37-S_velocity
46,0.0,0.00026614225463810013,-1.9326618196998e-06,0.00026615966232530026,C382-S,Canton,C382-S_velocity
47,0.0,4.430364238170001e-05,-1.4020806820300028e-05,2.9960409975099975e-05,C3-S,Upper Fells Point,C3-S_velocity
48,0.0,2.8600075278988057e-06,-0.00040145659459860095,-0.00040145758263319953,C417-S,Canton Industrial,C417-S_velocity
49,0.0,-1.7911677920035007e-07,-0.0002320628998102002,-0.00023203349885409993,C418-S,Canton Industrial,C418-S_velocity
50,0.0,-9.749152030001304e-07,-9.713341706400758e-06,-8.699768431300395e-06,C422-S,Canton Industrial,C422-S_velocity
51,0.0,2.565174174139987e-05,-9.901717376600058e-06,1.6866087728899812e-05,C449-S,Broadway East,C449-S_velocity
52,0.0,0.00028596214181140014,-0.00030228568641319994,-8.691399448040003e-05,C462-S,Eager Park,C462-S_velocity
53,0.0,0.0005461847910664987,-0.0006044643531213003,3.829145635029889e-05,C463-S,Eager Park,C463-S_velocity
54,0.0,0.00010105936302850019,-1.3793088054700475e-05,8.507595148029949e-05,C473-S,Berea,C473-S_velocity
55,0.0,-0.00019240973192890002,-1.5090128626599978e-05,-0.00020459758031550002,C474-S,Berea,C474-S_velocity
56,0.0,0.0005059752560193,-1.6170885489994943e-06,0.0005112852300548001,C478-S,Orangeville,C478-S_velocity
57,0.0,-0.0005270680037348001,-8.637640609179993e-05,-0.0006023934459712999,C530-S,Eager Park,C530-S_velocity
58,0.0,-0.0004931948837230999,-5.8406358639299895e-05,-0.0005459015944415999,C532-S,Eager Park,C532-S_velocity
59,0.0,-0.0002937090380953,-0.00011675905288039985,-0.0005073411513903,C548-S,Dunbar-Broadway,C548-S_velocity
60,0.0,-0.0014070769854255,-0.00020198153543640003,-0.0018405816734629,C549-S,Dunbar-Broadway,C549-S_velocity
61,0.0,-1.6415662822099816e-05,2.682926499974342e-08,-1.6407805626100086e-05,C550-S,Dunbar-Broadway,C550-S_velocity
62,0.0,0.00013190232403429997,-6.442159049000265e-07,0.00013214125229880002,C551-S,Dunbar-Broadway,C551-S_velocity
63,0.0,-0.0007301103460300999,-7.767302121909972e-05,-0.000787498845097,C556-S,Eager Park,C556-S_velocity
64,0.0,-0.0003183166667781001,-5.6997741243499994e-05,-0.00038498309315360005,C576-S,Dunbar-Broadway,C576-S_velocity
65,0.0,6.155963267339987e-05,-2.8740450210100292e-05,3.442271392609976e-05,C602-S,Downtown,C602-S_velocity
66,0.0,1.3613219479199998e-05,3.8750403940008334e-07,1.2816494320500027e-05,C638-S,Downtown,C638-S_velocity
67,0.0,0.00014501273658890004,-5.725070694099707e-06,0.00013739297655170025,C650-S,Downtown,C650-S_velocity
68,0.0,7.199093174790005e-05,-5.714551412429997e-05,3.0876153796300125e-05,C659-S,Downtown,C659-S_velocity
69,0.0,-0.0003468480733222999,-4.053187383060023e-05,-0.0004229725278228,C65-S,McElderry Park,C65-S_velocity
70,0.0,6.034454187140012e-05,7.538195833800207e-06,7.329933480200012e-05,C677-S,Downtown,C677-S_velocity
71,0.0,-0.00015333136997100006,-5.3710108883299945e-05,-0.00021049814493710002,C681-S,Downtown,C681-S_velocity
72,0.0,-0.0006583985836273996,-9.195401219599941e-05,-0.0007447232618420997,C685-S,Downtown,C685-S_velocity
73,0.0,2.2638001497299852e-05,-1.1424585269799968e-05,1.2514696094000077e-05,C687-S,Federal Hill,C687-S_velocity
74,0.0,0.0007005221550960999,-0.0006704549300288001,5.4043500363999946e-05,C68-S,Patterson Park,C68-S_velocity
75,0.0,-2.6625913220800043e-05,-1.045762813900019e-06,-2.7943858984099995e-05,C69-S,McElderry Park,C69-S_velocity
76,0.0,0.0001935475971615,-2.9009275618500224e-05,0.0001627897761199001,C708-S,Federal Hill,C708-S_velocity
77,0.0,0.00020878101947079987,-1.9283828851700095e-05,0.00018551539572250015,C725-S,Federal Hill,C725-S_velocity
78,0.0,-3.6989925289963865e-07,-3.5601342975800226e-05,-3.406908745470002e-05,C728-S,Federal Hill,C728-S_velocity
79,0.0,0.0003698150175111001,4.59098351770007e-06,0.0003699584375845,C729-S,Federal Hill,C729-S_velocity
80,0.0,-0.0008095203282504999,-1.9285481841699315e-05,-0.0008273396363790994,C734-S,Federal Hill,C734-S_velocity
81,0.0,-4.951443404004052e-07,-6.101666032100675e-06,-5.511401613499979e-06,C740-S,Federal Hill,C740-S_velocity
82,0.0,0.0,0.0,0.0,C742-S,Locust Point,C742-S_velocity
83,0.0,3.5103088208499836e-05,-7.606274078999792e-07,3.5273772819899817e-05,C744-S,Locust Point,C744-S_velocity
84,0.0,-0.00034261287602659995,-4.7547288039998317e-07,-0.0003429678059544,C74-S,Canton,C74-S_velocity
85,0.0,2.871295993290006e-05,-8.321911519983995e-08,2.87806060766001e-05,C752-S,Locust Point,C752-S_velocity
86,0.0,0.00020756221308670074,-4.011504708800739e-06,0.00020876333165159924,C756-S,Locust Point,C756-S_velocity
87,0.0,9.606105261599998e-05,4.096665539996469e-08,9.603666297119999e-05,C758-S,Locust Point,C758-S_velocity
88,0.0,-3.950070894299994e-06,-1.261529119998806e-08,-4.0018135015e-06,C759-S,Locust Point,C759-S_velocity
89,0.0,0.00010265632241440031,-5.519934236199522e-06,0.00010492136047650022,C761-S,Locust Point,C761-S_velocity
90,0.0,-2.0804436744901664e-05,-1.3669063363001485e-05,-3.317295425580083e-05,C771-S,Locust Point,C771-S_velocity
91,0.0,7.944339105879971e-05,-2.6953372652999304e-06,7.780695049369995e-05,C772-S,Locust Point,C772-S_velocity
92,0.0,-4.481003130699882e-06,-5.115626863000291e-07,-3.6368076629998518e-06,C779-S,Locust Point,C779-S_velocity
93,0.0,-0.0013562372610407,-7.231709399976166e-08,-0.0013564046942523998,C79-S,Canton,C79-S_velocity
94,0.0,0.00016348090690710033,-2.0385163433099887e-05,0.00014174026988450017,C7-S,Orangeville,C7-S_velocity
95,0.0,2.4892950363699946e-05,3.3994950219998037e-06,2.71452705856998e-05,C816-S,South Clifton Park,C816-S_velocity
