,link_name,BGN,BGNx3,Base,I,UG+I,V,V&I,link_id,neighborhood
0,timestamp,2023-06-28 05:22:00,2023-06-28 05:22:00,,2023-06-28 05:22:00,2023-06-28 05:22:00,2023-06-28 05:22:00,2023-06-28 05:22:00,timestamp,
1,C102-S_velocity,40.120268820430695,38.36368129774947,40.120363889512205,32.73227123529119,40.12013651619853,39.89023833315608,32.49972515404105,C102-S,Patterson Park
2,C105-S_velocity,52.10584931645099,52.11791073253551,52.10959993097035,52.1517030859723,52.11022513226761,51.583165878403314,51.62607961515985,C105-S,Patterson Park
3,C111-S_velocity,94.81653772184134,94.81678886967276,94.81704372131873,82.17601352261686,94.8186724675014,92.93548955132994,80.43502218558312,C111-S,Baltimore Highlands
4,C113-S_velocity,108.4348134596946,108.43581819314714,108.43542910427382,88.17340661780008,108.43747228803942,106.23500910036492,86.19232505473153,C113-S,Baltimore Highlands
5,C131-S_velocity,8.043615369650844,8.042238553285179,8.042408866335483,7.3923094458439484,8.04349710419378,8.042597600144191,7.392473336420698,C131-S,Fells Point
6,C141-S_velocity,15.137433750303463,15.136619216572257,15.13665566960629,15.139376651323872,15.1367036075794,15.13575437838474,15.138782484990656,C141-S,Canton
7,C159-S_velocity,12.05030729903759,12.050611543186829,12.05063853628644,12.114631158959211,12.05033419772304,12.050591938374744,12.114773885471976,C159-S,Upper Fells Point
8,C163-S_velocity,37.54736210555359,37.5492349986121,37.54927856790375,37.58723798744537,37.54958827613522,37.53870493312471,37.57701348232799,C163-S,Upper Fells Point
9,C168-S_velocity,16.787711852661914,16.785163322781525,16.785352099696805,16.800311006138827,16.78523977430545,16.782479407171582,16.798378275205263,C168-S,Canton
10,C182-S_velocity,47.45380238169904,47.4481567809539,47.45553730543695,47.459081022402366,47.450523861060574,46.9575716299819,46.96153048470964,C182-S,Canton
11,C187-S_velocity,8.943068851484473,8.94307652147365,8.943068943141258,8.940722589864276,8.943057145009858,8.810181641951296,8.78082684589978,C187-S,Canton
12,C190-S_velocity,135.05937292644276,135.01095110303578,135.0598823442684,105.7502768318122,135.06226801953952,132.72238128926986,103.77239130922275,C190-S,Baltimore Highlands
