,BGN,BGNx3,Base,I,UG+I,V,V&I,link_name,link_id,neighborhood
0,,,,,,,,timestamp,timestamp,
1,-6.741138039987639e-08,-1.6106303661299988e-05,0.0,-7.468389821990002e-05,-1.3215683799909506e-08,-3.7549472118999713e-06,-7.734497497739995e-05,C102-S_velocity,C102-S,Patterson Park
2,-7.145841300019301e-08,6.475359739899905e-06,0.0,3.2982264312e-05,1.3048684999921248e-08,-7.1413673232000735e-06,2.5478796143700013e-05,C105-S_velocity,C105-S,Patterson Park
3,-3.313363700074845e-08,-3.1028332901292255e-08,0.0,-0.0007467457301306001,1.0537092699942907e-07,-0.00012568715451040033,-0.0008711281839579015,C111-S_velocity,C111-S,Baltimore Highlands
4,-8.264372500146194e-09,1.5980091089967674e-07,0.0,-0.0002610577005594003,2.8395900199783275e-08,-3.0287000702000026e-05,-0.00029107931826230027,C113-S_velocity,C113-S,Baltimore Highlands
5,5.6662501699998244e-08,-7.998621599965023e-09,0.0,-3.0531420033600007e-05,5.110825530000489e-08,8.86373839999394e-09,-3.052372303849997e-05,C131-S_velocity,C131-S,Fells Point
6,6.16646944999466e-08,-5.23268760006107e-09,0.0,2.161288765350003e-05,-5.326648299958797e-09,-7.792755479991455e-08,2.1563484948500028e-05,C141-S_velocity,C141-S,Canton
7,-2.0173787500005376e-08,-1.5909737000052715e-09,0.0,4.517185778800002e-06,-1.819894630003885e-08,-2.2762366000319417e-09,4.526005301499938e-06,C159-S_velocity,C159-S,Upper Fells Point
8,1.1691345749994479e-07,-1.27472590003095e-09,0.0,3.838429621219998e-05,3.0028959993513155e-10,-2.4070596070003853e-07,3.822673159279994e-05,C163-S_velocity,C163-S,Upper Fells Point
9,1.6005024259992812e-07,-1.5138039000063205e-08,0.0,2.5704516917399818e-05,-2.442562900008792e-08,-2.0323902320015623e-07,2.5559809108199796e-05,C168-S_velocity,C168-S,Canton
10,6.818369610020122e-08,3.181647517998959e-07,0.0,2.5671604686200097e-05,1.9223347500017113e-07,-2.323927671569982e-05,1.1160315227000395e-06,C182-S_velocity,C182-S,Canton
11,-4.137295200011548e-09,7.399090999182095e-10,0.0,1.1385860692699986e-05,-3.123885799994827e-09,-9.852248646500064e-06,1.32097739289998e-06,C187-S_velocity,C187-S,Canton
12,-3.018327160084211e-08,-2.4056409651009025e-06,0.0,-0.0015447536165885001,1.1267927029975922e-07,-0.00011859451515749964,-0.001656057991111801,C190-S_velocity,C190-S,Baltimore Highlands
13,1.9718356512000643e-06,4.2258827981899935e-05,0.0,-0.0003347149249222003,3.6899023521997677e-06,-2.805478557500003e-05,-0.00037616638754800003,C191-S_velocity,C191-S,Patterson Park
14,3.91957436000033e-08,-0.00020219564008800003,0.0,6.094519563999787e-07,-4.751718889997765e-08,-2.9548288662199947e-05,-2.8980277145499974e-05,C211-S_velocity,C211-S,Patterson Park
15,-2.0918160699000092e-05,-2.0917789205500067e-05,0.0,-0.0005033744607437001,-0.00010563882895759996,-0.0001294699910975002,-0.000623792736957,C21-S_velocity,C21-S,Broadway East
16,1.904004630001732e-08,1.6470787699875145e-08,0.0,2.096370026399971e-06,-1.8746946600124714e-08,-8.347215917399974e-06,-6.230032412099995e-06,C226-S_velocity,C226-S,Baltimore Highlands
17,-6.055768939994613e-08,-2.9028155900268776e-08,0.0,-0.00018051358734210007,1.726446599830539e-09,-1.979398146640006e-05,-0.00019923389733210017,C227-S_velocity,C227-S,Kresson
18,-1.7521208820002031e-07,-1.729576342999811e-07,0.0,1.6161777369800038e-05,-1.3741003319998196e-07,-2.2457396082999547e-06,1.2681866028699989e-05,C229-S_velocity,C229-S,Kresson
19,-1.3984920003724116e-10,-2.363867000363881e-10,0.0,-8.903245737999928e-07,2.8802107500001603e-08,-1.8596804641299997e-05,-1.948868134299999e-05,C236-S_velocity,C236-S,Orangeville
20,7.501953704999991e-06,7.4953509272e-06,0.0,-0.0001697845006098,-2.756493524950002e-05,-2.377589251719998e-05,-0.0001924093745672,C23-S_velocity,C23-S,Broadway East
21,1.7742189000521241e-09,8.337850999906582e-10,0.0,-3.1453321560010253e-07,2.0546299991236472e-10,-4.636946573799948e-06,-4.861728877499907e-06,C249-S_velocity,C249-S,Madison-Eastend
22,4.095468164799863e-06,8.508234177999861e-06,0.0,2.650720598299872e-06,8.40447397659999e-06,1.5421710957699885e-05,1.4988416552499809e-05,C251-S_velocity,C251-S,Madison-Eastend
23,1.989274099000425e-07,-1.4749510899962626e-08,0.0,2.535934497620014e-05,2.4682300001598045e-09,-9.587784693199878e-06,1.529759223339996e-05,C260-S_velocity,C260-S,Baltimore Highlands
24,-0.00021286494984849944,-0.0002127730023468999,0.0,-0.0006367006626376995,-4.962635692229954e-05,-0.00023713830732929961,-0.0008769875928540992,C26-S_velocity,C26-S,Broadway East
25,-9.613726639995466e-08,-2.3640118000092455e-09,0.0,2.3857332224600002e-05,9.350414200076998e-09,-1.583278808679994e-05,7.708276940300053e-06,C274-S_velocity,C274-S,Kresson
