,link_name,Base,I,UG+I,V,V&I,link_id,neighborhood
0,timestamp,1.68792972e+18,1.68792972e+18,1.68792972e+18,1.68792972e+18,1.68792972e+18,timestamp,
1,C102-S_velocity,0.0011849208217862,0.001580136983386,0.0011849137982334,0.0011805906311537,0.0015648398946529,C102-S,Patterson Park
2,C105-S_velocity,0.0012825338636404,0.0012877069496989,0.0012825165481279,0.0012796221978522,0.0012848343163801,C105-S,Patterson Park
3,C111-S_velocity,0.0068272946605752,0.0048906265077792,0.0068273099736876,0.0068125076524758,0.0048789063673949,C111-S,Baltimore Highlands
4,C113-S_velocity,0.0015784608304489,0.0011953786158045,0.0015784608014228,0.0015756831489084,0.0011934843710688,C113-S,Baltimore Highlands
5,C131-S_velocity,0.0002757328362224,0.000230653505082,0.0002757315959675,0.0002757332167106,0.0002306534217156,C131-S,Fells Point
6,C141-S_velocity,0.0012899985784348,0.0013002704764078,0.0012899943171067,0.0012899833850399,0.0013002695069724,C141-S,Canton
7,C159-S_velocity,0.0007344623697057,0.0007474801762942,0.0007344559489862,0.0007344590518097,0.0007474796946838,C159-S,Upper Fells Point
8,C163-S_velocity,0.0009187961269568,0.0009887053412477,0.0009187969865971,0.0009186291594421,0.0009885334381381,C163-S,Upper Fells Point
9,C168-S_velocity,0.0014847873131135,0.0015677271541512,0.0014847739239245,0.0014846821358623,0.0015677214040698,C168-S,Canton
10,C182-S_velocity,0.0041466031140432,0.0041640473689808,0.004145695256895,0.0041460520494607,0.0041631373042406,C182-S,Canton
11,C187-S_velocity,0.0002739977420626,0.0002951914802474,0.0002740185195026,0.0002635002377567,0.0002870969651001,C187-S,Canton
12,C190-S_velocity,0.0065486509210649,0.0044029776260781,0.0065486517972379,0.0065408079282685,0.0043992040325457,C190-S,Baltimore Highlands
13,C191-S_velocity,0.0015835300747642,0.000612314452491,0.0015835279976308,0.0015813337181954,0.0006112455017918,C191-S,Patterson Park
14,C211-S_velocity,0.002086993724318,0.0021018123973769,0.0020869829949222,0.0020818354224219,0.0020966893981195,C211-S,Patterson Park
15,C21-S_velocity,0.0019376334766083,0.0012949000969795,0.0019376294676533,0.0018551116072805,0.0012445954101281,C21-S,Broadway East
16,C226-S_velocity,0.0013894516161272,0.0013909227564806,0.0013894413347436,0.0013884554646952,0.0013897716999358,C226-S,Baltimore Highlands
17,C227-S_velocity,0.0021199026887538,0.0015479174858836,0.0021197218443286,0.0021105175230531,0.0015384736814663,C227-S,Kresson
18,C229-S_velocity,0.0006934824686354,0.0006694272964844,0.0006935005302609,0.0006931197778165,0.0006690653953332,C229-S,Kresson
19,C236-S_velocity,0.0004053126254856,0.0004025791861375,0.0004053165722411,0.0003979534600485,0.0003951741403191,C236-S,Orangeville
20,C23-S_velocity,0.0004088861433415,0.000176953346536,0.0004090280572573,0.0003954724836525,0.000167453797106,C23-S,Broadway East
21,C249-S_velocity,0.0021450211245558,0.002142438311705,0.0021450230389738,0.0021395822249049,0.00213700860259,C249-S,Madison-Eastend
22,C251-S_velocity,0.0012055826910731,0.0011121518733086,0.001210511965639,0.0012112737184373,0.0011149076243753,C251-S,Madison-Eastend
23,C260-S_velocity,0.0014357671900815,0.0014739349502885,0.0014357545566804,0.0014358781404203,0.0014740928095714,C260-S,Baltimore Highlands
24,C26-S_velocity,0.0036232984377434,0.0027109341202302,0.0036153020032558,0.0034417276809146,0.0025505909854142,C26-S,Broadway East
25,C274-S_velocity,0.0011153260757819,0.0011635009117764,0.001115325696468,0.0011149341480653,0.0011629054004967,C274-S,Kresson
26,C279-S_velocity,0.0009112949534646,0.0009238162290662,0.000911394375271,0.0008875167369352,0.0008949829113294,C279-S,Broadway East
27,C27-S_velocity,0.001456381589173,0.0007327213401772,0.0014509671803382,0.0013615566477848,0.0006609248349741,C27-S,Broadway East
28,C292-S_velocity,0.0009629214359668,0.0007219136963337,0.0009625171278123,0.0009139070189552,0.0006652669382853,C292-S,Broadway East
29,C2-S_velocity,0.0003639858807705,0.0003642197086837,0.0003639857335339,0.0003640029588578,0.0003642935961218,C2-S,South Clifton Park
30,C301-S_velocity,0.0021778710055566,0.0023844814201615,0.0021128046695402,0.0020689533271911,0.0022625008595849,C301-S,Eager Park
31,C314-S_velocity,0.0006569175366957,0.0006770017264134,0.0006569185897666,0.0006525574702413,0.000672710315057,C314-S,Dunbar-Broadway
32,C317-S_velocity,0.0005667773701775,0.0003741424380676,0.0005667776072567,0.0005619249629277,0.0003714261203172,C317-S,Dunbar-Broadway
33,C319-S_velocity,4.825948413638128e-05,1.200472046751011e-05,4.8259377218482565e-05,4.747518353914194e-05,1.1814104730971472e-05,C319-S,Washington Hill
34,C321-S_velocity,0.0002483729176886,0.0001402016411131,0.0002483724688867,0.0002473295640186,0.0001397220366442,C321-S,Washington Hill
35,C325-S_velocity,9.031720067759052e-05,2.618423285457459e-05,9.027336772986551e-05,8.964369644180743e-05,2.615637574431964e-05,C325-S,Fells Point
36,C327-S_velocity,0.0050081013571916,0.0040105472175177,0.0050080729459309,0.0049934489287217,0.003997842482438,C327-S,Fells Point
37,C328-S_velocity,0.0020860968981215,0.001606730015849,0.0020860225520134,0.0020795824216305,0.0016001062360608,C328-S,Fells Point
38,C338-S_velocity,0.0016315494203281,0.0016314424709776,0.0016315385047592,0.001617282480426,0.0016173098641828,C338-S,Washington Hill
39,C340-S_velocity,0.0016777412649952,0.0016953490088027,0.0016777421173478,0.0016706348849145,0.0016881145580744,C340-S,Fells Point
40,C34-S_velocity,0.0003030549009047,0.0003037136833874,0.0003030593350672,0.0002911101968623,0.00029179703877,C34-S,South Clifton Park
41,C351-S_velocity,0.0009532880914365,0.0009590274074492,0.000953288100214,0.0009532880922326,0.0009590274159627,C351-S,Fells Point
42,C355-S_velocity,0.0005382094305306,0.0004428801642284,0.0005382061159964,0.0005382084954776,0.0004428800861964,C355-S,Fells Point
43,C361-S_velocity,0.0024529704715771,0.0024543307820887,0.0024529704715742,0.0024529704715717,0.0024543314452515,C361-S,Fells Point
44,C362-S_velocity,0.000755525008214,0.0006379112994639,0.0007555005582511,0.0007555222699694,0.0006379113032174,C362-S,Fells Point
45,C37-S_velocity,0.0008116636094955,0.0006534623708535,0.0008116640594501,0.0007680846827973,0.0006168666276328,C37-S,South Clifton Park
46,C382-S_velocity,0.0021450814850399,0.0021214026419166,0.0021450767781671,0.0021450763142662,0.0021214000814873,C382-S,Canton
47,C3-S_velocity,0.0006516451535307,0.0006588861823702,0.0006516453618123,0.0006413800128383,0.0006479218979565,C3-S,Upper Fells Point
48,C417-S_velocity,0.006373375325313,0.0063945330464722,0.0063733753261293,0.0060862260683306,0.0061060254417404,C417-S,Canton Industrial
49,C418-S_velocity,0.0028318597101148,0.0028091661146344,0.0028318597845804,0.002705094964511,0.0026842813676764,C418-S,Canton Industrial
50,C422-S_velocity,0.0031477701645257,0.0031631983171632,0.0031477579233309,0.0031424398363351,0.003158037460761,C422-S,Canton Industrial
51,C449-S_velocity,0.000775675787368,0.0008122354789822,0.0007787465112058,0.0007702114663853,0.0008065067583025,C449-S,Broadway East
52,C462-S_velocity,0.005519477005148,0.0057904999707386,0.0054038002836253,0.0052601060877584,0.0055502683683138,C462-S,Eager Park
53,C463-S_velocity,0.0052316380417726,0.0055843464973435,0.0051595979557231,0.0050251968024889,0.0053601213105378,C463-S,Eager Park
54,C473-S_velocity,0.0022088466357025,0.0022076422818417,0.0022088466383134,0.0021971481552054,0.0021959457952886,C473-S,Berea
