,Base,I,UG+I,V,V&I,link_id,neighborhood,link_name
0,0.0,0.0,0.0,0.0,0.0,timestamp,,timestamp
1,0.0,0.00039521616159980005,-7.023552799903174e-09,-4.330190632499892e-06,0.00037991907286670013,C102-S,Patterson Park,C102-S_velocity
2,0.0,5.1730860584999795e-06,-1.7315512499966462e-08,-2.9116657882001518e-06,2.3004527396998983e-06,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.0019366681527959997,1.531311240050154e-08,-1.4787008099400104e-05,-0.0019483882931803,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.0003830822146444,-2.9026100099860397e-11,-2.7776815405000654e-06,-0.00038497645938010013,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-4.507933114040002e-05,-1.240254900029044e-09,3.804881999747156e-10,-4.507941450680001e-05,C131-S,Fells Point,C131-S_velocity
6,0.0,1.027189797300006e-05,-4.261328099847833e-09,-1.5193394900048576e-08,1.0270928537600048e-05,C141-S,Canton,C141-S_velocity
7,0.0,1.3017806588499917e-05,-6.420719500022966e-09,-3.3178960000442015e-09,1.3017324978099919e-05,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,6.990921429089986e-05,8.596402999161423e-10,-1.6696751470009555e-07,6.973731118129997e-05,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,8.293984103769996e-05,-1.3389188999917215e-08,-1.051772512000726e-07,8.29340909563e-05,C168-S,Canton,C168-S_velocity
10,0.0,1.7444254937599817e-05,-9.078571482001516e-07,-5.510645824996149e-07,1.6534190197399837e-05,C182-S,Canton,C182-S_velocity
11,0.0,2.1193738184799988e-05,2.0777440000007818e-08,-1.0497504305899982e-05,1.3099223037500013e-05,C187-S,Canton,C187-S_velocity
12,0.0,-0.0021456732949868005,8.761729996045742e-10,-7.84299279639987e-06,-0.0021494468885192002,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,-0.0009712156222731999,-2.0771333999591163e-09,-2.196356568799976e-06,-0.0009722845729723999,C191-S,Patterson Park,C191-S_velocity
14,0.0,1.4818673058899622e-05,-1.0729395800209568e-08,-5.1583018961000315e-06,9.695673801499941e-06,C211-S,Patterson Park,C211-S_velocity
15,0.0,-0.0006427333796287999,-4.008954999999009e-09,-8.252186932779996e-05,-0.0006930380664802,C21-S,Broadway East,C21-S_velocity
16,0.0,1.471140353399977e-06,-1.0281383599954758e-08,-9.96151431999822e-07,3.20083808600085e-07,C226-S,Baltimore Highlands,C226-S_velocity
17,0.0,-0.0005719852028701999,-1.8084442520013497e-07,-9.385165700699898e-06,-0.0005814290072875001,C227-S,Kresson,C227-S_velocity
18,0.0,-2.4055172150999984e-05,1.8061625500017005e-08,-3.626908188999762e-07,-2.4417073302199915e-05,C229-S,Kresson,C229-S_velocity
19,0.0,-2.7334393480999905e-06,3.946755499999698e-09,-7.359165437100022e-06,-1.0138485166499996e-05,C236-S,Orangeville,C236-S_velocity
