scenario,row,timestamp,C102-S_velocity,C105-S_velocity,C111-S_velocity,C113-S_velocity,C131-S_velocity,C141-S_velocity,C159-S_velocity,C163-S_velocity,C168-S_velocity,C182-S_velocity,C187-S_velocity,C190-S_velocity,C191-S_velocity,C211-S_velocity,C21-S_velocity,C226-S_velocity,C227-S_velocity,C229-S_velocity,C236-S_velocity,C23-S_velocity,C249-S_velocity,C251-S_velocity,C260-S_velocity,C26-S_velocity,C274-S_velocity,C279-S_velocity,C27-S_velocity,C292-S_velocity,C2-S_velocity,C301-S_velocity,C314-S_velocity,C317-S_velocity,C319-S_velocity,C321-S_velocity,C325-S_velocity,C327-S_velocity,C328-S_velocity,C338-S_velocity,C340-S_velocity,C34-S_velocity,C351-S_velocity,C355-S_velocity,C361-S_velocity,C362-S_velocity,C37-S_velocity,C382-S_velocity,C3-S_velocity,C417-S_velocity,C418-S_velocity,C422-S_velocity,C449-S_velocity,C473-S_velocity,C474-S_velocity,C478-S_velocity,C530-S_velocity,C532-S_velocity,C548-S_velocity,C549-S_velocity,C550-S_velocity,C551-S_velocity,C556-S_velocity,C576-S_velocity,C602-S_velocity,C638-S_velocity,C650-S_velocity,C659-S_velocity,C65-S_velocity,C677-S_velocity,C681-S_velocity,C685-S_velocity,C687-S_velocity,C68-S_velocity,C69-S_velocity,C708-S_velocity,C725-S_velocity,C728-S_velocity,C729-S_velocity,C734-S_velocity,C740-S_velocity,C742-S_velocity,C744-S_velocity,C74-S_velocity,C752-S_velocity,C756-S_velocity,C758-S_velocity,C759-S_velocity,C761-S_velocity,C771-S_velocity,C772-S_velocity,C779-S_velocity,C79-S_velocity,C7-S_velocity,C816-S_velocity,C830-S_velocity,C839-S_velocity,C84-S_velocity,C89-S_velocity
Base,0,1687833120000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5744883105542467e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,1,1687833420000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,2,1687833720000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,3,1687834020000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,4,1687834320000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.052955823948039e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,5,1687834620000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2625290884425475e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,6,1687834920000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8074769065045376e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,7,1687835220000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.514883986596594e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,8,1687835520000000000,8.927038546602179e-07,8.600429538372099e-06,3.0638751430197662e-12,1.156424662657472e-06,0.0,1.2776866166600901e-05,5.553917124674701e-07,2.2379911327637895e-06,2.5905644010995435e-05,1.827907081954086e-05,2.4175802127117005e-12,8.606359020031793e-06,0.0,3.899200549256106e-05,3.5556856243309975e-08,1.3585796850742745e-06,8.883904321889084e-08,3.878125655526473e-07,1.7580188615320674e-06,1.2987482973160079e-12,2.8395737063937202e-05,5.27653146416038e-12,2.2231198257466634e-05,9.709033788182557e-06,2.441421153803762e-06,1.2589608200890241e-06,0.0,1.0700670751663527e-07,3.5167548659900447e-06,5.662503445215218e-06,3.5168264563445944e-07,0.0,0.0,1.5706631347732965e-07,1.4882416350709969e-09,4.479869232045133e-07,0.0,4.372771463485675e-05,1.5614415014970494e-06,1.3255208007843003e-05,1.8327356858273197e-06,0.0,3.0945188092723515e-05,0.0,4.686589508943673e-07,3.885869499949922e-05,1.4971034804045384e-07,5.8411938528425136e-05,0.0,0.0001866889939196107,9.56464388573689e-07,0.00012482416957629688,7.676822438044828e-07,0.0004940326836937296,2.2084033205699677e-06,0.0,0.0,0.0,7.766364700931982e-05,7.951604069439351e-09,0.0,0.0,8.424058317935895e-06,2.0929845652476417e-08,3.54470541310069e-05,3.898954914291662e-06,9.277464067987544e-08,2.4081291254978118e-05,0.0,1.8444071312363665e-10,6.193896031878364e-05,-0.0,1.583794910691464e-11,3.815713055677e-05,5.696698403344323e-09,8.643573151850695e-05,9.39033417936206e-05,0.0003431239266624703,6.514011722884516e-05,0.0,3.8355599013816334e-05,4.326776699795451e-07,1.2753573004176911e-05,0.0007020868929271514,-3.3059351572915868e-06,0.0,0.0007886950692803145,0.00022941783066959332,1.705345976055971e-08,1.735662319938987e-05,0.0,3.4355964117240056e-06,3.149649288390917e-05,0.0,3.473133426435521e-06,0.0,4.835435834524655e-06
Base,9,1687835820000000000,0.00010489049266483894,0.00031287059843029786,5.692485201896413e-05,0.00013485124073760415,3.409636043936233e-05,0.0006853786178172483,0.0004063153528542419,0.0001924198681148583,0.0006715128687661333,0.0016816687840667474,3.3980943791555103e-06,0.0005958600324403996,1.3427020089884285e-05,0.0010317263290001983,0.000239796636464247,0.00024044840685010784,0.0001465499368628921,0.00010092298568514697,6.868413895175693e-05,9.383615180064294e-06,0.0007861119969858204,0.0002021816784246935,0.0005963751921598825,0.0005499298082725834,0.00022281662343044613,0.0001069724883466541,3.249085372179593e-05,3.5727093366510024e-05,0.00015935546618266197,0.000221496854814686,0.00018475520921944292,4.340045528955504e-05,2.8995265853333582e-12,4.492828714446943e-05,1.600591151845935e-05,0.0006144333025261608,1.5393566239221442e-05,0.0006895896139583296,0.0004105873091696936,0.0002504780865625762,0.00032948161661846263,3.369626451185646e-07,0.0009474327901430159,0.00011041184533169486,0.00017020781206558946,0.0010976249506982404,6.323807040306919e-05,0.00231537715422015,0.000575820897546329,0.001612663903924979,0.00013377087913896016,0.0011618107012080511,0.0004543766767918742,0.0020996811960436804,0.0002805722436778438,4.16012663983747e-06,0.0,0.0,0.0014474585561954061,0.00042645830144214024,1.6073302859168906e-05,6.229415105203904e-06,0.00041695557302774374,3.94774203089544e-05,0.0008528680456174707,0.0002812033880960057,9.184108916511479e-05,0.0008525948291717321,2.872201529385596e-08,0.00013724688603132052,0.0012543990926171676,-3.635640856454264e-05,4.072282929931169e-05,0.000809556731303677,0.00039479702025138115,0.0011940060370337663,0.0014412434767105482,0.0020636860262121127,0.0013887022041423496,4.6247368325378646e-05,0.0005898670661864352,0.00010727092095326739,0.00032297810637134557,0.0042295939816581,-0.0007348089906420318,0.00017599118638010158,0.006972350288655965,0.0021364882441966995,0.00041329082962721325,0.0006621229077963452,0.00015544114098266823,0.00022361894856006386,0.00051329824042519,4.9709387673148637e-05,0.002021067740875026,8.848282289840751e-06,0.00019992077371653398
