,Base,I,V,V&I,link_id,neighborhood,link_name
0,0.0,0.0,0.0,0.0,timestamp,,timestamp
1,0.0,-1.9371703439199917e-05,-4.318127708899996e-06,-2.955676892810004e-05,C102-S,Patterson Park,C102-S_velocity
2,0.0,-1.7840544427999948e-06,-2.9118904818000325e-06,-4.679012475600035e-06,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.0019512845799623006,-1.4917885739200443e-05,-0.0019625293541439,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.0003713949839162002,-2.793650450900022e-06,-0.00037327324721700005,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-4.50794806185e-05,4.226160999929937e-10,-4.50795582526e-05,C131-S,Fells Point,C131-S_velocity
6,0.0,3.362875699913434e-09,-1.4701558500099243e-08,3.0172269999302614e-09,C141-S,Canton,C141-S_velocity
7,0.0,1.3017213898799973e-05,-3.0294161999918842e-09,1.3016097483899993e-05,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,6.996037934679995e-05,-1.6731019580006317e-07,6.97887764893999e-05,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,8.189669234289995e-05,-1.0151445220020483e-07,8.189616500229994e-05,C168-S,Canton,C168-S_velocity
10,0.0,1.7596443218500027e-05,-5.487557771998927e-07,1.6680231881199825e-05,C182-S,Canton,C182-S_velocity
11,0.0,2.1186255570900024e-05,-1.0305572314299959e-05,1.308687767760002e-05,C187-S,Canton,C187-S_velocity
12,0.0,-0.0021315539761428996,-7.956966007399875e-06,-0.0021353626309068,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,-0.0009739392724352,-2.362368616799955e-06,-0.0009756634101299,C191-S,Patterson Park,C191-S_velocity
14,0.0,7.261629029999689e-06,-5.155931092200045e-06,2.1172675612997696e-06,C211-S,Patterson Park,C211-S_velocity
15,0.0,-0.0006145639816777999,-8.251011509799997e-05,-0.0006652370806716,C21-S,Broadway East,C21-S_velocity
16,0.0,1.0106153473000978e-06,-9.950574015999119e-07,-1.2619748689991252e-07,C226-S,Baltimore Highlands,C226-S_velocity
17,0.0,-0.000572673281957,-9.443032507900056e-06,-0.0005816744067291999,C227-S,Kresson,C227-S_velocity
18,0.0,-2.403560430799996e-05,-3.462366037999473e-07,-2.4421252571299977e-05,C229-S,Kresson,C229-S_velocity
19,0.0,-2.7807349917000133e-06,-7.3858466833000205e-06,-1.0160714853299979e-05,C236-S,Orangeville,C236-S_velocity
20,0.0,-0.0002255657317889,-1.3412983910599994e-05,-0.0002352343188777,C23-S,Broadway East,C23-S_velocity
21,0.0,-2.5841908552000532e-06,-5.43889978419981e-06,-8.014178472100144e-06,C249-S,Madison-Eastend,C249-S_velocity
22,0.0,-9.71814421804999e-05,5.652779881900032e-06,-9.438195154389982e-05,C251-S,Madison-Eastend,C251-S_velocity
23,0.0,3.670700473010018e-05,1.15400734400058e-07,3.686952472430017e-05,C260-S,Baltimore Highlands,C260-S_velocity
24,0.0,-0.0009083263869742002,-0.00018155872110460014,-0.0010688784389501,C26-S,Broadway East,C26-S_velocity
25,0.0,4.816890219159998e-05,-3.882336747000701e-07,4.75682456904001e-05,C274-S,Kresson,C274-S_velocity
26,0.0,1.2371182002300011e-05,-2.3773856022100037e-05,-1.646039001129999e-05,C279-S,Broadway East,C279-S_velocity
27,0.0,-0.0007220114491762,-9.485134827269992e-05,-0.0007939510866005999,C27-S,Broadway East,C27-S_velocity
28,0.0,-0.0002288240685923,-4.900783643459997e-05,-0.00028552625808279995,C292-S,Broadway East,C292-S_velocity
29,0.0,2.0118645889998996e-07,1.707537609999801e-08,2.64672384399985e-07,C2-S,South Clifton Park,C2-S_velocity
30,0.0,0.00022136775672550006,-0.00010873133955189998,0.00010089381071320003,C301-S,Eager Park,C301-S_velocity
31,0.0,2.0084181592299973e-05,-4.360066910199948e-06,1.5792740836200045e-05,C314-S,Dunbar-Broadway,C314-S_velocity
32,0.0,-0.00019263474976859997,-4.8523847132999134e-06,-0.00019535106971959996,C317-S,Dunbar-Broadway,C317-S_velocity
33,0.0,-3.6262700413802694e-05,-7.843254944445938e-07,-3.645307606046633e-05,C319-S,Washington Hill,C319-S_velocity
34,0.0,-0.00010795522126119997,-1.0434932642999534e-06,-0.00010843451492309998,C321-S,Washington Hill,C321-S_velocity
35,0.0,-6.444610663130428e-05,-6.732003186443476e-07,-6.447972825750339e-05,C325-S,Fells Point,C325-S_velocity
36,0.0,-0.0006237296834146,-1.466568925189999e-05,-0.0006356688416062004,C327-S,Fells Point,C327-S_velocity
37,0.0,-0.00032720474158099994,-6.520471588499898e-06,-0.00033348202483669993,C328-S,Fells Point,C328-S_velocity
38,0.0,-6.349806899903776e-09,-1.4262100336700015e-05,-1.4136070290700006e-05,C338-S,Washington Hill,C338-S_velocity
39,0.0,2.457160489960017e-05,-7.101168041699938e-06,1.7509951888500068e-05,C340-S,Fells Point,C340-S_velocity
40,0.0,6.522136854999788e-07,-1.1942849772800007e-05,-1.126156985610001e-05,C34-S,South Clifton Park,C34-S_velocity
41,0.0,-2.0710300011397842e-11,6.353000807715614e-13,-2.6037999989632354e-11,C351-S,Fells Point,C351-S_velocity
42,0.0,-7.473382772829997e-05,-9.876311999126863e-10,-7.473389194979994e-05,C355-S,Fells Point,C355-S_velocity
43,0.0,1.148314545700111e-06,-6.500008864485096e-15,1.145005406799713e-06,C361-S,Fells Point,C361-S_velocity
44,0.0,-0.0001156585947353,5.114475000195934e-10,-0.00011565782837290003,C362-S,Fells Point,C362-S_velocity
45,0.0,-0.00015724982996210006,-4.357832249800005e-05,-0.00019388253874460008,C37-S,South Clifton Park,C37-S_velocity
46,0.0,-2.3587407533300336e-05,-4.763544900112521e-09,-2.3589786713800083e-05,C382-S,Canton,C382-S_velocity
47,0.0,7.071089783699993e-06,-1.0249864082699967e-05,-3.8720341275999765e-06,C3-S,Upper Fells Point,C3-S_velocity
48,0.0,-7.103996210733321e-13,-0.0002871737364263001,-0.0002871737396842001,C417-S,Canton Industrial,C417-S_velocity
49,0.0,-8.703819999802964e-11,-0.00012651085691489997,-0.00012651095463730002,C418-S,Canton Industrial,C418-S_velocity
