,Base,I,V,V&I,link_id,neighborhood,link_name
0,0.0,0.0,0.0,0.0,timestamp,,timestamp
1,0.0,0.00012896896311839984,3.8825174484999943e-05,0.00017043557064589992,C102-S,Patterson Park,C102-S_velocity
2,0.0,1.3705134345100073e-05,-4.77676241109992e-06,8.966843659200018e-06,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.0025511753706309002,-3.746164921409993e-05,-0.002550236506404001,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.0007462074296829997,-3.3035848122997882e-06,-0.0007419163817760999,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-0.00011442873844829998,-8.743380000043877e-11,-0.00011442900702289999,C131-S,Fells Point,C131-S_velocity
6,0.0,2.1102546198800004e-05,8.839273172001581e-07,2.1082146347800156e-05,C141-S,Canton,C141-S_velocity
7,0.0,6.3009785130998565e-06,-1.344008290012251e-08,6.2859385154998785e-06,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,6.525911063319989e-05,-2.355398664999342e-07,6.504280213839994e-05,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,0.0001081789143299,1.0236981038999442e-06,0.00010816500705869989,C168-S,Canton,C168-S_velocity
10,0.0,0.00012220150975580067,-9.826364741997995e-07,0.0001209757807512004,C182-S,Canton,C182-S_velocity
11,0.0,1.2645954924100011e-05,-3.7923151799997955e-08,1.01724050204e-05,C187-S,Canton,C187-S_velocity
12,0.0,0.0001943229674306983,-6.092397243290075e-05,9.74152540398985e-05,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,0.00014229386013240013,2.3910692530699704e-05,0.00015668210478039964,C191-S,Patterson Park,C191-S_velocity
14,0.0,2.1331815136999867e-06,-7.338450171300373e-06,-4.503946794500325e-06,C211-S,Patterson Park,C211-S_velocity
15,0.0,-0.00038855562842639996,-0.00011028557155659969,-0.0006461425775344002,C21-S,Broadway East,C21-S_velocity
16,0.0,6.387507576950018e-05,-2.3540080603999883e-06,6.167414716040003e-05,C226-S,Baltimore Highlands,C226-S_velocity
17,0.0,-0.0005648855156965,-1.3342322851299902e-05,-0.0005793287577443001,C227-S,Kresson,C227-S_velocity
18,0.0,1.4213419755300079e-05,1.4059878673000105e-06,1.4529338314799999e-05,C229-S,Kresson,C229-S_velocity
19,0.0,3.4026319389998325e-07,-1.1719404330300023e-05,-1.1367637317100002e-05,C236-S,Orangeville,C236-S_velocity
20,0.0,-0.00021947258347939996,-6.27611793019994e-06,-0.0002666094559322,C23-S,Broadway East,C23-S_velocity
21,0.0,3.153008692169997e-05,-6.485368185800075e-06,2.49995649219e-05,C249-S,Madison-Eastend,C249-S_velocity
22,0.0,-7.586060765750013e-05,2.1156622198400046e-05,-5.410131646720008e-05,C251-S,Madison-Eastend,C251-S_velocity
23,0.0,0.00014993688734989997,2.1674591555997935e-06,0.00015098516540259978,C260-S,Baltimore Highlands,C260-S_velocity
24,0.0,-0.0008867862763106997,-0.00033729470925899976,-0.0011307002386569997,C26-S,Broadway East,C26-S_velocity
25,0.0,7.191511510369988e-05,-6.656559277001296e-07,7.113547388540005e-05,C274-S,Kresson,C274-S_velocity
26,0.0,3.512532594240002e-05,-3.774997714579994e-05,-3.3428363818998642e-06,C279-S,Broadway East,C279-S_velocity
27,0.0,-0.0008530853066914001,-0.00022412074455589997,-0.0009684200380112001,C27-S,Broadway East,C27-S_velocity
28,0.0,-0.0003043501269375001,-0.00011750405634309994,-0.0004395004005307,C292-S,Broadway East,C292-S_velocity
29,0.0,9.848153538200076e-06,3.275027145100036e-06,1.1639186620100044e-05,C2-S,South Clifton Park,C2-S_velocity
30,0.0,0.0002287697893878001,-0.0001962120611136999,6.606904420910012e-05,C301-S,Eager Park,C301-S_velocity
31,0.0,-7.645443497800034e-06,-9.183368247300122e-06,-1.7068137308500148e-05,C314-S,Dunbar-Broadway,C314-S_velocity
32,0.0,-0.0004953927209,-1.4605805692999947e-05,-0.0005035447620546,C317-S,Dunbar-Broadway,C317-S_velocity
33,0.0,-0.00015651012486013,-2.9849853888e-06,-0.00015736608047607484,C319-S,Washington Hill,C319-S_velocity
34,0.0,-0.00024106731338659996,-4.342230347899995e-06,-0.00024311374714479996,C321-S,Washington Hill,C321-S_velocity
35,0.0,7.879662492000193e-06,-7.37763988514998e-05,-5.503891752739985e-05,C325-S,Fells Point,C325-S_velocity
36,0.0,-0.0013051198750891994,-0.00017589240211739882,-0.0014616308279433998,C327-S,Fells Point,C327-S_velocity
37,0.0,-0.0010065310215995001,-9.212035186220019e-05,-0.0010774417914703,C328-S,Fells Point,C328-S_velocity
38,0.0,3.0191600339001326e-06,-2.3022069967299896e-05,-2.1318243591199933e-05,C338-S,Washington Hill,C338-S_velocity
39,0.0,8.493126579539991e-05,-8.689757148200132e-06,7.583146517660009e-05,C340-S,Fells Point,C340-S_velocity
40,0.0,3.931373674700002e-06,-1.9039050648299945e-05,-1.6399690428199913e-05,C34-S,South Clifton Park,C34-S_velocity
41,0.0,2.651778686339995e-05,1.2246660001206944e-10,2.651779861380008e-05,C351-S,Fells Point,C351-S_velocity
42,0.0,-0.0001533140707978,-2.5967809998660163e-10,-0.00015332143726940004,C355-S,Fells Point,C355-S_velocity
43,0.0,8.781728883549937e-05,-3.66432300301367e-10,8.781712846969974e-05,C361-S,Fells Point,C361-S_velocity
44,0.0,-0.00012673028673820005,4.065511000767019e-10,-0.00012672863564660002,C362-S,Fells Point,C362-S_velocity
45,0.0,-0.0001627127971794999,-6.104886424229987e-05,-0.00021359663072590004,C37-S,South Clifton Park,C37-S_velocity
46,0.0,3.3293681627400134e-05,2.0861599159998148e-07,3.33047535990001e-05,C382-S,Canton,C382-S_velocity
47,0.0,5.045966575759997e-05,-1.6680455547999967e-05,3.2642427603000145e-05,C3-S,Upper Fells Point,C3-S_velocity
48,0.0,-4.3110073380016323e-07,-0.00039896835229199894,-0.00039935156312569976,C417-S,Canton Industrial,C417-S_velocity
49,0.0,3.636751140159971e-05,-0.00022469091882609989,-0.00018741317636169954,C418-S,Canton Industrial,C418-S_velocity
50,0.0,1.936851498610028e-05,-4.997051183899641e-06,1.2079818049200337e-05,C422-S,Canton Industrial,C422-S_velocity
51,0.0,5.109242825650012e-05,-2.637134343399898e-06,4.9161459768200114e-05,C449-S,Broadway East,C449-S_velocity
52,0.0,0.0003035026938890996,-0.0004158344413323998,-0.00013154117353079975,C462-S,Eager Park,C462-S_velocity
53,0.0,0.0005965534717995002,-0.0007654324216386996,-4.3370268724399544e-05,C463-S,Eager Park,C463-S_velocity
54,0.0,7.331737002759953e-05,-1.3003438932400121e-05,6.0139719693400213e-05,C473-S,Berea,C473-S_velocity
55,0.0,-9.265119932289978e-05,-1.1325749165800106e-05,-0.00010452121091349999,C474-S,Berea,C474-S_velocity
56,0.0,0.0004683335371295002,7.649109530999919e-06,0.00047157970404870016,C478-S,Orangeville,C478-S_velocity
57,0.0,-0.0006452223759515,-8.812329898089978e-05,-0.0007344602475925998,C530-S,Eager Park,C530-S_velocity
58,0.0,-0.0004875783276897999,-6.787197619299997e-05,-0.0005525153254097,C532-S,Eager Park,C532-S_velocity
59,0.0,-0.0003621912058485001,-0.00015510886108160006,-0.0005408992833709,C548-S,Dunbar-Broadway,C548-S_velocity
60,0.0,-0.0013944469384258003,-0.00030870266556500036,-0.0017617241629487002,C549-S,Dunbar-Broadway,C549-S_velocity
61,0.0,3.0288767506004774e-06,1.5521910059351773e-10,3.02720918080035e-06,C550-S,Dunbar-Broadway,C550-S_velocity
62,0.0,0.00013189944503919993,1.6150929038998008e-06,0.00014507289755650004,C551-S,Dunbar-Broadway,C551-S_velocity
63,0.0,-0.0008741496241322997,-6.66145992046e-05,-0.0008929902971444997,C556-S,Eager Park,C556-S_velocity
64,0.0,-0.00028403065029159987,-6.003030258250005e-05,-0.00036921076771870005,C576-S,Dunbar-Broadway,C576-S_velocity
65,0.0,4.277810462099789e-06,-5.515332756000002e-05,-4.978304399830009e-05,C602-S,Downtown,C602-S_velocity
66,0.0,5.957223065099931e-06,2.618304156999521e-07,4.324897132699937e-06,C638-S,Downtown,C638-S_velocity
67,0.0,0.00010819388533699981,-9.268398406200168e-06,9.502637688859998e-05,C650-S,Downtown,C650-S_velocity
68,0.0,0.00014780778882249996,1.7637686081900094e-05,8.946697912700003e-05,C659-S,Downtown,C659-S_velocity
69,0.0,-0.0002207118589417998,-5.182567488749975e-05,-0.0002484909676096999,C65-S,McElderry Park,C65-S_velocity
70,0.0,0.00013344152346040023,1.3650585099300207e-05,0.00014762915746790008,C677-S,Downtown,C677-S_velocity
71,0.0,-0.00016600248631460008,-5.886126437270006e-05,-0.0002230298396739001,C681-S,Downtown,C681-S_velocity
72,0.0,-0.0007494606913819998,-9.993331179570034e-05,-0.0008450480868111999,C685-S,Downtown,C685-S_velocity
73,0.0,9.963116459520008e-05,-8.021152802999837e-06,9.15290372331002e-05,C687-S,Federal Hill,C687-S_velocity
74,0.0,0.0006334896466107997,-0.0008956805044648001,-2.9208986029900276e-05,C68-S,Patterson Park,C68-S_velocity
75,0.0,2.4687207807200066e-05,-0.00020050900512729993,-0.00011575224055259997,C69-S,McElderry Park,C69-S_velocity
76,0.0,0.00020677702806400034,-5.3538423417499956e-05,0.0001494160062499002,C708-S,Federal Hill,C708-S_velocity
77,0.0,0.00010198927900870007,-2.1875319976399736e-05,7.606643826140033e-05,C725-S,Federal Hill,C725-S_velocity
78,0.0,3.8090305590999726e-06,-4.6356919657399714e-05,-4.459415674760037e-05,C728-S,Federal Hill,C728-S_velocity
79,0.0,0.00031907666031499946,6.270628901899368e-06,0.00032305053630939974,C729-S,Federal Hill,C729-S_velocity
80,0.0,-0.0006873621850491994,-2.300851665239939e-05,-0.0007059344230707998,C734-S,Federal Hill,C734-S_velocity
81,0.0,3.733856525379997e-05,-3.915608968100073e-06,3.117047549399971e-05,C740-S,Federal Hill,C740-S_velocity
82,0.0,0.0,0.0,0.0,C742-S,Locust Point,C742-S_velocity
83,0.0,3.541973625299983e-05,6.690847799851324e-09,3.541947159019991e-05,C744-S,Locust Point,C744-S_velocity
84,0.0,-0.00033237076937579985,-8.756369919999535e-07,-0.00033310229101159985,C74-S,Canton,C74-S_velocity
85,0.0,2.9404926977400023e-05,1.6453131999188964e-09,2.9388471143699992e-05,C752-S,Locust Point,C752-S_velocity
86,0.0,0.0004214436041163998,5.561065740100277e-06,0.00042053860587869946,C756-S,Locust Point,C756-S_velocity
87,0.0,9.868886912940221e-05,9.499812108021508e-10,9.886860343660219e-05,C758-S,Locust Point,C758-S_velocity
88,0.0,-7.274417710001068e-08,5.908472799995984e-09,-6.732500360001224e-08,C759-S,Locust Point,C759-S_velocity
89,0.0,0.00023039521811329955,6.487335580399739e-06,0.0002299710988938001,C761-S,Locust Point,C761-S_velocity
90,0.0,-8.427867974006992e-07,-2.2751704200799777e-05,-2.361870682369982e-05,C771-S,Locust Point,C771-S_velocity
91,0.0,1.481421308809983e-05,-4.735874176800027e-06,1.0226687771099953e-05,C772-S,Locust Point,C772-S_velocity
92,0.0,-2.6280430822998423e-06,1.527383183000169e-06,-1.7769578910000177e-06,C779-S,Locust Point,C779-S_velocity
93,0.0,-0.0009511865576854999,-2.284114126299957e-06,-0.0009526194431249001,C79-S,Canton,C79-S_velocity
94,0.0,0.00015238201405690013,-2.074288939450013e-05,0.00013105220264210014,C7-S,Orangeville,C7-S_velocity
95,0.0,1.165959604260006e-05,1.946442392500086e-06,1.585361035930002e-05,C816-S,South Clifton Park,C816-S_velocity
96,0.0,1.5203523361299919e-05,-5.52557641783e-05,-3.8740392945299995e-05,C830-S,Downtown,C830-S_velocity
97,0.0,-0.005432489174506798,-0.0005919369378743003,-0.006641874264584499,C839-S,Eager Park,C839-S_velocity
98,0.0,3.141646670329999e-05,-9.605059900002696e-09,3.1413358089199994e-05,C84-S,Canton,C84-S_velocity
99,0.0,2.229025495759985e-05,8.749246000003957e-10,2.229074128539993e-05,C89-S,Canton,C89-S_velocity
