,link_name,Base,I,V,V&I,link_id,neighborhood
0,timestamp,1.68795852e+18,1.68795852e+18,1.68795852e+18,1.68795852e+18,timestamp,
1,C102-S_velocity,0.0010462638271654,0.0010968868208655,0.0022723123143214,0.0010828684152786,C102-S,Patterson Park
2,C105-S_velocity,0.0011348769951642,0.001141262578698,0.0013362301152553,0.0011368534064007,C105-S,Patterson Park
3,C111-S_velocity,0.0069793137562081,0.0050341704542422,0.0090051592491513,0.0050217176510342,C111-S,Baltimore Highlands
4,C113-S_velocity,0.0015832337820155,0.0011666723559424,0.0020833837089629,0.0011641939938213,C113-S,Baltimore Highlands
5,C131-S_velocity,0.00023310577791,0.0001989140188404,0.0003219992451273,0.0001989141672664,C131-S,Fells Point
6,C141-S_velocity,0.0009747263307682,0.0009797946812155,0.001281642638061,0.0009797946256637,C141-S,Canton
7,C159-S_velocity,0.0005826396619026,0.0006052875113116,0.0007405142776672,0.000605287289682,C159-S,Upper Fells Point
8,C163-S_velocity,0.0008820030482644,0.0009490568074928,0.00111838981297,0.0009488844100602,C163-S,Upper Fells Point
9,C168-S_velocity,0.0012617246269592,0.0013371742226478,0.0015532102081091,0.0013371740850985,C168-S,Canton
10,C182-S_velocity,0.0039952075044305,0.0040100466250242,0.0050357614811415,0.0040074564794764,C182-S,Canton
11,C187-S_velocity,0.0002513882619254,0.0002809384276575,0.0002514726662837,0.0002778487063796,C187-S,Canton
12,C190-S_velocity,0.0067155083887899,0.0044918323508279,0.0087177400197098,0.0044871277139832,C190-S,Baltimore Highlands
13,C191-S_velocity,0.0016187875275912,0.0006352299625454,0.0021758590026189,0.0006337775933421,C191-S,Patterson Park
14,C211-S_velocity,0.0015584744524935,0.0015584915743532,0.0020832720938011,0.0015537481329235,C211-S,Patterson Park
15,C21-S_velocity,0.0016352792092346,0.001064938273338,0.0027590633598731,0.001009679129834,C21-S,Broadway East
16,C226-S_velocity,0.0012890493303313,0.0013119270002078,0.0016229647725885,0.0013098981640539,C226-S,Baltimore Highlands
17,C227-S_velocity,0.0019943625263493,0.0014391329305431,0.0026929794182816,0.0014301383040805,C227-S,Kresson
18,C229-S_velocity,0.000494994988558,0.0005252011280237,0.0006212512549911,0.0005250188460267,C229-S,Kresson
19,C236-S_velocity,0.0003357464897621,0.00033419809642,0.0004811258715376,0.000326264575797,C236-S,Orangeville
20,C23-S_velocity,0.000328547974436,0.00012892595899,0.0005591890397291,0.0001190153286942,C23-S,Broadway East
21,C249-S_velocity,0.0019867178731477,0.001984193091969,0.0029220699597099,0.0019791218217265,C249-S,Madison-Eastend
22,C251-S_velocity,0.0010467120062755,0.0009645013281424,0.0015456070769606,0.0009742713968197,C251-S,Madison-Eastend
23,C260-S_velocity,0.0011959404077331,0.0012861509379376,0.0014407646803891,0.0012866450340715,C260-S,Baltimore Highlands
24,C26-S_velocity,0.003467320994286,0.0025507281004723,0.0044611866005922,0.0023481069649337,C26-S,Broadway East
25,C274-S_velocity,0.0010926590342415,0.0011448291482207,0.001397770240602,0.0011440460798756,C274-S,Kresson
26,C279-S_velocity,0.0009051643162951,0.0009245525649614,0.0010970055498825,0.0008886268669132,C279-S,Broadway East
27,C27-S_velocity,0.0014254954851444,0.0007105913024944,0.0018969142886295,0.0006239122236579,C27-S,Broadway East
28,C292-S_velocity,0.0009482520666313,0.0007202268055204,0.0011703617275714,0.0006598536888506,C292-S,Broadway East
29,C2-S_velocity,0.0002553214194395,0.0002558531297298,0.00046380343657,0.000256647596882,C2-S,South Clifton Park
30,C301-S_velocity,0.002248689865694,0.0024504682877355,0.0026387395851643,0.0023046014805927,C301-S,Eager Park
31,C314-S_velocity,0.0006713080957773,0.000688839997107,0.0009790329157346,0.0006832359346027,C314-S,Dunbar-Broadway
32,C317-S_velocity,0.0006114040769467,0.0003976078525945,0.0008967491073198,0.0003945207739687,C317-S,Dunbar-Broadway
33,C319-S_velocity,5.214652108953038e-05,1.3150313779292223e-05,0.0001020279344032,1.292033566438585e-05,C319-S,Washington Hill
34,C321-S_velocity,0.0002392684906563,0.0001302405733504,0.0003952600750507,0.0001296530652751,C321-S,Washington Hill
35,C325-S_velocity,8.889572231292254e-05,2.236161063771892e-05,0.0015707388283212,2.2295361086911283e-05,C325-S,Fells Point
36,C327-S_velocity,0.0046257652272762,0.0035634104784734,0.0064973741434223,0.0035451899505615,C327-S,Fells Point
37,C328-S_velocity,0.0019764101560011,0.0014885146976012,0.0026169679166341,0.0014800052741591,C328-S,Fells Point
38,C338-S_velocity,0.0013738301667116,0.0013738331606886,0.0017937433216195,0.0013569833561405,C338-S,Washington Hill
39,C340-S_velocity,0.0014131876420273,0.0014058166542308,0.0018200532044109,0.0013958335490264,C340-S,Fells Point
40,C34-S_velocity,0.0002209351708205,0.0002223937556195,0.0002823461854274,0.0002152060417917,C34-S,South Clifton Park
41,C351-S_velocity,0.0009026231454258,0.0009077064123858,0.0012369949295527,0.0009077062411255,C351-S,Fells Point
42,C355-S_velocity,0.0005336425272737,0.0004360479415048,0.0007882220602223,0.0004360480136491,C355-S,Fells Point
43,C361-S_velocity,0.0023269828651674,0.0023266405324456,0.0032282695616744,0.0023266398320043,C361-S,Fells Point
44,C362-S_velocity,0.0006730757327624,0.0005620799385803,0.0010272090375372,0.0005620800334886,C362-S,Fells Point
45,C37-S_velocity,0.0007808390264407,0.0006226818095883,0.0011255602981712,0.0005841048303074,C37-S,South Clifton Park
46,C382-S_velocity,0.0015555103979818,0.001569110128484,0.002120310172184,0.0015694569496525,C382-S,Canton
47,C3-S_velocity,0.000676630361894,0.0006861619502574,0.0008188875901622,0.0006725166665548,C3-S,Upper Fells Point
48,C417-S_velocity,0.0061904360492989,0.0062103434043986,0.0074433319111824,0.0059091807625932,C417-S,Canton Industrial
49,C418-S_velocity,0.0027363844110012,0.0027161644974571,0.0034213561741446,0.002587454984399,C418-S,Canton Industrial
50,C422-S_velocity,0.0026151988362828,0.0026294468955781,0.0032030992234221,0.0026232474270111,C422-S,Canton Industrial
