,link_name,Base,I,V,V&I,link_id,neighborhood
0,timestamp,1.68795852e+18,1.68795852e+18,1.68795852e+18,1.68795852e+18,timestamp,
1,C102-S_velocity,0.0006263948788127,0.0005807053659266,0.0006241337134597,0.0005787768602947,C102-S,Patterson Park
2,C105-S_velocity,0.00072748161655,0.0007285165353452,0.000723518534522,0.000724554410813,C105-S,Patterson Park
3,C111-S_velocity,0.0041853221397771,0.0024726458905881,0.0041709878919884,0.0024627931306254,C111-S,Baltimore Highlands
4,C113-S_velocity,0.0009666008669172,0.0006666104294204,0.0009641078118631,0.000664352405223,C113-S,Baltimore Highlands
5,C131-S_velocity,0.0001447467977584,0.0001172622059723,0.0001447468027565,0.0001172622062703,C131-S,Fells Point
6,C141-S_velocity,0.0005201894521212,0.0005201895136255,0.0005201894521242,0.0005201895136246,C141-S,Canton
7,C159-S_velocity,0.0003876846036773,0.0004049244875851,0.0003876846043893,0.000404924488227,C159-S,Upper Fells Point
8,C163-S_velocity,0.0006004486298071,0.00060891924056,0.0006002732315533,0.0006087095576212,C163-S,Upper Fells Point
9,C168-S_velocity,0.0007104805019817,0.0007181436370739,0.0007104805021161,0.000718143637069,C168-S,Canton
10,C182-S_velocity,0.0026591417548032,0.0026805435854599,0.002656359523241,0.0026776087342422,C182-S,Canton
11,C187-S_velocity,0.0002441484190909,0.0002736793688485,0.000242276496617,0.0002715660669961,C187-S,Canton
12,C190-S_velocity,0.0040579715528879,0.0023479730597032,0.0040517567133603,0.0023445100838228,C190-S,Baltimore Highlands
13,C191-S_velocity,0.0007172288650267,0.0002711868987192,0.0007153754191261,0.0002707312711112,C191-S,Patterson Park
14,C211-S_velocity,0.0007829069416787,0.0007834682901783,0.0007805449613782,0.0007806674344965,C211-S,Patterson Park
15,C21-S_velocity,0.0007535556512162,0.0005335387073943,0.0007159260217289,0.0005113441022643,C21-S,Broadway East
16,C226-S_velocity,0.0007906841370544,0.0007834395815653,0.000788550391687,0.0007814706568227,C226-S,Baltimore Highlands
17,C227-S_velocity,0.0011054266460405,0.0006736266977093,0.0010963753844495,0.0006681766472723,C227-S,Kresson
18,C229-S_velocity,0.0002493219579255,0.0002560368781474,0.0002493312805007,0.0002559964348356,C229-S,Kresson
19,C236-S_velocity,0.0002120364166692,0.000210819992829,0.0002050305324984,0.0002039390270944,C236-S,Orangeville
20,C23-S_velocity,0.0001156043620439,3.4471129383397567e-05,0.0001059186550662,3.174992154196337e-05,C23-S,Broadway East
21,C249-S_velocity,0.0012531514195603,0.0012560423770599,0.0012486599975298,0.0012517871459368,C249-S,Madison-Eastend
22,C251-S_velocity,0.0007007665511082,0.0006098509498935,0.0007037235345319,0.0006116199994325,C251-S,Madison-Eastend
23,C260-S_velocity,0.0007345784115843,0.0007569032468482,0.000734798571364,0.0007569032468482,C260-S,Baltimore Highlands
24,C26-S_velocity,0.0020680021400806,0.0014052241925145,0.0018750009211288,0.0012603753046243,C26-S,Broadway East
25,C274-S_velocity,0.0007811500844856,0.0007827432410478,0.0007803369419481,0.0007818229871964,C274-S,Kresson
26,C279-S_velocity,0.00062853362453,0.0006332114708334,0.0006003630812505,0.0006042164061336,C279-S,Broadway East
27,C27-S_velocity,0.0006443557859511,0.0002705313810604,0.0005637332201626,0.0002344826315761,C27-S,Broadway East
28,C292-S_velocity,0.0005525982599096,0.0003336123934614,0.0004920372783756,0.0002908868090963,C292-S,Broadway East
29,C2-S_velocity,0.0001676910338639,0.0001824161835462,0.000169820692383,0.0001841286874817,C2-S,South Clifton Park
30,C301-S_velocity,0.001751665350542,0.0018766927870024,0.0016271975560022,0.0017425134831259,C301-S,Eager Park
31,C314-S_velocity,0.0004460183460665,0.0004734077854954,0.0004424428143838,0.0004700977298042,C314-S,Dunbar-Broadway
32,C317-S_velocity,0.0003627924692619,0.0002522158739068,0.0003591831419731,0.0002492815466129,C317-S,Dunbar-Broadway
33,C319-S_velocity,2.2228734560574637e-05,5.782750445590821e-06,2.183208714081336e-05,5.647471764067768e-06,C319-S,Washington Hill
34,C321-S_velocity,0.0001195874259711,7.262628936227899e-05,0.0001188758707024,7.223393595869096e-05,C321-S,Washington Hill
35,C325-S_velocity,2.7082294090707688e-05,8.369053327488107e-06,2.6937166291047785e-05,8.338900759406717e-06,C325-S,Fells Point
36,C327-S_velocity,0.0023277250211613,0.0016174701119009,0.0023136406514125,0.0016077927765462,C327-S,Fells Point
37,C328-S_velocity,0.0009796126340655,0.0005258558406316,0.0009732245727518,0.0005216943240421,C328-S,Fells Point
38,C338-S_velocity,0.0007336907009796,0.0007343333859044,0.0007257924748078,0.0007264303566898,C338-S,Washington Hill
39,C340-S_velocity,0.0007189303033935,0.0007057523914714,0.0007126419718284,0.0006995251147406,C340-S,Fells Point
40,C34-S_velocity,0.0001230184228979,0.0001272346197343,0.000119425475645,0.0001241645330584,C34-S,South Clifton Park
41,C351-S_velocity,0.0005241065916789,0.0005241066230315,0.0005241065916698,0.0005241066230099,C351-S,Fells Point
42,C355-S_velocity,0.0002677037166496,0.0002050986416363,0.0002677037412266,0.0002050987728833,C355-S,Fells Point
43,C361-S_velocity,0.0012925375880124,0.001309996472581,0.0012925375810939,0.0013099964799075,C361-S,Fells Point
44,C362-S_velocity,0.0003578942516893,0.0002983930939269,0.0003578942749658,0.0002983930869595,C362-S,Fells Point
45,C37-S_velocity,0.0004098694579558,0.0003295294131044,0.0003843015962519,0.0003117603709406,C37-S,South Clifton Park
46,C382-S_velocity,0.0007867216541611,0.0008718814579082,0.0007878049277423,0.0008721376581717,C382-S,Canton
47,C3-S_velocity,0.0004824603584653,0.0004833898183489,0.0004692506725832,0.000470170190082,C3-S,Upper Fells Point
48,C417-S_velocity,0.0044054328429112,0.0044167651761996,0.0041453821534009,0.0041587853214775,C417-S,Canton Industrial
49,C418-S_velocity,0.0019924754784034,0.0019836236100878,0.0018857796699297,0.0018621475646709,C418-S,Canton Industrial
50,C422-S_velocity,0.0015465313949707,0.0015528425256445,0.0015423111612352,0.0015482481751629,C422-S,Canton Industrial
51,C449-S_velocity,0.0004943141593222,0.0005123847128212,0.0004900333225603,0.00050653452536,C449-S,Broadway East
52,C462-S_velocity,0.0045095542784089,0.0046725663386156,0.0042375860920088,0.004391119838163,C462-S,Eager Park
53,C463-S_velocity,0.0044001812947631,0.0046060127932953,0.0041633013753226,0.0043548334735481,C463-S,Eager Park
54,C473-S_velocity,0.000664709018134,0.0006939148165779,0.0006601588807015,0.000689278821233,C473-S,Berea
55,C474-S_velocity,0.0004145285007618,0.0003580382293283,0.000410658971366,0.0003544495162039,C474-S,Berea
56,C478-S_velocity,0.0009684863781491,0.0011359012999509,0.0009700945294628,0.0011369075916364,C478-S,Orangeville
57,C530-S_velocity,0.0013772144330599,0.00099616699959,0.00132520992158,0.0009661938975331,C530-S,Eager Park
58,C532-S_velocity,0.0002124730967363,3.872531432158989e-05,0.0001765030434589,3.0115600414512497e-05,C532-S,Eager Park
59,C548-S_velocity,0.0002962407552294,9.191842659411338e-05,0.0002784438570381,8.724686161334556e-05,C548-S,Dunbar-Broadway
60,C549-S_velocity,0.0003766521320623,2.190056201253006e-05,0.0003404320820428,1.9101677706654872e-05,C549-S,Dunbar-Broadway
61,C550-S_velocity,0.0016434480872358,0.0016432779663776,0.0016434480872041,0.0016432787634867,C550-S,Dunbar-Broadway
62,C551-S_velocity,0.000735660456227,0.0007346383291074,0.0007356604562599,0.0007346292607666,C551-S,Dunbar-Broadway
63,C556-S_velocity,0.000648048759351,0.0002799240647631,0.0006094715655362,0.0002693742626935,C556-S,Eager Park
64,C576-S_velocity,0.0001423655503579,7.255170528477237e-05,0.0001404831018204,7.242669386501055e-05,C576-S,Dunbar-Broadway
65,C602-S_velocity,0.0010830705919294,0.0011026684869987,0.0010398233383716,0.0010530774928119,C602-S,Downtown
66,C638-S_velocity,0.0002318719505434,0.0002369285445027,0.0002321863822618,0.000236857921351,C638-S,Downtown
67,C650-S_velocity,0.0012027022633695,0.0012585902599362,0.0011972638968581,0.0012529602850538,C650-S,Downtown
68,C659-S_velocity,0.0008431513769156,0.0008501744812748,0.0007921991674799,0.0007922697513727,C659-S,Downtown
69,C65-S_velocity,0.0015339155017062,0.0011839966956464,0.0014454007481128,0.0010786618947029,C65-S,McElderry Park
70,C677-S_velocity,0.0008240821771539,0.0008309402483798,0.0008257815162735,0.0008307359745523,C677-S,Downtown
71,C681-S_velocity,0.000268067548334,0.0001428862329462,0.0002584728776016,0.0001356680679482,C681-S,Downtown
72,C685-S_velocity,0.0007939962629765,0.0003140085813813,0.0007673561886879,0.0003031039105142,C685-S,Downtown
73,C687-S_velocity,0.0009836677534066,0.0010803375874756,0.0009782067143628,0.0010725156510325,C687-S,Federal Hill
74,C68-S_velocity,-0.0,-0.0,-0.0,-0.0,C68-S,Patterson Park
75,C69-S_velocity,0.0001571938785556,0.0001399966514548,0.0001566078235943,0.0001414305656151,C69-S,McElderry Park
76,C708-S_velocity,0.0012092416957715,0.0012512841882589,0.0011772522448066,0.0012152486281285,C708-S,Federal Hill
77,C725-S_velocity,0.0007293427690148,0.0007427396200095,0.0007180420285777,0.0007309538335591,C725-S,Federal Hill
78,C728-S_velocity,0.0010675365544969,0.0010695929580578,0.0010573894305683,0.0010594296009311,C728-S,Federal Hill
79,C729-S_velocity,0.0016127988899657,0.0016756013063357,0.0016128642988565,0.0016746906163262,C729-S,Federal Hill
80,C734-S_velocity,0.0016272775757516,0.0013335564813574,0.0016184140300444,0.0013335564813575,C734-S,Federal Hill
81,C740-S_velocity,0.0016915555170589,0.0017177867655557,0.0016870105585128,0.0017131662426612,C740-S,Federal Hill
82,C742-S_velocity,-0.0,-0.0,-0.0,-0.0,C742-S,Locust Point
83,C744-S_velocity,0.0003252809610627,0.0003520829684361,0.0003252809946993,0.0003520829325815,C744-S,Locust Point
84,C74-S_velocity,0.0004561164198764,0.0003101998001876,0.0004552239517982,0.0003096571852011,C74-S,Canton
85,C752-S_velocity,0.000779617312056,0.0007987186524973,0.0007796173120755,0.0007987186525044,C752-S,Locust Point
