,Base,I,V,V&I,link_id,neighborhood,link_name
0,0.0,0.0,0.0,0.0,timestamp,,timestamp
1,0.0,-4.567462242730002e-05,-2.2610701740999675e-06,0.0028812743696618997,C102-S,Patterson Park,C102-S_velocity
2,0.0,1.0354943793000095e-06,-3.963075449299968e-06,0.0008114699276468999,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.0017126759307549999,-1.433424407859974e-05,0.0057575171945746,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.00030003729520970007,-2.493468603900046e-06,0.001337929427703,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-2.7484591786099992e-05,4.998100024133922e-12,0.0002819172320203,C131-S,Fells Point,C131-S_velocity
6,0.0,6.150430002533486e-11,2.9999874112673908e-15,0.0014740500299334,C141-S,Canton,C141-S_velocity
7,0.0,1.7239883907799983e-05,7.12000011900138e-13,0.0007619634309333,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,8.470610752899974e-06,-1.7539825379999166e-07,0.0008703874816096,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,7.6546844479e-06,1.3930002984441359e-13,0.0016249061012329,C168-S,Canton,C168-S_velocity
10,0.0,2.1403983306700087e-05,-2.7770654393000603e-06,0.003986287282205099,C182-S,Canton,C182-S_velocity
11,0.0,2.9530509061000002e-05,-1.8718899267999997e-06,4.60902322676e-05,C187-S,Canton,C187-S_velocity
12,0.0,-0.0017089134624050997,-6.20735626219969e-06,0.0132702735170536,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,-0.00044607906207900003,-1.8531651837000625e-06,0.0040951172261572,C191-S,Patterson Park,C191-S_velocity
14,0.0,5.530052098000728e-07,-2.3619803004999414e-06,0.0024535793668083,C211-S,Patterson Park,C211-S_velocity
15,0.0,-0.00022001694382190004,-3.762962948730003e-05,0.0048163391540082,C21-S,Broadway East,C21-S_velocity
16,0.0,-7.244555489100031e-06,-2.1337453674000455e-06,0.0013696554959471,C226-S,Baltimore Highlands,C226-S_velocity
17,0.0,-0.0004317999483312,-9.051261591000101e-06,0.002421820531139,C227-S,Kresson,C227-S_velocity
18,0.0,6.7149202219000405e-06,9.322575200037316e-09,0.0006209458955182001,C229-S,Kresson,C229-S_velocity
19,0.0,-1.2164238402000073e-06,-7.005884170800002e-06,0.0008778987461735,C236-S,Orangeville,C236-S_velocity
20,0.0,-8.113323266050243e-05,-9.685706977700001e-06,0.0010518831535473,C23-S,Broadway East,C23-S_velocity
21,0.0,2.8909412210999415e-06,-4.491438308899939e-06,0.0029405973801229996,C249-S,Madison-Eastend,C249-S_velocity
22,0.0,-9.094411552259998e-05,2.921717890799996e-06,0.0014880406227404,C251-S,Madison-Eastend,C251-S_velocity
23,0.0,2.2324864631900038e-05,2.2016002720003612e-07,0.0014207839968802,C260-S,Baltimore Highlands,C260-S_velocity
24,0.0,-0.0006627779475661,-0.0001930012189518002,0.0028879745088248995,C26-S,Broadway East,C26-S_velocity
25,0.0,1.5931565626000526e-06,-8.131425373999676e-07,0.0011181948164756001,C274-S,Kresson,C274-S_velocity
26,0.0,4.6778463033999955e-06,-2.817054327950005e-05,0.0008609348864924,C279-S,Broadway East,C279-S_velocity
27,0.0,-0.0003738244048907,-8.062256578849996e-05,0.0011618932602598,C27-S,Broadway East,C27-S_velocity
