,Base,I,V,V&I,link_id,neighborhood,link_name
0,0.0,0.0,0.0,0.0,timestamp,,timestamp
1,0.0,0.00019254471702540021,-8.342323506699886e-06,0.00019094465396619995,C102-S,Patterson Park,C102-S_velocity
2,0.0,-3.3891549649900116e-05,-4.2019105110000475e-06,-3.8729653618400006e-05,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.0023643697376211983,-2.901514643839989e-05,-0.0023869046758028985,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.0006193169062736,-7.66962440299987e-06,-0.0006273102824058997,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-7.88017061933e-05,-1.9225830004626979e-10,-7.88014838071e-05,C131-S,Fells Point,C131-S_velocity
6,0.0,1.953657245010003e-05,4.184300041870648e-12,1.9538357005800073e-05,C141-S,Canton,C141-S_velocity
7,0.0,1.8152652112000695e-06,-1.3873999605423792e-12,1.8172810062999211e-06,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,9.125393950800017e-05,-2.4981924419994854e-07,9.098319090470003e-05,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,0.00010846568522580001,1.815719970210683e-11,0.00010846722562359978,C168-S,Canton,C168-S_velocity
10,0.0,0.00011281295105420013,-2.0118301584000353e-06,0.00011003380328409966,C182-S,Canton,C182-S_velocity
11,0.0,7.541299792299995e-06,4.22184210003727e-09,7.085278135200029e-06,C187-S,Canton,C187-S_velocity
12,0.0,-0.00012048368311910057,-9.536999662218548e-12,-0.00012048368311880046,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,-0.00024237657500199988,2.342226777500003e-06,-0.00024073528683489997,C191-S,Patterson Park,C191-S_velocity
14,0.0,4.808781698940022e-05,6.943570382000885e-07,4.1153522955400274e-05,C211-S,Patterson Park,C211-S_velocity
15,0.0,-0.00023330231367360045,-0.00010698560125989992,-0.00046283310535690046,C21-S,Broadway East,C21-S_velocity
16,0.0,6.350561135579991e-05,-2.2183637286999486e-06,6.183282470299985e-05,C226-S,Baltimore Highlands,C226-S_velocity
17,0.0,-0.0005339223855178,-2.2026188722300017e-05,-0.0005519021773835002,C227-S,Kresson,C227-S_velocity
18,0.0,4.5609606194e-05,7.730153646000283e-07,4.716688481319999e-05,C229-S,Kresson,C229-S_velocity
19,0.0,6.871847010002374e-08,-1.1010133533500004e-05,-1.1075100818100001e-05,C236-S,Orangeville,C236-S_velocity
20,0.0,-0.00024200998968689988,-5.0899621233998354e-06,-0.00028735089787259986,C23-S,Broadway East,C23-S_velocity
21,0.0,3.072085462659966e-05,-8.010365099599993e-06,2.2590930638599887e-05,C249-S,Madison-Eastend,C249-S_velocity
22,0.0,-0.0001669131135219003,-6.7709796913e-06,-0.00014123972447450017,C251-S,Madison-Eastend,C251-S_velocity
23,0.0,0.00015636834589930013,1.6436205705001091e-06,0.00015561671463350008,C260-S,Baltimore Highlands,C260-S_velocity
24,0.0,-0.0009336595684084001,-0.00041982576801570005,-0.0012379738068381005,C26-S,Broadway East,C26-S_velocity
25,0.0,6.676380874919984e-05,-7.89627219800141e-07,6.598015489289993e-05,C274-S,Kresson,C274-S_velocity
26,0.0,4.527251114009993e-05,-4.51444693349999e-05,-2.752040382000007e-06,C279-S,Broadway East,C279-S_velocity
27,0.0,-0.0008111522417676002,-0.00021970831020320025,-0.0009542414195764001,C27-S,Broadway East,C27-S_velocity
28,0.0,-0.0003417496581516,-0.00013958030221650013,-0.0004174264792517,C292-S,Broadway East,C292-S_velocity
29,0.0,8.306709645399977e-06,4.581624091199972e-06,1.632819808559992e-05,C2-S,South Clifton Park,C2-S_velocity
30,0.0,0.0001221432797904004,-0.00020450553414689968,-4.70550729909998e-05,C301-S,Eager Park,C301-S_velocity
31,0.0,-5.445343764499911e-06,-1.2338015604899943e-05,-1.7256698164899806e-05,C314-S,Dunbar-Broadway,C314-S_velocity
32,0.0,-0.0004887710450389999,-1.5469099342399917e-05,-0.000497361631682,C317-S,Dunbar-Broadway,C317-S_velocity
33,0.0,-0.00014974479558220363,-3.4259073210000045e-06,-0.00015054949649941183,C319-S,Washington Hill,C319-S_velocity
34,0.0,-0.00027011700608809997,-1.4413532319399944e-05,-0.00027052008285179997,C321-S,Washington Hill,C321-S_velocity
35,0.0,1.063132224069993e-05,-5.0295766655800156e-05,-5.1462600246899876e-05,C325-S,Fells Point,C325-S_velocity
36,0.0,-0.0013405413404602006,-0.00011138021731909968,-0.0015074399790560005,C327-S,Fells Point,C327-S_velocity
37,0.0,-0.0013636469151881003,-8.350597158530027e-05,-0.0014696150100053998,C328-S,Fells Point,C328-S_velocity
38,0.0,2.9633405604998636e-06,-2.8607396080199826e-05,-2.567807229649985e-05,C338-S,Washington Hill,C338-S_velocity
39,0.0,5.7509963505000036e-05,-9.504831294199732e-06,5.288579315139994e-05,C340-S,Fells Point,C340-S_velocity
40,0.0,5.3480107586000285e-06,-1.5560269728499972e-05,-1.131965219929997e-05,C34-S,South Clifton Park,C34-S_velocity
41,0.0,2.1498966471400092e-05,6.28980006099622e-12,2.1500821988700014e-05,C351-S,Fells Point,C351-S_velocity
42,0.0,-0.00012475303745350006,4.362018600056333e-09,-0.0001247591565558,C355-S,Fells Point,C355-S_velocity
