scenario,row,timestamp,C102-S_velocity,C105-S_velocity,C111-S_velocity,C113-S_velocity,C131-S_velocity,C141-S_velocity,C159-S_velocity,C163-S_velocity,C168-S_velocity,C182-S_velocity,C187-S_velocity,C190-S_velocity,C191-S_velocity,C211-S_velocity,C21-S_velocity,C226-S_velocity,C227-S_velocity,C229-S_velocity,C236-S_velocity,C23-S_velocity,C249-S_velocity,C251-S_velocity,C260-S_velocity,C26-S_velocity,C274-S_velocity,C279-S_velocity,C27-S_velocity,C292-S_velocity,C2-S_velocity,C301-S_velocity,C314-S_velocity,C317-S_velocity,C319-S_velocity,C321-S_velocity,C325-S_velocity,C327-S_velocity,C328-S_velocity,C338-S_velocity,C340-S_velocity,C34-S_velocity,C351-S_velocity,C355-S_velocity,C361-S_velocity,C362-S_velocity,C37-S_velocity,C382-S_velocity,C3-S_velocity,C417-S_velocity,C418-S_velocity,C422-S_velocity,C449-S_velocity,C462-S_velocity,C463-S_velocity,C473-S_velocity,C474-S_velocity,C478-S_velocity,C530-S_velocity,C532-S_velocity,C548-S_velocity,C549-S_velocity,C550-S_velocity,C551-S_velocity,C556-S_velocity,C576-S_velocity,C602-S_velocity,C638-S_velocity,C650-S_velocity,C659-S_velocity,C65-S_velocity,C677-S_velocity,C681-S_velocity,C685-S_velocity,C687-S_velocity,C68-S_velocity,C69-S_velocity,C708-S_velocity,C725-S_velocity,C728-S_velocity,C729-S_velocity,C734-S_velocity,C740-S_velocity,C742-S_velocity,C744-S_velocity,C74-S_velocity,C752-S_velocity,C756-S_velocity,C758-S_velocity,C759-S_velocity,C761-S_velocity,C771-S_velocity,C772-S_velocity,C779-S_velocity,C79-S_velocity,C7-S_velocity,C816-S_velocity,C830-S_velocity,C839-S_velocity,C84-S_velocity,C89-S_velocity
Base,0,1687833120000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,1,1687833420000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,2,1687833720000000000,2.5135129233013177e-06,1.3854846541129588e-05,5.9053892658654305e-12,3.6329857252982763e-06,0.0,1.594673370831391e-05,2.045326040317824e-06,3.937358400107675e-06,2.729772913169679e-05,6.966160988578869e-05,0.0,1.3529857538620482e-05,7.523285421814387e-13,4.893248001796834e-05,2.637161549695576e-07,3.0879492238564562e-06,4.050930774988202e-07,1.3340086604925712e-06,3.323778062448649e-06,4.587481741055646e-10,5.9504832688529665e-05,1.3588747719788173e-08,3.389078211309015e-05,1.7473948544327116e-05,6.824660844476347e-06,1.8277063868852004e-06,1.2059124622298489e-12,4.1567325463589443e-07,8.192284183036223e-06,0.0,1.0787875604224496e-06,0.0,0.0,3.9256020148321033e-07,2.1252118304364936e-08,1.6045454970657861e-06,0.0,4.971900719195523e-05,4.5906510318998555e-06,2.2105191031388485e-05,3.32628182753321e-06,0.0,2.8307812514417976e-05,0.0,2.2575938799173207e-06,4.355554470585681e-05,4.744806464929799e-07,0.00011031462272988059,3.18680300746545e-08,0.00016173518711051085,3.757637459537056e-06,0.0,3.861779272708746e-05,0.00014601645067505894,2.6955426104031026e-06,0.0005393721271639896,6.710069697196677e-06,0.0,0.0,0.0,8.314987974342028e-05,2.2984986292622404e-08,0.0,0.0,1.314559461192037e-05,9.842487080318441e-08,3.029341737938468e-05,5.669335914307354e-06,3.2641960789785374e-07,2.8925490715122283e-05,0.0,1.5221322228986484e-08,6.588678835133839e-05,-0.0,2.381407119007942e-10,4.058940243078817e-05,1.0022091038928578e-08,8.247578419079479e-05,8.514043088658043e-05,0.00032430586331097,0.0001410480688505064,-0.0,4.283986240835932e-05,3.8480585721447595e-09,1.8963739240867337e-05,0.0007383324872384481,0.0,3.898488071013171e-08,0.0009045723027112689,0.00018069510657120605,9.578829890877127e-09,2.0322623897126622e-05,0.0,8.319079839416294e-06,4.306416925440397e-05,0.0,1.0446238483600968e-05,4.784990979632211e-08,6.9506613655736e-06
Base,3,1687834020000000000,0.0007663315783234637,0.001298024135897381,0.0012709677571673993,0.0008681433257407777,0.00019867134613987274,0.0016624590271519058,0.000926285761450139,0.0007829575142523651,0.00174877970669757,0.004110601604213048,2.39312935513226e-05,0.003217801813136227,0.00025483707958113205,0.0027340562926559484,0.0009627131903043347,0.0013130298312408531,0.0009997357285147913,0.000688193559402065,0.0003104799680400083,6.264652687497472e-05,0.001952488228714848,0.0010762587208800144,0.0015023711083798367,0.002487177850018398,0.0008708526914122825,0.0005725188891029898,0.00042701522127599367,0.00021856794827583418,0.0003751532301635471,3.096836561001697e-05,0.000487469633435876,0.00023591635700097918,4.4800775549987804e-07,0.00013574752689016203,6.285783170474736e-05,0.003895777859243827,0.000724356616833058,0.0018090289540272208,0.001894582828796201,0.00045540155814148797,0.0009141668274526189,5.179269066569662e-05,0.0024385358844103327,0.0005182406016911512,0.0007284065632361893,0.002863290273414071,0.0002539672728460951,0.005446530017640438,0.0025807375750036476,0.003558803251058853,0.0005389204891035012,0.0015021518691826399,0.0026837470902832273,0.002307278760481383,0.0019084236469356908,0.002261403838832538,0.0012125407836500051,0.00010860145086703122,2.7081612340964266e-06,0.0,0.0037644430740935014,0.0018315850147967276,0.0002127491665812962,9.099822462638707e-05,0.001529157370195183,0.00017082428606373715,0.002167127046023519,0.0009976883109826347,0.0004284080030629846,0.002547362295874728,2.7202435152740194e-05,0.0003817975821158717,0.0024462180194617556,-0.00025264150296186016,0.00023668860493667113,0.002020993911822074,0.0017715482632530237,0.0029685820463690427,0.003431887400098381,0.003762838506545974,0.0031767552830258027,-1.8863829545371623e-06,0.0008520377648788757,0.0006284508655314198,0.0010423205903066163,0.008643647235630946,1.5734557606669509e-06,0.00022234357697502427,0.012081893955687869,0.00550259831692409,0.0023498568727846315,0.0015577719216689873,0.0010565520744566332,0.0008429985833298034,0.0005430613578092946,0.0004723692909973327,0.007281915498556455,2.7354789645661087e-05,0.0008553170588971331
Base,4,1687834320000000000,0.0013419424224061038,0.0012607830517093208,0.0069327692042628316,0.0015864923415960818,0.0003355924534700392,0.001011941267157899,0.0006250146432812669,0.0009309250637945152,0.001276643098484517,0.0041960882738329985,3.6470220284829936e-05,0.006004146742213625,0.0012733030267408879,0.0016405827455850805,0.0020057002919929706,0.001447100549356962,0.0022999523067406447,0.000616201841815645,0.0003868315673224067,0.0003768488499573878,0.001681083283489545,0.001058651449667115,0.001262147435376592,0.0034761515221009088,0.0010790949701195882,0.0008853461408190037,0.0014177943196798074,0.0007949993399056075,0.0002631984143687177,0.0007352080898897518,0.0005751213532873331,0.0004914884202904006,2.0544399000102477e-05,0.00024673404176017846,9.32934392018941e-05,0.005526892762430713,0.0023391141065425207,0.001412172285199228,0.0015830793989625052,0.00022105667303026741,0.0009428686604069188,0.0004955513364057697,0.0024554764751108598,0.0008320615893725258,0.0008895357018584566,0.001603974562084507,0.0005114603566316654,0.005998404466179293,0.0027007166951984094,0.0026399118389524353,0.000748193132952261,0.0028636362221209155,0.0031700439784875098,0.0014009859585547156,0.0012484154093227655,0.0008776046601399901,0.001934392517835658,0.0004946945366369768,0.00021773859683411165,-0.000174238614502653,0.003198172980268399,0.0015976376045487252,0.0009713211050829136,0.00043262912801524887,0.0015418721918353797,0.0004628521721013214,0.0019834677022688876,0.0011493477206688384,0.001321831087425325,0.0015340417907458877,0.0005140206855695554,0.0010484440121043804,0.001517738813968118,-0.0009822556605072915,0.0004676725777696607,0.0019353646281104662,0.0014397898309676134,0.002112235213258442,0.002721332233084422,0.0034573250197156144,0.0027188830340102907,-5.792804648985079e-06,0.000385836583108353,0.0009907702985265095,0.0010682471795507753,0.0065677764008321505,4.950998389963732e-06,9.775625601420676e-05,0.007787833426205689,0.005431214891057419,0.001956035391265358,0.0007702692839502557,0.001730830864213307,0.0010868367821122533,0.000211802151295879,0.001028325650789115,0.008764342349827803,8.319154259472833e-06,0.0008718147872783274
Base,5,1687834620000000000,0.0009245068470316541,0.0008821569273419431,0.006011131455603184,0.0013958544518728063,0.00019894558686697853,0.0005147181972296327,0.0003876774028390693,0.0007365015778681399,0.0007453635085997522,0.0031630100331239306,0.00018585325425179273,0.0057637141499140634,0.001339710630398077,0.0007695453721286272,0.0012777083739073658,0.001032859950461934,0.0016003211087152972,0.00028689209272279674,0.00029265583645413437,0.000312377822233793,0.0011931968649094584,0.0007365685492510452,0.0008394425166554328,0.0029781005815214057,0.00091218001136423,0.0007953141702873304,0.0012276775113039594,0.000861971861328896,0.00017695421834110916,0.0011814068858697077,0.0004863776415612482,0.00044355855910743064,3.2065514834072704e-05,0.00020250498325160877,7.623644326779692e-05,0.00360328326331787,0.0016536790159381012,0.0008006510176383611,0.0008748981387161675,0.0001100790770879339,0.0006792709255909559,0.000507188485214533,0.0016298782576165776,0.0005464202264640136,0.0005420790356773699,0.0006983890457838945,0.0005419140110339548,0.005099857592789204,0.002301820867193755,0.001612358870766036,0.0006349741455046366,0.0036322014181019296,0.0039245106240941765,0.000745104983778623,0.0005841575551995973,0.0004170666234828081,0.0017952535943852293,0.0004819078384822361,0.0005157390525420192,0.0004211153242766302,0.0018484743101912747,0.0009214484988602243,0.0010593145142917119,0.0003202762612655821,0.001280847131244454,0.00039107256781334307,0.001402670605752778,0.0009793028639998051,0.0013907714745053097,0.0008256081714640783,0.0005723222727137931,0.001788933190530398,0.0008618873358441006,-0.0005186895059145097,0.0002483775864891259,0.0014240124574412235,0.0008526185294673056,0.0011100888406168027,0.0017640525456925937,0.002882325869158696,0.0018578930749784833,-4.8245956119905515e-06,0.00022815005279898875,0.0006739231189986429,0.0008794086804939116,0.004443019550424289,3.5270096836391384e-06,3.6870556173051323e-05,0.004445427861420659,0.0036176754920327777,0.0013444254654935948,0.0003468669333067388,0.000845627089695064,0.0008072381890041162,9.823863168363654e-05,0.000839211103903143,0.007603532660436243,5.418689903950366e-06,0.0006835833598779696
Base,6,1687834920000000000,0.0005616493318430284,0.0005677316786136996,0.004454834121007021,0.0009988904029853488,0.00012560367336159533,0.0002961369910862261,0.0002704650642598435,0.0005564508463879567,0.00043681570051515626,0.00230226226585688,0.0002112725159123856,0.004340540093355033,0.0008787610633443771,0.0004461779417873362,0.0007497220990917034,0.0006573826202707398,0.0009769190095006946,0.00014706319567759794,0.0001993837214345488,0.0001706241013169587,0.0008428651004278912,0.0005069278029669595,0.0005786621349103144,0.002129926177544323,0.0007447348741824558,0.000631864001173082,0.0007769614238820297,0.0006830396263082862,0.00013349633267923264,0.0015549934142281927,0.0004077583471805438,0.0003630620397235864,2.592976426140238e-05,0.00013446106442334602,4.0062832321137186e-05,0.0019804726137581043,0.0010723573585653579,0.0005251497488945403,0.0004905041867899963,6.637932409693335e-05,0.0004686984216975149,0.0003382164540909864,0.0010796413925056672,0.0003380355344370389,0.0003363771659610803,0.00042139418699778603,0.00048657781268344536,0.004103816255939343,0.0018775381369798836,0.000988590917383182,0.000493704283354805,0.004395346402739749,0.004425727834961294,0.0004620432393342674,0.0003542121921272623,0.0003140122407234899,0.00148810446621128,0.00034056179301875724,0.0004713984347184625,0.0007744312635463221,0.0010713092811798,0.0005459918293012494,0.0008189831860277925,0.00019100041324119314,0.001005349916497638,0.0002266108315705087,0.0009602989906366054,0.0007902742480065889,0.0013787661198031449,0.0004778724203345289,0.0003541341158034816,0.001256341088258349,0.000566490973828622,-0.00028038561855549786,0.00013330659990442952,0.000994402693344032,0.0005028779307902385,0.0007196815935586229,0.0011301629026914215,0.0018330975079391871,0.0012806830618915324,-2.689630831896956e-06,0.00016783243465569734,0.00042251435658988,0.0007058297014063969,0.0031740662138187757,1.31839083888307e-06,8.36828687805758e-06,0.002788785516829673,0.0023290559677167457,0.0008684061227695107,0.0001889617685503419,0.00040983591706532103,0.0005323998649060871,5.7469086915187803e-05,0.0005470017170267086,0.004986728733963999,3.6853615628569356e-06,0.0005067361104393163
Base,7,1687835220000000000,0.00031458927655112547,0.0003591266641732818,0.0030119938371245664,0.0007022546444087782,8.17050251457655e-05,0.00021561771696016784,0.00020233824604302998,0.0003987639676655354,0.0002812973145640223,0.0016254106481965603,0.0002208518244954122,0.002996136224653018,0.000528675439960072,0.0003098771938543308,0.0005154651908905658,0.0004267485255409935,0.0005909699532530844,9.29663402499656e-05,0.0001336990684436989,8.755238626228982e-05,0.0006249984701342374,0.00035257205189556526,0.0004011429608656769,0.0013885292812529804,0.0005649467327690258,0.0004885250678227513,0.00044781193737718303,0.0004506908341870852,0.0001066872417220625,0.0017856794359702671,0.00034746949517361656,0.0002891649589369681,1.9379256272763097e-05,8.980794596544592e-05,1.8039588354821515e-05,0.001145427132316908,0.0005636007143929675,0.00038706065125582346,0.00031907540157045917,4.415313578363507e-05,0.0003382121382493235,0.00023093464765271861,0.0008036978361368426,0.0002311292621837296,0.0002455404701709271,0.0003017006456044286,0.00041297666029801295,0.003223196804321284,0.0014488720134815188,0.0006367361573257672,0.00037198482263424963,0.00461718755104123,0.00446162724553301,0.0002734277142889908,0.00018536150433810678,0.0002713505145160945,0.0011099442154710235,0.00017980386848300112,0.00032141177744550155,0.0005785460748928301,0.0006993261587366414,0.00035919082640644556,0.0005580897744752498,0.0001086148968613682,0.0007224259622979789,0.0001413337135085909,0.0006580472916611606,0.0005989838383233388,0.0014086703512287105,0.00030340316442038605,0.00022954434461093003,0.0007837871839068866,0.0003706709899232886,-0.0001717965696045223,8.844596101959726e-05,0.0007018707205262392,0.0003118809695269187,0.0005262725668390381,0.000749766985027105,0.0009865260441076394,0.0008756008133084513,-1.0435576117296574e-06,0.00013064530859819567,0.0002903757360110321,0.0005178070083165039,0.0021784488769842456,3.4435669444990665e-07,8.639178042209452e-08,0.0017802703997439192,0.0016274944315710386,0.0005410003416442234,0.00011667954167072406,0.00025867366809816876,0.0003695381609621366,3.866506138927105e-05,0.00034158128890513905,0.0029017791374516774,2.4585897360141193e-06,0.00034243171453421015
Base,8,1687835520000000000,0.00019286009001763884,0.00023917718843307506,0.0019232011364635033,0.0004378728449420157,5.5141027418835966e-05,0.00017772797736564127,0.00015240088263282205,0.0002853746294513081,0.0002106108700814032,0.0011821444170656346,0.00023452238440841672,0.0019785922753963446,0.0003515096150644856,0.00023273743283308025,0.0003524572660910378,0.00029381687635241763,0.00037754305331385966,6.660996230892916e-05,9.105982881177191e-05,4.4101801345076135e-05,0.00048812812807381604,0.000246368480075873,0.00029046361924587905,0.0009092570067443545,0.00042369105242103606,0.00037470328027645465,0.0002742249293411225,0.0002800339076285782,8.322228074851565e-05,0.0017780347956989802,0.00029809068473001416,0.000230703721267197,1.289703532310317e-05,5.908272618993259e-05,7.401950089134096e-06,0.0008050036067872605,0.0003072779724241378,0.00029945873698923375,0.00023089510303496582,3.3512067798658106e-05,0.00027070069739945,0.00016698443524581347,0.0006483468608091002,0.00017759562608919878,0.00019008539359659593,0.00022976172007289444,0.00034094850905743037,0.0025049724257518212,0.001065631957892175,0.000431709051910291,0.0002848118916500268,0.004405539211581618,0.00419406552871519,0.00020628587569223537,0.00010737900145142331,0.00022651163471253008,0.0007861978546713733,8.833879168350426e-05,0.00020701939458010036,0.0003708524533247765,0.0005164841275238983,0.00026542551343365357,0.0003578094284765864,6.494156054767435e-05,0.0005208166207719057,0.0001032334588744704,0.00046352224080836745,0.00045079335646506244,0.0013598010344652643,0.0002077399604609333,0.00015739822620738312,0.0004721653621765269,0.00025482797964448294,-0.00010952498446457806,6.737674607454546e-05,0.0005094015764908946,0.00020982744748921067,0.00039900231926918105,0.0005372877308534093,0.0005448816664738373,0.0006215643971835178,-1.760445466061327e-07,0.00010473786118476609,0.00021943436740251492,0.0003869667183313146,0.0015296115837054468,4.939596194538636e-08,0.0,0.0011806911013978597,0.001256909456083808,0.0003628969636189156,7.895033202442284e-05,0.00016539793807120412,0.0002845019175079049,2.861647558814613e-05,0.00022111916934917063,0.0018440472000537023,1.0362258637418597e-06,0.00023363249724458633
Base,9,1687835820000000000,0.00013367579494753866,0.00018325629083661228,0.0012680797343869383,0.0002637603285556207,3.8498531648414064e-05,0.00015172331232322754,0.0001240031117679035,0.00020898858945645054,0.00017389853020698985,0.0008761689594323506,0.0002500773839316234,0.0013233880024614677,0.0002463522333594897,0.00018167009698701351,0.0002370247112863941,0.0002211175240642211,0.00027057902034688847,5.056934978240892e-05,6.561584967061497e-05,2.20329048275369e-05,0.00039177210997465967,0.00017193171952636888,0.0002280068863362018,0.0006189933889561463,0.00032596574068685755,0.0002925242823725621,0.00018244834486685793,0.0001895700732342441,6.368967749328048e-05,0.0016325351750699684,0.0002624685769317412,0.00018242166596327934,8.601598528890293e-06,3.9832095947325295e-05,3.4241508681585542e-06,0.0005934329183378956,0.00020921123964724955,0.00023902838847825164,0.00017500867816258716,2.5398867375261154e-05,0.00023342306337010066,0.0001196386342999625,0.0005307756401917016,0.0001392151132724305,0.00014871211569593792,0.00018009623895127956,0.00028158495174272356,0.0019230364397045188,0.00076721842183213,0.0003091553870745513,0.00022315739765023946,0.003996361444382205,0.0038062561642072104,0.0001700493242252241,7.420217381135353e-05,0.00018425190158026305,0.0005649520974214337,4.19898558946353e-05,0.00014508581017901864,0.00025169342959592843,0.0004077870677996841,0.00021974298038699973,0.00023999959610163698,4.252640171790442e-05,0.00038543912661504484,8.059586378808262e-05,0.000338781900282853,0.0003498901569050736,0.0012143601876074782,0.00015530083473349953,0.00010571673165225483,0.00026535748333667486,0.00020474246898344632,-7.215097247486488e-05,5.050896559825487e-05,0.00039083204483603314,0.00015901826747290656,0.0003163692963490678,0.00044755316933636297,0.0003257540354623042,0.0004502012302526414,-0.0,8.417213814615437e-05,0.0001760154374958027,0.0002958497133739826,0.0011440932086859085,0.0,0.0,0.0008134185638858992,0.0010278354405865802,0.00028944011805804134,5.465607706466708e-05,0.00011082001136973942,0.00023119150575839141,2.1836508731959854e-05,0.00015296971950638056,0.001180447718135204,2.405277968246666e-08,0.00016169635431578588
