,Base,I,V,V&I,link_id,neighborhood,link_name
0,0.0,108000000000000.0,108000000000000.0,108000000000000.0,timestamp,,timestamp
1,0.0,-2.1994111024100022e-05,-1.0317902698999998e-06,-2.2918507528000014e-05,C102-S,Patterson Park,C102-S_velocity
2,0.0,-1.052443768299969e-06,-1.3038017095999901e-06,-2.38520672309994e-06,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.00047456113194169994,-3.7781831767999714e-06,-0.00047564994687909995,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.0001273640537639,-5.088822681999878e-07,-0.0001275208241902,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-2.1905871125250996e-05,3.711912700008011e-09,-2.190401904041955e-05,C131-S,Fells Point,C131-S_velocity
6,0.0,2.829469451599972e-06,-2.76239189996811e-09,2.8400578340999696e-06,C141-S,Canton,C141-S_velocity
7,0.0,1.2755534792100018e-05,3.1794401999965353e-09,1.27578364301e-05,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,8.976559831999989e-06,-2.2681440100006875e-08,8.950314019699973e-06,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,1.021146679209997e-05,4.229506099951569e-09,1.0223823773200004e-05,C168-S,Canton,C168-S_velocity
10,0.0,4.83461394469001e-05,2.6717726999987007e-09,4.834956436280003e-05,C182-S,Canton,C182-S_velocity
11,0.0,4.7522450396296907e-07,1.3501958648167893e-10,4.754125377544999e-07,C187-S,Canton,C187-S_velocity
12,0.0,-0.0004625795897832,-7.431936944999901e-07,-0.00046282684534039995,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,-0.00010327233463826086,-1.5845826120000433e-07,-0.00010326843085428221,C191-S,Patterson Park,C191-S_velocity
14,0.0,9.918847568000412e-07,-7.008519449999695e-07,2.916503217000564e-07,C211-S,Patterson Park,C211-S_velocity
15,0.0,-9.645252831460004e-05,-9.820053029500019e-06,-0.00010467908407850001,C21-S,Broadway East,C21-S_velocity
16,0.0,2.031366284990007e-05,-2.2566974579996254e-07,2.060835659670006e-05,C226-S,Baltimore Highlands,C226-S_velocity
17,0.0,-0.00013088040454030002,-3.1230103207000276e-06,-0.00013225832167240004,C227-S,Kresson,C227-S_velocity
18,0.0,-7.013459636499999e-06,-1.4654989799998703e-07,-7.1193711045000054e-06,C229-S,Kresson,C229-S_velocity
19,0.0,-2.964136777500019e-06,-4.495469158100014e-06,-7.47151967600001e-06,C236-S,Orangeville,C236-S_velocity
20,0.0,-1.8438920430204455e-05,-1.2240561288306453e-06,-1.8870845045410922e-05,C23-S,Broadway East,C23-S_velocity
21,0.0,4.5600245960999205e-06,-1.7168181868000175e-06,3.022628769999919e-06,C249-S,Madison-Eastend,C249-S_velocity
22,0.0,-2.6508718343300002e-05,4.021583788999883e-07,-2.5905619188099993e-05,C251-S,Madison-Eastend,C251-S_velocity
23,0.0,2.1745596710299976e-05,6.22475536000153e-08,2.1873733644599985e-05,C260-S,Baltimore Highlands,C260-S_velocity
24,0.0,-0.00024805561230830005,-2.9555230025399997e-05,-0.00026452654449310003,C26-S,Broadway East,C26-S_velocity
25,0.0,9.027442720499956e-06,-2.1375980280004215e-07,8.835962479100006e-06,C274-S,Kresson,C274-S_velocity
26,0.0,5.715492816399988e-06,-6.13663185319998e-06,-9.22023520900006e-07,C279-S,Broadway East,C279-S_velocity
27,0.0,-0.00012064206299858043,-6.7822202412000235e-06,-0.0001240458559632577,C27-S,Broadway East,C27-S_velocity
28,0.0,-3.439827249115623e-05,-6.219471585799995e-06,-3.77071395302747e-05,C292-S,Broadway East,C292-S_velocity
29,0.0,9.967907092999992e-07,6.193055284000129e-07,1.568816055499999e-06,C2-S,South Clifton Park,C2-S_velocity
30,0.0,3.849315748479995e-05,-3.1621024857000045e-05,2.0810520033999816e-06,C301-S,Eager Park,C301-S_velocity
31,0.0,8.259294235300014e-06,-9.389958741000057e-07,7.2501122814000115e-06,C314-S,Dunbar-Broadway,C314-S_velocity
32,0.0,-4.459117481417406e-05,-9.020285376000031e-07,-4.5106957342838804e-05,C317-S,Dunbar-Broadway,C317-S_velocity
33,0.0,-1.4361001177450193e-06,-2.6182024660924003e-08,-1.4464677491511808e-06,C319-S,Washington Hill,C319-S_velocity
34,0.0,-1.856941862305849e-05,-1.1617051851103768e-07,-1.8635624195110875e-05,C321-S,Washington Hill,C321-S_velocity
35,0.0,-4.5617694429317235e-06,-5.7351383998080106e-09,-4.5495769015131685e-06,C325-S,Fells Point,C325-S_velocity
36,0.0,-0.00037554076865319985,-4.087453977400001e-06,-0.0003784948820888998,C327-S,Fells Point,C327-S_velocity
37,0.0,-0.0002134356147462,-1.9460558745000795e-06,-0.0002145511441022,C328-S,Fells Point,C328-S_velocity
38,0.0,-1.5571388971999606e-06,-2.88373071859996e-06,-4.15972345229991e-06,C338-S,Washington Hill,C338-S_velocity
39,0.0,1.4116291900299937e-05,-1.783326255600003e-06,1.2405408661499986e-05,C340-S,Fells Point,C340-S_velocity
40,0.0,2.1874002467999886e-06,-3.7445356492000136e-06,-1.7132631451000047e-06,C34-S,South Clifton Park,C34-S_velocity
41,0.0,3.976428154300036e-06,1.2047970000123032e-10,3.975950406099986e-06,C351-S,Fells Point,C351-S_velocity
42,0.0,-3.637447014385947e-05,1.026257400010811e-09,-3.637351360503331e-05,C355-S,Fells Point,C355-S_velocity
43,0.0,2.764028203519999e-05,2.181922000932604e-10,2.764156403749999e-05,C361-S,Fells Point,C361-S_velocity
44,0.0,-3.381105283820001e-05,1.970170000016244e-09,-3.3809647622499994e-05,C362-S,Fells Point,C362-S_velocity
45,0.0,-3.7926973265999995e-05,-7.906862113500016e-06,-4.55743345311e-05,C37-S,South Clifton Park,C37-S_velocity
46,0.0,2.0414359520399953e-05,-1.7543199000696202e-09,2.0415029026899997e-05,C382-S,Canton,C382-S_velocity
47,0.0,9.328066115600017e-06,-1.5181361877000007e-06,7.58001490700001e-06,C3-S,Upper Fells Point,C3-S_velocity
48,0.0,8.264259801003641e-07,-0.00012122594115289995,-0.00012047825806439996,C417-S,Canton Industrial,C417-S_velocity
49,0.0,-4.0871689724899965e-05,-6.81865822434e-05,-0.00010615682989329996,C418-S,Canton Industrial,C418-S_velocity
50,0.0,3.877800280199968e-06,-1.8051323488999741e-06,2.421229945300061e-06,C422-S,Canton Industrial,C422-S_velocity
51,0.0,1.07839713296e-05,-1.4413211670999968e-06,1.0042616029600008e-05,C449-S,Broadway East,C449-S_velocity
52,0.0,6.069802615220007e-05,-8.876213247099992e-05,-1.6411053876199972e-05,C462-S,Eager Park,C462-S_velocity
53,0.0,0.0001056571201784001,-6.21750740985999e-05,3.4839577211300075e-05,C463-S,Eager Park,C463-S_velocity
54,0.0,1.860561954620003e-05,-4.253158252699968e-06,1.4236557119700027e-05,C473-S,Berea,C473-S_velocity
55,0.0,-2.9490512565900006e-05,-4.4362241632000155e-06,-3.3271239967700035e-05,C474-S,Berea,C474-S_velocity
56,0.0,0.000174453100949,1.3470206778999974e-06,0.00017433617959160003,C478-S,Orangeville,C478-S_velocity
