scenario,row,timestamp,C102-S_velocity,C105-S_velocity,C111-S_velocity,C113-S_velocity,C131-S_velocity,C141-S_velocity,C159-S_velocity,C163-S_velocity,C168-S_velocity,C182-S_velocity,C187-S_velocity,C190-S_velocity,C191-S_velocity,C211-S_velocity,C21-S_velocity,C226-S_velocity,C227-S_velocity,C229-S_velocity,C236-S_velocity,C23-S_velocity,C249-S_velocity,C251-S_velocity,C260-S_velocity,C26-S_velocity,C274-S_velocity,C279-S_velocity,C27-S_velocity,C292-S_velocity,C2-S_velocity,C301-S_velocity,C314-S_velocity,C317-S_velocity,C319-S_velocity,C321-S_velocity,C325-S_velocity,C327-S_velocity,C328-S_velocity,C338-S_velocity,C340-S_velocity,C34-S_velocity,C351-S_velocity,C355-S_velocity,C361-S_velocity,C362-S_velocity,C37-S_velocity,C382-S_velocity,C3-S_velocity,C417-S_velocity,C418-S_velocity,C422-S_velocity,C449-S_velocity,C462-S_velocity,C463-S_velocity,C473-S_velocity,C474-S_velocity,C478-S_velocity,C530-S_velocity,C532-S_velocity,C548-S_velocity,C549-S_velocity,C550-S_velocity,C551-S_velocity,C556-S_velocity,C576-S_velocity,C602-S_velocity,C638-S_velocity,C650-S_velocity,C659-S_velocity,C65-S_velocity,C677-S_velocity,C681-S_velocity,C685-S_velocity,C687-S_velocity,C68-S_velocity,C69-S_velocity,C708-S_velocity,C725-S_velocity,C728-S_velocity,C729-S_velocity,C734-S_velocity,C740-S_velocity,C742-S_velocity,C744-S_velocity,C74-S_velocity,C752-S_velocity,C756-S_velocity,C758-S_velocity,C759-S_velocity,C761-S_velocity,C771-S_velocity,C772-S_velocity,C779-S_velocity,C79-S_velocity,C7-S_velocity,C816-S_velocity,C830-S_velocity,C839-S_velocity,C84-S_velocity,C89-S_velocity
Base,0,1687833120000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,1,1687833420000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,2,1687833720000000000,7.544053631315536e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.186770656706473e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0278445076807618e-08,2.4279028749021226e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4404503012226063e-08,0.0,1.321959317226377e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0327395367038567e-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Base,3,1687834020000000000,0.00010093283474655525,0.00027376720641417645,7.373658886680082e-05,0.0001258445331960152,2.6434364664513018e-05,0.0006065513157990623,0.00035782444922767586,0.00016672367626919748,0.0005481764714884323,0.0013965916230087327,1.505417514417991e-06,0.0005148945044302381,1.5779122263469933e-05,0.0008569213074020162,0.00022759460601570053,0.00024402554007160412,0.00014095408339187914,0.00010104542894632616,6.217037231856492e-05,1.0331566241736342e-05,0.0006085130317901483,0.0002109065790041677,0.0004741039694816267,0.0004549121505637626,0.00020199699575708952,0.00010763436212213665,3.8837209103479494e-05,3.601092028222767e-05,0.0001373108320134314,8.851454236213295e-08,0.000159438928287207,3.62775194375462e-05,5.531447338682603e-13,3.734086506022062e-05,1.5090302913585128e-05,0.0005714935318570666,2.0547726723484075e-05,0.0005503847444834833,0.00037539345539460756,0.00021310517604953162,0.000286982650693797,1.818331455037172e-07,0.0007901902426003755,9.258036800906101e-05,0.0001630807258653257,0.0009207615369868483,5.796958387491139e-05,0.0017118057664530395,0.0005278617422003337,0.0011901776224245832,0.0001260874099063964,0.00016411662575682425,0.0008120427226942188,0.0008235803179227497,0.00041099468694678833,0.0012715560526830971,0.0002559543081920201,3.872002436948088e-06,0.0,0.0,0.0011232356736046402,0.00040907942226356365,1.9770114206004827e-05,6.0013272850062e-06,0.00035490665392051213,3.8711095011052014e-05,0.0006892258336401876,0.00023465592644463093,7.882345819311912e-05,0.0007219404760569774,3.2598768635047995e-08,0.00012630110655903094,0.0009539782668725226,-3.557484772284707e-05,4.043960682065431e-05,0.0006442288914376039,0.00036572174982651967,0.0009620006318309403,0.0011159928002735036,0.00141302921212707,0.0010098059867973878,-6.307020394706493e-08,0.0004836076246625279,0.0001060832899162093,0.0002670867484860919,0.002853277411887532,3.644980491841682e-08,9.870058521713545e-05,0.004677332150559529,0.00151604939812918,0.0003943296327078561,0.0005443427436332862,0.000157242503609932,0.00020137921423069672,0.0004018715275556864,4.826328965965319e-05,0.0018091446956206916,1.0100943882992189e-05,0.0001696952789010822
Base,4,1687834320000000000,0.0003126847826749951,0.0005482882435741458,0.0006969842115439909,0.00026547961968444666,0.00012189278800028147,0.0004927666342667226,0.0003741272993174662,0.0003015421390808955,0.0005193328319068346,0.0016880629997596311,2.002228601550655e-06,0.0009200438262860312,0.00010208313148812101,0.000743783447103779,0.00041786853851819434,0.00048633294013047354,0.00037671431257821385,0.00024094005685721965,0.0001345374067290579,2.6831366016423687e-05,0.000475033043533059,0.000270636205439066,0.0005186180555138555,0.0007355340375079086,0.00034086972055246014,0.0002621557738004017,0.00016586539270142746,8.664723694950228e-05,0.00010139530585520087,5.659940394051692e-05,0.00022020692212051224,0.00010234857591412657,3.1601519919674516e-07,5.335226677003875e-05,1.4919010748245581e-05,0.0014262102328584357,0.0004141706781996595,0.0005418700825572172,0.0005237160627025382,0.00014392815607331628,0.0003434814919234582,4.771455232215944e-05,0.0008421856223292241,0.00022256620517714594,0.0002549165303492504,0.0008195056323396251,0.00012586791259902838,0.0021855026138246202,0.0008469414760727341,0.0012840618274276914,0.00020316259223227858,0.0007559689481412525,0.001180992025026001,0.0005436289858285327,0.0003773543300877541,0.000670954217912987,0.0004291266496778114,3.9111521952531386e-05,3.2714376245884925e-06,0.0,0.0012107169765112231,0.0006254130528497373,0.00011784429089255744,5.3845786014451975e-05,0.0005413319170728788,8.639913435305492e-05,0.0008201853002498715,0.0003627550391052909,0.00018080296977969877,0.0007562530449803806,4.8364149737102844e-05,0.00015224478206223442,0.0009058494923417516,-0.0001519250089467236,0.00013191789823970726,0.0006711174825169356,0.0005928162539604373,0.000890321690495761,0.0012287055106765634,0.001091253794554604,0.0011894771544999987,-6.187991403192905e-07,0.000303362758142198,0.00020287837401246147,0.0003931203887295845,0.0030202570147538333,3.993981328112035e-07,6.303323641636468e-05,0.004200508932075715,0.0017744536545629692,0.0007560925348110681,0.0004302353186002056,0.00035834130361099065,0.00025694782749385956,0.0001787503384983239,0.00022269807199979056,0.002243420511383533,3.407012585662521e-06,0.0003536825731278368
Base,5,1687834620000000000,0.0003348280109434592,0.00044355649443974355,0.0011252514454628748,0.0003141346370041089,0.00011595746335073274,0.0003231904337390502,0.00027238668480061455,0.00028798667192017066,0.0003617618435253956,0.0014693321742561844,1.557760115513969e-06,0.0010646309601983752,0.00014482674026735707,0.0004699422244505792,0.0003675375043864425,0.0004407276433673959,0.00041028269460963396,0.00018287886053414154,0.00013021293383360289,3.1100098001076774e-05,0.00036134145543342057,0.00018085072106064653,0.0004327830012651655,0.000709504999959223,0.00032236021538190095,0.00029393690009225557,0.00019120202498415555,0.00012559005115817253,5.8051866073449153e-05,0.00018708270490826117,0.00021537368424589848,0.0001164028767493133,1.6856211663244957e-06,5.4075904894113694e-05,8.597207222246187e-06,0.0012629393035330546,0.0005123252108683285,0.0004354881307982168,0.00040017970692530623,8.656236547638859e-05,0.00029964120567250346,0.00010958695828563133,0.0007525665057707097,0.00021845290999117546,0.00022081124954902268,0.0005245225917046414,0.00015878472936488617,0.002084138338675685,0.0008148243118260617,0.0009173676344304347,0.0002120144805406126,0.0010388656488087582,0.0014645952241653297,0.00037286137151858656,0.00024709358527344347,0.00045109143955976904,0.0004331565064578353,4.6335925571648455e-05,2.770680562270571e-05,7.3235315965214304e-09,0.0008980669316383383,0.0004610707250648108,0.00015983892070159706,6.517454018634507e-05,0.0005049695942176453,0.00011806852583473938,0.0006744993522913842,0.00032850602241071494,0.00021811971812470192,0.00048394042991218016,0.00011859379183889822,0.00019442998783694268,0.0005970882432312007,-0.00018055387618328545,0.00013761026521536587,0.0005852809372276883,0.00044546068898066934,0.0006821789359846434,0.0009332564156168189,0.0006255619138157668,0.0009649591513790751,-6.147119187818751e-07,0.00019360017793055496,0.0001978777714457349,0.0003685218220149827,0.00236545026354632,2.9971187030177675e-07,2.3584204453048607e-05,0.0028681347077337866,0.0015510497088203226,0.0005709927907891504,0.0002479301784632125,0.0002695979561622585,0.00024163291743499416,9.697873249094513e-05,0.0002476589384596786,0.001682615084073023,6.960436549540477e-07,0.00030497455098677813
Base,6,1687834920000000000,0.00024219084977099558,0.000311945350443058,0.0010485325885091566,0.00026248710814978546,8.311139662405097e-05,0.0002337354696991845,0.00020680101246078092,0.0002382895985810119,0.0002583122138708342,0.0011828505019297443,7.666836328758562e-07,0.000969693792405327,0.00014639448350958317,0.0003228780009459672,0.0002586018251406841,0.0003387574326018231,0.00032911150291147433,0.00012310907540068802,0.00010400824386068853,2.1833157722709787e-05,0.00027981731228728974,0.00011833932683489806,0.0003452408483268576,0.0005950734309638681,0.0002800005690154453,0.00026807757037170167,0.00016332200527267792,0.00013401504239906275,3.880517565509644e-05,0.0003014498958686721,0.00020310500100712483,0.0001056465999037678,1.9236147415012628e-06,4.6002645461772285e-05,5.010509153911457e-06,0.0009391845016532768,0.00036385849975431155,0.0003472965762711601,0.00029562626144364674,5.8305950552892507e-05,0.0002658597455977377,0.00011994690662387888,0.0006527025599368241,0.00018250066781959118,0.00017391122308926108,0.0003748247896752513,0.00016290587201864674,0.001823786337869362,0.0006978304302122694,0.000628696675950702,0.0001959400451695342,0.0013261824509735846,0.0017932275998777873,0.00027857087394825704,0.0001617612702968477,0.00035201804772263216,0.00038344781688670593,3.196031074260149e-05,4.7545814058604556e-05,1.263070395706356e-06,0.000650868381990375,0.0003553355798338736,0.0001527799506885706,5.2769163919659695e-05,0.00042967661007799874,0.00011776629671887333,0.0005130926703415489,0.00029619297826827344,0.00023122603598663854,0.00032202215579716346,0.00012230023397914386,0.00022085190547136818,0.0003964501650164579,-0.00015606273884016158,0.00010721436983872228,0.0004761397777813409,0.00029850889705998864,0.0005220011638670769,0.0006718193215991654,0.00036579558095396807,0.0007311492275208188,-2.09240820504388e-07,0.00014319442871522968,0.00017100746160561564,0.00031815851206087685,0.0017577867046125683,7.227036930750662e-08,3.78010857616489e-06,0.001899391322352791,0.001289638921812066,0.0004080040002727617,0.00015222129869911356,0.00017653124611106768,0.00021068682634756952,6.205452528497911e-05,0.00019938618813429882,0.001233890711950202,5.5856965111795085e-09,0.000233201203295175
Base,7,1687835220000000000,0.00016638216595496192,0.0002248092593048427,0.0008563080273522784,0.00019156055374667752,5.796275349768779e-05,0.00019056992251997499,0.00015790627816370401,0.0001967713578224886,0.00020619918674050992,0.0009238904890747039,1.3805724437547818e-07,0.000801087997853635,0.00012142899287439299,0.0002395442251147856,0.00017109747285235478,0.00026333484659184263,0.00025352285705324603,9.119042815435713e-05,7.854370872048242e-05,1.0741424105419194e-05,0.00021372462391291405,7.503969746666862e-05,0.0002760037231698556,0.00047529304797735327,0.0002440456571223242,0.00022898804602189683,0.0001274941412884052,0.00012458953818405457,2.7693931411140635e-05,0.0004246907405472903,0.00018851652595165127,9.269117832251216e-05,1.6869221004621319e-06,3.488361698745245e-05,2.944652613435337e-06,0.0007187111264370794,0.00025691099194984925,0.000275461540927613,0.0002235477596643435,4.2592438905401554e-05,0.00023326283385695395,0.00010385994888661816,0.0005533077210245685,0.00014713020637644963,0.0001360656455220214,0.0002784140814917662,0.00015700224723974864,0.001535550376800397,0.0005673128077412083,0.0004374000207830792,0.00017018406636353886,0.0016234423081411997,0.0020240484972520565,0.0002168447021994125,0.0001121813645832638,0.00026580348867579195,0.00033480130740050167,1.879324941810805e-05,5.107657943796281e-05,6.5571266854533375e-06,0.0005002204957458241,0.00028655416373294924,0.0001299944424284738,3.966245679049752e-05,0.00034944186787850016,9.957455002296895e-05,0.00038921923191287964,0.00026018906102529915,0.00023837176201634095,0.0002301845851593157,9.587110920096166e-05,0.00019234660840549455,0.0002727655349249972,-0.00012823160653844441,8.247099331408413e-05,0.000390707365467381,0.00021223736984784977,0.0004027501577969899,0.000514511503999465,0.00024076080687170874,0.0005456219208128433,-2.9985708060309442e-09,0.00011264199116288019,0.0001387654744704473,0.0002620071637294163,0.001345137904326477,8.712794948632028e-10,0.0,0.0012762663882903266,0.001081897807747575,0.00031988992262402136,0.00010367162437397882,0.00011571760889403319,0.0001785347094991328,4.5578255212128194e-05,0.00014992943286858387,0.0008967496713179518,0.0,0.00017369770048434363
Base,8,1687835520000000000,0.00012122813418716184,0.00017949165615247517,0.0007083359082490242,0.000141366457202882,4.0511388962823076e-05,0.00015939649384438446,0.00012830395593812786,0.00016860634264693225,0.0001714879857525558,0.0007405487302322646,0.0,0.0006463220443262618,9.405200548015225e-05,0.00018502213636445244,0.0001104998108878507,0.00021104409798611824,0.00019422489828050405,6.810297992425903e-05,6.138233897469821e-05,4.874875359241708e-06,0.00015634502330954622,4.655927033856656e-05,0.00023192181139550984,0.0003772145166974451,0.0002119607623483045,0.0001941722315915136,9.45963798400481e-05,0.00010775927575274061,2.0683998586098917e-05,0.0005152624196133447,0.00017383729899930148,7.953473350823633e-05,1.3802454920501011e-06,2.642467862681445e-05,1.7804570081827353e-06,0.0005424247641112387,0.00018100114661027928,0.00022495864905269295,0.00017201049336151866,3.20935414884099e-05,0.0002045453043739551,8.212578979859548e-05,0.0004725770189124208,0.00011935190402249539,0.00010675611920607652,0.00021510577518341943,0.00014758514998112026,0.001270506321628818,0.0004456171299993052,0.000316338525354137,0.00014806928778274882,0.0017774832840077315,0.002123576350282126,0.00017655657300952662,7.875115169238766e-05,0.00021101099022989773,0.00029124179612318325,1.0671042390441775e-05,4.3668725447988786e-05,1.002115331393403e-05,0.0004022356174268357,0.00024062887113087666,0.00010809430031526277,2.8733205817058777e-05,0.0002961661685835322,8.134102656697863e-05,0.00029882289696471666,0.00022721009667507947,0.0002472953770481223,0.0001758346158239618,6.760604389107867e-05,0.00013517929400085627,0.00021530178927172997,-0.00010514852373290626,6.215759472082242e-05,0.0003357151329538173,0.00016422157866827412,0.00032237931458941243,0.0004382315860575148,0.00016214328843530595,0.000414907693660615,-0.0,9.081571334393387e-05,0.00011186599141994052,0.00022207750033378522,0.001082586483406654,0.0,0.0,0.0008813344889703805,0.0009205204165243793,0.00026335670844887386,7.085423005387394e-05,7.560363652806482e-05,0.00014673940201135637,3.447719980085629e-05,0.00011468745988173119,0.0006368594075725148,0.0,0.0001320159583382835
Base,9,1687835820000000000,8.888500046032827e-05,0.00015182255358068801,0.0005880076959388787,0.00010679779365346867,2.7746912577837023e-05,0.00013543626529682315,0.00010351582894147438,0.00014689141728116295,0.00013875563681917553,0.00060937819049783,0.0,0.0005342501001915476,7.171552711177601e-05,0.00014771742332877935,6.996460769467802e-05,0.00017397533273531498,0.0001495022074257024,5.1483190115592656e-05,5.045798486214862e-05,2.092697255090143e-06,0.00011240061324405669,2.559183936656743e-05,0.00019824323327661,0.00031311609711626257,0.00018680840832610603,0.00016459649593319426,6.914830043788197e-05,9.226633786969557e-05,1.6142057896697892e-05,0.0005546844154448202,0.00015966197720654926,6.771488579891697e-05,1.0873294654571894e-06,1.933292407745754e-05,1.1288985817113477e-06,0.0004112998169917524,0.00012360119888656708,0.0001821861193419009,0.000134419554945609,2.4365806909349604e-05,0.00017902123882192162,5.960691363280517e-05,0.00040162823872693255,9.692921571144887e-05,8.63263074364771e-05,0.00017019009180638302,0.00013687309975425268,0.0010584251429196566,0.00036381628475698176,0.0002487104606502455,0.00012759360503002118,0.001809865853848794,0.002107325502750454,0.0001468142506873017,5.716314025406902e-05,0.00016756810471979798,0.00025434391571986693,5.126247570397149e-06,3.452930583628244e-05,9.358537769356617e-06,0.0003259833074456123,0.00019868344298924244,8.840927984041679e-05,2.0267970210955877e-05,0.0002580973756850873,6.583707918522751e-05,0.0002364906062385709,0.00019737391712828394,0.0002489848104233389,0.0001392455785907423,4.96346059412055e-05,8.876178014503859e-05,0.000180068955582452,-8.627096071225355e-05,4.7158578312842884e-05,0.00029832363302097626,0.00013125490837329268,0.00025849959473460643,0.0003820731894715188,0.0001217766951128082,0.0003325128943561736,-0.0,7.082192446789727e-05,9.033754747566452e-05,0.00019608285856341728,0.0008982474997673229,0.0,0.0,0.0006206801097810437,0.0007807307198266497,0.00021593747680006384,4.963804232761722e-05,4.742329656564313e-05,0.00012313747712130514,2.621046242892769e-05,9.023169299155383e-05,0.0004139136643022493,0.0,0.00011177453685739855
