,Base,I,V,V&I,link_id,neighborhood,link_name
0,0.0,0.0,0.0,0.0,timestamp,,timestamp
1,0.0,-0.0001056523768508998,-2.5331387616999226e-06,-0.00010835805733299991,C102-S,Patterson Park,C102-S_velocity
2,0.0,4.279742844999967e-06,-2.4236345319999554e-06,1.920892372200096e-06,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.0019319801803707997,-1.395765544009997e-05,-0.0019428003231290996,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.0003478619156567001,-2.5675457841001833e-06,-0.00034934054615990014,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-4.4240818196400006e-05,-4.9158599987973034e-11,-4.4240974026700004e-05,C131-S,Fells Point,C131-S_velocity
6,0.0,6.2588687475000244e-06,4.602657699848828e-09,6.2440915707998555e-06,C141-S,Canton,C141-S_velocity
7,0.0,1.5245781348400037e-05,-1.7880029999986502e-09,1.5242492412200046e-05,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,6.856975206639992e-05,-1.2040070610007478e-07,6.845260541830001e-05,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,7.774726917569993e-05,1.1900884799983732e-08,7.77042781691e-05,C168-S,Canton,C168-S_velocity
10,0.0,1.28603797478e-05,-4.711728830014694e-08,1.277871628440003e-05,C182-S,Canton,C182-S_velocity
11,0.0,2.2430254602199987e-05,-3.2580987799986274e-08,2.2607471134599984e-05,C187-S,Canton,C187-S_velocity
12,0.0,-0.0019525853129045002,-4.742098926500092e-06,-0.0019553628896402005,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,-0.0007600285281222001,-2.653649352700113e-06,-0.0007604471345411001,C191-S,Patterson Park,C191-S_velocity
14,0.0,-5.1912997829999495e-06,-4.481680710299949e-06,-9.644616343299807e-06,C211-S,Patterson Park,C211-S_velocity
15,0.0,-0.0004644058335374,-6.413700613590008e-05,-0.0005021233844533001,C21-S,Broadway East,C21-S_velocity
16,0.0,1.69182218481001e-05,-1.3327303058998947e-06,1.5107791163099975e-05,C226-S,Baltimore Highlands,C226-S_velocity
17,0.0,-0.0006062581078338999,-9.764819412299945e-06,-0.000615710343835,C227-S,Kresson,C227-S_velocity
18,0.0,-2.7007372323199948e-05,-6.175108875000135e-07,-2.7446046753599996e-05,C229-S,Kresson,C229-S_velocity
19,0.0,-3.4785661243999727e-06,-8.518619648199995e-06,-1.200208522049998e-05,C236-S,Orangeville,C236-S_velocity
20,0.0,-0.00015135534578871726,-1.3695840403299967e-05,-0.0001576614854356572,C23-S,Broadway East,C23-S_velocity
21,0.0,-1.6077839303000555e-06,-3.6669636307999805e-06,-5.310246135999943e-06,C249-S,Madison-Eastend,C249-S_velocity
22,0.0,-0.00010628059557209993,2.6352641899999186e-07,-0.00010727583648829995,C251-S,Madison-Eastend,C251-S_velocity
23,0.0,2.316057584289999e-05,1.6344916389994003e-07,2.316001276270012e-05,C260-S,Baltimore Highlands,C260-S_velocity
24,0.0,-0.0008108833749365997,-0.00013267600737979987,-0.0009294052175524998,C26-S,Broadway East,C26-S_velocity
25,0.0,3.152295806809987e-05,-2.2335201750015195e-07,3.1025082375599894e-05,C274-S,Kresson,C274-S_velocity
26,0.0,-8.098964186999558e-07,-1.8773249491899936e-05,-1.9954735735099993e-05,C279-S,Broadway East,C279-S_velocity
27,0.0,-0.0006142584838494,-7.017015188459999e-05,-0.0006569219946906,C27-S,Broadway East,C27-S_velocity
28,0.0,-0.0002596851213167,-3.9698858847799965e-05,-0.0003037976939905,C292-S,Broadway East,C292-S_velocity
29,0.0,1.343384243930002e-05,1.5242780359000022e-06,1.583970747710001e-05,C2-S,South Clifton Park,C2-S_velocity
30,0.0,0.00018104464931570016,-7.623049654769992e-05,9.627738305410002e-05,C301-S,Eager Park,C301-S_velocity
31,0.0,2.974970726750002e-05,-2.4315564696000044e-06,2.746492036470008e-05,C314-S,Dunbar-Broadway,C314-S_velocity
32,0.0,-0.00012010220716359999,-2.0007917801999927e-06,-0.0001215296629604,C317-S,Dunbar-Broadway,C317-S_velocity
33,0.0,-2.0090158935540814e-05,-3.599694505556645e-07,-2.0162295025753486e-05,C319-S,Washington Hill,C319-S_velocity
34,0.0,-8.24962644139e-05,-7.346246096000004e-07,-8.284708137279998e-05,C321-S,Washington Hill,C321-S_velocity
35,0.0,-4.4815048784595094e-05,-2.122061311251802e-07,-4.483096877767345e-05,C325-S,Fells Point,C325-S_velocity
36,0.0,-0.0010338849475110003,-1.3785838776999779e-05,-0.0010498802261594002,C327-S,Fells Point,C327-S_velocity
37,0.0,-0.0004757430610084,-5.6482922210000265e-06,-0.00048201041682099997,C328-S,Fells Point,C328-S_velocity
38,0.0,1.752200142000459e-07,-1.1565422039099904e-05,-1.1458435512699903e-05,C338-S,Washington Hill,C338-S_velocity
39,0.0,-3.926514377899882e-06,-6.291012600499919e-06,-1.0472531540199961e-05,C340-S,Fells Point,C340-S_velocity
40,0.0,9.613081228000133e-07,-1.1523556994700028e-05,-1.0500249526899995e-05,C34-S,South Clifton Park,C34-S_velocity
41,0.0,3.913613593000006e-06,-1.0668006400027345e-08,3.913638041699906e-06,C351-S,Fells Point,C351-S_velocity
42,0.0,-8.34167953463e-05,-1.7076380001875002e-10,-8.34174072112e-05,C355-S,Fells Point,C355-S_velocity
43,0.0,7.79053373001562e-08,-4.631055919995797e-08,7.795352010035381e-08,C361-S,Fells Point,C361-S_velocity
44,0.0,-0.00011607066384809999,1.9498250008933432e-10,-0.00011607089892369993,C362-S,Fells Point,C362-S_velocity
45,0.0,-0.00015101413521780005,-3.3476621686700007e-05,-0.0001797862368688,C37-S,South Clifton Park,C37-S_velocity
46,0.0,-5.299346998399908e-06,-1.9563616998098665e-09,-5.305960812800135e-06,C382-S,Canton,C382-S_velocity
47,0.0,-4.594126919600064e-06,-7.094051535700102e-06,-1.1724388787400018e-05,C3-S,Upper Fells Point,C3-S_velocity
48,0.0,1.8055392525299918e-05,-0.00021643197520610034,-0.00019895599543450024,C417-S,Canton Industrial,C417-S_velocity
49,0.0,-1.8290271853399834e-05,-9.351657950090004e-05,-0.00010992653245919977,C418-S,Canton Industrial,C418-S_velocity
50,0.0,1.5494035575799696e-05,-4.2382445387002116e-06,1.114250935159997e-05,C422-S,Canton Industrial,C422-S_velocity
51,0.0,3.0373726398200043e-05,-3.662701124699944e-06,2.5741106866999973e-05,C449-S,Broadway East,C449-S_velocity
52,0.0,0.00025644130060129954,-0.0001796057825200004,5.951238990169975e-05,C462-S,Eager Park,C462-S_velocity
53,0.0,0.00031658508013050063,-0.00014501925871139923,0.0001681916272459,C463-S,Eager Park,C463-S_velocity
54,0.0,-7.947241336000131e-07,-1.3709536663399904e-05,-1.4213291364200027e-05,C473-S,Berea,C473-S_velocity
55,0.0,-0.00026218656920969996,-1.2270535473700092e-05,-0.00027334697114240005,C474-S,Berea,C474-S_velocity
56,0.0,0.0001061095515873002,-5.622346340998681e-07,0.00010781323699329999,C478-S,Orangeville,C478-S_velocity
57,0.0,-0.00044433357837220006,-4.2503677392599854e-05,-0.00046951933276270005,C530-S,Eager Park,C530-S_velocity
58,0.0,-0.0002872240731047,-5.201893542689998e-05,-0.00030482160360749996,C532-S,Eager Park,C532-S_velocity
59,0.0,-0.0003142771452388,-2.450291192459999e-05,-0.0003180217450195,C548-S,Dunbar-Broadway,C548-S_velocity
60,0.0,-0.0005736650290994893,-6.095489433549997e-05,-0.0005769800996329208,C549-S,Dunbar-Broadway,C549-S_velocity
61,0.0,2.1969018602998637e-06,-2.1551541099906063e-08,2.1817043300998568e-06,C550-S,Dunbar-Broadway,C550-S_velocity
62,0.0,-3.233944297819985e-05,-9.116194799908828e-09,-3.235694850329987e-05,C551-S,Dunbar-Broadway,C551-S_velocity
63,0.0,-0.0005520391805731999,-4.604537196549994e-05,-0.0005608148568583,C556-S,Eager Park,C556-S_velocity
64,0.0,-0.0001345713126463,-1.915548117000258e-07,-0.00013452135962870002,C576-S,Dunbar-Broadway,C576-S_velocity
65,0.0,9.073953747910013e-05,-3.0598136292799916e-05,5.806702126420001e-05,C602-S,Downtown,C602-S_velocity
66,0.0,-2.0069891239500007e-05,-9.23778322700023e-07,-2.04238661161e-05,C638-S,Downtown,C638-S_velocity
67,0.0,7.50401227593003e-05,-3.249776769599904e-06,7.152420967780019e-05,C650-S,Downtown,C650-S_velocity
68,0.0,2.727314838670003e-05,-2.8734229319500116e-05,-8.384505674500055e-06,C659-S,Downtown,C659-S_velocity
69,0.0,-0.0003183378057520002,-4.8026055199400014e-05,-0.00038087320702640004,C65-S,McElderry Park,C65-S_velocity
70,0.0,0.00011843910090300028,5.577726206700126e-06,0.00012005591192989985,C677-S,Downtown,C677-S_velocity
71,0.0,-0.00022660706474380004,-1.4911446516000003e-05,-0.00023105005759380001,C681-S,Downtown,C681-S_velocity
72,0.0,-0.0008420676904553001,-3.053512328690016e-05,-0.0008572901902969,C685-S,Downtown,C685-S_velocity
73,0.0,0.0001610799109496,-6.750819624699953e-06,0.00015540458334880008,C687-S,Federal Hill,C687-S_velocity
74,0.0,0.0,0.0,0.0,C68-S,Patterson Park,C68-S_velocity
75,0.0,-6.876603558169997e-05,-2.242920860999931e-07,-6.990459278239996e-05,C69-S,McElderry Park,C69-S_velocity
76,0.0,0.0001119993345263001,-2.062107438620007e-05,8.798855054519992e-05,C708-S,Federal Hill,C708-S_velocity
77,0.0,8.901492034230009e-05,-1.618518557159991e-05,7.160117747880002e-05,C725-S,Federal Hill,C725-S_velocity
78,0.0,2.119376382001166e-07,-2.8481065397699748e-05,-2.835134332739974e-05,C728-S,Federal Hill,C728-S_velocity
79,0.0,0.00021758532384270023,2.254676869200157e-06,0.0002196447793603,C729-S,Federal Hill,C729-S_velocity
