,link_name,Base,I,V,V&I,link_id,neighborhood
0,timestamp,1.68795852e+18,1.68795852e+18,1.68795852e+18,1.68795852e+18,timestamp,
1,C102-S_velocity,0.0008781538027603,0.0008008850693763,0.000875796055564,0.0007987014163205,C102-S,Patterson Park
2,C105-S_velocity,0.0010007913000017,0.0010087403647866,0.0009970168871611,0.0010048185433098,C105-S,Patterson Park
3,C111-S_velocity,0.0047031875713443,0.0029342600756984,0.0046885990677878,0.002923465448572,C111-S,Baltimore Highlands
4,C113-S_velocity,0.0011199440680093,0.0008347058061739,0.0011178464248656,0.0008334157118146,C113-S,Baltimore Highlands
5,C131-S_velocity,0.0002062977647874,0.000172184340078,0.0002062984204355,0.0001721844435645,C131-S,Fells Point
6,C141-S_velocity,0.0009130547787637,0.0009133554769253,0.0009130397902646,0.0009134882967642,C141-S,Canton
7,C159-S_velocity,0.0005746098922817,0.0005821732310837,0.0005746122036741,0.0005821735693951,C159-S,Upper Fells Point
8,C163-S_velocity,0.0007451647969079,0.0007862457560971,0.0007450580229108,0.00078610412348,C163-S,Upper Fells Point
9,C168-S_velocity,0.0010102902703982,0.0010560663509624,0.0010102902023745,0.0010560663472568,C168-S,Canton
10,C182-S_velocity,0.003344941013224,0.0033564243189544,0.0033449012935059,0.0033563694247376,C182-S,Canton
11,C187-S_velocity,0.00025604383136,0.0002807209358712,0.0002564031336645,0.0002809924159603,C187-S,Canton
12,C190-S_velocity,0.0043758043811315,0.0026556231529803,0.0043714938804947,0.0026533559114938,C190-S,Baltimore Highlands
13,C191-S_velocity,0.0008274085434298,0.0002911290476894,0.0008255990474701,0.0002908518564345,C191-S,Patterson Park
14,C211-S_velocity,0.0014378875700292,0.0014390983886536,0.0014362786036037,0.0014376186947018,C211-S,Patterson Park
15,C21-S_velocity,0.0009356949197714,0.0006651878264228,0.000899523521107,0.0006447180786412,C21-S,Broadway East
16,C226-S_velocity,0.0011302795291683,0.0011216244430546,0.0011285704679404,0.0011196792187175,C226-S,Baltimore Highlands
17,C227-S_velocity,0.0015303591285078,0.0009789197680009,0.001519361478364,0.0009704686042233,C227-S,Kresson
18,C229-S_velocity,0.0004404159783552,0.0004409094585794,0.0004416927404603,0.0004405060568468,C229-S,Kresson
19,C236-S_velocity,0.0002932392892976,0.0002906880747053,0.000285942970988,0.0002834022795488,C236-S,Orangeville
20,C23-S_velocity,0.0001547815212575,4.829067186195958e-05,0.0001460518450028,4.588736718663244e-05,C23-S,Broadway East
21,C249-S_velocity,0.0012135092211009,0.0012169078061755,0.0012106414368401,0.0012141877101166,C249-S,Madison-Eastend
22,C251-S_velocity,0.0007278458159376,0.0006234866720512,0.0007266588893854,0.0006216793970127,C251-S,Madison-Eastend
23,C260-S_velocity,0.0010150809742538,0.0010516327565893,0.0010153176785215,0.0010518142725439,C260-S,Baltimore Highlands
24,C26-S_velocity,0.0025305435614014,0.001800512420984,0.0024093267979611,0.001693505792591,C26-S,Broadway East
25,C274-S_velocity,0.0008765502035002,0.0008842458194017,0.000876216144142,0.000883662956428,C274-S,Kresson
26,C279-S_velocity,0.0006953513791624,0.0006955202001359,0.0006767747030976,0.0006763079576674,C279-S,Broadway East
27,C27-S_velocity,0.0008344380046638,0.0003671106523494,0.0007727293867035,0.0003345636741572,C27-S,Broadway East
28,C292-S_velocity,0.0006335433417605,0.0003907797243703,0.0005906441301045,0.0003537826687472,C292-S,Broadway East
29,C2-S_velocity,0.0002062591917739,0.0002094490484714,0.0002072254836915,0.0002102742173815,C2-S,South Clifton Park
30,C301-S_velocity,0.0016352942376096,0.0017887876225564,0.0015536007583039,0.0017031012948408,C301-S,Eager Park
31,C314-S_velocity,0.0004601582129276,0.0004838882751406,0.0004580382715681,0.0004819652347621,C314-S,Dunbar-Broadway
32,C317-S_velocity,0.0003482332034486,0.0002427477248339,0.0003461007515355,0.0002412366467634,C317-S,Dunbar-Broadway
33,C319-S_velocity,1.9581231847287355e-05,5.029495305836742e-06,1.9325743692417235e-05,4.964159691407183e-06,C319-S,Washington Hill
34,C321-S_velocity,0.0001498823511497,9.558887059581234e-05,0.0001494687087676,9.528724583985608e-05,C321-S,Washington Hill
35,C325-S_velocity,4.191816522436172e-05,1.8756216194365248e-05,4.18166670695695e-05,1.8759614067643998e-05,C325-S,Fells Point
36,C327-S_velocity,0.0037909528696626,0.0027944083310719,0.0037737121385786,0.0027802540137236,C327-S,Fells Point
37,C328-S_velocity,0.0015391926728699,0.0010065267139758,0.0015326692320717,0.0010001967161557,C328-S,Fells Point
38,C338-S_velocity,0.0010357901014298,0.0010357901322923,0.0010253615895443,0.0010253616325187,C338-S,Washington Hill
39,C340-S_velocity,0.0011353828001394,0.0011183922924014,0.001128148907486,0.001111198772584,C340-S,Fells Point
40,C34-S_velocity,0.0002548651566727,0.0002621588711125,0.0002494972287617,0.0002569490109579,C34-S,South Clifton Park
41,C351-S_velocity,0.000697929705164,0.0006979375619068,0.0006979297057492,0.0006979376071466,C351-S,Fells Point
42,C355-S_velocity,0.0003561509495869,0.0002763590572822,0.0003561511450376,0.0002763593149495,C355-S,Fells Point
43,C361-S_velocity,0.0017827140184676,0.0017891296738028,0.0017827140219433,0.0017891296630368,C361-S,Fells Point
44,C362-S_velocity,0.0005289383766734,0.0004361626113751,0.0005289383238597,0.0004361626441445,C362-S,Fells Point
45,C37-S_velocity,0.0005455780949305,0.0004321923771009,0.0005173279745773,0.0004108113744864,C37-S,South Clifton Park
46,C382-S_velocity,0.0015696360050012,0.0016158739628818,0.0015696643211381,0.0016158867645046,C382-S,Canton
47,C3-S_velocity,0.0004553096158246,0.0004550107930311,0.0004459660945567,0.0004465224515327,C3-S,Upper Fells Point
48,C417-S_velocity,0.0049792719499335,0.0049948767209462,0.0047780259136845,0.0047926035039767,C417-S,Canton Industrial
49,C418-S_velocity,0.0022529773928641,0.0022385375113626,0.0021649382953276,0.0021521951740152,C418-S,Canton Industrial
50,C422-S_velocity,0.0021194835236942,0.002132040600517,0.0021145354914682,0.0021270802332704,C422-S,Canton Industrial
51,C449-S_velocity,0.0005927318313776,0.0006121535627093,0.0005859514708834,0.0006053836956755,C449-S,Broadway East
52,C462-S_velocity,0.0042815468045241,0.0045062320408928,0.004099722625347,0.004308478522991,C462-S,Eager Park
53,C463-S_velocity,0.004173471757305,0.0044366664242861,0.0040267193928208,0.004289651876366,C463-S,Eager Park
54,C473-S_velocity,0.0009652477217525,0.0009822956962362,0.0009569274208064,0.0009746569728153,C473-S,Berea
55,C474-S_velocity,0.0008307873251524,0.0006343753410077,0.0008228280000302,0.0006280057178684,C474-S,Berea
56,C478-S_velocity,0.0012322340965275,0.0012876630961699,0.0012321374893316,0.0012895929608411,C478-S,Orangeville
57,C530-S_velocity,0.0014230533392489,0.0010520183646362,0.001385489254093,0.001033593811299,C530-S,Eager Park
58,C532-S_velocity,0.0002789090056412,6.234655422937237e-05,0.0002378055309879,5.169106104109148e-05,C532-S,Eager Park
59,C548-S_velocity,0.0003152383889132,9.266188266761844e-05,0.0002982596515721,8.902939277388552e-05,C548-S,Dunbar-Broadway
60,C549-S_velocity,0.0003795709758041,2.1152078432123037e-05,0.0003482110392661,1.898364840233994e-05,C549-S,Dunbar-Broadway
61,C550-S_velocity,0.0024229553877262,0.0024196689861429,0.0024229553693857,0.0024196719663831,C550-S,Dunbar-Broadway
62,C551-S_velocity,0.0011521942306803,0.0011501893286656,0.0011521942559981,0.0011501590946362,C551-S,Dunbar-Broadway
63,C556-S_velocity,0.0006803933203089,0.0002869929415475,0.000646510136591,0.0002796600813423,C556-S,Eager Park
64,C576-S_velocity,0.0002233995105635,0.0001227769221816,0.0002233267108048,0.0001227167973016,C576-S,Dunbar-Broadway
65,C602-S_velocity,0.0012925904317997,0.0013755070498002,0.001263722000636,0.0013449554490825,C602-S,Downtown
66,C638-S_velocity,0.0003264696751902,0.0003133929500668,0.0003261416049721,0.0003131396272762,C638-S,Downtown
67,C650-S_velocity,0.0015839346564841,0.0016520731853352,0.0015790571048104,0.0016470164279836,C650-S,Downtown
68,C659-S_velocity,0.0009448066137524,0.000929854687499,0.0009101348483178,0.0008921617291728,C659-S,Downtown
69,C65-S_velocity,0.0013579604718694,0.0010196240184886,0.0013020126282704,0.0009594186782702,C65-S,McElderry Park
70,C677-S_velocity,0.0014423796861553,0.0014283173378822,0.0014425310063685,0.0014284298615367,C677-S,Downtown
71,C681-S_velocity,0.000362899941219,0.0001986402748452,0.0003525596647241,0.0001923446508454,C681-S,Downtown
72,C685-S_velocity,0.0011037321440016,0.0004746138686226,0.0010797019477169,0.0004646222679492,C685-S,Downtown
73,C687-S_velocity,0.001546597331783,0.0016538535471934,0.0015438263226191,0.0016508725138034,C687-S,Federal Hill
74,C68-S_velocity,-0.0,-0.0,-0.0,-0.0,C68-S,Patterson Park
75,C69-S_velocity,0.0002843832528924,0.0002360330142336,0.000284411480871,0.0002344211532889,C69-S,McElderry Park
76,C708-S_velocity,0.0015299782372819,0.0016189517210612,0.0015037769316773,0.0015891894542861,C708-S,Federal Hill
77,C725-S_velocity,0.0010978532512055,0.0011656958253069,0.0010838849830544,0.0011500373894601,C725-S,Federal Hill
78,C728-S_velocity,0.0015515766793659,0.0015515766813334,0.0015310632893934,0.0015310632922952,C728-S,Federal Hill
79,C729-S_velocity,0.0021972586239779,0.00237660008862,0.002198571648458,0.0023771305120767,C729-S,Federal Hill
80,C734-S_velocity,0.0024103852049968,0.0022047890265407,0.0024021612571141,0.0022054605071535,C734-S,Federal Hill
81,C740-S_velocity,0.0021971222337673,0.0022244488945555,0.0021924750411008,0.0022197747812067,C740-S,Federal Hill
