,link_name,Base,I,V,V&I,link_id,neighborhood
0,timestamp,1.68795852e+18,1.68795852e+18,1.68795852e+18,1.68795852e+18,timestamp,
1,C102-S_velocity,0.0030542889882767,0.0032173810742734,0.0030483796921323,0.0032171339346699,C102-S,Patterson Park
2,C105-S_velocity,0.0015147457519234,0.0015139277748886,0.0015117769087559,0.0015109313460314,C105-S,Patterson Park
3,C111-S_velocity,0.0108772545395553,0.0084147697506668,0.010851697147455,0.0083972389707136,C111-S,Baltimore Highlands
4,C113-S_velocity,0.002395146330479,0.0017920524272179,0.0023947271645613,0.0017966948569776,C113-S,Baltimore Highlands
5,C131-S_velocity,0.0005095876519774,0.0003943700137937,0.0005095880088251,0.0003943687174815,C131-S,Fells Point
6,C141-S_velocity,0.0022389532970842,0.002241378145438,0.0022401039156327,0.002239737135038,C141-S,Canton
7,C159-S_velocity,0.0011552236247346,0.0011747059566583,0.0011552088453557,0.0011746641826653,C159-S,Upper Fells Point
8,C163-S_velocity,0.0013284312297299,0.0014020011573472,0.0013281767859617,0.0014018171990525,C163-S,Upper Fells Point
9,C168-S_velocity,0.0023163235246861,0.0024449101938406,0.0023177030877439,0.0024448592849925,C168-S,Canton
10,C182-S_velocity,0.0060657693656005,0.0061800858671951,0.0060650166817508,0.006178961230636,C182-S,Canton
11,C187-S_velocity,0.0002753046483019,0.0002959314223262,0.0002753948775924,0.0002964861694461,C187-S,Canton
12,C190-S_velocity,0.0130738347955291,0.0136014671295531,0.0130269837431053,0.0135383737613208,C190-S,Baltimore Highlands
13,C191-S_velocity,0.0034433178920188,0.0037672168554754,0.003463636242626,0.0037906757551232,C191-S,Patterson Park
14,C211-S_velocity,0.0034916728704628,0.0034926539838765,0.0034869838875029,0.0034877244494077,C211-S,Patterson Park
15,C21-S_velocity,0.0037251058521143,0.0028950203929824,0.0036171423935704,0.0027399722425563,C21-S,Broadway East
16,C226-S_velocity,0.0019337289095897,0.002007165630025,0.0019312759722869,0.0020049922645737,C226-S,Baltimore Highlands
17,C227-S_velocity,0.0031735364128648,0.0026672871308421,0.0031604863402921,0.0026531735540367,C227-S,Kresson
18,C229-S_velocity,0.0007632848158787,0.0008410604395303,0.0007629487280404,0.0008409249299636,C229-S,Kresson
19,C236-S_velocity,0.0006734668396639,0.0006741411701582,0.0006641880356116,0.0006649683853986,C236-S,Orangeville
20,C23-S_velocity,0.0008486713258863,0.000514742184408,0.0008190591117375,0.0004937473353902,C23-S,Broadway East
21,C249-S_velocity,0.0035631230620455,0.0035823377957227,0.00355603790741,0.0035751725364398,C249-S,Madison-Eastend
22,C251-S_velocity,0.0018662865578578,0.0017789518377099,0.0018794011102123,0.0017915646536519,C251-S,Madison-Eastend
23,C260-S_velocity,0.0021934390493347,0.0022329298109088,0.0021947555210017,0.0022314340701215,C260-S,Baltimore Highlands
24,C26-S_velocity,0.0053519787860422,0.0046215196958283,0.0050979410175706,0.0043775183891887,C26-S,Broadway East
25,C274-S_velocity,0.0016107505798471,0.0016823900611285,0.0016101178438821,0.001681728357333,C274-S,Kresson
26,C279-S_velocity,0.0012962430746203,0.0013350480072192,0.0012582226850488,0.0012963277328698,C279-S,Broadway East
27,C27-S_velocity,0.0023298879127975,0.0016071631322208,0.00222328789472,0.0014981492817337,C27-S,Broadway East
28,C292-S_velocity,0.0015597934070378,0.0012610882738201,0.0014417667499876,0.0011924215916968,C292-S,Broadway East
29,C2-S_velocity,0.0006668778632088,0.0006781620800345,0.0006698820617659,0.0006791756137859,C2-S,South Clifton Park
30,C301-S_velocity,0.0032897232912675,0.0035509573407237,0.003112288918417,0.0033822014321698,C301-S,Eager Park
31,C314-S_velocity,0.0012273001760656,0.0012211793234534,0.0012181685730687,0.0012121483759422,C314-S,Dunbar-Broadway
32,C317-S_velocity,0.0011371403425064,0.0007117391542267,0.0011250673214169,0.0007046725069321,C317-S,Dunbar-Broadway
33,C319-S_velocity,0.0001714210562852,3.968602329194656e-05,0.0001686967467048,3.928247534519223e-05,C319-S,Washington Hill
34,C321-S_velocity,0.0006114821128983,0.0003225120982126,0.0005887681180614,0.0003216537522028,C321-S,Washington Hill
35,C325-S_velocity,0.0029444756200789,0.0027884240750527,0.0028716140820193,0.0027237484578769,C325-S,Fells Point
36,C327-S_velocity,0.0105888325395753,0.0100727111695744,0.0104105847705889,0.0099360967899976,C327-S,Fells Point
37,C328-S_velocity,0.0037334529885289,0.003144144091468,0.0036399812356828,0.0030980928693131,C328-S,Fells Point
38,C338-S_velocity,0.0026965938791748,0.002694443500212,0.0026800213752848,0.0026742571017593,C338-S,Washington Hill
39,C340-S_velocity,0.0023209605009806,0.0023515072869208,0.0023137312098246,0.0023435277007675,C340-S,Fells Point
