,Base,I,V,V&I,link_id,neighborhood,link_name
0,0.0,0.0,0.0,0.0,timestamp,,timestamp
1,0.0,0.00016309208599669988,-5.909296144399924e-06,0.00016284494639320002,C102-S,Patterson Park,C102-S_velocity
2,0.0,-8.179770347998151e-07,-2.968843167499907e-06,-3.8144058919999026e-06,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.002462484788888499,-2.5557392100299114e-05,-0.0024800155688416998,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.0006030939032610999,-4.1916591769991865e-07,-0.0005984514735014,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-0.00011521763818369993,3.5684770004380806e-10,-0.00011521893449589993,C131-S,Fells Point,C131-S_velocity
6,0.0,2.4248483537999722e-06,1.1506185485002894e-06,7.838379538003919e-07,C141-S,Canton,C141-S_velocity
7,0.0,1.9482331923700033e-05,-1.4779378899962975e-08,1.944055793070003e-05,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,7.356992761730014e-05,-2.544437682000175e-07,7.338596932260008e-05,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,0.00012858666915450002,1.3795630578001747e-06,0.0001285357603063998,C168-S,Canton,C168-S_velocity
10,0.0,0.00011431650159459978,-7.526838496996549e-07,0.00011319186503550016,C182-S,Canton,C182-S_velocity
11,0.0,2.0626774024299992e-05,9.022929050000583e-08,2.1181521144200005e-05,C187-S,Canton,C187-S_velocity
12,0.0,0.0005276323340239995,-4.685105242380021e-05,0.0004645389657916988,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,0.00032389896345660007,2.031835060720003e-05,0.0003473578631044,C191-S,Patterson Park,C191-S_velocity
14,0.0,9.811134137000313e-07,-4.688982959899762e-06,-3.948421055099786e-06,C211-S,Patterson Park,C211-S_velocity
15,0.0,-0.0008300854591319,-0.00010796345854389988,-0.000985133609558,C21-S,Broadway East,C21-S_velocity
16,0.0,7.343672043530003e-05,-2.4529373028000546e-06,7.126335498399989e-05,C226-S,Baltimore Highlands,C226-S_velocity
17,0.0,-0.0005062492820226997,-1.3050072572699713e-05,-0.0005203628588280997,C227-S,Kresson,C227-S_velocity
18,0.0,7.777562365159996e-05,-3.3608783829997945e-07,7.764011408489997e-05,C229-S,Kresson,C229-S_velocity
19,0.0,6.743304942999915e-07,-9.278804052300044e-06,-8.498454265299976e-06,C236-S,Orangeville,C236-S_velocity
20,0.0,-0.00033392914147829995,-2.961221414879997e-05,-0.0003549239904961,C23-S,Broadway East,C23-S_velocity
21,0.0,1.9214733677200193e-05,-7.085154635499708e-06,1.2049474394299972e-05,C249-S,Madison-Eastend,C249-S_velocity
22,0.0,-8.733472014790019e-05,1.3114552354499863e-05,-7.472190420590007e-05,C251-S,Madison-Eastend,C251-S_velocity
23,0.0,3.949076157409989e-05,1.316471667000066e-06,3.79950207868001e-05,C260-S,Baltimore Highlands,C260-S_velocity
24,0.0,-0.0007304590902139007,-0.0002540377684716001,-0.0009744603968535005,C26-S,Broadway East,C26-S_velocity
25,0.0,7.163948128140001e-05,-6.327359650000735e-07,7.097777748589994e-05,C274-S,Kresson,C274-S_velocity
26,0.0,3.880493259889994e-05,-3.8020389571499997e-05,8.465824949985094e-08,C279-S,Broadway East,C279-S_velocity
27,0.0,-0.0007227247805767,-0.0001066000180775001,-0.0008317386310638,C27-S,Broadway East,C27-S_velocity
28,0.0,-0.00029870513321770013,-0.00011802665705020008,-0.00036737181534100003,C292-S,Broadway East,C292-S_velocity
29,0.0,1.128421682570005e-05,3.0041985571000428e-06,1.229775057710002e-05,C2-S,South Clifton Park,C2-S_velocity
30,0.0,0.00026123404945619993,-0.00017743437285050023,9.247814090229982e-05,C301-S,Eager Park,C301-S_velocity
31,0.0,-6.120852612199893e-06,-9.131602996899921e-06,-1.5151800123399967e-05,C314-S,Dunbar-Broadway,C314-S_velocity
32,0.0,-0.00042540118827970005,-1.207302108949997e-05,-0.00043246783557430004,C317-S,Dunbar-Broadway,C317-S_velocity
33,0.0,-0.00013173503299325343,-2.724309580400008e-06,-0.00013213858094000776,C319-S,Washington Hill,C319-S_velocity
34,0.0,-0.00028897001468569997,-2.2713994836899977e-05,-0.00028982836069549995,C321-S,Washington Hill,C321-S_velocity
35,0.0,-0.00015605154502619989,-7.286153805959993e-05,-0.00022072716220200008,C325-S,Fells Point,C325-S_velocity
36,0.0,-0.000516121370000901,-0.00017824776898640003,-0.0006527357495777,C327-S,Fells Point,C327-S_velocity
37,0.0,-0.0005893088970609001,-9.347175284610005e-05,-0.0006353601192158002,C328-S,Fells Point,C328-S_velocity
38,0.0,-2.1503789628001847e-06,-1.6572503889999892e-05,-2.23367774155e-05,C338-S,Washington Hill,C338-S_velocity
39,0.0,3.054678594020029e-05,-7.229291156000007e-06,2.2567199786900378e-05,C340-S,Fells Point,C340-S_velocity
40,0.0,8.606572047499951e-06,-2.5421101538800018e-05,-1.7042156816100026e-05,C34-S,South Clifton Park,C34-S_velocity
41,0.0,-3.444312999959301e-09,-2.218669995987521e-11,-4.116637099997947e-09,C351-S,Fells Point,C351-S_velocity
42,0.0,-9.886246977710005e-05,2.134280800052471e-09,-9.886252236190006e-05,C355-S,Fells Point,C355-S_velocity
43,0.0,6.179469430499934e-05,-5.143910037502808e-11,6.179026465629942e-05,C361-S,Fells Point,C361-S_velocity
44,0.0,-0.00012577152045649994,1.9721890006513254e-10,-0.00012577124815440002,C362-S,Fells Point,C362-S_velocity
45,0.0,-0.00016016611054070007,-6.116581091270001e-05,-0.00022504997438470005,C37-S,South Clifton Park,C37-S_velocity
46,0.0,-3.87007407298e-05,-5.3308375299980504e-08,-3.880988713599997e-05,C382-S,Canton,C382-S_velocity
47,0.0,4.7293132882099864e-05,-1.4105678504899985e-05,3.261856347249999e-05,C3-S,Upper Fells Point,C3-S_velocity
48,0.0,-4.099964590054128e-08,-0.0004307145197421005,-0.0004307595873288012,C417-S,Canton Industrial,C417-S_velocity
49,0.0,-5.305606099424709e-09,-0.00024579820132459955,-0.00024580103179069977,C418-S,Canton Industrial,C418-S_velocity
50,0.0,3.5986755298998696e-06,-3.220614845199886e-06,-3.989823921300359e-06,C422-S,Canton Industrial,C422-S_velocity
51,0.0,4.585341730970003e-05,-6.867483736299959e-06,3.892647051230002e-05,C449-S,Broadway East,C449-S_velocity
52,0.0,0.0004401632670729995,-0.00043453761391309964,5.300358040007114e-07,C462-S,Eager Park,C462-S_velocity
53,0.0,0.0007031131182534999,-0.00042822546346039936,0.00016122016152660037,C463-S,Eager Park,C463-S_velocity
54,0.0,6.939925707259969e-05,-1.5155767977999973e-05,5.421518589059961e-05,C473-S,Berea,C473-S_velocity
55,0.0,-0.00011357726660129975,-1.3346861064599848e-05,-0.0001273596389851999,C474-S,Berea,C474-S_velocity
56,0.0,0.0005296705570329999,5.752169982499791e-06,0.0005318649868341994,C478-S,Orangeville,C478-S_velocity
57,0.0,-0.0005297498459728,-5.3627818441399824e-05,-0.0005952989904666,C530-S,Eager Park,C530-S_velocity
58,0.0,-0.0004897930926209999,-9.503275802199987e-06,-0.0005420578480347001,C532-S,Eager Park,C532-S_velocity
59,0.0,-0.0006586957516077,-4.918517268840002e-05,-0.0007148252948419,C548-S,Dunbar-Broadway,C548-S_velocity
60,0.0,-0.0018159394741078,-7.556661880649997e-05,-0.0020388868676584,C549-S,Dunbar-Broadway,C549-S_velocity
61,0.0,-8.251051819996996e-08,-6.168478189957222e-08,-2.2782489210015217e-07,C550-S,Dunbar-Broadway,C550-S_velocity
62,0.0,0.00015886152145050013,5.145062605600194e-06,0.00017794798121230013,C551-S,Dunbar-Broadway,C551-S_velocity
63,0.0,-0.0007521792877339998,-6.01461395801999e-05,-0.0008167214665413998,C556-S,Eager Park,C556-S_velocity
64,0.0,-0.0003299686193781999,-5.838839197189996e-05,-0.00037730695872929994,C576-S,Dunbar-Broadway,C576-S_velocity
65,0.0,-8.734778725399961e-06,-6.021426092529987e-05,-6.813929429259988e-05,C602-S,Downtown,C602-S_velocity
66,0.0,2.928119267000054e-06,3.7138410000081556e-08,7.854148631000367e-07,C638-S,Downtown,C638-S_velocity
67,0.0,9.115573476820016e-05,-1.2372938759999935e-05,8.023659445470033e-05,C650-S,Downtown,C650-S_velocity
68,0.0,6.168508408300024e-06,-5.840432867510012e-05,-5.2028536461200085e-05,C659-S,Downtown,C659-S_velocity
69,0.0,-0.0002302925771117,-4.6609505054300004e-05,-0.0002141962454770001,C65-S,McElderry Park,C65-S_velocity
70,0.0,2.8466890557500135e-05,4.4638069010998795e-06,2.9741326971100164e-05,C677-S,Downtown,C677-S_velocity
71,0.0,-0.0001563155600926001,-5.9207413456400116e-05,-0.0002216581525179,C681-S,Downtown,C681-S_velocity
72,0.0,-0.0006533474542151003,-0.0001015669791041003,-0.0007523608791591002,C685-S,Downtown,C685-S_velocity
73,0.0,0.00017319048925270013,-5.781087210999982e-06,0.00016295153048500027,C687-S,Federal Hill,C687-S_velocity
74,0.0,0.0007967759501153,9.487097655900049e-06,0.00014940725125500004,C68-S,Patterson Park,C68-S_velocity
75,0.0,3.37491070152e-05,-9.753766822999995e-07,3.283968421300006e-05,C69-S,McElderry Park,C69-S_velocity
76,0.0,0.000198332688909,-5.768413560140002e-05,0.00013716050531660008,C708-S,Federal Hill,C708-S_velocity
77,0.0,0.00012546707242410034,-2.8472247973899967e-05,9.143573320240022e-05,C725-S,Federal Hill,C725-S_velocity
78,0.0,2.0521814553002213e-06,-4.992461759400005e-05,-5.215059404459991e-05,C728-S,Federal Hill,C728-S_velocity
79,0.0,0.0002557807123267997,8.557206118699548e-06,0.0002580014990056995,C729-S,Federal Hill,C729-S_velocity
80,0.0,-0.0008695361113208004,-1.943471017600007e-05,-0.0008878160728458002,C734-S,Federal Hill,C734-S_velocity
81,0.0,4.359931656000397e-06,-1.8149630698002794e-06,-2.5737799039995263e-06,C740-S,Federal Hill,C740-S_velocity
82,0.0,0.0,0.0,0.0,C742-S,Locust Point,C742-S_velocity
83,0.0,-8.77232071969992e-06,-3.2764333499990875e-08,-8.83340987680001e-06,C744-S,Locust Point,C744-S_velocity
84,0.0,-0.0003470638979567,-2.4185512589999444e-07,-0.00034741357076080014,C74-S,Canton,C74-S_velocity
85,0.0,3.823255262339997e-05,-4.0435469989691386e-10,3.823191884799997e-05,C752-S,Locust Point,C752-S_velocity
86,0.0,0.00019333642151179997,-2.503406238600972e-06,0.0001841523555906003,C756-S,Locust Point,C756-S_velocity
87,0.0,2.1796622615848173e-05,-4.24180553073626e-09,2.1795169789171252e-05,C758-S,Locust Point,C758-S_velocity
88,0.0,1.9503609320002365e-07,-3.884502000010143e-09,1.8992072270000758e-07,C759-S,Locust Point,C759-S_velocity
89,0.0,0.0001619047469092992,2.1936750408020622e-06,0.00015064005302019984,C761-S,Locust Point,C761-S_velocity
90,0.0,-5.47867535320018e-06,-2.3887564473299913e-05,-2.9628377318098933e-05,C771-S,Locust Point,C771-S_velocity
91,0.0,3.796504650199978e-05,-6.59376081730027e-06,3.30691762371999e-05,C772-S,Locust Point,C772-S_velocity
92,0.0,9.171895245300293e-06,1.301061656700138e-06,8.23315636720029e-06,C779-S,Locust Point,C779-S_velocity
93,0.0,-0.0010438092068411002,-1.1094304993002763e-06,-0.0010441530194960002,C79-S,Canton,C79-S_velocity
94,0.0,0.00015858751618029986,-1.4366932421500285e-05,0.00014054085456579983,C7-S,Orangeville,C7-S_velocity
95,0.0,3.8397461436599995e-05,5.3148227272000305e-06,4.788229923470013e-05,C816-S,South Clifton Park,C816-S_velocity
96,0.0,2.8736423704900068e-05,-5.534620375589991e-05,-2.7840620362300054e-05,C830-S,Downtown,C830-S_velocity
97,0.0,-0.006497878542252601,-0.0009675120024395002,-0.007528951790208002,C839-S,Eager Park,C839-S_velocity
98,0.0,2.7598772793300017e-05,-3.0687030799992276e-08,2.7584220156000024e-05,C84-S,Canton,C84-S_velocity
99,0.0,-1.2616313000823193e-09,1.5782049994118863e-10,-9.074690001178998e-10,C89-S,Canton,C89-S_velocity
