,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_depth,0.1252773812545583,0.1263085746250516,0.1254786330982789,0.1264998173784121,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_depth,0.1200485972197968,0.0890894155699036,0.1159165148038489,0.0862383523736292,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_depth,0.1537095768833293,0.1318629003817276,0.1523927994414214,0.1307497633937756,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_depth,0.0759128562299921,0.0515778061515119,0.0749483802568363,0.0507794761185228,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_depth,0.0661293840322608,0.028160479903341,0.0661012639957217,0.0281567489752038,J128-S,Canton,Harris Creek
5,J130-S_depth,0.2061735449087425,0.1721863310254551,0.2066586977925849,0.1736307357671688,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_depth,0.0741373808523418,0.0489801278115281,0.0733195753315908,0.0485190163871706,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_depth,0.2628707093148574,0.2051326153082281,0.2619540984470264,0.2043846086116441,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_depth,0.139050954891902,0.1467210294539725,0.1393051220553203,0.1468524998366921,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_depth,0.122171102692769,0.1220650114855625,0.1218765640919899,0.1217698057170694,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_depth,0.1813260274553169,0.1469978331563352,0.1798878434269588,0.1452572829196559,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_depth,0.1074245684133048,0.1074244616998784,0.1067561708251156,0.1067559951562857,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_depth,0.1051213961387003,0.1051199513427344,0.1046526174588013,0.1046512736793152,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_depth,0.0833456400884955,0.0833451726683034,0.0833459054513394,0.083345222685078,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_depth,0.1113557582919963,0.1113478108494048,0.1113294464166698,0.1113215577719976,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_depth,0.2033221427161332,0.1663015781985832,0.2027568929214823,0.1657635734309851,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_depth,0.1117702072278317,0.1117700856657758,0.1117703881160604,0.1117701476662465,J191-S,Fells Point,Canal Street Creek
17,J1-S_depth,0.070683701313068,0.0714388927616433,0.0707702609723232,0.0716736971010352,J1-S,Clifton Park,Canal Street Creek
18,J204-S_depth,0.0933977950871783,0.0933978244934626,0.0933978017045921,0.093397822417176,J204-S,Fells Point,Canal Street Creek
19,J208-S_depth,0.1425036614750246,0.1452333048311894,0.141060917019943,0.1437322265427477,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_depth,0.1130111919921432,0.0967890193397655,0.1128227765071168,0.0965942318525364,J211-S,Fells Point,Canal Street Creek
21,J227-S_depth,0.3027043535870751,0.294014356873494,0.3027057561032962,0.2940150557757419,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_depth,0.0372261032924532,0.0372221129777847,0.0372330490135249,0.0372235600215836,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_depth,0.0062830065120604,0.006437085686472,0.0062906246566384,0.0064390221736245,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_depth,0.1094051026200981,0.1094061066845781,0.1094052239366026,0.1094061615705781,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_depth,0.0737630677767187,0.0737888284883129,0.073765488571348,0.0737913181065988,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_depth,0.1330423685979231,0.1292833304012445,0.1329543411219763,0.1292026501635937,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_depth,0.1745271423547681,0.1315873058822329,0.1743806303127427,0.1314367342354916,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_depth,0.0803427748217992,0.0642499601491435,0.0774480002080974,0.0618618881268001,J253-S,Eager Park,Canal Street Creek
29,J260-S_depth,0.0841398818605737,0.0726996526901887,0.0826154869615297,0.0714063349619393,J260-S,Broadway East,Canal Street Creek
30,J266-S_depth,0.1012864537842191,0.0930397233713097,0.0993699632575231,0.0911402161816441,J266-S,Clifton Park,Canal Street Creek
31,J268-S_depth,0.0764871220092747,0.0771050546761407,0.0756169706048297,0.076206016802569,J268-S,Clifton Park,Canal Street Creek
32,J273-S_depth,0.0575635152405808,0.0582239315913119,0.0577377441228546,0.0583713879618663,J273-S,Clifton Park,Canal Street Creek
33,J278-S_depth,0.1003971811152814,0.0703857121185865,0.097418568612323,0.0672591595657961,J278-S,Broadway East,Canal Street Creek
34,J27-S_depth,0.0636236987299848,0.0477984343568616,0.0636250244386296,0.0477990730036713,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_depth,0.1622864688352834,0.1382377055424364,0.1583448831784549,0.1348433053350181,J280-S,Broadway East,Canal Street Creek
36,J328-S_depth,0.1974007776193601,0.20101852199986,0.1940844840945707,0.1975978182466814,J328-S,Broadway East,Canal Street Creek
37,J329-S_depth,0.10852503602882,0.0908913098361967,0.1046192267738846,0.0875059747626783,J329-S,Broadway East,Canal Street Creek
38,J338-S_depth,0.140491635972677,0.1153861399202254,0.1328773352103917,0.1103276363671377,J338-S,Eager Park,Canal Street Creek
39,J33-S_depth,0.204701899129938,0.1974267789330287,0.2047027885186714,0.1974273316247855,J33-S,Locust Point,"Southside, Drains to Harbor"
40,J34-S_depth,0.10545494087211,0.1054521131180137,0.1054551225727392,0.105452110156385,J34-S,Locust Point,"Southside, Drains to Harbor"
41,J361-S_depth,0.1461694584236601,0.1360883137152394,0.1441248836479061,0.1350722044274628,J361-S,Eager Park,Canal Street Creek
42,J366-S_depth,0.082194347621114,0.044161156712666,0.0769501101990784,0.0418078987618813,J366-S,Eager Park,Canal Street Creek
43,J385-S_depth,0.1898801202465155,0.2047527260948646,0.1835738397308762,0.1976113343795472,J385-S,Broadway East,Harris Creek
44,J3-S_depth,0.0908355403777169,0.0676217865463977,0.0894880671324056,0.0666399115391389,J3-S,Fells Point,"Northside, Drains to Harbor"
45,J413-S_depth,0.1164114618021147,0.1187106472953234,0.1160616586805959,0.1184874180432826,J413-S,Broadway East,Harris Creek
46,J421-S_depth,0.1420217368534429,0.1275730751176845,0.1381788175851073,0.1239557421517455,J421-S,McElderry Park,Harris Creek
47,J42-S_depth,0.0851581316886441,0.0851580249189985,0.085158228291295,0.085158023466936,J42-S,Locust Point,"Southside, Drains to Harbor"
48,J433-S_depth,0.1087007443814054,0.1099994898947729,0.1086247547328424,0.1099216289617868,J433-S,Madison-Eastend,Harris Creek
49,J437-S_depth,0.1154750683830079,0.1138582759912484,0.1154854505503042,0.1138007027508294,J437-S,Patterson Park,Harris Creek
50,J438-S_depth,0.1038455159812944,0.0570478956608801,0.099546319567504,0.053842606071947,J438-S,McElderry Park,Harris Creek
51,J450-S_depth,0.087052191131156,0.0813631552887968,0.0869730740170366,0.0812832289171601,J450-S,Madison-Eastend,Harris Creek
52,J456-S_depth,0.1383574683538043,0.1466574444298413,0.1384558156124573,0.1467263827095577,J456-S,Orangeville,Harris Creek
53,J45-S_depth,0.0802872832087167,0.0817540937790632,0.0802884370158653,0.0817555393725927,J45-S,Locust Point,"Southside, Drains to Harbor"
54,J460-S_depth,0.0939638184348283,0.0876202216963807,0.0935166554975655,0.0871757858192928,J460-S,Orangeville,Harris Creek
55,J461-S_depth,0.1152825699546335,0.0959624294066287,0.1150203610553771,0.0957422281642507,J461-S,Baltimore Highlands,Harris Creek
56,J46-S_depth,0.0998331034342525,0.0998330285272402,0.0997563465016117,0.0997562061933105,J46-S,Locust Point,"Southside, Drains to Harbor"
57,J471-S_depth,0.193359761264705,0.1954955249513459,0.1902183391606805,0.1923585621442957,J471-S,Orangeville,Harris Creek
58,J480-S_depth,0.1598248780892998,0.1596803139539467,0.1595654361499155,0.1594229269358416,J480-S,McElderry Park,Harris Creek
59,J484-S_depth,0.1614863169786347,0.1305847692844187,0.161282448176737,0.1304504934512731,J484-S,Baltimore Highlands,Harris Creek
60,J491-S_depth,0.1260831496834557,0.0998611807244789,0.1258948829460851,0.0997372277149383,J491-S,Kresson,Harris Creek
61,J492-S_depth,0.080095025506321,0.0800950442100182,0.0800951398160941,0.0800950705181842,J492-S,Baltimore Highlands,Harris Creek
62,J49-S_depth,0.088736222539546,0.0887359283698302,0.0884568582071169,0.0884564269866711,J49-S,Washington Hill,Canal Street Creek
63,J4-S_depth,0.1522461068284002,0.1522417634915947,0.1522479413203261,0.1522429175420857,J4-S,Canton,"Northside, Drains to Harbor"
64,J506-S_depth,0.1610158175806043,0.1616989518211979,0.1609642765752798,0.1616004085375427,J506-S,Baltimore Highlands,Harris Creek
