,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_flow,1.6223872354972448,1.6216813099918177,1.6216535937647998,1.6213309210660969,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_flow,1.2728791476439796,1.3082583999807575,1.2055892478404626,1.2477731002671482,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_flow,4.227108547057531,4.260360903242713,4.16404368646779,4.1991857733396,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_flow,1.265565712705535,0.7666224271119525,1.2326682801091902,0.7468774862147951,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_flow,0.4692801082911326,0.1761306966955206,0.4691102718114557,0.1760753567943503,J128-S,Canton,Harris Creek
5,J130-S_flow,0.5378052755877708,0.205348641285143,0.5244248748325391,0.2755796151292782,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_flow,0.9380474423974042,0.5153694643065558,0.9173200054771222,0.5060843171430255,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_flow,1.784332959387947,1.7798624551601665,1.7727247612559285,1.7684317615014182,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_flow,0.4182903678040557,0.41819844690933,0.4182369841916548,0.4181949722363335,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_flow,1.730077070818001,1.7292751720538302,1.7178030386207483,1.717436208106239,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_flow,1.404802423045197,1.4047039868099604,1.3795369800088615,1.3794866823672378,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_flow,1.4183626939130765,1.418146035253629,1.3922866395398756,1.3921863186839076,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_flow,1.2001793731726764,1.1999528412587688,1.1858149699698146,1.1857008859594669,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_flow,0.7335924500957006,0.7336324930132544,0.7336030434601327,0.7335905432901029,J171-S,Canton,"Northside, Drains to Harbor"
