,Base,I,V,V&I,node_name,node_id,neighborhood
0,0.0,-0.0007540502547522809,-0.0007771030848977567,-0.0010753594623604812,J105-S_flow,J105-S,Downtown
1,0.0,0.0353792410513496,-0.06728984783570247,-0.025105953405466286,J10-S_flow,J10-S,Downtown
2,0.0,0.033234630792287945,-0.06309185992234134,-0.02793516135753027,J116-S_flow,J116-S,Downtown
3,0.0,-0.49937402723699764,-0.03290259607637469,-0.5191180461771563,J119-S_flow,J119-S,Downtown
4,0.0,-0.2931597729126167,-0.00016988636704451388,-0.2932150278104737,J128-S_flow,J128-S,Canton
5,0.0,-0.3271538942388057,-0.06697819080149142,-0.2568602776949545,J130-S_flow,J130-S,Downtown
6,0.0,-0.4229179256431077,-0.020731162682407933,-0.43214633706998284,J131-S_flow,J131-S,Downtown
7,0.0,-0.004495332744458347,-0.011630593344355233,-0.015910884537149617,J136-S_flow,J136-S,Downtown
8,0.0,-9.823848199208562e-05,-5.906944094058453e-05,-9.792260262880825e-05,J138-S_flow,J138-S,Downtown
9,0.0,-0.0008570120812954052,-0.012323616974474039,-0.012662866247291182,J141-S_flow,J141-S,Downtown
10,0.0,-0.00010484881811811952,-0.025272434361336416,-0.025319429876912602,J157-S_flow,J157-S,Downtown
11,0.0,-0.00023142896243344424,-0.026090465268619134,-0.026183195760469236,J163-S_flow,J163-S,Downtown
12,0.0,-0.00024140266581884617,-0.014377838475406968,-0.014484543399919447,J165-S_flow,J165-S,Federal Hill
13,0.0,4.1949723151635254e-05,9.534027988977734e-06,7.6272223911155734e-06,J171-S_flow,J171-S,Canton
14,0.0,-0.0004685814930676102,-0.0013759958554551144,-0.0015612872660557553,J177-S_flow,J177-S,Federal Hill
15,0.0,-0.0007115409375035853,-0.014874171728548102,-0.015372093152541844,J182-S_flow,J182-S,Federal Hill
16,0.0,-2.9417712131163398e-05,-1.795255229697368e-05,-2.9375260438224693e-05,J191-S_flow,J191-S,Fells Point
17,0.0,-0.0003448481976296991,-0.00018630334365721257,-0.0003182299406160327,J1-S_flow,J1-S,Clifton Park
18,0.0,-0.0001063889948033081,-6.397023160198412e-05,-0.00010604690800342098,J204-S_flow,J204-S,Fells Point
19,0.0,-0.00017287607151805773,-0.06580915537598075,-0.06588354310456923,J208-S_flow,J208-S,Downtown
20,0.0,-0.34412573588321393,-0.006821765028086402,-0.3502750846497189,J211-S_flow,J211-S,Fells Point
21,0.0,-0.0006698957786981374,-0.00031001475617431495,-0.0006678305014307107,J227-S_flow,J227-S,Locust Point
22,0.0,0.0,0.0,0.0,J231-S_flow,J231-S,Locust Point
23,0.0,2.8624633621698176e-05,1.4138607769199896e-05,3.132804035430037e-05,J232-S_flow,J232-S,Locust Point
24,0.0,-0.00017744596734114992,-0.00010669580672928447,-0.0001768754015294416,J234-S_flow,J234-S,Locust Point
25,0.0,-4.101136104672776e-05,6.163983007634322e-05,4.862424842677626e-05,J238-S_flow,J238-S,Locust Point
26,0.0,-0.00028951535810795015,-0.003498730558890939,-0.0036284652782492266,J240-S_flow,J240-S,Locust Point
27,0.0,-0.11106934120179135,-0.002694520513570442,-0.11341519413347134,J245-S_flow,J245-S,Locust Point
28,0.0,-0.42897375076531896,-0.14101652593747793,-0.5038262349584695,J253-S_flow,J253-S,Eager Park
