,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_depth,0.2825551296888849,0.2825484088287265,0.2825401251007869,0.2825228461649678,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_depth,0.3048,0.2706901692095827,0.2717321477819584,0.270553392245471,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_depth,0.3048,0.3048,0.3048,0.3048,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_depth,0.1481083182448302,0.1352516575598629,0.1481083156072355,0.1352516559402681,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_depth,0.3270807681373982,0.2124926221201441,0.3271626367006854,0.2124402689210262,J128-S,Canton,Harris Creek
5,J130-S_depth,0.3048,0.3048,0.3048,0.3048,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_depth,0.1880710719131209,0.1662456115773091,0.1880733227825277,0.1662441686542113,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_depth,0.6096,0.6096,0.6096,0.6096,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_depth,0.2949752050979458,0.2992804851063461,0.2949871308803783,0.2992835810868285,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_depth,0.2850341913044261,0.2850304093481668,0.2840939054621102,0.2840800316987031,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_depth,0.4952609360044155,0.4207699825886715,0.485483198477268,0.4108825220656548,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_depth,0.2612940149591953,0.2613169400060595,0.2575270354531125,0.2575482641644207,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_depth,0.2364593990415723,0.2353044556120612,0.234721563063459,0.2335531546609377,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_depth,0.1716927000619746,0.1716948995798228,0.1716982514365028,0.1716955169778239,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_depth,0.259689669618817,0.259691273729399,0.25959377722734,0.2595904367696205,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_depth,0.3048,0.3048,0.3048,0.3048,J182-S,Federal Hill,"Southside, Drains to Harbor"
