,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_depth,0.1107750718974371,0.1133925228031588,0.1109008070983762,0.1136675992571911,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_depth,0.1012759781757372,0.0777907593920755,0.09709100850835,0.074919595300198,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_depth,0.1334199266670332,0.1119455426221331,0.1319494928445469,0.1106840394519588,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_depth,0.06120392787516,0.0382541975026168,0.0601023764509976,0.0374563895047423,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_depth,0.0460610718096454,0.0189504624291349,0.0460155969697128,0.0189368611460288,J128-S,Canton,Harris Creek
5,J130-S_depth,0.1901415899671798,0.1701649331536066,0.1917807793628636,0.1708861589293018,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_depth,0.0590820092295,0.0384446460589804,0.0582138356122955,0.0380876382396523,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_depth,0.202876639954131,0.156198210194102,0.2020026273619841,0.1556351269659107,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_depth,0.1290758505414417,0.1341362629935143,0.1292472205602164,0.1341890444064242,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_depth,0.1110311907264696,0.1110332171199826,0.1108223457698925,0.1108245821685835,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_depth,0.157939345547859,0.1196947841422778,0.1561541552843509,0.1179723655798128,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_depth,0.0970348775507115,0.0970597996106325,0.0963209075787318,0.096350816881687,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_depth,0.0914060192217534,0.0908146935289268,0.0909096947830359,0.0903214377087726,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_depth,0.0755249386802209,0.0755318196754207,0.0755250564881347,0.075531957246819,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_depth,0.1002461517261563,0.1002491570398208,0.1002236294048952,0.1002269008301997,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_depth,0.1676104705784581,0.1272667127676059,0.167132877082395,0.1267897277251635,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_depth,0.0930899167748733,0.0880960920184538,0.0930902709768681,0.0880963126382092,J191-S,Fells Point,Canal Street Creek
17,J1-S_depth,0.0580654708011833,0.0599776338952868,0.0583882577996151,0.0602600512989456,J1-S,Clifton Park,Canal Street Creek
18,J204-S_depth,0.0847163423873705,0.0855190295003568,0.0847161378022003,0.0855188796372256,J204-S,Fells Point,Canal Street Creek
19,J208-S_depth,0.127191917651345,0.1304185698158193,0.1256690848572082,0.1288393793151148,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_depth,0.0971015529561005,0.073981511521268,0.0969206648366856,0.0738001044917336,J211-S,Fells Point,Canal Street Creek
21,J227-S_depth,0.2682165820635274,0.2526844716743479,0.2682169472265938,0.2526851388424474,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_depth,0.0275551397007757,0.027474284257991,0.0275322459912303,0.0274733148469617,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_depth,0.0022223159728388,0.0022216662098632,0.0022089865427571,0.0022220648990505,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_depth,0.0982558931608163,0.0982600404494178,0.0982558817205026,0.0982600958798025,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_depth,0.0654013209749902,0.0654019542163885,0.065401535448843,0.0654021727294354,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_depth,0.1149542196337795,0.1137717050998675,0.1148764901739466,0.1136908168297528,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_depth,0.1449537108592681,0.1019346373318698,0.1447340725125068,0.1017710693874035,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_depth,0.0673867438943264,0.0530462086939576,0.06520186142625,0.0513098656086157,J253-S,Eager Park,Canal Street Creek
29,J260-S_depth,0.0689464086451716,0.0559413624741124,0.0673960650506496,0.0547358323412316,J260-S,Broadway East,Canal Street Creek
30,J266-S_depth,0.0885652045191472,0.0795222636924325,0.0867487180211291,0.0776343388317664,J266-S,Clifton Park,Canal Street Creek
31,J268-S_depth,0.0632412310900654,0.0633246478508517,0.0623086136190218,0.0623909040372668,J268-S,Clifton Park,Canal Street Creek
32,J273-S_depth,0.0439491526444722,0.044099025405252,0.0439251319086307,0.0441119651262411,J273-S,Clifton Park,Canal Street Creek
33,J278-S_depth,0.0857035465847326,0.0571234979101288,0.0822417273961758,0.0541396074313394,J278-S,Broadway East,Canal Street Creek
34,J27-S_depth,0.0509998472401879,0.040188646316624,0.0509997536044331,0.0401890637204722,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_depth,0.1395745306189441,0.1177834845505488,0.1352020175991262,0.1139265771633897,J280-S,Broadway East,Canal Street Creek
36,J328-S_depth,0.1783169315994774,0.1813061850187818,0.1752480608292718,0.1781168597625033,J328-S,Broadway East,Canal Street Creek
37,J329-S_depth,0.0934990404305629,0.0773353628438792,0.0901180622473696,0.0738050348081379,J329-S,Broadway East,Canal Street Creek
38,J338-S_depth,0.1204629378636085,0.0962658309654123,0.1143501904395303,0.0913765240840745,J338-S,Eager Park,Canal Street Creek
39,J33-S_depth,0.1773621104058537,0.1655560690537579,0.1773624799604481,0.1655562010890982,J33-S,Locust Point,"Southside, Drains to Harbor"
40,J34-S_depth,0.0979462162781852,0.0979450521279103,0.0979462573763954,0.0979450897030839,J34-S,Locust Point,"Southside, Drains to Harbor"
41,J361-S_depth,0.1312052232223827,0.1183587158188933,0.1297761379028099,0.1173619904598481,J361-S,Eager Park,Canal Street Creek
42,J366-S_depth,0.0629282393126312,0.0328710727651763,0.0588976379111547,0.0309015319399032,J366-S,Eager Park,Canal Street Creek
