,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_depth,0.218899900034232,0.2193075642056287,0.218909745100064,0.2193461197827982,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_depth,0.3322949953620908,0.3311722543086667,0.3175369673021671,0.317201070724161,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_depth,0.3669953551627454,0.3720481207977866,0.3591882101374618,0.3644428524005267,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_depth,0.1705278517261394,0.158848235970749,0.1671591606106525,0.1556414396287919,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_depth,0.2428782939709778,0.1430489843348056,0.2427737085488261,0.1429001169544412,J128-S,Canton,Harris Creek
5,J130-S_depth,0.4349280424564488,0.3852572613479101,0.426405676109397,0.377877275411508,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_depth,0.1801424871590326,0.1593507839914674,0.177372781985655,0.1568358227954649,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_depth,0.5318871696503743,0.5240474868187592,0.5307019634781862,0.5228668654684846,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_depth,0.2295047469831306,0.2321534102520145,0.2295544838192015,0.23218073110328,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_depth,0.2179837766405186,0.2179426312500046,0.2174071452863024,0.2173650677990246,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_depth,0.3197126563179587,0.280166973187835,0.3167768816809921,0.2782708441711803,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_depth,0.1806546464467739,0.1806161980860518,0.1794997550069709,0.1794598586573513,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_depth,0.1857358628903845,0.1856678793672173,0.1848798719347927,0.1848147649628841,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_depth,0.1338193699433564,0.1338186971034695,0.1338193974937998,0.1338185558848051,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_depth,0.1909836302896127,0.1908890592560393,0.1909307026079595,0.1908381683132921,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_depth,0.3828230756522161,0.3274140647501274,0.3815411044197809,0.3271081561544043,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_depth,0.2192116124584806,0.2192421359201536,0.2192115966265455,0.2192110178710504,J191-S,Fells Point,Canal Street Creek
17,J1-S_depth,0.143114951254227,0.1431406030233473,0.1431053096734103,0.1431181717754923,J1-S,Clifton Park,Canal Street Creek
18,J204-S_depth,0.1508777343548078,0.150877439341795,0.150877643673762,0.1508774247886681,J204-S,Fells Point,Canal Street Creek
19,J208-S_depth,0.2591993284646917,0.2592392673999302,0.2538950762281973,0.2539064117636923,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_depth,0.2915262806750481,0.262621878000275,0.2883384802170627,0.260098982680106,J211-S,Fells Point,Canal Street Creek
21,J227-S_depth,0.5592178150259004,0.5523741013339145,0.5592162921938815,0.5523737736047207,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_depth,0.0537020192640357,0.0527190127312897,0.053698342318693,0.0527114890870265,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_depth,0.0713376572240485,0.0790429317661927,0.0713395570236038,0.0790374105388188,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_depth,0.1879858778340386,0.1879760949350046,0.1879844009293739,0.1879553067238402,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_depth,0.1118400209865396,0.1118465077569596,0.1118394366757091,0.111845783913172,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_depth,0.255119408706373,0.2564488901613091,0.2549581817352703,0.2562969031002127,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_depth,0.3468989609473198,0.3360040579987787,0.3465721038174272,0.3356147516249498,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_depth,0.1698842430076191,0.1380463117816069,0.1636681498203944,0.1320366990919721,J253-S,Eager Park,Canal Street Creek
29,J260-S_depth,0.2156350240125393,0.220724497853732,0.2109767130348217,0.2151688739988277,J260-S,Broadway East,Canal Street Creek
30,J266-S_depth,0.198949759464324,0.1874299271852219,0.1957729456885308,0.1844227693561673,J266-S,Clifton Park,Canal Street Creek
31,J268-S_depth,0.1281590832497214,0.1281204135759245,0.1270721688529359,0.1270452900764742,J268-S,Clifton Park,Canal Street Creek
32,J273-S_depth,0.1019304669401802,0.1019284588753958,0.1019079142058507,0.1019084957570574,J273-S,Clifton Park,Canal Street Creek
33,J278-S_depth,0.2464908327423519,0.1851437561866799,0.2345137803341579,0.1844746878295859,J278-S,Broadway East,Canal Street Creek
34,J27-S_depth,0.3877512567500668,0.3845261037469137,0.3878068716551599,0.3844773584814825,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_depth,0.3928036649444556,0.3272760488932541,0.3736428719239649,0.3255938986682696,J280-S,Broadway East,Canal Street Creek
36,J328-S_depth,0.3857474139428698,0.3942976478657364,0.3761488435959298,0.3855787377480965,J328-S,Broadway East,Canal Street Creek
37,J329-S_depth,0.2526322413076995,0.2271417137035785,0.2420305191668317,0.2051576791603781,J329-S,Broadway East,Canal Street Creek
38,J338-S_depth,0.3493470603224258,0.2920530651714772,0.3327414585290206,0.2737277850003879,J338-S,Eager Park,Canal Street Creek
39,J33-S_depth,0.502833998571673,0.4893975238974329,0.5028365213437035,0.4893173438952415,J33-S,Locust Point,"Southside, Drains to Harbor"
40,J34-S_depth,0.1781399482784842,0.1781319699615799,0.1781395547784854,0.1781317987584449,J34-S,Locust Point,"Southside, Drains to Harbor"
41,J361-S_depth,0.3386354296774403,0.3045482296706822,0.3327257596133435,0.2990785196136985,J361-S,Eager Park,Canal Street Creek
42,J366-S_depth,0.2265700020569043,0.1600384107497786,0.2187787435351539,0.1523036022154367,J366-S,Eager Park,Canal Street Creek
43,J385-S_depth,0.4357379987338883,0.4620677346989046,0.4200179259640718,0.4490805238236069,J385-S,Broadway East,Harris Creek
44,J3-S_depth,0.2304712441973704,0.17661794823227,0.2271384719154781,0.1738316113270739,J3-S,Fells Point,"Northside, Drains to Harbor"
45,J413-S_depth,0.2156193214186731,0.2156664748560386,0.2137163162112711,0.2137400893164729,J413-S,Broadway East,Harris Creek
46,J421-S_depth,0.3642631157099004,0.3273781520861079,0.351906483870281,0.3273668646487778,J421-S,McElderry Park,Harris Creek
47,J42-S_depth,0.1355573572574275,0.1355430364137572,0.1355478523740292,0.135542983170798,J42-S,Locust Point,"Southside, Drains to Harbor"
48,J433-S_depth,0.2090678812369671,0.211477918570298,0.2087558250243837,0.2111079929615354,J433-S,Madison-Eastend,Harris Creek
49,J437-S_depth,0.2037958067238205,0.225868561345738,0.1992717083824544,0.1970175786991511,J437-S,Patterson Park,Harris Creek
50,J438-S_depth,0.4956499718594092,0.5587210848180307,0.4308203135011065,0.4981762846802159,J438-S,McElderry Park,Harris Creek
51,J450-S_depth,0.1753218311893701,0.1680312637336774,0.1750684890349505,0.1677776406664436,J450-S,Madison-Eastend,Harris Creek
52,J456-S_depth,0.2412374337691399,0.2487073034383618,0.2413108637197808,0.2487790969305312,J456-S,Orangeville,Harris Creek
53,J45-S_depth,0.1437142064615267,0.1437099488755374,0.1437144979682706,0.1437098990453538,J45-S,Locust Point,"Southside, Drains to Harbor"
54,J460-S_depth,0.2204442352185854,0.2205744457016155,0.2194654979054424,0.2195808814530601,J460-S,Orangeville,Harris Creek
55,J461-S_depth,0.2690989026435625,0.2359805760636798,0.2683008486160485,0.2352548090045643,J461-S,Baltimore Highlands,Harris Creek
56,J46-S_depth,0.1642001801590335,0.1642003490561124,0.1640592845069322,0.1640594615420818,J46-S,Locust Point,"Southside, Drains to Harbor"
57,J471-S_depth,0.5060813653960237,0.5061519778876779,0.5031243037070192,0.5031428388159132,J471-S,Orangeville,Harris Creek
58,J480-S_depth,0.2926862078417608,0.2925193458211603,0.2922553352679899,0.2920893034948137,J480-S,McElderry Park,Harris Creek
59,J484-S_depth,0.4085140558600571,0.3535116222533549,0.4079570927998672,0.3527505654310066,J484-S,Baltimore Highlands,Harris Creek
60,J491-S_depth,0.296323922093012,0.2477556030963358,0.2958060737607927,0.2473234443924843,J491-S,Kresson,Harris Creek
61,J492-S_depth,0.1272544758240747,0.1272276499933667,0.1272542913881114,0.1272274633790786,J492-S,Baltimore Highlands,Harris Creek
62,J49-S_depth,0.143813531391329,0.1438132749559414,0.1433267904573975,0.1433264450052009,J49-S,Washington Hill,Canal Street Creek
63,J4-S_depth,0.2689617189561822,0.2689543666211013,0.2689609635280999,0.2689532857848069,J4-S,Canton,"Northside, Drains to Harbor"
64,J506-S_depth,0.273752046512619,0.277499425621141,0.2736717296496641,0.2773919821609331,J506-S,Baltimore Highlands,Harris Creek
65,J507-S_depth,0.5030253918815306,0.5154428573666616,0.5014932461445996,0.5138152657331337,J507-S,Patterson Park,Harris Creek
66,J50-S_depth,0.1947747680467471,0.1948155420941025,0.1944229623676712,0.1944627342736578,J50-S,Washington Hill,Canal Street Creek
67,J512-S_depth,0.3382363440482191,0.3432496822682644,0.3371596979705158,0.3413225292285877,J512-S,Patterson Park,Harris Creek
68,J534-S_depth,0.4612833545155965,0.4779600420832805,0.46131119881611,0.4786450478290098,J534-S,Patterson Park,Harris Creek
69,J539-S_depth,0.5025206280164847,0.502573011103744,0.476029531204943,0.4760244453807581,J539-S,Canton,"Northside, Drains to Harbor"
70,J541-S_depth,0.2214338881230074,0.2214286129991385,0.2214364324211769,0.2214295952328062,J541-S,Canton Industrial Area,"Northside, Drains to Harbor"
71,J548-S_depth,0.4160878070967301,0.4161907955148857,0.4021321847106693,0.4021317313824522,J548-S,Canton,"Northside, Drains to Harbor"
72,J556-S_depth,0.4227261389328257,0.4227848885794762,0.4227258082567259,0.422723882698874,J556-S,Canton,Harris Creek
73,J567-S_depth,0.2016833207600638,0.1868043308447811,0.2012068640380047,0.1863550937646568,J567-S,Berea,Armistead Creek
74,J568-S_depth,0.3273196841452263,0.2737363121038115,0.327231049007978,0.2733087322541136,J568-S,Berea,Armistead Creek
75,J571-S_depth,0.1359169662464155,0.1358516153140822,0.1359164400915171,0.1358509542576915,J571-S,Berea,Armistead Creek
76,J576-S_depth,0.2462883633706531,0.1773098909703073,0.2360916992834252,0.1554309516655619,J576-S,Dunbar-Broadway,Canal Street Creek
77,J578-S_depth,0.3342667955724159,0.2776640188207578,0.323177686621424,0.2639316779210683,J578-S,Dunbar-Broadway,Canal Street Creek
78,J586-S_depth,0.092629614888735,0.0522746226710997,0.0920662234763935,0.0518782086290592,J586-S,Dunbar-Broadway,Canal Street Creek
79,J587-S_depth,0.2980785793399939,0.2982990028227293,0.2891834729568194,0.289427656427623,J587-S,Downtown,"Southside, Drains to Harbor"
80,J592-S_depth,0.141400453563824,0.118751230211469,0.1408413618968398,0.1182454623160196,J592-S,Dunbar-Broadway,Canal Street Creek
81,J5-S_depth,0.3038150134844798,0.2722742093661107,0.3038144843948083,0.2722735883331773,J5-S,Canton,"Northside, Drains to Harbor"
