,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_flow,5.992896248344105,5.989800184718717,5.986754066887314,5.990454823636398,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_flow,5.594270073442041,5.6027320852025575,5.246988535046286,5.256366814372777,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_flow,15.734673641709824,15.865450097487187,15.564000577849246,15.697054932004953,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_flow,8.282301256821656,8.315701589437266,7.931654706973799,7.975327136419871,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_flow,4.661013839914964,2.561025229279107,4.660848904121073,2.560817903585418,J128-S,Canton,Harris Creek
5,J130-S_flow,5.070441164178167,3.828063153338344,4.896659991551675,3.688371096740842,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_flow,6.888487106344088,6.038703019981936,6.637358031967935,5.822270719055193,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_flow,7.022576813134151,7.022681085458389,6.980826680195209,6.984537044355093,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_flow,1.5359133771455058,1.5355555417082352,1.5353417132152316,1.5357693702012385,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_flow,6.408265882952073,6.404765488219845,6.359593727215826,6.363789754374254,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_flow,5.169174992599337,5.166367254635193,5.094272654676883,5.092149340218543,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_flow,5.139100650366426,5.13835984880401,5.059169150655455,5.060084212082291,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_flow,4.528367182978231,4.52736081550456,4.479026289138421,4.480081992282035,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_flow,2.587313804438216,2.585678576622388,2.584701428293417,2.5866557249513584,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_flow,5.996735086041531,5.994935361046503,5.990110725018229,5.992262057599883,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_flow,10.445187548587173,10.43341280158499,10.394247335496733,10.386106506427238,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_flow,3.1515548947061256,3.1514153915809167,3.1513496906413723,3.151489346679156,J191-S,Fells Point,Canal Street Creek
17,J1-S_flow,4.1016906121461405,4.100973733818704,4.1016906121461405,4.1016906121461405,J1-S,Clifton Park,Canal Street Creek
18,J204-S_flow,3.149685757109761,3.149358297841322,3.149162620961401,3.149553974721243,J204-S,Fells Point,Canal Street Creek
19,J208-S_flow,9.390832781652302,9.389025542799873,9.050675463975129,9.05132287484512,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_flow,12.943537116538318,11.579210517056667,12.64831406910394,11.414619325188957,J211-S,Fells Point,Canal Street Creek
21,J227-S_flow,8.475895080695734,8.491736921535102,8.472343823311537,8.493018391195985,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_flow,0.0104755515388962,0.0104441997005862,0.0104254650654985,0.0104629343356738,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_flow,0.7490567873283139,0.9638118789629456,0.7487352264272632,0.96414086800742,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_flow,6.225383222127938,6.224112691163443,6.225383222127938,6.225383222127938,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_flow,1.757944783055804,1.7563609584100717,1.755414526609573,1.7573073902105705,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_flow,7.158078314393031,7.157242483162101,7.145829639039625,7.147551049706981,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_flow,6.915432362624571,6.992032217518696,6.905221897091856,6.983545128559685,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_flow,7.304761888825713,5.018149037033352,6.641935469083294,4.429170941292599,J253-S,Eager Park,Canal Street Creek
29,J260-S_flow,11.345832758166583,10.604707701867364,11.099499162628057,10.382556897528024,J260-S,Broadway East,Canal Street Creek
30,J266-S_flow,5.295476425978227,4.443648762137383,5.141442072441508,4.314538087109944,J266-S,Clifton Park,Canal Street Creek
31,J268-S_flow,2.6241914780085334,2.6224476183064955,2.5650146574307526,2.567049265180493,J268-S,Clifton Park,Canal Street Creek
32,J273-S_flow,2.079675805277965,2.0787384518879084,2.0768953647078554,2.078014721042799,J273-S,Clifton Park,Canal Street Creek
33,J278-S_flow,9.9675929353193,6.554694377065688,8.97123656914294,6.503242722328762,J278-S,Broadway East,Canal Street Creek
34,J27-S_flow,3.304314393424527,3.4014407964648967,3.304332414950719,3.4006302848408447,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_flow,9.603181093486596,7.470326073924658,8.534189347435625,6.198803946400777,J280-S,Broadway East,Canal Street Creek
36,J328-S_flow,8.27391831374344,8.272333255896974,7.795183952670698,7.795183952670698,J328-S,Broadway East,Canal Street Creek
37,J329-S_flow,15.75820954881765,12.512502217512592,14.536503385615529,11.860206311246296,J329-S,Broadway East,Canal Street Creek
38,J338-S_flow,10.016475892056915,8.01477931780895,9.152005859772387,6.445635828636569,J338-S,Eager Park,Canal Street Creek
39,J33-S_flow,13.908099317522808,14.076822467979593,13.906380770212069,14.077454278677244,J33-S,Locust Point,"Southside, Drains to Harbor"
40,J34-S_flow,8.375200606317367,8.370699706605455,8.368010144582485,8.373389268628427,J34-S,Locust Point,"Southside, Drains to Harbor"
41,J361-S_flow,12.722837439245817,9.46874333285908,12.21762324007751,9.07062934929064,J361-S,Eager Park,Canal Street Creek
42,J366-S_flow,6.453316822736604,3.938160176346431,5.923166190313186,3.521031067121192,J366-S,Eager Park,Canal Street Creek
43,J385-S_flow,30.69532178226742,32.153586245928096,29.034841724634138,30.58682218066337,J385-S,Broadway East,Harris Creek
44,J3-S_flow,9.919288941193969,9.800123865987064,9.700706479274093,9.584438692879257,J3-S,Fells Point,"Northside, Drains to Harbor"
45,J413-S_flow,9.631794868125422,9.630299282955304,9.438132472787178,9.438132472787178,J413-S,Broadway East,Harris Creek
46,J421-S_flow,38.67430939272264,40.01122022951205,36.80583275626756,38.33014255715791,J421-S,McElderry Park,Harris Creek
47,J42-S_flow,7.752632526539519,7.75069999722651,7.749545193124831,7.751854801328186,J42-S,Locust Point,"Southside, Drains to Harbor"
48,J433-S_flow,6.504048338541596,6.5027306010083805,6.482950895973482,6.482950895973482,J433-S,Madison-Eastend,Harris Creek
49,J437-S_flow,7.270718425399771,8.253997178042551,7.24962425197973,7.263321129823343,J437-S,Patterson Park,Harris Creek
50,J438-S_flow,18.37970139616179,14.67714759562098,17.10381579941333,14.675514621903204,J438-S,McElderry Park,Harris Creek
51,J450-S_flow,6.6812876839865885,6.6855816205497,6.66020231712413,6.661257057764866,J450-S,Madison-Eastend,Harris Creek
52,J456-S_flow,2.141153501156156,2.1393685577878085,2.138301945287211,2.1404351702884066,J456-S,Orangeville,Harris Creek
53,J45-S_flow,2.9339453171489747,2.933015328893113,2.932459604203635,2.9335710535825914,J45-S,Locust Point,"Southside, Drains to Harbor"
54,J460-S_flow,9.68060025984951,9.678697538721943,9.583239619589746,9.58101105764765,J460-S,Orangeville,Harris Creek
55,J461-S_flow,14.994005711754498,15.082422644667286,14.89244040165029,14.975261833438015,J461-S,Baltimore Highlands,Harris Creek
56,J46-S_flow,5.233982030745494,5.233173872286777,5.221934338761516,5.222906805739884,J46-S,Locust Point,"Southside, Drains to Harbor"
57,J471-S_flow,6.262914947471398,6.261123327539396,6.173934330399804,6.173934330399804,J471-S,Orangeville,Harris Creek
58,J480-S_flow,12.807366158772108,12.803541162015913,12.75113947548193,12.755739995605454,J480-S,McElderry Park,Harris Creek
59,J484-S_flow,15.550187318609746,14.868070782935987,15.50489977790423,15.796044238783692,J484-S,Baltimore Highlands,Harris Creek
60,J491-S_flow,21.65610240503402,19.41763350074393,21.58911244111997,19.35308472186384,J491-S,Kresson,Harris Creek
61,J492-S_flow,4.059197145850262,4.05838222847295,4.057895265649922,4.058869191295978,J492-S,Baltimore Highlands,Harris Creek
62,J49-S_flow,3.610642588462645,3.609342128421943,3.575946754553695,3.5775132586041534,J49-S,Washington Hill,Canal Street Creek
63,J4-S_flow,2.784072376252472,2.783250778601232,2.7828199850010678,2.7837091170770853,J4-S,Canton,"Northside, Drains to Harbor"
64,J506-S_flow,4.232589226961801,4.231786027566188,4.225581815877676,4.226546338555962,J506-S,Baltimore Highlands,Harris Creek
65,J507-S_flow,22.73064208880776,24.7881263339652,22.81046721010544,24.6545640033719,J507-S,Patterson Park,Harris Creek
66,J50-S_flow,5.920465323532593,5.918311429980382,5.889751764229756,5.891575128295125,J50-S,Washington Hill,Canal Street Creek
67,J512-S_flow,18.89353429982186,19.92423030028694,18.773109752592475,19.805849554336422,J512-S,Patterson Park,Harris Creek
68,J534-S_flow,18.46543936583902,18.467181410382548,18.401633126316096,18.401608120124493,J534-S,Patterson Park,Harris Creek
69,J539-S_flow,9.269086519876572,9.270074397633667,8.436637362012362,8.436656800017628,J539-S,Canton,"Northside, Drains to Harbor"
70,J541-S_flow,3.4174200478043444,3.41606901516081,3.41526169077626,3.4168763395453614,J541-S,Canton Industrial Area,"Northside, Drains to Harbor"
71,J548-S_flow,10.74029045013395,10.738451013477972,9.95529375589373,9.95529375589373,J548-S,Canton,"Northside, Drains to Harbor"
72,J556-S_flow,6.719312604381229,6.716567120472784,6.715068710582376,6.71814514008566,J556-S,Canton,Harris Creek
73,J567-S_flow,8.744526417252011,8.74526774518877,8.70284794391337,8.699099672029531,J567-S,Berea,Armistead Creek
74,J568-S_flow,11.56102150150738,10.650379788635489,11.526148640915768,10.624612764718515,J568-S,Berea,Armistead Creek
75,J571-S_flow,6.067598812655022,6.064609662444941,6.0628234629291615,6.0663958619607214,J571-S,Berea,Armistead Creek
76,J576-S_flow,6.198681956203251,4.379953004324142,5.560494455084354,3.4541041068781704,J576-S,Dunbar-Broadway,Canal Street Creek
77,J578-S_flow,10.167263232293935,10.063113484512984,10.018484876427664,10.063961743029616,J578-S,Dunbar-Broadway,Canal Street Creek
78,J586-S_flow,1.306496371400774,0.7099850420873408,1.2925291311709854,0.7006147623638037,J586-S,Dunbar-Broadway,Canal Street Creek
79,J587-S_flow,5.417290987672691,5.416346403225896,5.055174269372248,5.055174269372248,J587-S,Downtown,"Southside, Drains to Harbor"
80,J592-S_flow,3.7803513306818144,3.778280486418856,3.750755074630884,3.7480295754084234,J592-S,Dunbar-Broadway,Canal Street Creek
81,J5-S_flow,4.002880114950211,3.9986572284279607,4.001675508251237,3.999109861014551,J5-S,Canton,"Northside, Drains to Harbor"
82,J609-S_flow,9.543752827087811,9.508365827071968,9.54379062671286,9.50838152646177,J609-S,Dunbar-Broadway,Canal Street Creek
