,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_volume,30.085710368693903,30.18279456117421,30.087983922327098,30.19201166217101,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_volume,68.44407364520383,67.95320956813202,62.16428779239356,62.02596972765563,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_volume,85.48148483969447,88.0295912539334,81.61707363188853,84.196292498299,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_volume,20.73677912365188,19.06165308932093,20.229644481014176,18.6437579676168,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_volume,29.059484537175454,17.040160876430694,29.047286663974585,17.022164910627126,J128-S,Canton,Harris Creek
5,J130-S_volume,123.52568992160738,94.69801360948948,118.28196465664514,90.80648998048837,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_volume,22.254516440179327,19.094711761331705,21.78975186750599,18.765652337837142,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_volume,113.17940392746482,107.19290350155325,112.24787325980697,106.31748256750076,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_volume,28.32486888974437,28.704643344745904,28.331872404132625,28.70897668175551,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_volume,29.865998975739668,29.856236313764484,29.72991816517082,29.72003085925832,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_volume,44.70081175307048,37.268132112041314,44.11028194800998,36.92931114702938,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_volume,22.27535051456268,22.268802412811244,22.078980476091623,22.072274393126776,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_volume,23.162294053365976,23.150063224682658,23.00939111078588,22.997800222581404,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_volume,15.928687148137076,15.9285878786462,15.928668880991044,15.928572180229258,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_volume,24.13550101365475,24.117656916476708,24.12535213618432,24.10793367666128,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_volume,92.88623991563227,66.26643701084642,92.21107385731662,66.2894936002122,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_volume,30.15753742919297,30.16478546649198,30.15754276380989,30.157414975048063,J191-S,Fells Point,Canal Street Creek
17,J1-S_volume,17.047973342572675,17.0510761371319,17.046809243785965,17.04837110555133,J1-S,Clifton Park,Canal Street Creek
18,J204-S_volume,17.982538925426116,17.982502733491142,17.982524268084777,17.982501589648148,J204-S,Fells Point,Canal Street Creek
19,J208-S_volume,41.156966175423335,41.16938808377039,39.53949152885215,39.54305809900645,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_volume,34.9111458571092,31.384821183072045,34.52546712648345,31.07148611141002,J211-S,Fells Point,Canal Street Creek
21,J227-S_volume,213.50381532505816,207.8015154753085,213.50080456737837,207.78879763461543,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_volume,6.281446059846141,6.1631928220739045,6.2814090352109,6.1633210750652845,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_volume,8.420059215954302,9.34637621605609,8.419939758304666,9.345735580741309,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_volume,23.55719062057869,23.55567278141621,23.55719096520287,23.551888172690315,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_volume,13.282323211959769,13.283084621226164,13.282228815563846,13.282998409575557,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_volume,31.214986088332108,31.39758275527324,31.192754877511348,31.37668321383969,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_volume,75.03627731810555,70.0780855906344,74.88272608263769,69.89943920827201,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_volume,20.519272496236937,16.420765557741966,19.61575878614095,15.695821981040384,J253-S,Eager Park,Canal Street Creek
29,J260-S_volume,29.37372282539329,30.584913678555985,28.30895001199232,29.27093298814214,J260-S,Broadway East,Canal Street Creek
30,J266-S_volume,23.80728296953504,22.40532617682351,23.42026718044399,22.04009281950506,J266-S,Clifton Park,Canal Street Creek
