,Base,I,V,V&I,node_name,node_id,neighborhood,historic_stream
0,0.0,0.00040749286936569984,9.694571533103158e-06,0.0004461973997016977,J105-S_depth,J105-S,Downtown,"Southside, Drains to Harbor"
1,0.0,-0.001121144723445766,-0.014757291388767468,-0.01509302934428347,J10-S_depth,J10-S,Downtown,"Southside, Drains to Harbor"
2,0.0,0.005051253094153774,-0.007806948844382822,-0.0025535562398626976,J116-S_depth,J116-S,Downtown,"Southside, Drains to Harbor"
3,0.0,-0.011680420796665508,-0.0033686709722028085,-0.014887204578560298,J119-S_depth,J119-S,Downtown,"Southside, Drains to Harbor"
4,0.0,-0.09982995851957199,-0.00010213298239408752,-0.09998075491171948,J128-S_depth,J128-S,Canton,Harris Creek
5,0.0,-0.04967200231474367,-0.008522418640466767,-0.057052948221475885,J130-S_depth,J130-S,Downtown,"Southside, Drains to Harbor"
6,0.0,-0.020792712533064195,-0.0027696930571202982,-0.023307589686610397,J131-S_depth,J131-S,Downtown,"Southside, Drains to Harbor"
7,0.0,-0.007825626580021061,-0.0011838808805758605,-0.009014063310671672,J136-S_depth,J136-S,Downtown,"Southside, Drains to Harbor"
8,0.0,0.002640801189466302,4.887774112699583e-05,0.0026699881294852956,J138-S_depth,J138-S,Downtown,"Southside, Drains to Harbor"
9,0.0,-4.1129870299805305e-05,-0.0005767317538561134,-0.0006186020671897219,J141-S_depth,J141-S,Downtown,"Southside, Drains to Harbor"
10,0.0,-0.039545762403073226,-0.002936341789950836,-0.041441941857661035,J157-S_depth,J157-S,Downtown,"Southside, Drains to Harbor"
11,0.0,-3.845149040460072e-05,-0.0011549085597346853,-0.0011947538623577891,J163-S_depth,J163-S,Downtown,"Southside, Drains to Harbor"
12,0.0,-6.799001166010732e-05,-0.0008560231413154984,-0.0009210809641106155,J165-S_depth,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,0.0,-7.135990221229793e-07,-4.11348012041568e-08,-7.469366242185416e-07,J171-S_depth,J171-S,Canton,"Northside, Drains to Harbor"
14,0.0,-9.458624876979016e-05,-5.296986765709888e-05,-0.00014538627742169408,J177-S_depth,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,0.0,-0.05554822979716478,-0.0012801708183847738,-0.05570642306027118,J182-S_depth,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,0.0,3.0134370548023925e-05,3.263069320302847e-08,-5.835149387012351e-07,J191-S_depth,J191-S,Fells Point,Canal Street Creek
17,0.0,2.5350378929811512e-05,-9.671328486698938e-06,3.1475323717111703e-06,J1-S_depth,J1-S,Clifton Park,Canal Street Creek
18,0.0,-2.770219578174249e-07,-9.624242611194767e-08,-2.740411008117505e-07,J204-S_depth,J204-S,Fells Point,Canal Street Creek
19,0.0,3.945048613152036e-05,-0.0053043569684042,-0.0052929966743999746,J208-S_depth,J208-S,Downtown,"Southside, Drains to Harbor"
20,0.0,-0.028898900543031958,-0.0031935356171000073,-0.03144095007367459,J211-S_depth,J211-S,Fells Point,Canal Street Creek
21,0.0,-0.00683707448994697,-2.1147996269732516e-06,-0.006843787215411901,J227-S_depth,J227-S,Locust Point,"Southside, Drains to Harbor"
22,0.0,-0.0009796208547286009,1.6401981283997724e-06,-0.0009814320506726024,J231-S_depth,J231-S,Locust Point,"Southside, Drains to Harbor"
23,0.0,0.007705665220919811,-9.05309337911886e-08,0.007700313784565205,J232-S_depth,J232-S,Locust Point,"Southside, Drains to Harbor"
24,0.0,-8.639108164593123e-06,-4.232536349180194e-08,-2.9108797539284526e-05,J234-S_depth,J234-S,Locust Point,"Southside, Drains to Harbor"
25,0.0,6.4483905541090625e-06,-6.769268409007045e-07,5.8322317625092435e-06,J238-S_depth,J238-S,Locust Point,"Southside, Drains to Harbor"
26,0.0,0.0013300470771105966,-0.0001641031797853243,0.001178128010752122,J240-S_depth,J240-S,Locust Point,"Southside, Drains to Harbor"
27,0.0,-0.010867198870408212,-0.00033007194119932803,-0.011275894631998629,J245-S_depth,J245-S,Locust Point,"Southside, Drains to Harbor"
