,Base,I,V,V&I,node_name,node_id,neighborhood
0,0.0,0.0971782034506532,0.002343384401140014,0.10638422218436006,J105-S_volume,J105-S,Downtown
1,0.0,-0.49129044204826755,-6.279883521555355,-6.41833177999802,J10-S_volume,J10-S,Downtown
2,0.0,2.5486923424370787,-3.849257823408479,-1.2703545127470903,J116-S_volume,J116-S,Downtown
3,0.0,-1.6600894617822064,-0.503569441780126,-2.0736737564917647,J119-S_volume,J119-S,Downtown
4,0.0,-12.019682464806984,-0.012592329540204616,-12.03760644572871,J128-S_volume,J128-S,Canton
5,0.0,-28.618872074376654,-5.220459022161634,-32.498675850840115,J130-S_volume,J130-S,Downtown
6,0.0,-3.1412628144372405,-0.46259572606039967,-3.4693943709318695,J131-S_volume,J131-S,Downtown
7,0.0,-5.996542850128975,-0.9305147980628163,-6.867249259973875,J136-S_volume,J136-S,Downtown
8,0.0,0.3800692650610351,0.007117944896936734,0.384000426856435,J138-S_volume,J138-S,Downtown
9,0.0,-0.009725160877476213,-0.1360200361338002,-0.145922560368966,J141-S_volume,J141-S,Downtown
10,0.0,-7.41828462643516,-0.5751865707122619,-7.756083838028076,J157-S_volume,J157-S,Downtown
11,0.0,-0.006549332155721288,-0.19558513658315135,-0.20229957716373903,J163-S_volume,J163-S,Downtown
12,0.0,-0.012189567221515318,-0.15288420614328402,-0.16445959944998378,J165-S_volume,J165-S,Federal Hill
13,0.0,-8.101149671979613e-05,3.317137844405238e-06,-9.801455434832462e-05,J171-S_volume,J171-S,Canton
14,0.0,-0.017832290818962093,-0.009981979759821513,-0.027421728059859873,J177-S_volume,J177-S,Federal Hill
15,0.0,-26.537652999179926,-0.6753515174650317,-26.669093030749522,J182-S_volume,J182-S,Federal Hill
16,0.0,0.007282772137173765,-3.777006885030687e-06,-0.00014184974778075343,J191-S_volume,J191-S,Fells Point
17,0.0,0.0030885330231171793,-0.0011608688900892616,0.000387758295840257,J1-S_volume,J1-S,Clifton Park
18,0.0,-3.5520257029020286e-05,-1.091821009779892e-05,-3.7272487556805345e-05,J204-S_volume,J204-S,Fells Point
19,0.0,0.012354254532276343,-1.6156889208863916,-1.612289145374227,J208-S_volume,J208-S,Downtown
20,0.0,-3.5284867135904925,-0.3896984499772742,-3.8359358953239067,J211-S_volume,J211-S,Fells Point
21,0.0,-5.706765693896216,-0.0012790577710575235,-5.707036993813574,J227-S_volume,J227-S,Locust Point
22,0.0,-0.11835628662062003,-0.0004427128227275645,-0.11926215099403148,J231-S_volume,J231-S,Locust Point
23,0.0,0.9277330839837425,0.00022874031167852138,0.9270683152891372,J232-S_volume,J232-S,Locust Point
24,0.0,-0.0017935257930261628,-0.00027077584338641714,-0.0056041237289434775,J234-S_volume,J234-S,Locust Point
25,0.0,0.0007810223365734004,-7.035239119090875e-05,0.0006938698508598407,J238-S_volume,J238-S,Locust Point
26,0.0,0.18261161761822464,-0.022125708618439432,0.16172068222265779,J240-S_volume,J240-S,Locust Point
27,0.0,-4.9546621733250475,-0.15169910835059852,-5.1278217153223835,J245-S_volume,J245-S,Locust Point
28,0.0,-4.103698893487774,-0.9064856580850709,-4.827270322851957,J253-S_volume,J253-S,Eager Park
29,0.0,1.204901876939271,-1.0626710183225505,-0.10806798343891089,J260-S_volume,J260-S,Broadway East
30,0.0,-1.4014086853800833,-0.3868711552918427,-1.7665658528355692,J266-S_volume,J266-S,Clifton Park
31,0.0,-0.004655919205990955,-0.13086703657875987,-0.13410330415677585,J268-S_volume,J268-S,Clifton Park
32,0.0,-0.00024177569858885306,-0.0027154019830621934,-0.002645381857032447,J273-S_volume,J273-S,Clifton Park
33,0.0,-7.386331559646525,-1.4420651343328572,-7.466888955353529,J278-S_volume,J278-S,Broadway East
34,0.0,-0.5510529205198793,0.009550469441016673,-0.5593395593213657,J27-S_volume,J27-S,Locust Point
35,0.0,-7.88967829670181,-2.3070043128570177,-8.092213119752323,J280-S_volume,J280-S,Broadway East
36,0.0,1.1595150306911037,-1.296106937438637,-0.022827462686386468,J328-S_volume,J328-S,Broadway East
37,0.0,-7.01337270184392,-3.0565082061913955,-12.139025517544777,J329-S_volume,J329-S,Broadway East
38,0.0,-7.819236319775371,-2.2985245043097677,-10.254019124429846,J338-S_volume,J338-S,Eager Park
39,0.0,-3.780606850237021,0.000726973498103689,-3.8026189934576706,J33-S_volume,J33-S,Locust Point
40,0.0,-0.0013237648618975584,-6.529228353713279e-05,-0.0013521697063154647,J34-S_volume,J34-S,Locust Point
41,0.0,-5.498434500353845,-0.9625988645324384,-6.366241987901489,J361-S_volume,J361-S,Eager Park
42,0.0,-12.823809806424588,-1.9064688060080535,-13.806695157889386,J366-S_volume,J366-S,Eager Park
43,0.0,16.977755122272498,-9.551943946909361,8.450195154668336,J385-S_volume,J385-S,Broadway East
44,0.0,-11.355472228735348,-0.8516433177392742,-11.803435654584067,J3-S_volume,J3-S,Fells Point
45,0.0,0.006595423879197426,-0.26560503121462986,-0.2622938630938805,J413-S_volume,J413-S,Broadway East
46,0.0,-17.05915866907435,-5.98292466355548,-17.06401077669564,J421-S_volume,J421-S,McElderry Park
47,0.0,-0.001724263086387623,-0.0011444102010571555,-0.001730673663260518,J42-S_volume,J42-S,Locust Point
48,0.0,0.5075817236858882,-0.06506060995770113,0.4290829288195077,J433-S_volume,J433-S,Madison-Eastend
49,0.0,5.094903787174417,-0.9378586956941533,-1.3916346833800972,J437-S_volume,J437-S,Patterson Park
50,0.0,49.401572769594736,-43.446359584481996,1.8435172832629405,J438-S_volume,J438-S,McElderry Park
51,0.0,-0.9155396042239943,-0.03205373527178779,-0.9471323471912712,J450-S_volume,J450-S,Madison-Eastend
52,0.0,0.9202560437455816,0.009038061961639698,0.9291088644576497,J456-S_volume,J456-S,Orangeville
53,0.0,-0.0005126233151777626,3.5098094041785544e-05,-0.0005186229858864522,J45-S_volume,J45-S,Locust Point
54,0.0,0.03136303283050523,-0.2347828771921563,-0.20719236822294107,J460-S_volume,J460-S,Orangeville
55,0.0,-9.853191323115688,-0.26024257770880865,-10.047396096990724,J461-S_volume,J461-S,Baltimore Highlands
56,0.0,2.386058196890417e-05,-0.019887162577834516,-0.01986219642201803,J46-S_volume,J46-S,Locust Point
57,0.0,0.035934323448529426,-1.4866587073474307,-1.4774507708340678,J471-S_volume,J471-S,Orangeville
58,0.0,-0.061467358600765465,-0.15862095627400663,-0.21965606972796792,J480-S_volume,J480-S,McElderry Park
59,0.0,-17.949149784023994,-0.19570320852268708,-18.17798868757616,J484-S_volume,J484-S,Baltimore Highlands
60,0.0,-6.455817608347395,-0.07013561460557582,-6.5121531690549155,J491-S_volume,J491-S,Kresson
61,0.0,-0.0032298927854004233,-2.2206521526513257e-05,-0.0032523615823318863,J492-S_volume,J492-S,Baltimore Highlands
62,0.0,-3.0875420677034526e-05,-0.05860474734125276,-0.05864634059403073,J49-S_volume,J49-S,Washington Hill
