,node_name,BGN,BGNx3,Base,I,UG,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_depth,0.1463959216278505,0.1463957122881329,0.1463959249390161,0.1464488779976433,0.1463945492307534,0.1451717477076391,0.1452266231990444,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_depth,0.2496759748494912,0.2496759307968321,0.2496759540008132,0.2152722665902451,0.2496758955621328,0.2421507782862102,0.209187130200252,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_depth,0.2776967987640393,0.2776966803910976,0.2776968206838932,0.256071855899587,0.2776964052270969,0.2726550530893847,0.2509053942728769,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_depth,0.1527114468631802,0.1527113612741019,0.1527114790715615,0.1384285889373393,0.1527111245536717,0.1503677396701713,0.1361034354535283,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_depth,0.2665741851029253,0.2662053019996271,0.2666963630405183,0.2018378932720395,0.2663062255996583,0.265092951100745,0.2008434369569513,J128-S,Canton,Harris Creek
5,J130-S_depth,0.3879461374770797,0.3879456694190091,0.3879462874587272,0.348563125198404,0.3879450285715296,0.3829237136747184,0.3435832876009979,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_depth,0.1649749306251095,0.1649748126851943,0.1649749951857501,0.1477767264020477,0.1649745399147765,0.1627560255057779,0.1455395589019051,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_depth,0.4316528941400302,0.431653349622179,0.431652653366146,0.4112870389899273,0.4316531347757798,0.4308317147355548,0.4104010181149791,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_depth,0.197824137192009,0.1978450640848241,0.1978240893498452,0.1989404679136603,0.1978257715178631,0.196824418207629,0.1979034770495728,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_depth,0.1409195571744724,0.1409195514340629,0.140919551978733,0.1409218114451211,0.140919552317001,0.1405377528200491,0.1405398290322666,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_depth,0.2754616938683414,0.2754615789620172,0.2754616179773957,0.2539924003576119,0.2754615233631069,0.2727703691338067,0.2511893001092717,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_depth,0.1339263490133777,0.1339263313684688,0.1339263317173218,0.1339351314803906,0.1339263234387834,0.1326972264710215,0.132705506035165,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_depth,0.1240050791346832,0.1240050656273115,0.1240050669079847,0.1222562053036263,0.1240050796155309,0.1233533652622914,0.1216084917370393,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_depth,0.1041530385971574,0.1041530010096682,0.1041530101206275,0.1041595151968007,0.104152918925425,0.1041529802257055,0.1041594129424117,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_depth,0.1358839642573314,0.1358838560211467,0.1358840599545533,0.1359075760405348,0.1358827984425506,0.135306918748887,0.1353302129948863,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_depth,0.3533228518233517,0.3533231300505873,0.3533221054095756,0.3314991003068437,0.3533275471649962,0.3513588537768803,0.3295225519604009,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_depth,0.2141401972955006,0.2141400682687021,0.2141401452552776,0.1946260183407627,0.21414041633136,0.2136920453108648,0.1942426212445843,J191-S,Fells Point,Canal Street Creek
17,J1-S_depth,0.0961040103756608,0.0961039364311301,0.0961036328506609,0.0961131347811133,0.0961036502233623,0.0948615930739941,0.094872873170777,J1-S,Clifton Park,Canal Street Creek
18,J204-S_depth,0.1186350367019863,0.118635023010095,0.118635023756584,0.1186427733703239,0.1186350174135815,0.1183894156973676,0.1183965009220768,J204-S,Fells Point,Canal Street Creek
19,J208-S_depth,0.1912501047842364,0.1912500526948345,0.1912500597507996,0.1912800088425715,0.191250022374979,0.188197880401626,0.1882248806818722,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_depth,0.1752397244844054,0.1594144609126341,0.1752428451237992,0.1547094743003761,0.174862017547357,0.1724960659639593,0.1522451995146789,J211-S,Fells Point,Canal Street Creek
21,J227-S_depth,0.3395718323079092,0.3395717664501336,0.3395718028533847,0.3324123744903334,0.3395717846548216,0.3395717886574632,0.3324123795007688,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_depth,0.0382611219234873,0.0382612622934871,0.0382616188606288,0.0382534307220847,0.0382622730720651,0.0382614423392423,0.0382539188321312,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_depth,0.0120861218685147,0.0120861803167647,0.0120866164163894,0.0118656267782821,0.0120862454671277,0.012086159255073,0.011865509085329,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_depth,0.1422404051530001,0.1422403735599006,0.1422403773129654,0.1422561302963511,0.1422403557144637,0.1396326223339732,0.1396490970270486,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_depth,0.0896924395992775,0.0896924259063156,0.0896924022939303,0.0896923813386038,0.0896925198690718,0.0896924789368818,0.0896924215746821,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_depth,0.1718636237866782,0.1718636042714253,0.1718636017580831,0.1691322706169902,0.1718636442038715,0.1710630295056001,0.1683481748950168,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_depth,0.3073314321048863,0.3073316951162514,0.3073307483080953,0.2886721247315669,0.3073358090163699,0.3060620878358419,0.2874304767809899,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_depth,0.1670736246557003,0.1607710413244042,0.170532825686119,0.1444415744105226,0.1705206737227037,0.1626514856618557,0.1371379524548528,J253-S,Eager Park,Canal Street Creek
29,J260-S_depth,0.1436253077970939,0.1436253146875351,0.1441232823123445,0.1334620943821512,0.1441231508308708,0.1411623595033898,0.13059839972471,J260-S,Broadway East,Canal Street Creek
30,J266-S_depth,0.135166143089752,0.1351662017921742,0.135925015612033,0.1327238688112572,0.1359248405289226,0.1332961552698327,0.1301669008590713,J266-S,Clifton Park,Canal Street Creek
31,J268-S_depth,0.086708136069238,0.0867101835083201,0.0866991407626829,0.0867213360441229,0.0867001236024627,0.0854816668218938,0.0855098507674226,J268-S,Clifton Park,Canal Street Creek
32,J273-S_depth,0.0623452847447453,0.062354403771214,0.0623387763360908,0.0628101979278843,0.0623326309266838,0.0625921444620559,0.0630462578776312,J273-S,Clifton Park,Canal Street Creek
33,J278-S_depth,0.2228033058894765,0.2227873696058832,0.231458576867124,0.2017926933502676,0.2314590275531469,0.2223653944603855,0.1923185154970511,J278-S,Broadway East,Canal Street Creek
34,J27-S_depth,0.1793935775633434,0.1793936740843175,0.1793936115217866,0.1558837617711301,0.1793938015916448,0.179393642262378,0.1558818598821818,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_depth,0.3064604236942991,0.3064653307416552,0.3172768617569512,0.2849245996897268,0.3172769926805568,0.305232622162913,0.2725138868169389,J280-S,Broadway East,Canal Street Creek
36,J328-S_depth,0.2634241642976173,0.2634175024050474,0.2632402739962093,0.2642706877638192,0.2632398189536487,0.2580772724711054,0.2593351587704761,J328-S,Broadway East,Canal Street Creek
37,J329-S_depth,0.2141690342619142,0.2142148218007874,0.2187429788249862,0.1908795460679097,0.2187440760709716,0.2099565501332926,0.183366277047708,J329-S,Broadway East,Canal Street Creek
38,J338-S_depth,0.3330864878424444,0.3182904762380467,0.3414454342253491,0.2858617807764598,0.3414215492497713,0.3231277792992084,0.2688557795983975,J338-S,Eager Park,Canal Street Creek
39,J33-S_depth,0.4286983592428497,0.4286983281688147,0.4286983771968565,0.4095742685274456,0.428698273770985,0.422480640067317,0.403309672310919,J33-S,Locust Point,"Southside, Drains to Harbor"
40,J34-S_depth,0.1206575333445245,0.1206575342218632,0.1206575341022948,0.1206576928127462,0.1206575327802923,0.1206575357650645,0.1206576936467344,J34-S,Locust Point,"Southside, Drains to Harbor"
41,J361-S_depth,0.2490280548530949,0.241991391950911,0.2523102747649136,0.2189760836626791,0.2523025620587806,0.2416023308837143,0.2118266592629519,J361-S,Eager Park,Canal Street Creek
