,node_name,BGN,BGNx3,Base,I,UG+I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_depth,0.1461237408198681,0.146123417018314,0.1461237472675386,0.147037938151016,0.1470360018683071,0.1461593787977333,0.1472039497165737,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_depth,0.2152781433338254,0.2152781732138057,0.2093635395035329,0.199243097844524,0.2092494844176212,0.203919561720936,0.1806214941373746,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_depth,0.2159299950905348,0.2159300762487688,0.2159301180710142,0.1841391055666982,0.1841390021898339,0.2133990432329576,0.1820641777393118,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_depth,0.1080112769949353,0.1080112610097371,0.108011288467574,0.0837686596463517,0.0837686416540881,0.1066559676649269,0.0813630577615407,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_depth,0.1339247355938975,0.1334069316156868,0.1340559946749408,0.0527515393534,0.0521689134450807,0.133782315885667,0.0523569732079381,J128-S,Canton,Harris Creek
5,J130-S_depth,0.2781827041993501,0.2781832230059274,0.2781825142423779,0.2193898691270142,0.2193901819351434,0.2757694300484436,0.2176732207027347,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_depth,0.1154677114521528,0.1154677081560227,0.1154676421137571,0.0862256128381119,0.0862255730104804,0.1142909483008933,0.0850436710703647,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_depth,0.3322463702188573,0.3322438594656456,0.3309200758329449,0.2804570269052011,0.2804547568446603,0.3312714853651562,0.2782932562396041,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_depth,0.1998597534377998,0.1998606446092067,0.1998623773495843,0.2021414557081617,0.2021230803721962,0.1998539407347053,0.2021452518971188,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_depth,0.1409296770072647,0.140929676984414,0.140929859761905,0.1409352578480856,0.1409352577318842,0.1405561760255597,0.1406649903125759,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_depth,0.230634783362524,0.2306347837484985,0.2306347968721145,0.1979735921891601,0.1979735917658419,0.2284673993834878,0.195923436073922,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_depth,0.1338381108674642,0.1338381108660535,0.1338381110068462,0.1338511825642802,0.1338511825634501,0.1326054485784324,0.1326176269808064,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_depth,0.1212494902389212,0.1212494903765993,0.121249493077024,0.120584423122011,0.1205844215809083,0.1206038361300533,0.1199403047387464,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_depth,0.1041516169889667,0.1041515897465123,0.104151630208231,0.1041522634511588,0.1041521931829478,0.1041516187278889,0.1041522418864111,J171-S,Canton,"Northside, Drains to Harbor"
