,node_name,Base,I,UG+I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_depth,0.1630604149394468,0.1634484415199867,0.1630601416358327,0.1630611716892573,0.1635009683851791,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_depth,0.2225871141744204,0.2206461212376412,0.2225871871388636,0.209787603429785,0.2061755973183926,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_depth,0.226831251493242,0.2014116562565988,0.2268307682109345,0.2246632242598213,0.1979473615143195,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_depth,0.1100150040580086,0.0884649251302149,0.1100149983256587,0.1089080998063087,0.0857357800635315,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_depth,0.1479163452102089,0.0631344032640947,0.1477883791038479,0.1478668602184054,0.0630837011677444,J128-S,Canton,Harris Creek
5,J130-S_depth,0.2859466567467084,0.2260208670561842,0.2859454079411835,0.2833477020949771,0.2231896755597562,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_depth,0.1180835054288955,0.0895034218043896,0.1180831477658145,0.1168241582970219,0.0877106772854707,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_depth,0.3808239869825215,0.3773196500174308,0.3808232433481661,0.3793031886639129,0.3756819885478025,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_depth,0.1775724162231231,0.1876838778119648,0.1775729738703664,0.1778713866490166,0.1878633805191515,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_depth,0.1638234934467254,0.1638486092249542,0.163823438980019,0.1634061340746414,0.1634308699763382,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_depth,0.2398010707090835,0.2063600548687457,0.2398010705424487,0.2372449664615442,0.2039650692497603,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_depth,0.1382796097461055,0.1382843582696853,0.1382796097450634,0.1368274002735346,0.1368312218019954,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_depth,0.1357053633171899,0.135067463088455,0.1357055214420205,0.1349937268480567,0.1343578493493482,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_depth,0.1066128219701324,0.1066130477694071,0.1066128530862183,0.1066128227063623,0.1066130480488777,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_depth,0.1457954473462873,0.1458306592014518,0.1457951063415714,0.1457557820598835,0.1457909053306077,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_depth,0.2692389460859104,0.2280282005828465,0.2692420508119154,0.2684778943458459,0.2273607579416183,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_depth,0.1685543991268505,0.1629858251723859,0.1685543880494217,0.1685543976196969,0.1629858162950104,J191-S,Fells Point,Canal Street Creek
17,J1-S_depth,0.1015585381435251,0.101580053846924,0.1015585245937857,0.1015601097733817,0.1015868514564315,J1-S,Clifton Park,Canal Street Creek
18,J204-S_depth,0.1185212072667913,0.1185212234964965,0.1185212071492902,0.1185212072326084,0.1185212234651156,J204-S,Fells Point,Canal Street Creek
19,J208-S_depth,0.1943698208871218,0.1946838361017154,0.1943698204881363,0.1911124592972725,0.1914549819025702,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_depth,0.1568646299778619,0.1317441491931299,0.1568642097340163,0.1565937661835795,0.1315052523787774,J211-S,Fells Point,Canal Street Creek
21,J227-S_depth,0.3985699416062244,0.3853001745365038,0.3985711458671171,0.3985702853613471,0.3853000670985098,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_depth,0.0403454120786907,0.0402880208397649,0.0403462722604242,0.0403457333821312,0.0402873045334894,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_depth,0.0117336057859076,0.0118175164652538,0.0117341438786318,0.0117336811993789,0.0118024069301977,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_depth,0.1438973072036425,0.1439146708293495,0.1438973071673425,0.1438973071674112,0.1439146708294382,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_depth,0.0920662775791601,0.0920662516716172,0.0920664128464733,0.0920663014364028,0.0920662552995933,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_depth,0.1742744279215574,0.1696407029168899,0.1742740401139289,0.1741709938939525,0.1695280682768655,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_depth,0.2346927367180184,0.1944669408619924,0.2346925000561711,0.2344642584843216,0.1942057686261048,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_depth,0.1189293870922921,0.0942734568060914,0.1187835933027784,0.11440000635983,0.0908339379812603,J253-S,Eager Park,Canal Street Creek
29,J260-S_depth,0.1287993134940185,0.1128039471896876,0.1287986813420013,0.1267555067954361,0.1110155932779202,J260-S,Broadway East,Canal Street Creek
30,J266-S_depth,0.1281867741345855,0.1196356215918411,0.1281872375456407,0.1256384840794245,0.1172399970086357,J266-S,Clifton Park,Canal Street Creek
31,J268-S_depth,0.0892131004678112,0.0892797009686863,0.0892135329630426,0.0879751232364293,0.0880468606593252,J268-S,Clifton Park,Canal Street Creek
32,J273-S_depth,0.0677705569372077,0.0685902746063996,0.0677713355620872,0.0679550797545774,0.0687421481157794,J273-S,Clifton Park,Canal Street Creek
33,J278-S_depth,0.1570792883668649,0.1174375643223836,0.1569381100026539,0.1509703519897149,0.1131211684635131,J278-S,Broadway East,Canal Street Creek
34,J27-S_depth,0.1041481867404842,0.0801562625077146,0.1041483238887909,0.104148105385424,0.0801562751165356,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_depth,0.2578567299216965,0.2149702805153324,0.2574599369927776,0.2485752235809225,0.2067800932725946,J280-S,Broadway East,Canal Street Creek
36,J328-S_depth,0.2797650057872858,0.2860328056395511,0.2797897044937904,0.2743495443946829,0.2804688361704966,J328-S,Broadway East,Canal Street Creek
37,J329-S_depth,0.169914785299464,0.1405510712580212,0.1698310491893822,0.163794546018285,0.1350196668877608,J329-S,Broadway East,Canal Street Creek
38,J338-S_depth,0.23540053259214,0.1809239478959927,0.2350896516051149,0.2238380912333915,0.1711166736749558,J338-S,Eager Park,Canal Street Creek
39,J33-S_depth,0.3174786827154587,0.2904625681567471,0.3174786397531423,0.3174786832882626,0.2904625553549146,J33-S,Locust Point,"Southside, Drains to Harbor"
40,J34-S_depth,0.1408707276516276,0.1408715147926866,0.1408706634698077,0.1408707422954491,0.1408715147208187,J34-S,Locust Point,"Southside, Drains to Harbor"
41,J361-S_depth,0.2200320613820288,0.1874127548544784,0.2197675866053212,0.2145671388069165,0.1850366343720149,J361-S,Eager Park,Canal Street Creek
42,J366-S_depth,0.1486477963230633,0.0918443844035188,0.148254448774579,0.1411944985739144,0.0862088637894668,J366-S,Eager Park,Canal Street Creek
43,J385-S_depth,0.2972492921908786,0.322061591717438,0.2905124642801252,0.2857748284072531,0.3090308980800104,J385-S,Broadway East,Harris Creek
44,J3-S_depth,0.1547539539202125,0.1152197964216106,0.1547537569551777,0.1525617208114179,0.1135815650572713,J3-S,Fells Point,"Northside, Drains to Harbor"
45,J413-S_depth,0.1587510158042683,0.1588522053973122,0.1587552859208591,0.1576841273755818,0.1577899184667248,J413-S,Broadway East,Harris Creek
46,J421-S_depth,0.2381001855855105,0.216876236868614,0.2309977596527897,0.2308609751562128,0.2100876305550355,J421-S,McElderry Park,Harris Creek
47,J42-S_depth,0.1088618941367612,0.1088650794927856,0.1088617465916162,0.1088619345875915,0.1088650795028519,J42-S,Locust Point,"Southside, Drains to Harbor"
48,J433-S_depth,0.1547338068844698,0.1561842652806662,0.1547335344016188,0.1545596978597393,0.1560092419410558,J433-S,Madison-Eastend,Harris Creek
