,Base,I,UG+I,V,V&I,node_name,node_id,neighborhood,historic_stream
0,0.0,0.0003880265805398797,-2.7330361410116133e-07,7.567498104821269e-07,0.0004405534457322946,J105-S_depth,J105-S,Downtown,"Southside, Drains to Harbor"
1,0.0,-0.0019409929367791845,7.296444320958884e-08,-0.012799510744635395,-0.01641151685602779,J10-S_depth,J10-S,Downtown,"Southside, Drains to Harbor"
2,0.0,-0.025419595236643194,-4.832823074785164e-07,-0.0021680272334206885,-0.028883889978922495,J116-S_depth,J116-S,Downtown,"Southside, Drains to Harbor"
3,0.0,-0.021550078927793703,-5.732349900311462e-09,-0.0011069042516999028,-0.0242792239944771,J119-S_depth,J119-S,Downtown,"Southside, Drains to Harbor"
4,0.0,-0.08478194194611421,-0.00012796610636101047,-4.948499180351673e-05,-0.08483264404246452,J128-S_depth,J128-S,Canton,Harris Creek
5,0.0,-0.05992578969052417,-1.2488055248782715e-06,-0.0025989546517312667,-0.0627569811869522,J130-S_depth,J130-S,Downtown,"Southside, Drains to Harbor"
6,0.0,-0.028580083624505898,-3.576630809992709e-07,-0.0012593471318735894,-0.03037282814342479,J131-S_depth,J131-S,Downtown,"Southside, Drains to Harbor"
7,0.0,-0.0035043369650907263,-7.436343554267921e-07,-0.0015207983186086294,-0.0051419984347190195,J136-S_depth,J136-S,Downtown,"Southside, Drains to Harbor"
8,0.0,0.010111461588841714,5.576472433266311e-07,0.0002989704258935244,0.01029096429602841,J138-S_depth,J138-S,Downtown,"Southside, Drains to Harbor"
9,0.0,2.511577822880695e-05,-5.446670639508433e-08,-0.0004173593720839808,-0.00039262347038718226,J141-S_depth,J141-S,Downtown,"Southside, Drains to Harbor"
10,0.0,-0.03344101584033779,-1.6663478930034614e-10,-0.002556104247539298,-0.0358360014593232,J157-S_depth,J157-S,Downtown,"Southside, Drains to Harbor"
11,0.0,4.748523579789499e-06,-1.0421108420644032e-12,-0.001452209472570909,-0.0014483879441101188,J163-S_depth,J163-S,Downtown,"Southside, Drains to Harbor"
12,0.0,-0.0006379002287349167,1.581248305904115e-07,-0.00071163646913322,-0.001347513967841718,J165-S_depth,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,0.0,2.257992746945714e-07,3.11160859023385e-08,7.362298964919134e-10,2.2607874529401162e-07,J171-S_depth,J171-S,Canton,"Northside, Drains to Harbor"
14,0.0,3.521185516450198e-05,-3.410047159091434e-07,-3.966528640381162e-05,-4.542015679592781e-06,J177-S_depth,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,0.0,-0.04121074550306392,3.1047260049543723e-06,-0.0007610517400645223,-0.04187818814429212,J182-S_depth,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,0.0,-0.005568573954464584,-1.107742880757101e-08,-1.5071535963695482e-09,-0.005568582831840085,J191-S_depth,J191-S,Fells Point,Canal Street Creek
17,0.0,2.1515703398908292e-05,-1.354973939993176e-08,1.571629856603196e-06,2.831331290639727e-05,J1-S_depth,J1-S,Clifton Park,Canal Street Creek
18,0.0,1.622970520476219e-08,-1.175011060672304e-10,-3.4182906505364485e-11,1.6198324293004163e-08,J204-S_depth,J204-S,Fells Point,Canal Street Creek
19,0.0,0.00031401521459362147,-3.989854835406703e-10,-0.0032573615898492947,-0.002914838984551582,J208-S_depth,J208-S,Downtown,"Southside, Drains to Harbor"
20,0.0,-0.025120480784732002,-4.2024384561134553e-07,-0.00027086379428239993,-0.02535937759908452,J211-S_depth,J211-S,Fells Point,Canal Street Creek
21,0.0,-0.013269767069720606,1.2042608927287368e-06,3.43755122700351e-07,-0.013269874507714607,J227-S_depth,J227-S,Locust Point,"Southside, Drains to Harbor"
22,0.0,-5.739123892579967e-05,8.601817335016082e-07,3.2130344050640414e-07,-5.810754520129552e-05,J231-S_depth,J231-S,Locust Point,"Southside, Drains to Harbor"
23,0.0,8.391067934619863e-05,5.380927241994266e-07,7.541347129928766e-08,6.880114429009924e-05,J232-S_depth,J232-S,Locust Point,"Southside, Drains to Harbor"
24,0.0,1.7363625707006447e-05,-3.6299990791022196e-11,-3.6231295741373515e-11,1.7363625795713267e-05,J234-S_depth,J234-S,Locust Point,"Southside, Drains to Harbor"
25,0.0,-2.5907542902658953e-08,1.3526731319768448e-07,2.3857242709146576e-08,-2.2279566802563266e-08,J238-S_depth,J238-S,Locust Point,"Southside, Drains to Harbor"
26,0.0,-0.004633725004667494,-3.8780762848245054e-07,-0.00010343402760490394,-0.004746359644691889,J240-S_depth,J240-S,Locust Point,"Southside, Drains to Harbor"
27,0.0,-0.04022579585602601,-2.3666184731374607e-07,-0.00022847823369681608,-0.0404869680919136,J245-S_depth,J245-S,Locust Point,"Southside, Drains to Harbor"
28,0.0,-0.02465593028620071,-0.0001457937895136957,-0.004529380732462104,-0.028095449111031803,J253-S_depth,J253-S,Eager Park,Canal Street Creek
29,0.0,-0.01599536630433089,-6.321520172047901e-07,-0.0020438066985823955,-0.017783720216098295,J260-S_depth,J260-S,Broadway East,Canal Street Creek
30,0.0,-0.008551152542744411,4.634110551959836e-07,-0.0025482900551610232,-0.010946777125949811,J266-S_depth,J266-S,Clifton Park,Canal Street Creek
31,0.0,6.660050087510527e-05,4.324952314060937e-07,-0.001237977231381901,-0.0011662398084859998,J268-S_depth,J268-S,Clifton Park,Canal Street Creek
32,0.0,0.0008197176691919078,7.786248795021988e-07,0.0001845228173697061,0.0009715911785717068,J273-S_depth,J273-S,Clifton Park,Canal Street Creek
33,0.0,-0.03964172404448131,-0.00014117836421101426,-0.006108936377150015,-0.043958119903351814,J278-S_depth,J278-S,Broadway East,Canal Street Creek
