,Base,I,UG+I,V,V&I,node_name,node_id,neighborhood
0,0.0,-0.00017478066902176792,-3.905713274576783e-06,-0.0008347661804921636,-0.0007918694921342784,J105-S_flow,J105-S,"('Downtown', 'Southside, Drains to Harbor')"
1,0.0,-0.030963364719947872,-5.926977904024966e-06,-0.17791283290432292,-0.21197354155686554,J10-S_flow,J10-S,"('Downtown', 'Southside, Drains to Harbor')"
2,0.0,0.06124608380997376,-8.069808878463647e-05,-0.09114363393796943,-0.025574124626841055,J116-S_flow,J116-S,"('Downtown', 'Southside, Drains to Harbor')"
3,0.0,-0.7610857487914249,-1.506393186279098e-05,-0.05986013577973415,-0.8447588304882467,J119-S_flow,J119-S,"('Downtown', 'Southside, Drains to Harbor')"
4,0.0,-0.9169511295147651,-0.002482937419271858,-0.0009138597517268643,-0.9175038693932598,J128-S_flow,J128-S,"('Canton', 'Harris Creek')"
5,0.0,-0.9930268920060079,-1.4801251703389084e-05,-0.05172523970074594,-1.040539831251519,J130-S_flow,J130-S,"('Downtown', 'Southside, Drains to Harbor')"
6,0.0,-0.9664955451174095,-1.3553827590051526e-05,-0.043733481580463085,-1.0252302160849722,J131-S_flow,J131-S,"('Downtown', 'Southside, Drains to Harbor')"
7,0.0,0.003135005965242854,-4.8828521412858095e-06,-0.021801819122555077,-0.018108641434567474,J136-S_flow,J136-S,"('Downtown', 'Southside, Drains to Harbor')"
8,0.0,-0.00014841747339955358,-3.316591584368034e-06,-0.00019319145978824448,-0.00015670895236041815,J138-S_flow,J138-S,"('Downtown', 'Southside, Drains to Harbor')"
9,0.0,-0.00015533030705583428,-3.4710683145533494e-06,-0.023663612060088823,-0.02362743890535679,J141-S_flow,J141-S,"('Downtown', 'Southside, Drains to Harbor')"
10,0.0,0.00023500812941001925,-5.197886565611043e-11,-0.07136393473258762,-0.07117671302608786,J157-S_flow,J157-S,"('Downtown', 'Southside, Drains to Harbor')"
11,0.0,-0.0006245141656600062,-1.3955623813899365e-05,-0.04721589543696192,-0.047067245151273696,J163-S_flow,J163-S,"('Downtown', 'Southside, Drains to Harbor')"
12,0.0,-0.00011144767640614006,-1.0498918937340562e-05,-0.03097941696295381,-0.030951971958509183,J165-S_flow,J165-S,"('Federal Hill', 'Southside, Drains to Harbor')"
13,0.0,-1.52695393353941e-05,-3.412187561391278e-07,-1.9875992542717213e-05,-1.6122586225408853e-05,J171-S_flow,J171-S,"('Canton', 'Northside, Drains to Harbor')"
14,0.0,-0.0004709883352735922,-1.0524879000772813e-05,-0.0028867118736437547,-0.0027711071671037146,J177-S_flow,J177-S,"('Federal Hill', 'Southside, Drains to Harbor')"
15,0.0,-0.022763752142988203,-2.1190333775678027e-05,-0.0297473317850363,-0.051828112349214805,J182-S_flow,J182-S,"('Federal Hill', 'Southside, Drains to Harbor')"
16,0.0,6.372180225699964e-07,-4.613368576045218e-09,-1.3420846656231333e-09,6.359859383575639e-07,J191-S_flow,J191-S,"('Fells Point', 'Canal Street Creek')"
17,0.0,0.0,0.0,0.0,0.0,J1-S_flow,J1-S,"('Clifton Park', 'Canal Street Creek')"
18,0.0,0.0,0.0,0.0,0.0,J204-S_flow,J204-S,"('Fells Point', 'Canal Street Creek')"
