,node,scenario,count,time_above
0,J105-S_depth,Base,1,5
1,J10-S_depth,Base,7,35
2,J116-S_depth,Base,9,45
3,J119-S_depth,Base,0,0
4,J128-S_depth,Base,0,0
5,J130-S_depth,Base,42,210
6,J131-S_depth,Base,0,0
7,J136-S_depth,Base,16,80
8,J138-S_depth,Base,4,20
9,J141-S_depth,Base,1,5
10,J157-S_depth,Base,13,65
11,J163-S_depth,Base,0,0
12,J165-S_depth,Base,0,0
13,J171-S_depth,Base,0,0
14,J177-S_depth,Base,0,0
15,J182-S_depth,Base,13,65
16,J191-S_depth,Base,5,25
17,J1-S_depth,Base,0,0
18,J204-S_depth,Base,0,0
19,J208-S_depth,Base,7,35
20,J211-S_depth,Base,3,15
21,J227-S_depth,Base,34,170
22,J231-S_depth,Base,0,0
23,J232-S_depth,Base,0,0
24,J234-S_depth,Base,0,0
25,J238-S_depth,Base,0,0
26,J240-S_depth,Base,4,20
27,J245-S_depth,Base,11,55
28,J253-S_depth,Base,0,0
29,J260-S_depth,Base,0,0
30,J266-S_depth,Base,0,0
31,J268-S_depth,Base,0,0
32,J273-S_depth,Base,0,0
33,J278-S_depth,Base,2,10
34,J27-S_depth,Base,0,0
35,J280-S_depth,Base,12,60
36,J328-S_depth,Base,20,100
37,J329-S_depth,Base,4,20
38,J338-S_depth,Base,10,50
39,J33-S_depth,Base,18,90
40,J34-S_depth,Base,0,0
41,J361-S_depth,Base,10,50
42,J366-S_depth,Base,0,0
43,J385-S_depth,Base,33,165
44,J3-S_depth,Base,1,5
45,J413-S_depth,Base,2,10
46,J421-S_depth,Base,17,85
47,J42-S_depth,Base,0,0
48,J433-S_depth,Base,0,0
49,J437-S_depth,Base,0,0
50,J438-S_depth,Base,13,65
51,J450-S_depth,Base,0,0
52,J456-S_depth,Base,3,15
53,J45-S_depth,Base,0,0
54,J460-S_depth,Base,0,0
55,J461-S_depth,Base,5,25
56,J46-S_depth,Base,0,0
57,J471-S_depth,Base,15,75
58,J480-S_depth,Base,9,45
59,J484-S_depth,Base,12,60
60,J491-S_depth,Base,7,35
61,J492-S_depth,Base,0,0
62,J49-S_depth,Base,0,0
63,J4-S_depth,Base,7,35
64,J506-S_depth,Base,8,40
65,J507-S_depth,Base,13,65
66,J50-S_depth,Base,0,0
67,J512-S_depth,Base,3,15
68,J534-S_depth,Base,9,45
69,J539-S_depth,Base,22,110
70,J541-S_depth,Base,1,5
71,J548-S_depth,Base,24,120
72,J556-S_depth,Base,14,70
73,J567-S_depth,Base,0,0
74,J568-S_depth,Base,6,30
75,J571-S_depth,Base,0,0
76,J576-S_depth,Base,0,0
77,J578-S_depth,Base,5,25
78,J586-S_depth,Base,0,0
79,J587-S_depth,Base,15,75
80,J592-S_depth,Base,0,0
81,J5-S_depth,Base,9,45
82,J609-S_depth,Base,0,0
83,J60-S_depth,Base,6,30
84,J619-S_depth,Base,6,30
85,J620-S_depth,Base,56,280
86,J624-S_depth,Base,55,275
87,J62-S_depth,Base,20,100
88,J632-S_depth,Base,0,0
89,J637-S_depth,Base,6,30
90,J640-S_depth,Base,1,5
91,J659-S_depth,Base,12,60
92,J672-S_depth,Base,0,0
93,J675-S_depth,Base,9,45
94,J686-S_depth,Base,0,0
95,J694-S_depth,Base,0,0
96,J695-S_depth,Base,0,0
97,J712-S_depth,Base,0,0
98,J714-S_depth,Base,7,35
99,J71-S_depth,Base,21,105
100,J722-S_depth,Base,0,0
101,J72-S_depth,Base,0,0
102,J732-S_depth,Base,8,40
103,J733-S_depth,Base,0,0
104,J748-S_depth,Base,0,0
105,J749-S_depth,Base,4,20
106,J751-S_depth,Base,0,0
107,J756-S_depth,Base,13,65
108,J758-S_depth,Base,0,0
109,J760-S_depth,Base,0,0
110,J761-S_depth,Base,11,55
111,J762-S_depth,Base,0,0
112,J764-S_depth,Base,0,0
113,J765-S_depth,Base,0,0
114,J772-S_depth,Base,8,40
115,J782-S_depth,Base,0,0
116,J787-S_depth,Base,0,0
117,J789-S_depth,Base,0,0
118,J78-S_depth,Base,0,0
119,J792-S_depth,Base,19,95
120,J799-S_depth,Base,0,0
121,J7-S_depth,Base,21,105
122,J801-S_depth,Base,0,0
123,J80-S_depth,Base,0,0
124,J88-S_depth,Base,21,105
125,J8-S_depth,Base,25,125
126,J105-S_depth,I,2,10
127,J10-S_depth,I,1,5
128,J116-S_depth,I,6,30
129,J119-S_depth,I,0,0
130,J128-S_depth,I,0,0
131,J130-S_depth,I,37,185
132,J131-S_depth,I,0,0
133,J136-S_depth,I,11,55
134,J138-S_depth,I,5,25
135,J141-S_depth,I,1,5
136,J157-S_depth,I,8,40
137,J163-S_depth,I,0,0
138,J165-S_depth,I,0,0
139,J171-S_depth,I,0,0
140,J177-S_depth,I,0,0
141,J182-S_depth,I,9,45
142,J191-S_depth,I,5,25
143,J1-S_depth,I,0,0
144,J204-S_depth,I,0,0
145,J208-S_depth,I,8,40
146,J211-S_depth,I,0,0
147,J227-S_depth,I,28,140
148,J231-S_depth,I,0,0
149,J232-S_depth,I,0,0
150,J234-S_depth,I,0,0
151,J238-S_depth,I,0,0
152,J240-S_depth,I,4,20
153,J245-S_depth,I,6,30
154,J253-S_depth,I,0,0
155,J260-S_depth,I,0,0
156,J266-S_depth,I,0,0
157,J268-S_depth,I,0,0
158,J273-S_depth,I,0,0
159,J278-S_depth,I,0,0
160,J27-S_depth,I,0,0
161,J280-S_depth,I,8,40
162,J328-S_depth,I,20,100
163,J329-S_depth,I,0,0
164,J338-S_depth,I,5,25
165,J33-S_depth,I,17,85
166,J34-S_depth,I,0,0
167,J361-S_depth,I,7,35
168,J366-S_depth,I,0,0
169,J385-S_depth,I,33,165
170,J3-S_depth,I,0,0
171,J413-S_depth,I,2,10
172,J421-S_depth,I,15,75
173,J42-S_depth,I,0,0
174,J433-S_depth,I,0,0
175,J437-S_depth,I,0,0
176,J438-S_depth,I,0,0
177,J450-S_depth,I,0,0
178,J456-S_depth,I,4,20
179,J45-S_depth,I,0,0
180,J460-S_depth,I,0,0
181,J461-S_depth,I,0,0
182,J46-S_depth,I,0,0
183,J471-S_depth,I,17,85
184,J480-S_depth,I,9,45
185,J484-S_depth,I,7,35
186,J491-S_depth,I,2,10
187,J492-S_depth,I,0,0
188,J49-S_depth,I,0,0
189,J4-S_depth,I,7,35
190,J506-S_depth,I,9,45
191,J507-S_depth,I,7,35
192,J50-S_depth,I,0,0
193,J512-S_depth,I,0,0
194,J534-S_depth,I,9,45
195,J539-S_depth,I,22,110
196,J541-S_depth,I,1,5
197,J548-S_depth,I,24,120
198,J556-S_depth,I,14,70
199,J567-S_depth,I,0,0
200,J568-S_depth,I,0,0
201,J571-S_depth,I,0,0
202,J576-S_depth,I,0,0
203,J578-S_depth,I,0,0
204,J586-S_depth,I,0,0
205,J587-S_depth,I,15,75
206,J592-S_depth,I,0,0
207,J5-S_depth,I,6,30
208,J609-S_depth,I,0,0
209,J60-S_depth,I,6,30
210,J619-S_depth,I,6,30
211,J620-S_depth,I,56,280
212,J624-S_depth,I,55,275
213,J62-S_depth,I,15,75
214,J632-S_depth,I,0,0
215,J637-S_depth,I,0,0
216,J640-S_depth,I,0,0
217,J659-S_depth,I,12,60
218,J672-S_depth,I,0,0
219,J675-S_depth,I,9,45
220,J686-S_depth,I,1,5
221,J694-S_depth,I,0,0
222,J695-S_depth,I,0,0
223,J712-S_depth,I,0,0
224,J714-S_depth,I,7,35
225,J71-S_depth,I,15,75
226,J722-S_depth,I,0,0
227,J72-S_depth,I,0,0
228,J732-S_depth,I,5,25
229,J733-S_depth,I,0,0
230,J748-S_depth,I,0,0
231,J749-S_depth,I,2,10
232,J751-S_depth,I,0,0
233,J756-S_depth,I,14,70
234,J758-S_depth,I,0,0
235,J760-S_depth,I,0,0
236,J761-S_depth,I,5,25
237,J762-S_depth,I,0,0
238,J764-S_depth,I,0,0
239,J765-S_depth,I,0,0
240,J772-S_depth,I,8,40
241,J782-S_depth,I,0,0
242,J787-S_depth,I,0,0
243,J789-S_depth,I,0,0
244,J78-S_depth,I,0,0
245,J792-S_depth,I,19,95
246,J799-S_depth,I,0,0
247,J7-S_depth,I,21,105
248,J801-S_depth,I,0,0
249,J80-S_depth,I,0,0
250,J88-S_depth,I,21,105
251,J8-S_depth,I,25,125
252,J105-S_depth,V,1,5
253,J10-S_depth,V,6,30
254,J116-S_depth,V,9,45
255,J119-S_depth,V,0,0
256,J128-S_depth,V,0,0
257,J130-S_depth,V,40,200
258,J131-S_depth,V,0,0
259,J136-S_depth,V,16,80
260,J138-S_depth,V,4,20
261,J141-S_depth,V,1,5
262,J157-S_depth,V,13,65
263,J163-S_depth,V,0,0
264,J165-S_depth,V,0,0
265,J171-S_depth,V,0,0
266,J177-S_depth,V,0,0
267,J182-S_depth,V,13,65
268,J191-S_depth,V,5,25
269,J1-S_depth,V,0,0
270,J204-S_depth,V,0,0
271,J208-S_depth,V,7,35
272,J211-S_depth,V,2,10
273,J227-S_depth,V,34,170
274,J231-S_depth,V,0,0
275,J232-S_depth,V,0,0
276,J234-S_depth,V,0,0
277,J238-S_depth,V,0,0
278,J240-S_depth,V,4,20
279,J245-S_depth,V,11,55
280,J253-S_depth,V,0,0
281,J260-S_depth,V,0,0
282,J266-S_depth,V,0,0
283,J268-S_depth,V,0,0
284,J273-S_depth,V,0,0
285,J278-S_depth,V,1,5
286,J27-S_depth,V,0,0
287,J280-S_depth,V,12,60
288,J328-S_depth,V,19,95
289,J329-S_depth,V,3,15
290,J338-S_depth,V,8,40
291,J33-S_depth,V,18,90
292,J34-S_depth,V,0,0
293,J361-S_depth,V,10,50
294,J366-S_depth,V,0,0
295,J385-S_depth,V,27,135
296,J3-S_depth,V,1,5
297,J413-S_depth,V,1,5
298,J421-S_depth,V,16,80
299,J42-S_depth,V,0,0
300,J433-S_depth,V,0,0
301,J437-S_depth,V,0,0
302,J438-S_depth,V,11,55
303,J450-S_depth,V,0,0
304,J456-S_depth,V,3,15
305,J45-S_depth,V,0,0
306,J460-S_depth,V,0,0
307,J461-S_depth,V,5,25
308,J46-S_depth,V,0,0
309,J471-S_depth,V,15,75
310,J480-S_depth,V,9,45
311,J484-S_depth,V,12,60
312,J491-S_depth,V,7,35
313,J492-S_depth,V,0,0
314,J49-S_depth,V,0,0
315,J4-S_depth,V,7,35
316,J506-S_depth,V,8,40
317,J507-S_depth,V,13,65
318,J50-S_depth,V,0,0
319,J512-S_depth,V,3,15
320,J534-S_depth,V,9,45
321,J539-S_depth,V,20,100
322,J541-S_depth,V,1,5
323,J548-S_depth,V,22,110
324,J556-S_depth,V,14,70
325,J567-S_depth,V,0,0
326,J568-S_depth,V,6,30
327,J571-S_depth,V,0,0
328,J576-S_depth,V,0,0
329,J578-S_depth,V,5,25
330,J586-S_depth,V,0,0
331,J587-S_depth,V,13,65
332,J592-S_depth,V,0,0
333,J5-S_depth,V,9,45
334,J609-S_depth,V,0,0
335,J60-S_depth,V,6,30
336,J619-S_depth,V,6,30
337,J620-S_depth,V,53,265
338,J624-S_depth,V,52,260
