,Base,I,V,V&I,node_name,node_id,neighborhood,historic_stream
0,0.0,-9.579919203669962e-05,-1.9762006650408948e-05,-0.00011170826855411153,J105-S_depth,J105-S,Downtown,"Southside, Drains to Harbor"
1,0.0,-0.03689249476566228,-0.005256428537123103,-0.046654365767013095,J10-S_depth,J10-S,Downtown,"Southside, Drains to Harbor"
2,0.0,-0.02383080418768649,-0.0031495697314607995,-0.029236090122461283,J116-S_depth,J116-S,Downtown,"Southside, Drains to Harbor"
3,0.0,-0.021113149799568798,-0.0011346628240438972,-0.0228492372579239,J119-S_depth,J119-S,Downtown,"Southside, Drains to Harbor"
4,0.0,-0.08825876404873151,-0.00016835070286849718,-0.08860386142804691,J128-S_depth,J128-S,Canton,Harris Creek
5,0.0,-0.05518502187825608,-0.0027616590398094054,-0.05862390498097847,J130-S_depth,J130-S,Downtown,"Southside, Drains to Harbor"
6,0.0,-0.0285245465307227,-0.001105920723953907,-0.0301207424878302,J131-S_depth,J131-S,Downtown,"Southside, Drains to Harbor"
7,0.0,-0.02138909394084687,-0.001210800262046674,-0.02305136185563328,J136-S_depth,J136-S,Downtown,"Southside, Drains to Harbor"
8,0.0,0.004795964878076792,0.00011535921978719776,0.0048461957921168974,J138-S_depth,J138-S,Downtown,"Southside, Drains to Harbor"
9,0.0,-8.501295041868362e-05,-0.000468620041636586,-0.000555309946192406,J141-S_depth,J141-S,Downtown,"Southside, Drains to Harbor"
10,0.0,-0.0335037597464109,-0.0017122295295463885,-0.03510217035185559,J157-S_depth,J157-S,Downtown,"Southside, Drains to Harbor"
11,0.0,-3.417687481779841e-05,-0.0009756044216807092,-0.0010107254075986116,J163-S_depth,J163-S,Downtown,"Southside, Drains to Harbor"
12,0.0,-6.12245983380999e-05,-0.0006660909224430744,-0.0007262759937072816,J165-S_depth,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,0.0,-7.902355660116545e-08,-4.065796430086088e-08,-5.6912946577725165e-12,J171-S_depth,J171-S,Canton,"Northside, Drains to Harbor"
14,0.0,-6.314120434749992e-05,-4.0930891311602435e-05,-0.000103887054955204,J177-S_depth,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,0.0,-0.045336810703228286,-0.0007692316002418931,-0.0460104195044424,J182-S_depth,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,0.0,-1.3107728791261763e-10,-2.927589004553255e-09,-2.0873330841553184e-10,J191-S_depth,J191-S,Fells Point,Canal Street Creek
17,0.0,2.9510945149940904e-06,3.204206893980821e-07,4.007882450890454e-06,J1-S_depth,J1-S,Clifton Park,Canal Street Creek
18,0.0,4.931032820953973e-08,-2.5240257897629625e-08,4.922104560045604e-08,J204-S_depth,J204-S,Fells Point,Canal Street Creek
19,0.0,2.5082805815201947e-05,-0.0034714823458777966,-0.003282496369428317,J208-S_depth,J208-S,Downtown,"Southside, Drains to Harbor"
20,0.0,-0.019494684419007785,-0.0002285459602554829,-0.019696364783338693,J211-S_depth,J211-S,Fells Point,Canal Street Creek
21,0.0,-0.008170795184139601,-1.805575240987345e-07,-0.008170605210079784,J227-S_depth,J227-S,Locust Point,"Southside, Drains to Harbor"
22,0.0,-3.750812679209625e-05,1.8900750562017565e-06,-3.695225243879885e-05,J231-S_depth,J231-S,Locust Point,"Southside, Drains to Harbor"
23,0.0,0.00025600307940760146,1.0669810830005177e-07,0.00025604508008199994,J232-S_depth,J232-S,Locust Point,"Southside, Drains to Harbor"
24,0.0,-3.089296756020321e-05,-4.5418003491448644e-07,-3.0892960754508314e-05,J234-S_depth,J234-S,Locust Point,"Southside, Drains to Harbor"
25,0.0,-1.2357761351028396e-06,5.658825795035183e-07,-7.093270259078688e-07,J238-S_depth,J238-S,Locust Point,"Southside, Drains to Harbor"
26,0.0,-0.0021284610502466106,-0.00013252733636209824,-0.002290228775891412,J240-S_depth,J240-S,Locust Point,"Southside, Drains to Harbor"
27,0.0,-0.039064154206811114,-0.0001645357458308072,-0.0392499343078902,J245-S_depth,J245-S,Locust Point,"Southside, Drains to Harbor"
28,0.0,-0.0272694853525952,-0.004630825419387391,-0.0309108269386537,J253-S_depth,J253-S,Eager Park,Canal Street Creek
29,0.0,-0.0151361644891716,-0.002080607820046404,-0.0169627923265485,J260-S_depth,J260-S,Broadway East,Canal Street Creek
30,0.0,-0.009359980790690503,-0.0023752220100138055,-0.011601737585237804,J266-S_depth,J266-S,Clifton Park,Canal Street Creek
31,0.0,0.0002447280299200938,-0.001004811497967703,-0.0007446472679693977,J268-S_depth,J268-S,Clifton Park,Canal Street Creek
32,0.0,-9.626537085320047e-05,-3.998935849879731e-05,-0.0001343126239349013,J273-S_depth,J273-S,Clifton Park,Canal Street Creek
33,0.0,-0.04172069902588349,-0.00599617687207829,-0.04651739483850299,J278-S_depth,J278-S,Broadway East,Canal Street Creek
34,0.0,-0.025806975556248807,-1.5015667510775987e-07,-0.025807589949647408,J27-S_depth,J27-S,Locust Point,"Southside, Drains to Harbor"
35,0.0,-0.04617508042425869,-0.00986265105234968,-0.05501150729931459,J280-S_depth,J280-S,Broadway East,Canal Street Creek
36,0.0,0.0066858439136394665,-0.006069221110475698,0.0004907527326847849,J328-S_depth,J328-S,Broadway East,Canal Street Creek
37,0.0,-0.027694789429990097,-0.0059351346545225,-0.033232953896539685,J329-S_depth,J329-S,Broadway East,Canal Street Creek
38,0.0,-0.05515287847413608,-0.011872152853542983,-0.06492992181248428,J338-S_depth,J338-S,Eager Park,Canal Street Creek
39,0.0,-0.01739926749463938,-4.2450387258696765e-06,-0.017399263982366575,J33-S_depth,J33-S,Locust Point,"Southside, Drains to Harbor"
40,0.0,-4.26467134120867e-06,-9.469414469220894e-08,-4.171988016110628e-06,J34-S_depth,J34-S,Locust Point,"Southside, Drains to Harbor"
41,0.0,-0.027431612515254916,-0.005092218926163822,-0.03028118400813601,J361-S_depth,J361-S,Eager Park,Canal Street Creek
42,0.0,-0.05309058731245861,-0.007636250483084112,-0.05896739612238572,J366-S_depth,J366-S,Eager Park,Canal Street Creek
43,0.0,0.024591936151370286,-0.012102966367075918,0.011083587676813889,J385-S_depth,J385-S,Broadway East,Harris Creek
44,0.0,-0.0410618598631025,-0.0022831065294859065,-0.04282303667238141,J3-S_depth,J3-S,Fells Point,"Northside, Drains to Harbor"
45,0.0,-6.580451671067689e-07,-0.0011605091343911966,-0.0011608209377542977,J413-S_depth,J413-S,Broadway East,Harris Creek
46,0.0,-0.017411251833776786,-0.007677174967645695,-0.0253969605159306,J421-S_depth,J421-S,McElderry Park,Harris Creek
