,Base,I,V,V&I,node_name,node_id,neighborhood
0,0.0,0.03747386140004849,0.0005041149239204401,0.0404097619403494,J105-S_volume,J105-S,Downtown
1,0.0,-28.97690321317723,-31.118149466764677,-35.504737513228115,J10-S_volume,J10-S,Downtown
2,0.0,1.6810438456725905,-4.1001410591733105,-2.372505271676232,J116-S_volume,J116-S,Downtown
3,0.0,-1.9714949022625525,-0.589482874291523,-2.4564037599754727,J119-S_volume,J119-S,Downtown
4,0.0,-12.049478486212152,-0.05038219091722951,-12.09981720535994,J128-S_volume,J128-S,Canton
5,0.0,-32.435494731415844,-4.244611656057685,-35.717976206682465,J130-S_volume,J130-S,Downtown
6,0.0,-3.8492310082433683,-0.5568849093192085,-4.253477699812247,J131-S_volume,J131-S,Downtown
7,0.0,-1.9487389225994036,-1.061845195655323,-2.9983698637281577,J136-S_volume,J136-S,Downtown
8,0.0,1.4997933277530855,0.10196072854347804,1.56904864114178,J138-S_volume,J138-S,Downtown
9,0.0,0.03137484665345269,-0.1103140405655374,-0.07889845832389497,J141-S_volume,J141-S,Downtown
10,0.0,-7.711039913098084,-0.7687786456184682,-8.33315299520008,J157-S_volume,J157-S,Downtown
11,0.0,-0.0012089139327464693,-0.3657883850927064,-0.367218011938089,J163-S_volume,J163-S,Downtown
12,0.0,-0.12929924815258076,-0.1466425231678521,-0.2731686451877522,J165-S_volume,J165-S,Federal Hill
13,0.0,0.0016046686979276359,-2.2628547430514345e-05,0.0015369025508977785,J171-S_volume,J171-S,Canton
14,0.0,-0.0033173329480007396,-0.011431514577068924,-0.014695203241192445,J177-S_volume,J177-S,Federal Hill
15,0.0,-14.926151767648257,-0.7133480205858547,-15.318881224605192,J182-S_volume,J182-S,Federal Hill
16,0.0,-1.9279646271277464,-1.2517144870827224e-05,-1.9279720844265817,J191-S_volume,J191-S,Fells Point
17,0.0,-4.425932791818354e-06,8.084229881077931e-05,0.00030800955965482046,J1-S_volume,J1-S,Clifton Park
18,0.0,7.3897184545757e-05,-2.2096493523804384e-07,7.339292108810014e-05,J204-S_volume,J204-S,Fells Point
19,0.0,0.009135025077284809,-1.4407383369886304,-1.4317379858358095,J208-S_volume,J208-S,Downtown
20,0.0,-4.616904490461472,-0.40751229231148045,-4.95842912655133,J211-S_volume,J211-S,Fells Point
21,0.0,-8.9659434239571,1.9280751587302802e-05,-8.965560851293304,J227-S_volume,J227-S,Locust Point
22,0.0,-0.008307259111510312,-0.00014197119920655865,-0.008386777339072005,J231-S_volume,J231-S,Locust Point
23,0.0,1.7017701887622971,2.1508449073337488e-05,1.704439572490327,J232-S_volume,J232-S,Locust Point
24,0.0,0.001458019690232959,-2.1522005866358995e-07,0.001455058827691147,J234-S_volume,J234-S,Locust Point
25,0.0,8.36212324983876e-06,1.57660504083168e-05,-6.382727836040658e-06,J238-S_volume,J238-S,Locust Point
26,0.0,0.0072247513194092505,-0.04430211992698574,-0.03686599346822206,J240-S_volume,J240-S,Locust Point
27,0.0,-1.517861671621631,-0.30138226656508493,-1.8287260543311703,J245-S_volume,J245-S,Locust Point
28,0.0,-4.008632902233744,-0.7336961924901928,-4.637848380404785,J253-S_volume,J253-S,Eager Park
29,0.0,-1.6500252122854775,-0.5610582892537295,-2.6938023447674375,J260-S_volume,J260-S,Broadway East
30,0.0,-1.4464149539464408,-0.5022264948063508,-1.9262848694961257,J266-S_volume,J266-S,Clifton Park
31,0.0,0.0019417208954362053,-0.18805932649189927,-0.18565462883369044,J268-S_volume,J268-S,Clifton Park
32,0.0,1.3696924039408032e-06,-0.0033379651275069477,-0.0033364694442870046,J273-S_volume,J273-S,Clifton Park
33,0.0,-6.088266312466072,-1.6453375186469366,-7.210854858311389,J278-S_volume,J278-S,Broadway East
34,0.0,0.6712292038069485,-4.159819236448925e-05,0.6850106401910381,J27-S_volume,J27-S,Locust Point
35,0.0,-5.259018727795301,-2.037762197072013,-6.774335300457238,J280-S_volume,J280-S,Broadway East
36,0.0,1.1029596941847544,-1.092308927054603,-0.016455233208105824,J328-S_volume,J328-S,Broadway East
37,0.0,-9.610573198437901,-3.5748683575206783,-12.832414862620336,J329-S_volume,J329-S,Broadway East
38,0.0,-8.375397995914192,-2.1380058992296753,-10.790893160207563,J338-S_volume,J338-S,Eager Park
39,0.0,-4.208556825842663,-0.0002505195309225883,-4.206335681877121,J33-S_volume,J33-S,Locust Point
40,0.0,0.0012296989158997462,3.0108174311038738e-05,0.0008684782694992066,J34-S_volume,J34-S,Locust Point
41,0.0,-6.779419437691871,-1.0234730987141774,-7.817425700568357,J361-S_volume,J361-S,Eager Park
42,0.0,-12.268699407401112,-2.1137152188879043,-13.409718640259936,J366-S_volume,J366-S,Eager Park
43,0.0,18.727405782597344,-11.48330448058681,7.367229625835478,J385-S_volume,J385-S,Broadway East
44,0.0,-12.057795266823966,-1.0746943151783057,-12.542636839545125,J3-S_volume,J3-S,Fells Point
45,0.0,0.014952192399491082,-0.2301927058462816,-0.21562854187800795,J413-S_volume,J413-S,Broadway East
46,0.0,-21.13069052801174,-8.409876101554019,-21.137332431697857,J421-S_volume,J421-S,McElderry Park
47,0.0,0.0012368433260441236,4.5968291663811556e-05,0.0010225388533484647,J42-S_volume,J42-S,Locust Point
