,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_depth,0.2020728564107857,0.2021372788978086,0.2020793293970544,0.2021533165825776,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_depth,0.3565259654041011,0.2890294783715541,0.2760608511470045,0.2641643735332722,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_depth,0.3852165592007907,0.386724432685268,0.3773596902747495,0.3786882761888334,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_depth,0.1874369067580708,0.1741516996441109,0.1830280761509594,0.1695500753568794,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_depth,0.2621098511336771,0.1606065287688542,0.2618132209294776,0.1602115288501634,J128-S,Canton,Harris Creek
5,J130-S_depth,0.4713868397868739,0.4126933884464696,0.4624184295288638,0.4044330828316391,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_depth,0.1995674360857386,0.1750319776958025,0.1956381345768135,0.1712327782451001,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_depth,0.5126110472815423,0.5107028036833239,0.510729319337347,0.5087228583192761,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_depth,0.2129660635026565,0.2247816154171916,0.2141527084980663,0.2257687756651193,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_depth,0.2044420959348392,0.2045249901283198,0.2038224215117567,0.2039074023101501,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_depth,0.3273552307049714,0.2925633263021939,0.3272412041362095,0.2885007701073584,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_depth,0.1878002193170508,0.1877919603367737,0.1853761331662637,0.1853644170958762,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_depth,0.1688541544354078,0.1679386413353819,0.1677918350901511,0.1668790062591292,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_depth,0.1279623987068732,0.127974610417476,0.127962391683002,0.12797460962695,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_depth,0.1853656451522631,0.185446246018012,0.1852982167272804,0.1853799406312427,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_depth,0.3576095915192318,0.317122070737283,0.3559139762912368,0.3160627368164264,J182-S,Federal Hill,"Southside, Drains to Harbor"
