,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_volume,26.328532036042105,26.34195209993081,26.32988011375987,26.345294104852147,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_volume,79.59065774590178,51.124596516394114,46.57800395925729,42.6688799311758,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_volume,94.13111235624687,94.93557409611522,90.00448081198321,90.6946185243279,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_volume,23.469934658111264,21.203186000749195,22.68308352713328,20.49083520444415,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_volume,31.37514620569265,19.153908691434168,31.33943123503981,19.106349776987187,J128-S,Canton,Harris Creek
5,J130-S_volume,146.55509926231795,109.4212117968136,140.48663966058308,104.68420602397798,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_volume,25.812313310415583,21.343724150005023,25.02507628871479,20.74698116374337,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_volume,99.10637577960884,97.83583687561304,97.85333987088556,96.54094039866465,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_volume,25.998152794777997,27.652030945195747,26.162396226237306,27.79206898386803,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_volume,26.82690525995565,26.844521937606206,26.695597027965192,26.713564169781638,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_volume,46.20014686284328,39.51487207905532,46.17733630945778,38.770190511752055,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_volume,23.536308865296807,23.534797424555546,23.09786597043213,23.095772129289426,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_volume,20.386363940280827,20.250232256592103,20.22854090324748,20.094521278953184,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_volume,15.223479049930368,15.224949368460395,15.22347820423985,15.224949273279211,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_volume,23.09599159037639,23.110401284025617,23.08394567138355,23.09854647498176,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_volume,80.11338660805687,61.993493254427605,79.29635885099758,61.55831708467859,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_volume,33.41068324171901,30.214166603480635,33.410748742731435,30.21257215969634,J191-S,Fells Point,Canal Street Creek
17,J1-S_volume,18.46060202731856,18.46008859311099,18.46133783379144,18.461122249352265,J1-S,Clifton Park,Canal Street Creek
18,J204-S_volume,18.91585151519797,18.91580834845884,18.91585085879092,18.91565259833938,J204-S,Fells Point,Canal Street Creek
19,J208-S_volume,45.649883876500354,45.65310556090168,43.82348157060491,43.8261711030172,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_volume,39.425906741345536,34.8388746367622,39.0141894431752,34.49999789356031,J211-S,Fells Point,Canal Street Creek
21,J227-S_volume,168.8783876496124,160.71638250460208,168.877845581053,160.69837707185008,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_volume,5.777327297293049,5.771792543194924,5.77735870312973,5.771800408645631,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_volume,8.279243145496926,9.556898616453266,8.278934733835737,9.557113027489324,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_volume,25.644244891881197,25.64504573784305,25.6442453402285,25.64476345141367,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_volume,13.047473969081242,13.047329070862036,13.047527547521476,13.04738269037933,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_volume,29.89639916291369,29.902171823244213,29.845510454382985,29.85001745264858,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_volume,82.74432084725647,81.8901462943714,82.34798891671633,81.48022707027772,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_volume,22.85157624454143,17.762704175872923,20.449375135804043,16.811881809473277,J253-S,Eager Park,Canal Street Creek
29,J260-S_volume,31.9739437996564,33.1794850262324,30.50695699652422,31.61569312850733,J260-S,Broadway East,Canal Street Creek
30,J266-S_volume,23.01572995425247,21.46775237519522,22.45769767159254,20.9349740348788,J266-S,Clifton Park,Canal Street Creek
31,J268-S_volume,13.371444381238838,13.370863177630952,13.23653665627784,13.236197671494487,J268-S,Clifton Park,Canal Street Creek
32,J273-S_volume,11.826562200924018,11.826578707236102,11.82350184624388,11.82351824575781,J273-S,Clifton Park,Canal Street Creek
33,J278-S_volume,31.159018631904107,22.20962297681104,29.52739394688882,21.94293974331666,J278-S,Broadway East,Canal Street Creek
34,J27-S_volume,46.46348552270215,46.11925815848564,46.46228390439598,46.13107112732705,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_volume,50.503407208766994,39.93277745152703,47.98926700182093,39.06587256182403,J280-S,Broadway East,Canal Street Creek
36,J328-S_volume,50.67632814149931,51.706279596023,49.36517882768506,50.60080697871191,J328-S,Broadway East,Canal Street Creek
