,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_flow,2.669401188458356,2.669401188458356,3.510769642582541,2.668809749667885,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_flow,2.7538089324019324,2.7248223454828846,3.7712547830788177,2.5387413432088257,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_flow,7.466531427464491,7.480785763823566,10.217105553138326,7.290705263435335,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_flow,2.882983827640604,2.0799378761952587,4.2455764080352045,1.936207151816256,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_flow,1.371822601635963,0.6036632024206697,2.508011124568444,0.5765152103299528,J128-S,Canton,Harris Creek
5,J130-S_flow,1.6612812226365687,0.6807042176081894,2.757887041098104,0.6556582611842442,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_flow,2.45924922386544,1.5066523970959746,3.608162416428924,1.4440147365014908,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_flow,2.7996508024399795,2.9653316160933127,3.725683414965976,2.944297253143257,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_flow,0.7448660333741897,0.7448660333741897,0.9739583887733994,0.7448660333741897,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_flow,2.8717731201560386,2.8717731201560386,3.752411110398596,2.8500453877952445,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_flow,2.6417975974674524,2.6430723045625766,3.5811647586206257,2.574272076777242,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_flow,2.7333228558466325,2.7333228558466325,3.559226525894722,2.662262176655411,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_flow,1.977151241182067,1.9771557889117617,2.550867759678529,1.9486732088866927,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_flow,1.1575464438403418,1.156624503114048,1.5264849566712582,1.1570387672289466,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_flow,2.79271117265236,2.79271117265236,3.605755407076432,2.790373236693602,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_flow,4.379115342890492,4.356791364508719,5.900103786493326,4.32947057250715,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_flow,1.6095628150139594,1.6095665948990008,2.308466102750624,1.6095663304779135,J191-S,Fells Point,Canal Street Creek
17,J1-S_flow,1.311984981498737,1.311984981498737,2.188996870034716,1.311984981498737,J1-S,Clifton Park,Canal Street Creek
18,J204-S_flow,1.6972058515273112,1.6972058515273112,2.302030399720989,1.6972058515273112,J204-S,Fells Point,Canal Street Creek
19,J208-S_flow,5.137123209102088,5.137123209102088,6.7879836806258576,4.93642644511842,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_flow,3.2686968775939977,2.4661453228265184,5.415204017441282,2.453698323106184,J211-S,Fells Point,Canal Street Creek
21,J227-S_flow,3.717638371265117,3.717787709395094,4.897936181403912,3.717786729858967,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_flow,0.0476579267367419,0.0476514585656627,0.0486609371058942,0.0476543649685265,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_flow,0.0270901483668783,0.0271520155058933,0.0404841492513189,0.027148620690878,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_flow,3.4509950669266214,3.4509950669266214,4.73505857427701,3.4509950669266214,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_flow,0.8739224373693395,0.8732463282496647,1.086046372414883,0.8735501305853777,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_flow,3.3801713754305625,3.3801870637686857,4.496840402595841,3.3711038293768274,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_flow,2.6796588667356573,2.4835417052494684,3.8547566981992,2.475978885607695,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_flow,3.3214282166299327,1.864156416913608,4.505806813972431,1.6408773116802038,J253-S,Eager Park,Canal Street Creek
29,J260-S_flow,3.408033104693261,3.0242493919488207,5.617445985977006,2.9271550611369213,J260-S,Broadway East,Canal Street Creek
30,J266-S_flow,2.1442841983366967,1.740351728451079,2.7019417777053216,1.6336914245166194,J266-S,Clifton Park,Canal Street Creek
31,J268-S_flow,1.0496328727126434,1.0490506368440229,1.0452044057251324,1.0085372886929114,J268-S,Clifton Park,Canal Street Creek
32,J273-S_flow,0.5140739419576802,0.5138010249735134,0.5789379528855998,0.5129554222019262,J273-S,Clifton Park,Canal Street Creek
33,J278-S_flow,3.84873144316861,2.5000283593989017,5.662699135673099,2.255542056100148,J278-S,Broadway East,Canal Street Creek
34,J27-S_flow,0.5969221883545582,0.6032702819491033,1.1620620776291817,0.603286005819248,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_flow,4.06835725176276,2.7626703612369394,5.700390783635742,2.524485485027824,J280-S,Broadway East,Canal Street Creek
36,J328-S_flow,4.561805540502302,4.561805540502302,5.924839501137189,4.326239629522062,J328-S,Broadway East,Canal Street Creek
37,J329-S_flow,6.788445689305831,5.432285003264192,9.464675963872446,5.049781405304979,J329-S,Broadway East,Canal Street Creek
38,J338-S_flow,4.2209089220496985,2.815251086928245,5.717055988208728,2.542165955187533,J338-S,Eager Park,Canal Street Creek
39,J33-S_flow,7.095019399658315,7.097617400660316,9.745752741473853,7.097616317665271,J33-S,Locust Point,"Southside, Drains to Harbor"
