,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_volume,17.332471939208222,17.3344626701184,19.703587452850204,17.333032457187763,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_volume,24.08333888051168,17.807321028931273,29.607053100417417,17.01824489259893,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_volume,30.01246365641077,23.986236697806653,43.19907978354548,22.87345127858521,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_volume,12.956367996590265,10.07143682475322,15.32058049447973,9.76660934299555,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_volume,17.61317093527402,7.528771608371555,23.036407550762647,7.363598772597368,J128-S,Canton,Harris Creek
5,J130-S_volume,46.451716635519645,29.945758852932627,68.6221697761941,29.28123748306908,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_volume,13.62637936242958,9.993175875765562,16.588922457262303,9.844659174757789,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_volume,41.9053200495719,33.98768622371119,57.52558685063472,33.36162201469921,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_volume,19.921580733476592,21.705853494551214,22.041335578726898,21.752089612084824,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_volume,17.383588524473932,17.386584703788714,19.705142172922788,17.331815605765932,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_volume,29.31301715775328,24.44021751475288,35.67280726431444,24.10214796906971,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_volume,16.18751398697987,16.19067347889851,18.371089410667008,16.019275630306023,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_volume,14.800751664496817,14.72091637472798,16.79157345144139,14.633908180615917,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_volume,11.421344422571936,11.42134790963623,12.634970713393985,11.42134769569122,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_volume,16.10202328371007,16.103918925308527,18.129403299693838,16.098485113940416,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_volume,39.24100407623337,28.24373901583745,55.15336779801864,28.093244082928216,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_volume,19.77809277046743,19.0226217082716,23.712040722060912,19.022621729130883,J191-S,Fells Point,Canal Street Creek
17,J1-S_volume,10.615440575771892,10.617434330307006,13.102174506889355,10.617800958723397,J1-S,Clifton Park,Canal Street Creek
18,J204-S_volume,13.77115855780046,13.771171417350589,15.818066491318982,13.77117058632732,J204-S,Fells Point,Canal Street Creek
19,J208-S_volume,23.645276436938587,24.049498363633194,30.15765481060846,23.404379042220587,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_volume,17.842911132088034,14.912234942042266,22.641634150776294,14.875438207982432,J211-S,Fells Point,Canal Street Creek
21,J227-S_volume,80.02531597785008,73.45810837118296,107.81297305162276,73.4581050424172,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_volume,4.295730010142743,4.293619089269354,4.732744902257319,4.293500547118007,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_volume,1.0496334112775505,1.0577546480939042,1.453024924491856,1.0576325356656595,J232-S,Locust Point,"Southside, Drains to Harbor"
