,node,scenario,count,time_above
0,J105-S_depth,Base,0,0
1,J10-S_depth,Base,0,0
2,J116-S_depth,Base,3,15
3,J119-S_depth,Base,0,0
4,J128-S_depth,Base,0,0
5,J130-S_depth,Base,121,605
6,J131-S_depth,Base,0,0
7,J136-S_depth,Base,9,45
8,J138-S_depth,Base,0,0
9,J141-S_depth,Base,0,0
10,J157-S_depth,Base,8,40
11,J163-S_depth,Base,0,0
12,J165-S_depth,Base,0,0
13,J171-S_depth,Base,0,0
14,J177-S_depth,Base,0,0
15,J182-S_depth,Base,7,35
16,J191-S_depth,Base,0,0
17,J1-S_depth,Base,0,0
18,J204-S_depth,Base,0,0
19,J208-S_depth,Base,0,0
20,J211-S_depth,Base,0,0
21,J227-S_depth,Base,223,1115
22,J231-S_depth,Base,0,0
23,J232-S_depth,Base,0,0
24,J234-S_depth,Base,0,0
25,J238-S_depth,Base,0,0
26,J240-S_depth,Base,0,0
27,J245-S_depth,Base,5,25
28,J253-S_depth,Base,0,0
29,J260-S_depth,Base,0,0
30,J266-S_depth,Base,0,0
31,J268-S_depth,Base,0,0
32,J273-S_depth,Base,0,0
33,J278-S_depth,Base,0,0
34,J27-S_depth,Base,0,0
35,J280-S_depth,Base,6,30
36,J328-S_depth,Base,16,80
37,J329-S_depth,Base,0,0
38,J338-S_depth,Base,4,20
39,J33-S_depth,Base,12,60
40,J34-S_depth,Base,0,0
41,J361-S_depth,Base,6,30
42,J366-S_depth,Base,0,0
43,J385-S_depth,Base,30,150
44,J3-S_depth,Base,0,0
45,J413-S_depth,Base,0,0
46,J421-S_depth,Base,15,75
47,J42-S_depth,Base,0,0
48,J433-S_depth,Base,0,0
49,J437-S_depth,Base,0,0
50,J438-S_depth,Base,7,35
51,J450-S_depth,Base,0,0
52,J456-S_depth,Base,0,0
53,J45-S_depth,Base,0,0
54,J460-S_depth,Base,0,0
55,J461-S_depth,Base,0,0
56,J46-S_depth,Base,0,0
57,J471-S_depth,Base,10,50
58,J480-S_depth,Base,0,0
59,J484-S_depth,Base,6,30
60,J491-S_depth,Base,0,0
61,J492-S_depth,Base,0,0
62,J49-S_depth,Base,0,0
63,J4-S_depth,Base,0,0
64,J506-S_depth,Base,1,5
65,J507-S_depth,Base,7,35
66,J50-S_depth,Base,0,0
67,J512-S_depth,Base,0,0
68,J534-S_depth,Base,2,10
69,J539-S_depth,Base,19,95
70,J541-S_depth,Base,0,0
71,J548-S_depth,Base,23,115
72,J556-S_depth,Base,8,40
73,J567-S_depth,Base,0,0
74,J568-S_depth,Base,0,0
75,J571-S_depth,Base,0,0
76,J576-S_depth,Base,0,0
77,J578-S_depth,Base,0,0
78,J586-S_depth,Base,0,0
79,J587-S_depth,Base,9,45
80,J592-S_depth,Base,0,0
81,J5-S_depth,Base,3,15
82,J609-S_depth,Base,0,0
83,J60-S_depth,Base,0,0
84,J619-S_depth,Base,0,0
85,J620-S_depth,Base,237,1185
86,J624-S_depth,Base,211,1055
87,J62-S_depth,Base,17,85
88,J632-S_depth,Base,0,0
89,J637-S_depth,Base,0,0
90,J640-S_depth,Base,0,0
91,J659-S_depth,Base,6,30
92,J672-S_depth,Base,0,0
93,J675-S_depth,Base,3,15
94,J686-S_depth,Base,0,0
95,J694-S_depth,Base,0,0
96,J695-S_depth,Base,0,0
97,J712-S_depth,Base,0,0
98,J714-S_depth,Base,0,0
99,J71-S_depth,Base,20,100
100,J722-S_depth,Base,0,0
101,J72-S_depth,Base,0,0
102,J732-S_depth,Base,2,10
103,J733-S_depth,Base,0,0
104,J748-S_depth,Base,0,0
105,J749-S_depth,Base,0,0
106,J751-S_depth,Base,0,0
107,J756-S_depth,Base,11,55
108,J758-S_depth,Base,0,0
109,J760-S_depth,Base,0,0
110,J761-S_depth,Base,5,25
111,J762-S_depth,Base,0,0
112,J764-S_depth,Base,0,0
113,J765-S_depth,Base,0,0
114,J772-S_depth,Base,3,15
115,J782-S_depth,Base,0,0
116,J787-S_depth,Base,0,0
117,J789-S_depth,Base,0,0
118,J78-S_depth,Base,0,0
119,J792-S_depth,Base,15,75
120,J799-S_depth,Base,0,0
121,J7-S_depth,Base,31,155
122,J801-S_depth,Base,0,0
123,J80-S_depth,Base,0,0
124,J88-S_depth,Base,22,110
125,J8-S_depth,Base,44,220
126,J105-S_depth,I,0,0
127,J10-S_depth,I,0,0
128,J116-S_depth,I,0,0
129,J119-S_depth,I,0,0
130,J128-S_depth,I,0,0
131,J130-S_depth,I,89,445
132,J131-S_depth,I,0,0
133,J136-S_depth,I,4,20
134,J138-S_depth,I,0,0
135,J141-S_depth,I,0,0
136,J157-S_depth,I,1,5
137,J163-S_depth,I,0,0
138,J165-S_depth,I,0,0
139,J171-S_depth,I,0,0
140,J177-S_depth,I,0,0
141,J182-S_depth,I,0,0
142,J191-S_depth,I,0,0
143,J1-S_depth,I,0,0
144,J204-S_depth,I,0,0
145,J208-S_depth,I,1,5
146,J211-S_depth,I,0,0
147,J227-S_depth,I,83,415
148,J231-S_depth,I,0,0
149,J232-S_depth,I,0,0
150,J234-S_depth,I,0,0
151,J238-S_depth,I,0,0
152,J240-S_depth,I,0,0
153,J245-S_depth,I,0,0
154,J253-S_depth,I,0,0
155,J260-S_depth,I,0,0
156,J266-S_depth,I,0,0
157,J268-S_depth,I,0,0
158,J273-S_depth,I,0,0
159,J278-S_depth,I,0,0
160,J27-S_depth,I,0,0
161,J280-S_depth,I,1,5
162,J328-S_depth,I,18,90
163,J329-S_depth,I,0,0
164,J338-S_depth,I,0,0
165,J33-S_depth,I,10,50
166,J34-S_depth,I,0,0
167,J361-S_depth,I,0,0
168,J366-S_depth,I,0,0
169,J385-S_depth,I,32,160
170,J3-S_depth,I,0,0
171,J413-S_depth,I,0,0
172,J421-S_depth,I,9,45
173,J42-S_depth,I,0,0
174,J433-S_depth,I,0,0
175,J437-S_depth,I,0,0
