,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_depth,0.1120923100427032,0.1120923100428997,0.1120824882464084,0.1120824882467879,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_depth,0.1424578996312628,0.105636181569717,0.1353174721787417,0.1004916342631729,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_depth,0.1600064388470211,0.1345309716333477,0.1572746092393358,0.1321598443971907,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_depth,0.0801820173080406,0.0545639190032455,0.0785385341875979,0.0530996285726256,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_depth,0.0722519868539747,0.0274090266540453,0.0717498335407291,0.0265198175322197,J128-S,Canton,Harris Creek
5,J130-S_depth,0.2203948780052216,0.1848267850866632,0.2191503432726481,0.1833650383451812,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_depth,0.0833411293639934,0.056094305767458,0.0819906425708972,0.0552514793044624,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_depth,0.2284711581561,0.1718042965117021,0.2272453818665175,0.1708767804042311,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_depth,0.1345761377946307,0.1498299567968829,0.1352875279519872,0.1502909722378864,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_depth,0.111922828548891,0.1119035915113968,0.1115936617163645,0.111575341732755,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_depth,0.1864580964478346,0.1536603076910056,0.1841458409881691,0.1506305313215263,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_depth,0.1092594027585132,0.1092587843058095,0.1080899879685346,0.1080899855383783,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_depth,0.0972647461936564,0.0965809884403263,0.0966759885824906,0.0959943210106451,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_depth,0.0750977352251428,0.075097738683667,0.0750977352253082,0.0750977386836166,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_depth,0.1062864090575276,0.1062858533937316,0.1062533234552783,0.1062529022928744,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_depth,0.1885745206029737,0.149610055845019,0.1879842210376363,0.1489482677464471,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_depth,0.1221214693934418,0.1144262508700533,0.1221214658351959,0.1144262493620762,J191-S,Fells Point,Canal Street Creek
17,J1-S_depth,0.073223417058819,0.0736531575689302,0.0732259117311043,0.074040376091491,J1-S,Clifton Park,Canal Street Creek
18,J204-S_depth,0.0957069002146966,0.0957069023301146,0.0957069002140842,0.0957069023286577,J204-S,Fells Point,Canal Street Creek
19,J208-S_depth,0.1500013310421954,0.1532392963661924,0.1470541711226068,0.1501511672501016,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_depth,0.108953351911436,0.0870594737168538,0.1086916999405045,0.0868028886851084,J211-S,Fells Point,Canal Street Creek
21,J227-S_depth,0.2749500547817933,0.2596840460275284,0.2749500419845422,0.2596840558715476,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_depth,0.0259936573594997,0.0259778024447625,0.0259933006299438,0.0259781047611341,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_depth,0.0042588079954245,0.0042482327224691,0.00425680602478,0.0042496357643592,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_depth,0.1144795179282034,0.1144792353822919,0.114479517928246,0.1144792353821611,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_depth,0.0624067797806306,0.0624049125353188,0.0624067124603362,0.0624048474178482,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_depth,0.1275255947000566,0.1227045193679373,0.1273511258870694,0.1225402420140173,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_depth,0.1705118270048314,0.1237277386127644,0.1702446499139926,0.123440847950058,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_depth,0.0886705965229056,0.0644201580168823,0.0844616860292337,0.0605268339383259,J253-S,Eager Park,Canal Street Creek
29,J260-S_depth,0.088848101405736,0.0731678078233839,0.0867963361268587,0.0712037159855555,J260-S,Broadway East,Canal Street Creek
30,J266-S_depth,0.1018509751879852,0.0934604289650854,0.0994617348567178,0.0909314069291179,J266-S,Clifton Park,Canal Street Creek
31,J268-S_depth,0.0607602445789419,0.0607604504760873,0.0596904157854513,0.0596912302169337,J268-S,Clifton Park,Canal Street Creek
32,J273-S_depth,0.041496250665846,0.0414751142222173,0.0414622477691918,0.0414409273965287,J273-S,Clifton Park,Canal Street Creek
33,J278-S_depth,0.1120943829129313,0.0819386147498714,0.1069654942897456,0.076797368178876,J278-S,Broadway East,Canal Street Creek
34,J27-S_depth,0.0491842578796679,0.0370878023570038,0.0491842375658027,0.0370878151998255,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_depth,0.1808316351861473,0.1526122682183441,0.1724013014453534,0.1453150339056172,J280-S,Broadway East,Canal Street Creek
36,J328-S_depth,0.2185329482652348,0.2234875540330092,0.2126525364845742,0.2173880072449997,J328-S,Broadway East,Canal Street Creek
37,J329-S_depth,0.1251471582064872,0.1039793291043709,0.1194660155322324,0.0993690756043217,J329-S,Broadway East,Canal Street Creek
38,J338-S_depth,0.1619943406621536,0.1231632031507275,0.1527732454288028,0.115428924640818,J338-S,Eager Park,Canal Street Creek
39,J33-S_depth,0.208278360636856,0.1944407802559071,0.2082783606250083,0.1944407802481812,J33-S,Locust Point,"Southside, Drains to Harbor"
40,J34-S_depth,0.0983720894563667,0.0983723296695456,0.0983720894564789,0.0983723296694954,J34-S,Locust Point,"Southside, Drains to Harbor"
41,J361-S_depth,0.1699588756942863,0.1507424412463281,0.1666866568565225,0.1487576098782585,J361-S,Eager Park,Canal Street Creek
42,J366-S_depth,0.099191558218748,0.0504778820584164,0.092733733726251,0.0454636476815724,J366-S,Eager Park,Canal Street Creek
43,J385-S_depth,0.2521308117237359,0.2675977238024138,0.238769562237576,0.2530228351744478,J385-S,Broadway East,Harris Creek
44,J3-S_depth,0.1218402785746987,0.0903189597980038,0.1192768827294319,0.0884409495830823,J3-S,Fells Point,"Northside, Drains to Harbor"
45,J413-S_depth,0.128605316976245,0.1286158760748943,0.1274901731604945,0.1274980925023639,J413-S,Broadway East,Harris Creek
46,J421-S_depth,0.2028637380209894,0.182227664415056,0.1949519847850177,0.1744987393956945,J421-S,McElderry Park,Harris Creek
47,J42-S_depth,0.0833685027181067,0.0833685025710915,0.0833685027181066,0.0833685025710915,J42-S,Locust Point,"Southside, Drains to Harbor"
48,J433-S_depth,0.1243080879162133,0.1256082373286471,0.1241409298094292,0.1254427029149874,J433-S,Madison-Eastend,Harris Creek
49,J437-S_depth,0.1005029709420221,0.0978985783772953,0.1003909248744156,0.098301375588888,J437-S,Patterson Park,Harris Creek
50,J438-S_depth,0.1817734431718713,0.1051655187088764,0.1728514656242118,0.0992736963524273,J438-S,McElderry Park,Harris Creek
51,J450-S_depth,0.1011921819874496,0.0957652566388524,0.1010548693706007,0.0956192886585108,J450-S,Madison-Eastend,Harris Creek
52,J456-S_depth,0.1102527661417787,0.1205597843168759,0.1102542164410587,0.1207752648239957,J456-S,Orangeville,Harris Creek
53,J45-S_depth,0.0604600314122826,0.063651136777735,0.0604600357077004,0.0636511333216243,J45-S,Locust Point,"Southside, Drains to Harbor"
54,J460-S_depth,0.1027298583516251,0.0963887198861387,0.1022990868463316,0.0959356513562491,J460-S,Orangeville,Harris Creek
55,J461-S_depth,0.1241356627126789,0.1039251621425819,0.1237483265112895,0.1036414361354411,J461-S,Baltimore Highlands,Harris Creek
56,J46-S_depth,0.0995719062243368,0.0995719062243368,0.0994382467365559,0.0994382467365559,J46-S,Locust Point,"Southside, Drains to Harbor"
57,J471-S_depth,0.1892977273742319,0.1930773938465544,0.1858721451465714,0.1896669195554913,J471-S,Orangeville,Harris Creek
58,J480-S_depth,0.1496773018739027,0.1496776344487803,0.149294838274616,0.149295172728524,J480-S,McElderry Park,Harris Creek
59,J484-S_depth,0.1791979349613606,0.1446496928528396,0.1789257130493946,0.1444445345287122,J484-S,Baltimore Highlands,Harris Creek
60,J491-S_depth,0.1402958935353729,0.1127955767266262,0.1400538234703143,0.1126345774242289,J491-S,Kresson,Harris Creek
61,J492-S_depth,0.0783842249456066,0.0783842249456137,0.0783842249456091,0.078384224945611,J492-S,Baltimore Highlands,Harris Creek
62,J49-S_depth,0.085495762555973,0.0854954752179448,0.0851027992725054,0.0851025106910271,J49-S,Washington Hill,Canal Street Creek
63,J4-S_depth,0.1291672503516667,0.1212313867633438,0.1291672491195022,0.1212313860074964,J4-S,Canton,"Northside, Drains to Harbor"
64,J506-S_depth,0.1530408978613963,0.158977812725751,0.1529853982996961,0.1588470659145325,J506-S,Baltimore Highlands,Harris Creek
65,J507-S_depth,0.1886057267544917,0.1473587394085341,0.1884377084352602,0.1472610912417821,J507-S,Patterson Park,Harris Creek
66,J50-S_depth,0.1026843752223436,0.1020539494241752,0.1023842449703157,0.1017545214733084,J50-S,Washington Hill,Canal Street Creek
67,J512-S_depth,0.1208691847354995,0.0794313771604491,0.1207726276044571,0.0793497613938889,J512-S,Patterson Park,Harris Creek
68,J534-S_depth,0.1560906218826644,0.1547768679914503,0.1558544549583943,0.1545332186457933,J534-S,Patterson Park,Harris Creek
69,J539-S_depth,0.2280817403289405,0.2154349992749962,0.2177218999497917,0.2080949101094007,J539-S,Canton,"Northside, Drains to Harbor"
70,J541-S_depth,0.11443643678773,0.1144370034903445,0.1144364366739246,0.114437003413017,J541-S,Canton Industrial Area,"Northside, Drains to Harbor"
71,J548-S_depth,0.2396286606511602,0.2400224371379309,0.2308824907008854,0.2307419610052525,J548-S,Canton,"Northside, Drains to Harbor"
72,J556-S_depth,0.1834140122381671,0.1766476378541447,0.1834140119431282,0.1766476376602542,J556-S,Canton,Harris Creek
73,J567-S_depth,0.0705799977883871,0.0624428372648826,0.0701938919023657,0.0620695713934731,J567-S,Berea,Armistead Creek
74,J568-S_depth,0.0792105843430963,0.0540016564976118,0.0788977023078924,0.0538297742286285,J568-S,Berea,Armistead Creek
75,J571-S_depth,0.0560704980309428,0.0581051750474178,0.0560708781837543,0.0581417271536164,J571-S,Berea,Armistead Creek
76,J576-S_depth,0.0843620054202543,0.0239603723134705,0.0808064804555332,0.0227426475709684,J576-S,Dunbar-Broadway,Canal Street Creek
77,J578-S_depth,0.1205019471834082,0.0926427032554713,0.1198958975259639,0.0926457592978143,J578-S,Dunbar-Broadway,Canal Street Creek
78,J586-S_depth,0.0340992417539869,0.0177343512243256,0.033763101345256,0.0175433924134962,J586-S,Dunbar-Broadway,Canal Street Creek
79,J587-S_depth,0.1833238145272208,0.1869230322057984,0.1784240591917211,0.1804780378396253,J587-S,Downtown,"Southside, Drains to Harbor"
80,J592-S_depth,0.0771055647878017,0.0619666323121751,0.0766418780963342,0.0615671802352001,J592-S,Dunbar-Broadway,Canal Street Creek
81,J5-S_depth,0.162251572941044,0.1247063582704841,0.1622515727681354,0.1247063579739623,J5-S,Canton,"Northside, Drains to Harbor"
82,J609-S_depth,0.0980429792744838,0.0985931573068726,0.0980429792758805,0.0985923887031321,J609-S,Dunbar-Broadway,Canal Street Creek
83,J60-S_depth,0.1374423782210414,0.1374353244075618,0.1371308001711064,0.1371237489864742,J60-S,Downtown,"Southside, Drains to Harbor"
84,J619-S_depth,0.1418941881150039,0.1417367257202953,0.1418941881134354,0.1417369651993959,J619-S,Dunbar-Broadway,Canal Street Creek
85,J620-S_depth,0.4209586357087722,0.4326951977210958,0.4016031732724416,0.4126550947120088,J620-S,Broadway East,Harris Creek
86,J624-S_depth,0.3771407189582819,0.3901846213276196,0.3606998893441233,0.3729217700389665,J624-S,Broadway East,Harris Creek
87,J62-S_depth,0.2146551186489889,0.1918858269266358,0.2142408489243099,0.1914727482151248,J62-S,Downtown,"Southside, Drains to Harbor"
