,Base,I,V,V&I,node_name,node_id,neighborhood,historic_stream
0,0.0,1.964955975708449e-13,-9.821796294801066e-06,-9.82179591529908e-06,J105-S_depth,J105-S,Downtown,"Southside, Drains to Harbor"
1,0.0,-0.036821718061545786,-0.007140427452521081,-0.041966265368089894,J10-S_depth,J10-S,Downtown,"Southside, Drains to Harbor"
2,0.0,-0.025475467213673386,-0.002731829607685282,-0.027846594449830397,J116-S_depth,J116-S,Downtown,"Southside, Drains to Harbor"
3,0.0,-0.025618098304795105,-0.0016434831204426986,-0.027082388735415,J119-S_depth,J119-S,Downtown,"Southside, Drains to Harbor"
4,0.0,-0.0448429601999294,-0.0005021533132456013,-0.045732169321755,J128-S_depth,J128-S,Canton,Harris Creek
5,0.0,-0.03556809291855839,-0.0012445347325734935,-0.03702983966004039,J130-S_depth,J130-S,Downtown,"Southside, Drains to Harbor"
6,0.0,-0.027246823596535408,-0.0013504867930962117,-0.028089650059531006,J131-S_depth,J131-S,Downtown,"Southside, Drains to Harbor"
7,0.0,-0.05666686164439791,-0.0012257762895825086,-0.0575943777518689,J136-S_depth,J136-S,Downtown,"Southside, Drains to Harbor"
8,0.0,0.0152538190022522,0.0007113901573564951,0.015714834443255693,J138-S_depth,J138-S,Downtown,"Southside, Drains to Harbor"
9,0.0,-1.9237037494207465e-05,-0.0003291668325264979,-0.0003474868161360001,J141-S_depth,J141-S,Downtown,"Southside, Drains to Harbor"
10,0.0,-0.03279778875682898,-0.0023122554596654854,-0.0358275651263083,J157-S_depth,J157-S,Downtown,"Southside, Drains to Harbor"
11,0.0,-6.184527037017551e-07,-0.001169414789978604,-0.0011694172201349023,J163-S_depth,J163-S,Downtown,"Southside, Drains to Harbor"
12,0.0,-0.0006837577533300998,-0.0005887576111657938,-0.0012704251830112923,J165-S_depth,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,0.0,3.4585241892592933e-09,1.653954750935327e-13,3.458473799011763e-09,J171-S_depth,J171-S,Canton,"Northside, Drains to Harbor"
14,0.0,-5.556637960035804e-07,-3.308560224930812e-05,-3.350676465320446e-05,J177-S_depth,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,0.0,-0.0389644647579547,-0.0005902995653374044,-0.0396262528565266,J182-S_depth,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,0.0,-0.007695218523388503,-3.5582459062544203e-09,-0.007695220031365607,J191-S_depth,J191-S,Fells Point,Canal Street Creek
17,0.0,0.0004297405101112012,2.494672285302535e-06,0.0008169590326719961,J1-S_depth,J1-S,Clifton Park,Canal Street Creek
18,0.0,2.1154179935534145e-09,-6.123990203832363e-13,2.1139610895115624e-09,J204-S_depth,J204-S,Fells Point,Canal Street Creek
19,0.0,0.003237965323997005,-0.0029471599195886045,0.00014983620790620655,J208-S_depth,J208-S,Downtown,"Southside, Drains to Harbor"
20,0.0,-0.021893878194582203,-0.0002616519709315035,-0.022150463226327605,J211-S_depth,J211-S,Fells Point,Canal Street Creek
21,0.0,-0.01526600875426487,-1.2797251092155904e-08,-0.015265998910245715,J227-S_depth,J227-S,Locust Point,"Southside, Drains to Harbor"
22,0.0,-1.5854914737201825e-05,-3.5672955590176914e-07,-1.5552598365602133e-05,J231-S_depth,J231-S,Locust Point,"Southside, Drains to Harbor"
23,0.0,-1.057527295539925e-05,-2.001970644499411e-06,-9.172231065299706e-06,J232-S_depth,J232-S,Locust Point,"Southside, Drains to Harbor"
24,0.0,-2.8254591150078667e-07,4.259093078218257e-14,-2.8254604231281455e-07,J234-S_depth,J234-S,Locust Point,"Southside, Drains to Harbor"
25,0.0,-1.86724531179433e-06,-6.732029439460163e-08,-1.932362782397501e-06,J238-S_depth,J238-S,Locust Point,"Southside, Drains to Harbor"
26,0.0,-0.0048210753321192845,-0.00017446881298718853,-0.004985352686039293,J240-S_depth,J240-S,Locust Point,"Southside, Drains to Harbor"
27,0.0,-0.04678408839206699,-0.00026717709083878827,-0.04707097905477339,J245-S_depth,J245-S,Locust Point,"Southside, Drains to Harbor"
28,0.0,-0.024250438506023292,-0.004208910493671891,-0.0281437625845797,J253-S_depth,J253-S,Eager Park,Canal Street Creek
29,0.0,-0.015680293582352095,-0.0020517652788772933,-0.0176443854201805,J260-S_depth,J260-S,Broadway East,Canal Street Creek
30,0.0,-0.008390546222899795,-0.0023892403312673893,-0.010919568258867293,J266-S_depth,J266-S,Clifton Park,Canal Street Creek
31,0.0,2.0589714540275583e-07,-0.0010698287934906014,-0.0010690143620082013,J268-S_depth,J268-S,Clifton Park,Canal Street Creek
32,0.0,-2.1136443628701207e-05,-3.400289665420053e-05,-5.532326931730058e-05,J273-S_depth,J273-S,Clifton Park,Canal Street Creek
33,0.0,-0.030155768163059912,-0.0051288886231857095,-0.035297014734055304,J278-S_depth,J278-S,Broadway East,Canal Street Creek
34,0.0,-0.012096455522664105,-2.031386520107148e-08,-0.012096442679842404,J27-S_depth,J27-S,Locust Point,"Southside, Drains to Harbor"
35,0.0,-0.028219366967803222,-0.00843033374079391,-0.03551660128053011,J280-S_depth,J280-S,Broadway East,Canal Street Creek
36,0.0,0.0049546057677744,-0.0058804117806606215,-0.0011449410202351018,J328-S_depth,J328-S,Broadway East,Canal Street Creek
37,0.0,-0.0211678291021163,-0.005681142674254791,-0.025778082602165492,J329-S_depth,J329-S,Broadway East,Canal Street Creek
38,0.0,-0.0388311375114261,-0.009221095233350796,-0.0465654160213356,J338-S_depth,J338-S,Eager Park,Canal Street Creek
39,0.0,-0.0138375803809489,-1.1847717251711742e-11,-0.013837580388674803,J33-S_depth,J33-S,Locust Point,"Southside, Drains to Harbor"
40,0.0,2.40213178889781e-07,1.1220191442617988e-13,2.402131286938225e-07,J34-S_depth,J34-S,Locust Point,"Southside, Drains to Harbor"
41,0.0,-0.019216434447958203,-0.003272218837763796,-0.021201265816027798,J361-S_depth,J361-S,Eager Park,Canal Street Creek
42,0.0,-0.048713676160331607,-0.006457824492497002,-0.053727910537175606,J366-S_depth,J366-S,Eager Park,Canal Street Creek
43,0.0,0.015466912078677897,-0.01336124948615991,0.0008920234507118763,J385-S_depth,J385-S,Broadway East,Harris Creek
44,0.0,-0.031521318776694895,-0.002563395845266797,-0.033399328991616406,J3-S_depth,J3-S,Fells Point,"Northside, Drains to Harbor"
45,0.0,1.0559098649304266e-05,-0.0011151438157505078,-0.001107224473881091,J413-S_depth,J413-S,Broadway East,Harris Creek
46,0.0,-0.02063607360593339,-0.00791175323597168,-0.0283649986252949,J421-S_depth,J421-S,McElderry Park,Harris Creek
47,0.0,-1.4701519168713872e-10,-9.71445146547012e-17,-1.4701519168713872e-10,J42-S_depth,J42-S,Locust Point,"Southside, Drains to Harbor"
48,0.0,0.001300149412433796,-0.00016715810678409604,0.001134614998774111,J433-S_depth,J433-S,Madison-Eastend,Harris Creek
49,0.0,-0.00260439256472679,-0.00011204606760649438,-0.002201595353134092,J437-S_depth,J437-S,Patterson Park,Harris Creek
50,0.0,-0.0766079244629949,-0.008921977547659499,-0.082499746819444,J438-S_depth,J438-S,McElderry Park,Harris Creek
51,0.0,-0.005426925348597206,-0.00013731261684890583,-0.005572893328938802,J450-S_depth,J450-S,Madison-Eastend,Harris Creek
52,0.0,0.010307018175097202,1.4502992800036196e-06,0.010522498682216996,J456-S_depth,J456-S,Orangeville,Harris Creek
53,0.0,0.003191105365452397,4.2954177992271525e-09,0.003191101909341694,J45-S_depth,J45-S,Locust Point,"Southside, Drains to Harbor"
54,0.0,-0.006341138465486396,-0.00043077150529349795,-0.006794206995376001,J460-S_depth,J460-S,Orangeville,Harris Creek
55,0.0,-0.02021050057009699,-0.0003873362013893933,-0.02049422657723779,J461-S_depth,J461-S,Baltimore Highlands,Harris Creek
56,0.0,0.0,-0.0001336594877809072,-0.0001336594877809072,J46-S_depth,J46-S,Locust Point,"Southside, Drains to Harbor"
57,0.0,0.0037796664723225015,-0.003425582227660484,0.00036919218125941455,J471-S_depth,J471-S,Orangeville,Harris Creek
58,0.0,3.325748775817594e-07,-0.00038246359928670315,-0.0003821291453787179,J480-S_depth,J480-S,McElderry Park,Harris Creek
