,Base,I,V,V&I,node_name,node_id,neighborhood
0,0.0,0.0,-0.00031562825336695077,-0.00031562825336695077,J105-S_flow,J105-S,Downtown
1,0.0,-0.01623414470085538,-0.1259512680016328,-0.1396737019785328,J10-S_flow,J10-S,Downtown
2,0.0,0.005930832369768879,-0.13469585296095943,-0.12910658196348024,J116-S_flow,J116-S,Downtown
3,0.0,-0.5641782579239177,-0.059438730346969004,-0.6068738307151895,J119-S_flow,J119-S,Downtown
4,0.0,-0.3087800082782225,-0.009994701498874214,-0.3151748630817887,J128-S_flow,J128-S,Canton
5,0.0,-0.4587288079358878,-0.029677546275649558,-0.4676719897502502,J130-S_flow,J130-S,Downtown
6,0.0,-0.47767989446299697,-0.04005275321677715,-0.495921811237492,J131-S_flow,J131-S,Downtown
7,0.0,-0.000672610734600898,-0.011583701568209426,-0.01222212332361039,J136-S_flow,J136-S,Downtown
8,0.0,0.0,0.0,0.0,J138-S_flow,J138-S,Downtown
9,0.0,0.0,-0.011341230271067815,-0.011341230271067815,J141-S_flow,J141-S,Downtown
10,0.0,-2.37245165235489e-05,-0.04487193456168881,-0.04487202792792888,J157-S_flow,J157-S,Downtown
11,0.0,0.0,-0.04494432158109318,-0.04494432158109318,J163-S_flow,J163-S,Downtown
12,0.0,-1.3835724524069448e-05,-0.012998011065582404,-0.013010118279574434,J165-S_flow,J165-S,Federal Hill
13,0.0,0.0,0.0,0.0,J171-S_flow,J171-S,Canton
14,0.0,0.0,-0.0012776142153800851,-0.0012776142153800851,J177-S_flow,J177-S,Federal Hill
15,0.0,-0.016084742733272872,-0.015137051259290768,-0.03106123055601895,J182-S_flow,J182-S,Federal Hill
16,0.0,5.782679179944239e-08,-1.6751044995544362e-11,5.778696376967929e-08,J191-S_flow,J191-S,Fells Point
17,0.0,0.0,0.0,0.0,J1-S_flow,J1-S,Clifton Park
18,0.0,0.0,0.0,0.0,J204-S_flow,J204-S,Fells Point
19,0.0,0.0,-0.135014963024509,-0.135014963024509,J208-S_flow,J208-S,Downtown
20,0.0,-0.5025645630165358,-0.009638531019614982,-0.5102326395740435,J211-S_flow,J211-S,Fells Point
21,0.0,1.7642636351400398e-05,-1.7930067319760212e-07,1.7831899298492715e-05,J227-S_flow,J227-S,Locust Point
22,0.0,5.80573177502014e-07,-1.0536328037998033e-06,8.192532616600745e-06,J231-S_flow,J231-S,Locust Point
23,0.0,-2.4392603485013514e-06,-4.6267064160096516e-07,-2.1641557023006908e-06,J232-S_flow,J232-S,Locust Point
24,0.0,0.0,0.0,0.0,J234-S_flow,J234-S,Locust Point
25,0.0,-1.3013366833014572e-06,4.515638291047175e-05,-1.3013366833014572e-06,J238-S_flow,J238-S,Locust Point
26,0.0,-3.1667453919803634e-05,-0.00579444345561253,-0.005826073827548628,J240-S_flow,J240-S,Locust Point
27,0.0,-0.13557422324077817,-0.005001499313866287,-0.14009684969693792,J245-S_flow,J245-S,Locust Point
28,0.0,-0.7614334771901309,-0.19204814610500365,-0.8834011334442623,J253-S_flow,J253-S,Eager Park
29,0.0,-0.25885452530358344,-0.07052215251304284,-0.31625949388148644,J260-S_flow,J260-S,Broadway East
30,0.0,-0.2637799928406235,-0.07116488666896059,-0.3202512107054599,J266-S_flow,J266-S,Clifton Park
31,0.0,-4.7810254836910815e-05,-0.017295302737731,-0.017334222966089385,J268-S_flow,J268-S,Clifton Park
32,0.0,-2.361794206179324e-05,-0.00042683901748849506,-0.0004467866567378076,J273-S_flow,J273-S,Clifton Park
33,0.0,-0.6909343902068203,-0.19719523324058374,-0.8398895877788477,J278-S_flow,J278-S,Broadway East
34,0.0,0.0023144867263532043,-2.470450936042923e-07,0.0023147283304290056,J27-S_flow,J27-S,Locust Point
35,0.0,-0.7504721975323478,-0.20351478713480642,-0.8876275853280216,J280-S_flow,J280-S,Broadway East
36,0.0,0.0,-0.15966159302091176,-0.15966159302091176,J328-S_flow,J328-S,Broadway East
37,0.0,-0.6689331675829946,-0.2911431139978422,-0.8922078095650141,J329-S_flow,J329-S,Broadway East
38,0.0,-0.7820844442673349,-0.22688416640404707,-0.9371468281163959,J338-S_flow,J338-S,Eager Park
39,0.0,-1.1631593263228268e-05,1.9944046414366312e-12,-1.1631599402317505e-05,J33-S_flow,J33-S,Locust Point
