,Base,I,V,V&I,node_name,node_id,neighborhood
0,0.0,2.3659296743971936e-11,-0.0011825672553200661,-0.0011825672096321682,J105-S_volume,J105-S,Downtown
1,0.0,-4.433421011538904,-0.8597241727413092,-5.052836544664379,J10-S_volume,J10-S,Downtown
2,0.0,-3.118471140015128,-0.3590707552558321,-3.403960407306787,J116-S_volume,J116-S,Downtown
3,0.0,-3.084478978148465,-0.19787921318883583,-3.260782972200425,J119-S_volume,J119-S,Downtown
4,0.0,-5.399197333423493,-0.060460433873181785,-5.506260192298376,J128-S_volume,J128-S,Canton
5,0.0,-7.441124875657362,-0.29814210490611615,-7.699066756263264,J130-S_volume,J130-S,Downtown
6,0.0,-3.2805813142305924,-0.16260176981180763,-3.382059592454329,J131-S_volume,J131-S,Downtown
7,0.0,-6.822822733375062,-0.14758633338613336,-6.934497842953856,J136-S_volume,J136-S,Downtown
8,0.0,1.836595499367025,0.08565303948487113,1.8921028371662167,J138-S_volume,J138-S,Downtown
9,0.0,-0.0023161843259043025,-0.03963245683391925,-0.041838225726335665,J141-S_volume,J141-S,Downtown
10,0.0,-4.212673665032433,-0.31304458705973914,-4.57782747933296,J157-S_volume,J157-S,Downtown
11,0.0,-7.446315260395409e-05,-0.1408002769569272,-0.14080056955342357,J163-S_volume,J163-S,Downtown
12,0.0,-0.08232603338468891,-0.0708877939829744,-0.15296216462623136,J165-S_volume,J165-S,Federal Hill
13,0.0,4.1641441406170543e-07,1.9916512883355608e-11,4.16408335368601e-07,J171-S_volume,J171-S,Canton
14,0.0,-6.690322120128656e-05,-0.003983583925828427,-0.004034292864707467,J177-S_volume,J177-S,Federal Hill
15,0.0,-5.848638664901859,-0.10853276703669223,-5.928319500448179,J182-S_volume,J182-S,Federal Hill
16,0.0,-0.9265223157960936,-4.284211421179407e-07,-0.9265224973600574,J191-S_volume,J191-S,Fells Point
17,0.0,0.05174176294142541,0.0003003643802834688,0.09836377908713345,J1-S_volume,J1-S,Clifton Park
