,node,scenario,count,time_above
0,J105-S_depth,Base,3,15
1,J10-S_depth,Base,10,50
2,J116-S_depth,Base,11,55
3,J119-S_depth,Base,0,0
4,J128-S_depth,Base,5,25
5,J130-S_depth,Base,65,325
6,J131-S_depth,Base,2,10
7,J136-S_depth,Base,14,70
8,J138-S_depth,Base,5,25
9,J141-S_depth,Base,3,15
10,J157-S_depth,Base,14,70
11,J163-S_depth,Base,4,20
12,J165-S_depth,Base,1,5
13,J171-S_depth,Base,0,0
14,J177-S_depth,Base,3,15
15,J182-S_depth,Base,12,60
16,J191-S_depth,Base,7,35
17,J1-S_depth,Base,0,0
18,J204-S_depth,Base,0,0
19,J208-S_depth,Base,10,50
20,J211-S_depth,Base,8,40
21,J227-S_depth,Base,101,505
22,J231-S_depth,Base,0,0
23,J232-S_depth,Base,0,0
24,J234-S_depth,Base,5,25
25,J238-S_depth,Base,0,0
26,J240-S_depth,Base,6,30
27,J245-S_depth,Base,11,55
28,J253-S_depth,Base,3,15
29,J260-S_depth,Base,5,25
30,J266-S_depth,Base,3,15
31,J268-S_depth,Base,0,0
32,J273-S_depth,Base,0,0
33,J278-S_depth,Base,7,35
34,J27-S_depth,Base,5,25
35,J280-S_depth,Base,14,70
36,J328-S_depth,Base,21,105
37,J329-S_depth,Base,8,40
38,J338-S_depth,Base,12,60
39,J33-S_depth,Base,17,85
40,J34-S_depth,Base,1,5
41,J361-S_depth,Base,13,65
42,J366-S_depth,Base,7,35
43,J385-S_depth,Base,35,175
44,J3-S_depth,Base,9,45
45,J413-S_depth,Base,7,35
46,J421-S_depth,Base,21,105
47,J42-S_depth,Base,0,0
48,J433-S_depth,Base,6,30
49,J437-S_depth,Base,2,10
50,J438-S_depth,Base,16,80
51,J450-S_depth,Base,3,15
52,J456-S_depth,Base,3,15
53,J45-S_depth,Base,0,0
54,J460-S_depth,Base,5,25
55,J461-S_depth,Base,7,35
56,J46-S_depth,Base,1,5
57,J471-S_depth,Base,16,80
58,J480-S_depth,Base,9,45
59,J484-S_depth,Base,13,65
60,J491-S_depth,Base,10,50
61,J492-S_depth,Base,0,0
62,J49-S_depth,Base,0,0
63,J4-S_depth,Base,7,35
64,J506-S_depth,Base,9,45
65,J507-S_depth,Base,15,75
66,J50-S_depth,Base,3,15
67,J512-S_depth,Base,7,35
68,J534-S_depth,Base,10,50
69,J539-S_depth,Base,24,120
70,J541-S_depth,Base,4,20
71,J548-S_depth,Base,29,145
72,J556-S_depth,Base,13,65
73,J567-S_depth,Base,5,25
74,J568-S_depth,Base,8,40
75,J571-S_depth,Base,0,0
76,J576-S_depth,Base,6,30
77,J578-S_depth,Base,8,40
78,J586-S_depth,Base,0,0
79,J587-S_depth,Base,15,75
80,J592-S_depth,Base,0,0
81,J5-S_depth,Base,10,50
82,J609-S_depth,Base,1,5
83,J60-S_depth,Base,7,35
84,J619-S_depth,Base,8,40
85,J620-S_depth,Base,111,555
86,J624-S_depth,Base,101,505
87,J62-S_depth,Base,22,110
88,J632-S_depth,Base,2,10
89,J637-S_depth,Base,8,40
90,J640-S_depth,Base,7,35
91,J659-S_depth,Base,13,65
92,J672-S_depth,Base,5,25
93,J675-S_depth,Base,10,50
94,J686-S_depth,Base,2,10
95,J694-S_depth,Base,0,0
96,J695-S_depth,Base,2,10
97,J712-S_depth,Base,1,5
98,J714-S_depth,Base,8,40
99,J71-S_depth,Base,25,125
100,J722-S_depth,Base,0,0
101,J72-S_depth,Base,0,0
102,J732-S_depth,Base,10,50
103,J733-S_depth,Base,3,15
104,J748-S_depth,Base,6,30
105,J749-S_depth,Base,8,40
106,J751-S_depth,Base,1,5
107,J756-S_depth,Base,17,85
108,J758-S_depth,Base,2,10
109,J760-S_depth,Base,0,0
110,J761-S_depth,Base,12,60
111,J762-S_depth,Base,0,0
112,J764-S_depth,Base,3,15
113,J765-S_depth,Base,0,0
114,J772-S_depth,Base,11,55
115,J782-S_depth,Base,0,0
116,J787-S_depth,Base,5,25
117,J789-S_depth,Base,2,10
118,J78-S_depth,Base,2,10
119,J792-S_depth,Base,20,100
120,J799-S_depth,Base,0,0
121,J7-S_depth,Base,36,180
122,J801-S_depth,Base,4,20
123,J80-S_depth,Base,0,0
124,J88-S_depth,Base,27,135
125,J8-S_depth,Base,40,200
126,J105-S_depth,I,3,15
127,J10-S_depth,I,6,30
128,J116-S_depth,I,8,40
129,J119-S_depth,I,0,0
130,J128-S_depth,I,0,0
131,J130-S_depth,I,56,280
132,J131-S_depth,I,0,0
133,J136-S_depth,I,10,50
134,J138-S_depth,I,7,35
135,J141-S_depth,I,3,15
136,J157-S_depth,I,10,50
137,J163-S_depth,I,4,20
138,J165-S_depth,I,1,5
139,J171-S_depth,I,0,0
140,J177-S_depth,I,3,15
141,J182-S_depth,I,9,45
142,J191-S_depth,I,6,30
143,J1-S_depth,I,0,0
144,J204-S_depth,I,0,0
145,J208-S_depth,I,10,50
146,J211-S_depth,I,6,30
147,J227-S_depth,I,66,330
148,J231-S_depth,I,0,0
149,J232-S_depth,I,0,0
150,J234-S_depth,I,5,25
151,J238-S_depth,I,0,0
152,J240-S_depth,I,5,25
153,J245-S_depth,I,7,35
154,J253-S_depth,I,0,0
155,J260-S_depth,I,3,15
156,J266-S_depth,I,2,10
157,J268-S_depth,I,0,0
158,J273-S_depth,I,0,0
159,J278-S_depth,I,3,15
160,J27-S_depth,I,5,25
161,J280-S_depth,I,11,55
162,J328-S_depth,I,22,110
163,J329-S_depth,I,5,25
164,J338-S_depth,I,7,35
165,J33-S_depth,I,16,80
166,J34-S_depth,I,1,5
167,J361-S_depth,I,10,50
168,J366-S_depth,I,0,0
169,J385-S_depth,I,37,185
170,J3-S_depth,I,5,25
171,J413-S_depth,I,7,35
172,J421-S_depth,I,17,85
173,J42-S_depth,I,0,0
174,J433-S_depth,I,7,35
175,J437-S_depth,I,2,10
176,J438-S_depth,I,9,45
177,J450-S_depth,I,3,15
178,J456-S_depth,I,3,15
179,J45-S_depth,I,0,0
180,J460-S_depth,I,5,25
181,J461-S_depth,I,6,30
182,J46-S_depth,I,1,5
183,J471-S_depth,I,16,80
184,J480-S_depth,I,9,45
185,J484-S_depth,I,9,45
186,J491-S_depth,I,7,35
187,J492-S_depth,I,0,0
188,J49-S_depth,I,0,0
189,J4-S_depth,I,6,30
190,J506-S_depth,I,9,45
191,J507-S_depth,I,10,50
192,J50-S_depth,I,3,15
193,J512-S_depth,I,5,25
194,J534-S_depth,I,10,50
195,J539-S_depth,I,21,105
196,J541-S_depth,I,4,20
197,J548-S_depth,I,29,145
198,J556-S_depth,I,12,60
199,J567-S_depth,I,4,20
200,J568-S_depth,I,6,30
201,J571-S_depth,I,0,0
202,J576-S_depth,I,2,10
203,J578-S_depth,I,5,25
204,J586-S_depth,I,0,0
205,J587-S_depth,I,15,75
206,J592-S_depth,I,0,0
207,J5-S_depth,I,7,35
208,J609-S_depth,I,1,5
209,J60-S_depth,I,7,35
210,J619-S_depth,I,8,40
211,J620-S_depth,I,110,550
212,J624-S_depth,I,102,510
213,J62-S_depth,I,14,70
214,J632-S_depth,I,3,15
215,J637-S_depth,I,5,25
216,J640-S_depth,I,3,15
217,J659-S_depth,I,14,70
218,J672-S_depth,I,2,10
219,J675-S_depth,I,10,50
220,J686-S_depth,I,3,15
221,J694-S_depth,I,0,0
222,J695-S_depth,I,0,0
223,J712-S_depth,I,1,5
224,J714-S_depth,I,9,45
225,J71-S_depth,I,14,70
226,J722-S_depth,I,0,0
227,J72-S_depth,I,0,0
228,J732-S_depth,I,7,35
229,J733-S_depth,I,3,15
230,J748-S_depth,I,5,25
231,J749-S_depth,I,7,35
232,J751-S_depth,I,1,5
233,J756-S_depth,I,18,90
234,J758-S_depth,I,1,5
235,J760-S_depth,I,0,0
236,J761-S_depth,I,8,40
237,J762-S_depth,I,0,0
238,J764-S_depth,I,3,15
239,J765-S_depth,I,0,0
240,J772-S_depth,I,11,55
241,J782-S_depth,I,0,0
242,J787-S_depth,I,6,30
243,J789-S_depth,I,0,0
244,J78-S_depth,I,2,10
245,J792-S_depth,I,22,110
246,J799-S_depth,I,0,0
247,J7-S_depth,I,31,155
248,J801-S_depth,I,0,0
249,J80-S_depth,I,0,0
250,J88-S_depth,I,23,115
251,J8-S_depth,I,37,185
252,J105-S_depth,V,3,15
253,J10-S_depth,V,9,45
254,J116-S_depth,V,10,50
255,J119-S_depth,V,0,0
256,J128-S_depth,V,5,25
257,J130-S_depth,V,63,315
258,J131-S_depth,V,2,10
259,J136-S_depth,V,14,70
260,J138-S_depth,V,5,25
261,J141-S_depth,V,3,15
262,J157-S_depth,V,13,65
263,J163-S_depth,V,3,15
264,J165-S_depth,V,1,5
265,J171-S_depth,V,0,0
266,J177-S_depth,V,3,15
267,J182-S_depth,V,12,60
268,J191-S_depth,V,7,35
269,J1-S_depth,V,0,0
270,J204-S_depth,V,0,0
271,J208-S_depth,V,9,45
272,J211-S_depth,V,8,40
273,J227-S_depth,V,101,505
274,J231-S_depth,V,0,0
275,J232-S_depth,V,0,0
276,J234-S_depth,V,5,25
277,J238-S_depth,V,0,0
278,J240-S_depth,V,6,30
279,J245-S_depth,V,11,55
280,J253-S_depth,V,3,15
281,J260-S_depth,V,5,25
