,Base,I,V,V&I,node_name,node_id,neighborhood
0,0.0,0.0017443999777597696,-0.0008121669461118586,0.0011895973004421023,J105-S_volume,J105-S,Downtown
1,0.0,-28.892992546816494,-27.560257504222463,-34.99635096564987,J10-S_volume,J10-S,Downtown
2,0.0,1.6698528877274015,-3.896953244391966,-2.368511277488736,J116-S_volume,J116-S,Downtown
3,0.0,-1.6010732063202724,-0.5243900220914952,-2.0700518198113933,J119-S_volume,J119-S,Downtown
4,0.0,-11.86810535723609,-0.03467860605678297,-11.911513850885932,J128-S_volume,J128-S,Canton
5,0.0,-28.251990897901294,-5.2696894559117595,-32.26791938477818,J130-S_volume,J130-S,Downtown
6,0.0,-3.082309361822624,-0.6279563725142303,-3.516401941638158,J131-S_volume,J131-S,Downtown
7,0.0,-1.8891250515511757,-0.5670334734275144,-2.5274514553172196,J136-S_volume,J136-S,Downtown
8,0.0,2.2433328488854656,0.12542967027855312,2.3746024992445847,J138-S_volume,J138-S,Downtown
9,0.0,0.0022189860709787013,-0.11968319636492453,-0.11744433724503622,J141-S_volume,J141-S,Downtown
10,0.0,-6.860695747307055,-0.732768719710748,-7.470641865516917,J157-S_volume,J157-S,Downtown
11,0.0,0.009043759075190394,-0.35186202266022093,-0.34323733800161804,J163-S_volume,J163-S,Downtown
12,0.0,-0.09406762168952554,-0.13779075814658626,-0.2296781890200279,J165-S_volume,J165-S,Federal Hill
13,0.0,0.0005982040409353573,-7.394203560551205e-07,0.0005775935048148995,J171-S_volume,J171-S,Canton
14,0.0,0.006374906434942318,-0.010757145231146126,-0.004323116786434156,J177-S_volume,J177-S,Federal Hill
15,0.0,-15.966447667085752,0.012787510039217409,-16.305472871669927,J182-S_volume,J182-S,Federal Hill
16,0.0,-1.5351650339798404,-5.429426924052905e-06,-1.5351626374827845,J191-S_volume,J191-S,Fells Point
17,0.0,0.0004875621130793206,0.00028870155679427967,0.0010318131168922662,J1-S_volume,J1-S,Clifton Park
18,0.0,0.0018734681889363003,-1.271711429495781e-06,0.0018492062232837725,J204-S_volume,J204-S,Fells Point
19,0.0,0.00888235338268828,-1.419208768159777,-1.4095307823575922,J208-S_volume,J208-S,Downtown
