,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_flow,4.22015389755378,4.219684061400415,4.219959217012209,4.219370588606923,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_flow,2.603465141801811,2.534848172983505,2.5094889295718947,2.43875311072811,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_flow,8.710869804083352,8.59951922475917,8.620724141022139,8.510358526874246,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_flow,3.305375566910842,2.601919396273444,3.2582642057550197,2.539176447935789,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_flow,1.8051265316587712,0.7491411873725211,1.8052451767643576,0.7490918421015504,J128-S,Canton,Harris Creek
5,J130-S_flow,1.7255756844358954,0.799833244671067,1.690218956179536,0.7693901514558199,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_flow,2.3830729703320275,1.5786650366738435,2.3361441956013933,1.5178698852010697,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_flow,4.536727825684166,4.62958039008784,4.522839038272716,4.608149794800118,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_flow,0.8788052083088151,0.8789578823110966,0.8787611374627957,0.8789519799656477,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_flow,4.579505441181946,4.578463583650002,4.564084515041589,4.562752090625416,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_flow,2.684504042393784,2.682232237408309,2.633905060409032,2.631615341837868,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_flow,2.7384272472114044,2.738698764985852,2.70672669315132,2.7071115439739923,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_flow,2.8828083912998794,2.8826457634579103,2.854675792919136,2.8544958286268893,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_flow,1.9638892723589103,1.9632491245009809,1.964074057307591,1.9632738724851797,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_flow,3.6203107207544,3.620977256454315,3.618362339729905,3.619197024649925,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_flow,5.831198210987659,5.812457254972453,5.795661863948389,5.777552137884786,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_flow,1.6943879107321678,1.6945085153072046,1.6944512902471036,1.6945888801943696,J191-S,Fells Point,Canal Street Creek
17,J1-S_flow,1.500898176931268,1.4983944305627146,1.501620907841778,1.4984912248810869,J1-S,Clifton Park,Canal Street Creek
18,J204-S_flow,1.6663085995630262,1.6664405952362562,1.6664534728629128,1.6666241014161125,J204-S,Fells Point,Canal Street Creek
19,J208-S_flow,5.039004157493686,5.039307486309864,4.904714414606138,4.905132850762126,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_flow,4.112698007430376,3.129825815151566,4.0996986317746416,3.1202361852405347,J211-S,Fells Point,Canal Street Creek
21,J227-S_flow,5.899870213880579,5.899093239714043,5.900088515396387,5.899154100729358,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_flow,0.034843359589821,0.0343228733452816,0.0349936030418529,0.0343429952361788,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_flow,0.0756913244380103,0.07579244609701,0.075699773812328,0.0758023958955972,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_flow,3.288630912363339,3.2888528177005414,3.288874467001732,3.2891613202425063,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_flow,1.5581017455899189,1.5567060553283762,1.5585046252530446,1.556760012426116,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_flow,4.350956817344846,4.350664962658055,4.347868471253357,4.347519722810643,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_flow,3.3302167351978,3.1290267876717706,3.3259908692650013,3.122593761270956,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_flow,2.9778743643204364,1.916981259465663,2.6578544117311877,1.689883278980895,J253-S,Eager Park,Canal Street Creek
29,J260-S_flow,4.448881753972839,4.171926686298508,4.343228772529827,4.079734045031853,J260-S,Broadway East,Canal Street Creek
30,J266-S_flow,2.971944903158069,2.540976111016822,2.8745007040222403,2.4592410710316126,J266-S,Clifton Park,Canal Street Creek
31,J268-S_flow,1.3603144301551722,1.356902276731397,1.3024919627904867,1.298346493265214,J268-S,Clifton Park,Canal Street Creek
32,J273-S_flow,0.6535485940235826,0.6517292910575618,0.6528063333292818,0.6505357073744484,J273-S,Clifton Park,Canal Street Creek
33,J278-S_flow,3.853842301442485,2.568260250362352,3.669572759515337,2.4374995968483866,J278-S,Broadway East,Canal Street Creek
34,J27-S_flow,1.188956403449795,1.2526399846681322,1.1893176531207,1.2526942596737287,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_flow,3.8557919863218224,2.409091666998484,3.629700096928765,2.3188612690403825,J280-S,Broadway East,Canal Street Creek
36,J328-S_flow,4.147161719929096,4.147413259338537,4.0055003935260345,4.005844299822319,J328-S,Broadway East,Canal Street Creek
37,J329-S_flow,6.484620204691447,5.152773765923719,6.239006787997735,4.959918466781594,J329-S,Broadway East,Canal Street Creek
38,J338-S_flow,3.644080464602029,2.63258892829706,3.389809306298603,2.4397825072262376,J338-S,Eager Park,Canal Street Creek
39,J33-S_flow,7.369722151922623,7.373565133942235,7.369571978990964,7.3735589160123425,J33-S,Locust Point,"Southside, Drains to Harbor"
40,J34-S_flow,5.937861547122571,5.936450665163486,5.938268812017978,5.936505209569121,J34-S,Locust Point,"Southside, Drains to Harbor"
41,J361-S_flow,4.598000055398755,3.052856088493951,4.421977253194668,2.9713847161875657,J361-S,Eager Park,Canal Street Creek
42,J366-S_flow,2.486670782285826,1.3649972698586046,2.223405116769075,1.2339321090615945,J366-S,Eager Park,Canal Street Creek
43,J385-S_flow,10.530535674816258,11.766416861601837,9.903562896030744,11.03631939394175,J385-S,Broadway East,Harris Creek
44,J3-S_flow,3.825415315390754,3.7462074024320544,3.7677338673336433,3.689706885962349,J3-S,Fells Point,"Northside, Drains to Harbor"
45,J413-S_flow,4.577798252791423,4.5779702080565885,4.528887528054546,4.529116980654418,J413-S,Broadway East,Harris Creek
46,J421-S_flow,12.283643670196597,13.349244695801277,11.65416194638114,12.64066398449335,J421-S,McElderry Park,Harris Creek
47,J42-S_flow,4.501247355436708,4.501187076435588,4.501264755560743,4.501189406809343,J42-S,Locust Point,"Southside, Drains to Harbor"
48,J433-S_flow,2.874209872658622,2.872637785388012,2.8682761767514,2.866322539776626,J433-S,Madison-Eastend,Harris Creek
49,J437-S_flow,5.190669245482237,5.180910042113259,5.184090892018991,5.174267173653061,J437-S,Patterson Park,Harris Creek
50,J438-S_flow,5.043585241056564,3.450443934493564,4.866261862380921,3.291410551742989,J438-S,McElderry Park,Harris Creek
51,J450-S_flow,3.0397538724118136,3.035273727591127,3.0327499029041927,3.0282926296923813,J450-S,Madison-Eastend,Harris Creek
52,J456-S_flow,1.8314345238039045,1.829748134783992,1.831921316510684,1.8298133302357928,J456-S,Orangeville,Harris Creek
53,J45-S_flow,0.9064394332716904,0.9045104039877904,0.9069962664670428,0.904584979862168,J45-S,Locust Point,"Southside, Drains to Harbor"
54,J460-S_flow,2.6069865442699878,2.2606111832529145,2.5786041018411634,2.2335112183999595,J460-S,Orangeville,Harris Creek
55,J461-S_flow,6.109760680451513,5.733275712489868,6.069710067408954,5.694968652503274,J461-S,Baltimore Highlands,Harris Creek
56,J46-S_flow,2.8182412770602028,2.8189635118196485,2.8148887877848354,2.81579411521394,J46-S,Locust Point,"Southside, Drains to Harbor"
57,J471-S_flow,2.249430934404998,2.24561266273907,2.1858755361616864,2.181179772323295,J471-S,Orangeville,Harris Creek
58,J480-S_flow,7.736541968967965,7.73816417233169,7.722489827088837,7.724500837803065,J480-S,McElderry Park,Harris Creek
59,J484-S_flow,6.796120486266519,4.980476675781393,6.7833831949503125,4.972872256884253,J484-S,Baltimore Highlands,Harris Creek
60,J491-S_flow,9.65530883412212,8.268958628331017,9.6308215830791,8.250331663202118,J491-S,Kresson,Harris Creek
61,J492-S_flow,2.2681400119488635,2.2686869668417287,2.2679821280622634,2.2686658216783444,J492-S,Baltimore Highlands,Harris Creek
62,J49-S_flow,2.2419062672135497,2.241477592244079,2.230024297702138,2.229488859536555,J49-S,Washington Hill,Canal Street Creek
63,J4-S_flow,1.952186716435017,1.9521448133500847,1.95226581456509,1.9521723224332703,J4-S,Canton,"Northside, Drains to Harbor"
64,J506-S_flow,2.3487495032771317,2.3494859641528048,2.3473997612706428,2.348319446213492,J506-S,Baltimore Highlands,Harris Creek
65,J507-S_flow,4.956581926997226,3.25946023238108,4.947580627561327,3.254272736060352,J507-S,Patterson Park,Harris Creek
66,J50-S_flow,3.792784148499616,3.7425117263652448,3.781891549629856,3.731603703974662,J50-S,Washington Hill,Canal Street Creek
67,J512-S_flow,4.309226471275508,2.52786431895754,4.305067480646535,2.525889713600173,J512-S,Patterson Park,Harris Creek
68,J534-S_flow,6.929000590964163,6.938363263914845,6.8987794240005575,6.908147879778337,J534-S,Patterson Park,Harris Creek
69,J539-S_flow,3.68703075405744,3.5652677439438896,3.4905892115280373,3.3756230292380205,J539-S,Canton,"Northside, Drains to Harbor"
70,J541-S_flow,2.210779525563651,2.2110890606246825,2.210690175236755,2.211077094063045,J541-S,Canton Industrial Area,"Northside, Drains to Harbor"
71,J548-S_flow,5.338655159977792,5.338896769110773,5.060087835660774,5.060399328614652,J548-S,Canton,"Northside, Drains to Harbor"
72,J556-S_flow,3.5300355750108814,3.5301054569867683,3.5301877784506384,3.5302932129882345,J556-S,Canton,Harris Creek
73,J567-S_flow,3.815658637944293,3.827980384868867,3.7898710778209534,3.800507485792688,J567-S,Berea,Armistead Creek
74,J568-S_flow,4.7414057977061255,4.213101626239031,4.7185809529821325,4.192560718718184,J568-S,Berea,Armistead Creek
75,J571-S_flow,1.8203956743998,1.8148928376831968,1.821984122111809,1.815105576216056,J571-S,Berea,Armistead Creek
76,J576-S_flow,1.252324959843558,0.2123270468902914,1.1783072743790282,0.2001157604427633,J576-S,Dunbar-Broadway,Canal Street Creek
77,J578-S_flow,5.17396962858349,5.071779772335187,5.174129608313689,5.0717104711286085,J578-S,Dunbar-Broadway,Canal Street Creek
78,J586-S_flow,0.3166243370473171,0.1635198489386095,0.3133993796668253,0.1622418531283892,J586-S,Dunbar-Broadway,Canal Street Creek
79,J587-S_flow,2.563419105109292,2.563554489727761,2.4618948047824216,2.4620789240764798,J587-S,Downtown,"Southside, Drains to Harbor"
80,J592-S_flow,1.683863218159213,1.6839187248918528,1.6755821287878536,1.676709043945137,J592-S,Dunbar-Broadway,Canal Street Creek
81,J5-S_flow,2.4334878944564338,2.44993716362666,2.433605343726384,2.449959700329643,J5-S,Canton,"Northside, Drains to Harbor"
82,J609-S_flow,5.56559952018246,5.570508316248434,5.565622099417726,5.570499647328363,J609-S,Dunbar-Broadway,Canal Street Creek
83,J60-S_flow,2.931655320439504,2.9321075707780966,2.926887341995355,2.9274539699500397,J60-S,Downtown,"Southside, Drains to Harbor"
84,J619-S_flow,5.635876339843384,5.635775388191414,5.635905480526427,5.635779290961464,J619-S,Dunbar-Broadway,Canal Street Creek
