,Base,I,V,V&I,node_name,node_id,neighborhood
0,0.0,-0.00046983615336415596,-0.00019468054157023573,-0.0007833089468567422,J105-S_flow,J105-S,Downtown
1,0.0,-0.06861696881830603,-0.09397621222991637,-0.16471203107370114,J10-S_flow,J10-S,Downtown
2,0.0,-0.11135057932418135,-0.09014566306121274,-0.200511277209106,J116-S_flow,J116-S,Downtown
3,0.0,-0.7034561706373981,-0.04711136115582226,-0.7661991189750532,J119-S_flow,J119-S,Downtown
4,0.0,-1.0559853442862501,0.00011864510558634578,-1.0560346895572208,J128-S_flow,J128-S,Canton
5,0.0,-0.9257424397648284,-0.03535672825635938,-0.9561855329800755,J130-S_flow,J130-S,Downtown
6,0.0,-0.804407933658184,-0.04692877473063417,-0.8652030851309578,J131-S_flow,J131-S,Downtown
7,0.0,0.09285256440367373,-0.013888787411450387,0.07142196911595189,J136-S_flow,J136-S,Downtown
8,0.0,0.0001526740022814721,-4.4070846019428345e-05,0.0001467716568325228,J138-S_flow,J138-S,Downtown
9,0.0,-0.0010418575319439682,-0.01542092614035706,-0.016753350556530044,J141-S_flow,J141-S,Downtown
10,0.0,-0.002271804985475079,-0.0505989819847521,-0.05288870055591621,J157-S_flow,J157-S,Downtown
11,0.0,0.0002715177744474495,-0.03170055406008432,-0.03131570323741206,J163-S_flow,J163-S,Downtown
12,0.0,-0.00016262784196907631,-0.028132598380743445,-0.028312562672990094,J165-S_flow,J165-S,Federal Hill
13,0.0,-0.0006401478579294295,0.00018478494868068296,-0.0006153998737306043,J171-S_flow,J171-S,Canton
14,0.0,0.0006665356999149274,-0.0019483810244951272,-0.0011136961044750926,J177-S_flow,J177-S,Federal Hill
15,0.0,-0.018740956015205867,-0.03553634703926978,-0.05364607310287273,J182-S_flow,J182-S,Federal Hill
16,0.0,0.0001206045750368201,6.337951493584626e-05,0.00020096946220182765,J191-S_flow,J191-S,Fells Point
17,0.0,-0.002503746368553328,0.0007227309105100055,-0.0024069520501810437,J1-S_flow,J1-S,Clifton Park
18,0.0,0.00013199567322996764,0.00014487329988654984,0.0003155018530862641,J204-S_flow,J204-S,Fells Point
19,0.0,0.00030332881617844976,-0.1342897428875478,-0.13387130673156022,J208-S_flow,J208-S,Downtown
20,0.0,-0.9828721922788102,-0.012999375655734724,-0.9924618221898416,J211-S_flow,J211-S,Fells Point
21,0.0,-0.000776974166535993,0.00021830151580815027,-0.0007161131512205543,J227-S_flow,J227-S,Locust Point
22,0.0,-0.0005204862445394032,0.00015024345203189932,-0.000500364353642202,J231-S_flow,J231-S,Locust Point
23,0.0,0.00010112165899969772,8.449374317695546e-06,0.00011107145758690318,J232-S_flow,J232-S,Locust Point
24,0.0,0.00022190533720234384,0.00024355463839276226,0.0005304078791672495,J234-S_flow,J234-S,Locust Point
25,0.0,-0.0013956902615426259,0.0004028796631256881,-0.0013417331638028163,J238-S_flow,J238-S,Locust Point
26,0.0,-0.0002918546867913818,-0.0030883460914887806,-0.0034370945342034886,J240-S_flow,J240-S,Locust Point
27,0.0,-0.20118994752602948,-0.0042258659327987225,-0.20762297392684426,J245-S_flow,J245-S,Locust Point
28,0.0,-1.0608931048547734,-0.32001995258924865,-1.2879910853395413,J253-S_flow,J253-S,Eager Park
29,0.0,-0.2769550676743311,-0.10565298144301227,-0.3691477089409858,J260-S_flow,J260-S,Broadway East
30,0.0,-0.43096879214124684,-0.09744419913582858,-0.5127038321264563,J266-S_flow,J266-S,Clifton Park
31,0.0,-0.0034121534237752105,-0.05782246736468544,-0.061967936889958164,J268-S_flow,J268-S,Clifton Park
32,0.0,-0.0018193029660207305,-0.0007422606943007226,-0.0030128866491341277,J273-S_flow,J273-S,Clifton Park
33,0.0,-1.2855820510801328,-0.18426954192714806,-1.4163427045940984,J278-S_flow,J278-S,Broadway East
34,0.0,0.06368358121833717,0.0003612496709048951,0.06373785622393369,J27-S_flow,J27-S,Locust Point
35,0.0,-1.4467003193233383,-0.22609188939305724,-1.53693071728144,J280-S_flow,J280-S,Broadway East
36,0.0,0.0002515394094402268,-0.14166132640306195,-0.14131742010677772,J328-S_flow,J328-S,Broadway East
37,0.0,-1.3318464387677285,-0.24561341669371206,-1.5247017379098535,J329-S_flow,J329-S,Broadway East
38,0.0,-1.0114915363049692,-0.25427115830342606,-1.2042979573757915,J338-S_flow,J338-S,Eager Park
39,0.0,0.0038429820196119735,-0.00015017293165886514,0.0038367640897192246,J33-S_flow,J33-S,Locust Point
40,0.0,-0.0014108819590852306,0.00040726489540698907,-0.0013563375534504374,J34-S_flow,J34-S,Locust Point
41,0.0,-1.5451439669048037,-0.17602280220408684,-1.626615339211189,J361-S_flow,J361-S,Eager Park
42,0.0,-1.1216735124272215,-0.2632656655167511,-1.2527386732242316,J366-S_flow,J366-S,Eager Park
43,0.0,1.2358811867855781,-0.6269727787855146,0.5057837191254908,J385-S_flow,J385-S,Broadway East
44,0.0,-0.07920791295869956,-0.05768144805711062,-0.135708429428405,J3-S_flow,J3-S,Fells Point
45,0.0,0.0001719552651655576,-0.048910724736876965,-0.04868127213700468,J413-S_flow,J413-S,Broadway East
46,0.0,1.0656010256046802,-0.6294817238154558,0.3570203142967543,J421-S_flow,J421-S,McElderry Park
47,0.0,-6.0279001119489806e-05,1.7400124034949727e-05,-5.7948627365078664e-05,J42-S_flow,J42-S,Locust Point
48,0.0,-0.0015720872706097566,-0.005933695907221814,-0.007887332881995945,J433-S_flow,J433-S,Madison-Eastend
49,0.0,-0.009759203368978397,-0.006578353463245534,-0.016402071829175746,J437-S_flow,J437-S,Patterson Park
50,0.0,-1.5931413065630005,-0.17732337867564318,-1.7521746893135752,J438-S_flow,J438-S,McElderry Park
51,0.0,-0.0044801448206865935,-0.007003969507620944,-0.011461242719432274,J450-S_flow,J450-S,Madison-Eastend
52,0.0,-0.001686389019912582,0.00048679270677953745,-0.001621193568111634,J456-S_flow,J456-S,Orangeville
53,0.0,-0.0019290292839000411,0.0005568331953523797,-0.0018544534095223941,J45-S_flow,J45-S,Locust Point
54,0.0,-0.3463753610170732,-0.028382442428824373,-0.3734753258700283,J460-S_flow,J460-S,Orangeville
55,0.0,-0.37648496796164554,-0.040050613042559746,-0.41479202794823955,J461-S_flow,J461-S,Baltimore Highlands
56,0.0,0.0007222347594457723,-0.003352489275367354,-0.002447161846262702,J46-S_flow,J46-S,Locust Point
57,0.0,-0.0038182716659282967,-0.06355539824331169,-0.06825116208170323,J471-S_flow,J471-S,Orangeville
58,0.0,0.0016222033637243172,-0.0140521418791284,-0.012041131164900243,J480-S_flow,J480-S,McElderry Park
