,Base,I,V,V&I,node_name,node_id,neighborhood
0,0.0,-0.0002226716369890802,-0.0004753097316321231,0.00019875066825347787,J105-S_flow,J105-S,Downtown
1,0.0,-0.004641565798720326,-0.020888392118013632,-0.03519927732481154,J10-S_flow,J10-S,Downtown
2,0.0,-0.010582769644591927,-0.01848053748161016,-0.03199814158174785,J116-S_flow,J116-S,Downtown
3,0.0,-0.276192777332163,-0.010418086613429911,-0.2819623318033093,J119-S_flow,J119-S,Downtown
4,0.0,-0.12442751720060209,1.267624545239765e-05,-0.12442399896426999,J128-S_flow,J128-S,Canton
5,0.0,0.001572188579437278,-0.0009137977918452223,0.0011809250048000763,J130-S_flow,J130-S,Downtown
6,0.0,-0.15946491438962093,-0.0061353685389769486,-0.16106226332662532,J131-S_flow,J131-S,Downtown
7,0.0,0.010664552790226045,-0.006189284490909275,0.007062365168878149,J136-S_flow,J136-S,Downtown
8,0.0,-1.7908844946179503e-05,-2.4271197755998397e-05,2.9926622475917597e-05,J138-S_flow,J138-S,Downtown
9,0.0,-0.00025789331514824987,-0.002682963531483118,-0.0024430229559546657,J141-S_flow,J141-S,Downtown
10,0.0,0.0003863147837347425,-0.009855213305520638,-0.009338045301706122,J157-S_flow,J157-S,Downtown
11,0.0,-3.550493642634489e-05,-0.010077647661375533,-0.009968560603547338,J163-S_flow,J163-S,Downtown
12,0.0,-0.00011274957733631297,-0.008333189008481123,-0.008205190271416418,J165-S_flow,J165-S,Federal Hill
13,0.0,-0.00013709679903839422,-6.588397409623692e-05,6.055512325009449e-05,J171-S_flow,J171-S,Canton
14,0.0,-0.00010095401575416219,-0.0007244835047395259,-0.0004188830443108138,J177-S_flow,J177-S,Federal Hill
15,0.0,-0.01335509977180327,-0.008893878959944201,-0.02188280547034749,J182-S_flow,J182-S,Federal Hill
16,0.0,-0.0033412365987257053,3.1401343217885014e-06,-0.003340283729971638,J191-S_flow,J191-S,Fells Point
17,0.0,0.0006613956157745515,0.0003178438294888508,-0.0002921358726920009,J1-S_flow,J1-S,Clifton Park
18,0.0,-9.503282284384351e-06,-1.2879448359148782e-05,1.58804848702232e-05,J204-S_flow,J204-S,Fells Point
19,0.0,1.7563974295420337e-05,-0.020440795767028508,-0.020485970585815805,J208-S_flow,J208-S,Downtown
20,0.0,-0.3446010231109391,-0.0033721565601729786,-0.34706293445195946,J211-S_flow,J211-S,Fells Point
21,0.0,-8.613105552579547e-05,-7.31186503424297e-05,0.0001111487597793559,J227-S_flow,J227-S,Locust Point
22,0.0,0.0001527679336440005,7.341497871229952e-05,-6.747700249290153e-05,J231-S_flow,J231-S,Locust Point
23,0.0,1.249750215349954e-05,1.3491947341986998e-06,1.4544724382000579e-05,J232-S_flow,J232-S,Locust Point
24,0.0,-1.5329992836377038e-05,-2.0776174501802025e-05,2.5617224870821964e-05,J234-S_flow,J234-S,Locust Point
25,0.0,-2.487784690574646e-05,-1.1955431728549737e-05,1.0988448280069285e-05,J238-S_flow,J238-S,Locust Point
26,0.0,-0.000207917339228203,-0.0012476921388993034,-0.0011556738306650605,J240-S_flow,J240-S,Locust Point
27,0.0,-0.1294990585163105,-0.000869106086625715,-0.130434404647516,J245-S_flow,J245-S,Locust Point
28,0.0,-0.19342361631897387,-0.04343765264123045,-0.2199583407166858,J253-S_flow,J253-S,Eager Park
29,0.0,-0.05216979717170156,-0.016958311176259122,-0.06552821010449195,J260-S_flow,J260-S,Broadway East
