,node_name,Base,I,V,V&I,node_id,neighborhood,historic_stream
0,J105-S_depth,0.1581346664049193,0.1598370909324042,0.1581700499985722,0.1600711748357741,J105-S,Downtown,"Southside, Drains to Harbor"
1,J10-S_depth,0.1690917287858806,0.1279449222272759,0.1650917108596138,0.1243546424529601,J10-S,Downtown,"Southside, Drains to Harbor"
2,J116-S_depth,0.2147151193441446,0.1828207516653052,0.2129111918257348,0.1811976186389662,J116-S,Downtown,"Southside, Drains to Harbor"
3,J119-S_depth,0.1025513967312206,0.0778753935082637,0.101495415663782,0.0770894578250364,J119-S,Downtown,"Southside, Drains to Harbor"
4,J128-S_depth,0.1309823541443826,0.0553676801328713,0.1309794827258446,0.0553638459953818,J128-S,Canton,Harris Creek
5,J130-S_depth,0.2637284884970651,0.2058360984424697,0.2618575476098417,0.2047772641787923,J130-S,Downtown,"Southside, Drains to Harbor"
6,J131-S_depth,0.1091523352610978,0.0785770016958954,0.1082351215648124,0.0778492325516694,J131-S,Downtown,"Southside, Drains to Harbor"
7,J136-S_depth,0.3631725079853534,0.3385786113168686,0.3618075972575476,0.3364769438114134,J136-S,Downtown,"Southside, Drains to Harbor"
8,J138-S_depth,0.1742084227552748,0.1822939024194904,0.1744315474731364,0.1824220093625025,J138-S,Downtown,"Southside, Drains to Harbor"
9,J141-S_depth,0.1586427099568935,0.1587069913878578,0.1582778961926653,0.1583411358976383,J141-S,Downtown,"Southside, Drains to Harbor"
10,J157-S_depth,0.2279543325676294,0.1950205471143194,0.2260388983980859,0.1932015313600117,J157-S,Downtown,"Southside, Drains to Harbor"
11,J163-S_depth,0.1305101046633995,0.1304931850907776,0.1293932482171637,0.1293750381212471,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_depth,0.1294658558544376,0.1288631859732041,0.128792959197831,0.1281916453704373,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_depth,0.104360718128406,0.1043608053410793,0.1043607090495514,0.1043607710296187,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_depth,0.1400244298406124,0.1400681390730412,0.1399885764691865,0.1400322450713773,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_depth,0.259203775509619,0.2142892894188358,0.2584849038832956,0.2136579316386129,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_depth,0.1611027638632999,0.1552403835491219,0.1611027460081768,0.1552402712745181,J191-S,Fells Point,Canal Street Creek
17,J1-S_depth,0.0860734482610302,0.0869152546922949,0.0862024398049534,0.0871633913590034,J1-S,Clifton Park,Canal Street Creek
18,J204-S_depth,0.1127998406754358,0.1128005726973666,0.1127998435186498,0.1128005714084204,J204-S,Fells Point,Canal Street Creek
19,J208-S_depth,0.1825249219699813,0.1826255345995951,0.1801876733286746,0.180263941307927,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_depth,0.1510614729886332,0.1269353096286289,0.1508285012379068,0.1267034659902786,J211-S,Fells Point,Canal Street Creek
21,J227-S_depth,0.3769311009874876,0.3639307709405489,0.3769315246641438,0.3639305588926771,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_depth,0.0400121710219492,0.0399723632945159,0.0400124616204389,0.0399726710747423,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_depth,0.0112777313031421,0.0113590590081581,0.0112779700728498,0.0113592530525422,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_depth,0.1349618994922555,0.134957823701228,0.1349619014506747,0.1349578230637226,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_depth,0.0906963684395099,0.0906962782298909,0.0906964110710168,0.0906962977262097,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_depth,0.1648722383045374,0.1608589856710874,0.1647878396003012,0.1607795157602143,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_depth,0.2266736174838892,0.1850081322849868,0.2264797623036638,0.1847850406607026,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_depth,0.1075542577296324,0.088252297176273,0.1033602815394164,0.0859684435922777,J253-S,Eager Park,Canal Street Creek
29,J260-S_depth,0.115038998163101,0.0994785207910593,0.113194899724955,0.0978217609234857,J260-S,Broadway East,Canal Street Creek
30,J266-S_depth,0.1232010895914802,0.1141500320267695,0.1209642872463858,0.112015203826073,J266-S,Clifton Park,Canal Street Creek
31,J268-S_depth,0.0886035079168158,0.0887038466555472,0.0874028432154379,0.0875105917184437,J268-S,Clifton Park,Canal Street Creek
32,J273-S_depth,0.0678559765965214,0.0684103417404708,0.0680395634295302,0.0685750534870169,J273-S,Clifton Park,Canal Street Creek
33,J278-S_depth,0.1405783840629134,0.1061803822888771,0.1370945797230225,0.1033227071472759,J278-S,Broadway East,Canal Street Creek
34,J27-S_depth,0.0892708373038814,0.0711961438389535,0.0892717353072664,0.0711968229030952,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_depth,0.2302852806203424,0.1930639325812767,0.2236538133710502,0.1874914076136566,J280-S,Broadway East,Canal Street Creek
36,J328-S_depth,0.2585817266475262,0.2633686871549359,0.2550992195347242,0.2597196815794406,J328-S,Broadway East,Canal Street Creek
37,J329-S_depth,0.1501973971532478,0.1232252923336093,0.1453276682339517,0.1192057379630692,J329-S,Broadway East,Canal Street Creek
38,J338-S_depth,0.2045784615208747,0.1637784834321241,0.1933996141044426,0.1543372814124486,J338-S,Eager Park,Canal Street Creek
39,J33-S_depth,0.2944360581064633,0.2679705051390764,0.2944361393196175,0.2679704242458758,J33-S,Locust Point,"Southside, Drains to Harbor"
40,J34-S_depth,0.1369595797618994,0.1369610531563679,0.1369594663797371,0.1369609304122941,J34-S,Locust Point,"Southside, Drains to Harbor"
41,J361-S_depth,0.1940692627464204,0.1693045854245252,0.1910111379291198,0.1677673503366435,J361-S,Eager Park,Canal Street Creek
42,J366-S_depth,0.1268458679202506,0.0813856966374478,0.120070143874513,0.0763952511568709,J366-S,Eager Park,Canal Street Creek
43,J385-S_depth,0.2497781531526653,0.2712721161611781,0.2415084814301219,0.2620067717196623,J385-S,Broadway East,Harris Creek
44,J3-S_depth,0.1253777657153243,0.0940192403663768,0.124036659657905,0.0930537740624019,J3-S,Fells Point,"Northside, Drains to Harbor"
45,J413-S_depth,0.146239957688317,0.1467399267794408,0.1455359535291628,0.1461435619818746,J413-S,Broadway East,Harris Creek
46,J421-S_depth,0.1879822146954184,0.1725600871936305,0.183464421525126,0.167444989764868,J421-S,McElderry Park,Harris Creek
47,J42-S_depth,0.1046450927856342,0.1046484771434906,0.1046449258388705,0.1046482615576787,J42-S,Locust Point,"Southside, Drains to Harbor"
48,J433-S_depth,0.1339715230610315,0.1352244579725315,0.1338447415576614,0.1350941826420511,J433-S,Madison-Eastend,Harris Creek
49,J437-S_depth,0.1379573973365493,0.1344803440063172,0.137953443050116,0.1342845738059413,J437-S,Patterson Park,Harris Creek
50,J438-S_depth,0.1666723818389322,0.0965010626787893,0.1629145726648166,0.0935505896148602,J438-S,McElderry Park,Harris Creek
51,J450-S_depth,0.1085367980970643,0.1031220323159775,0.1084404682205586,0.1030281178711723,J450-S,Madison-Eastend,Harris Creek
52,J456-S_depth,0.1769236977885615,0.1826410256123481,0.1769604686107114,0.1826621037056436,J456-S,Orangeville,Harris Creek
53,J45-S_depth,0.0907975010960019,0.0918366466150412,0.0907968571262316,0.0918354278614371,J45-S,Locust Point,"Southside, Drains to Harbor"
54,J460-S_depth,0.1184451295501024,0.1115842066303715,0.1178024549886172,0.1109659843977527,J460-S,Orangeville,Harris Creek
55,J461-S_depth,0.1604494079227438,0.1338775512259581,0.1600095020226589,0.1335034129927384,J461-S,Baltimore Highlands,Harris Creek
56,J46-S_depth,0.1216141548088052,0.1216140487681711,0.1215315330377031,0.1215315465105308,J46-S,Locust Point,"Southside, Drains to Harbor"
57,J471-S_depth,0.2492984298965027,0.2521092532303834,0.2452644060298029,0.2480493102211782,J471-S,Orangeville,Harris Creek
58,J480-S_depth,0.2014111821365689,0.202087723719358,0.2011321524162057,0.2018071311758311,J480-S,McElderry Park,Harris Creek
59,J484-S_depth,0.2288078872622793,0.1888163671135535,0.2285384001020516,0.1886413867395544,J484-S,Baltimore Highlands,Harris Creek
60,J491-S_depth,0.1751798277138104,0.1407994494071018,0.174928742535118,0.1406183922244525,J491-S,Kresson,Harris Creek
61,J492-S_depth,0.0971677534506504,0.0971680262920772,0.097167589934096,0.0971678877469517,J492-S,Baltimore Highlands,Harris Creek
62,J49-S_depth,0.1087727532188306,0.1087728925361341,0.1084706868043624,0.108470831722163,J49-S,Washington Hill,Canal Street Creek
63,J4-S_depth,0.1838692152174699,0.1790971166345466,0.183870398778929,0.1790975808649109,J4-S,Canton,"Northside, Drains to Harbor"
64,J506-S_depth,0.1956270533296883,0.1994785576147124,0.1955746634478895,0.1993549502055846,J506-S,Baltimore Highlands,Harris Creek
65,J507-S_depth,0.2299742695418921,0.1798028894365163,0.2298323608168899,0.1797238409655852,J507-S,Patterson Park,Harris Creek
66,J50-S_depth,0.1350421372711201,0.1345665257019839,0.1348107259128257,0.1343352141291348,J50-S,Washington Hill,Canal Street Creek
67,J512-S_depth,0.1430033645233347,0.0964009773174993,0.1428874972622432,0.0963521406551869,J512-S,Patterson Park,Harris Creek
68,J534-S_depth,0.2061660120924486,0.2026150195524561,0.2058521910842167,0.2023075508470569,J534-S,Patterson Park,Harris Creek
69,J539-S_depth,0.2782208869756132,0.2652675987255184,0.2693182353869374,0.256462060675256,J539-S,Canton,"Northside, Drains to Harbor"
70,J541-S_depth,0.1559272132821469,0.1559921113767185,0.1559276872646639,0.1559926138596454,J541-S,Canton Industrial Area,"Northside, Drains to Harbor"
71,J548-S_depth,0.2876407651464432,0.288287920912786,0.2794635316074331,0.2800512006575008,J548-S,Canton,"Northside, Drains to Harbor"
72,J556-S_depth,0.2527044430388863,0.236748065482313,0.2527046484051,0.2367479349522349,J556-S,Canton,Harris Creek
73,J567-S_depth,0.1073935472061373,0.0978347411849109,0.1069572837013743,0.0973950774208123,J567-S,Berea,Armistead Creek
74,J568-S_depth,0.1593939473597508,0.1101366554977343,0.1588628150243865,0.1097693204775186,J568-S,Berea,Armistead Creek
75,J571-S_depth,0.0893181663420655,0.0897825789949728,0.0893178444934025,0.0897991856939158,J571-S,Berea,Armistead Creek
76,J576-S_depth,0.1002250281760794,0.0305450204915847,0.0967793099497296,0.0294101476916783,J576-S,Dunbar-Broadway,Canal Street Creek
77,J578-S_depth,0.1668084527386705,0.1380694681072694,0.1667977229456326,0.1380733104956071,J578-S,Dunbar-Broadway,Canal Street Creek
78,J586-S_depth,0.0396168244229522,0.0206878523981047,0.0393868113830844,0.0205848816238856,J586-S,Dunbar-Broadway,Canal Street Creek
79,J587-S_depth,0.2080860528055218,0.2118055587180294,0.2045557624396597,0.2080302226533791,J587-S,Downtown,"Southside, Drains to Harbor"
80,J592-S_depth,0.0847654494005,0.0689941283961124,0.0844970203990027,0.0687860248387581,J592-S,Dunbar-Broadway,Canal Street Creek
81,J5-S_depth,0.2060540222579724,0.1781650196627869,0.2060541314004373,0.1781652624610182,J5-S,Canton,"Northside, Drains to Harbor"
82,J609-S_depth,0.1264203373280835,0.1282716573296352,0.1264171980959141,0.1282690587406271,J609-S,Dunbar-Broadway,Canal Street Creek
83,J60-S_depth,0.1747822573325564,0.1748811317062136,0.1745922608827065,0.1746908243354683,J60-S,Downtown,"Southside, Drains to Harbor"
84,J619-S_depth,0.1986754903137756,0.1981992032150057,0.1986755668437752,0.1981993554295061,J619-S,Dunbar-Broadway,Canal Street Creek
85,J620-S_depth,0.416910641867555,0.4351120016192072,0.4039823303449937,0.4210999445867999,J620-S,Broadway East,Harris Creek
86,J624-S_depth,0.3720272090027794,0.3908974804733567,0.3605417024950901,0.3808510636343498,J624-S,Broadway East,Harris Creek
87,J62-S_depth,0.265375663296498,0.2408939235325594,0.2649760380941197,0.2405079644563657,J62-S,Downtown,"Southside, Drains to Harbor"
88,J632-S_depth,0.1111528319816904,0.1147133896911482,0.1109704929278116,0.1145213302206507,J632-S,Eager Park,Canal Street Creek
89,J637-S_depth,0.1508670584177332,0.1093977529253663,0.1476372907125298,0.1082580569964093,J637-S,Eager Park,Canal Street Creek
90,J640-S_depth,0.1307448133596898,0.0729113509925697,0.1278502529739192,0.0714054936410331,J640-S,Eager Park,Canal Street Creek
91,J659-S_depth,0.1999773989060261,0.207723166805153,0.1999561648272607,0.2076883382630185,J659-S,Baltimore Highlands,Harris Creek
92,J672-S_depth,0.1351389359541546,0.1177628800190026,0.1351173389432523,0.117731355634708,J672-S,Canton,Harris Creek
93,J675-S_depth,0.2004082610170052,0.2004127009914053,0.2004082857427706,0.2004126607361605,J675-S,Canton,Harris Creek
94,J686-S_depth,0.1556725926378124,0.1629268651968081,0.155672294255199,0.1629265717830807,J686-S,Canton,Harris Creek
95,J694-S_depth,0.0201595884758957,0.0205054330723609,0.0201599154077105,0.0205057351094738,J694-S,Canton,Harris Creek
96,J695-S_depth,0.1185565789475282,0.0890648866737961,0.1185510560682001,0.0890514033723217,J695-S,Canton,Harris Creek
97,J712-S_depth,0.1356756214488665,0.1365577405295207,0.135553803433631,0.1364357431746292,J712-S,Patterson Park,Harris Creek
98,J714-S_depth,0.1756328208644322,0.1801773759842838,0.1756178148056249,0.1801622169636943,J714-S,Upper Fells Point,"Northside, Drains to Harbor"
99,J71-S_depth,0.2613491376020456,0.2364556709042395,0.2609115031288472,0.2364273309225594,J71-S,Federal Hill,"Southside, Drains to Harbor"
100,J722-S_depth,0.0918856186450566,0.0933335232574073,0.0918855142475055,0.0933333076198672,J722-S,Fells Point,"Northside, Drains to Harbor"
101,J72-S_depth,0.1129115361998651,0.1129115740233339,0.1124195054651727,0.1124195834838884,J72-S,Federal Hill,"Southside, Drains to Harbor"
102,J732-S_depth,0.1966015683000695,0.1595331934871329,0.1965854724770304,0.1595172236503836,J732-S,Fells Point,"Northside, Drains to Harbor"
103,J733-S_depth,0.1455663354443969,0.1456660758504533,0.1455661746718231,0.1456658483389611,J733-S,Canton,"Northside, Drains to Harbor"
104,J748-S_depth,0.0537101284049463,0.0345538338402391,0.053636717688556,0.0345387489654718,J748-S,Washington Hill,Canal Street Creek
105,J749-S_depth,0.160923463061279,0.1456785317634037,0.1606709965194794,0.1454177170102812,J749-S,Fells Point,Canal Street Creek
106,J751-S_depth,0.1175918315624417,0.1186026416303901,0.1175918358351189,0.1186024425981209,J751-S,Fells Point,"Northside, Drains to Harbor"
107,J756-S_depth,0.1883273138508395,0.1947739020638141,0.1870025670420413,0.1933600720503592,J756-S,Upper Fells Point,"Northside, Drains to Harbor"
108,J758-S_depth,0.1248642739037382,0.1175499606614238,0.1248643340595429,0.1175500230804007,J758-S,Fells Point,"Northside, Drains to Harbor"
109,J760-S_depth,0.0896164383432484,0.0814538051549663,0.0896164075599161,0.0814537724036755,J760-S,Fells Point,"Northside, Drains to Harbor"
110,J761-S_depth,0.2387041296201077,0.1695339020391601,0.2384341158376265,0.16929734277641,J761-S,Fells Point,Canal Street Creek
111,J762-S_depth,0.1050924897312619,0.1050933687917408,0.1050289255375605,0.1050298514541938,J762-S,Canton Industrial Area,"Northside, Drains to Harbor"
112,J764-S_depth,0.1191109347783757,0.1092482516887516,0.1191109183460752,0.109248185798558,J764-S,Fells Point,"Northside, Drains to Harbor"
113,J765-S_depth,0.0745847191065411,0.0475466997451051,0.0745847225883807,0.0475465903128657,J765-S,Fells Point,"Northside, Drains to Harbor"
114,J772-S_depth,0.1866687996632325,0.1839486238419906,0.1817138492926121,0.1790867352955463,J772-S,Canton,"Northside, Drains to Harbor"
115,J782-S_depth,0.0587917808508955,0.0590516092811138,0.0587845029906542,0.0590762339350119,J782-S,Patterson Park,Harris Creek
