,node,scenario,count,time_above
0,J105-S_depth,Base,0,0
1,J10-S_depth,Base,3,15
2,J116-S_depth,Base,3,15
3,J119-S_depth,Base,0,0
4,J128-S_depth,Base,0,0
5,J130-S_depth,Base,11,55
6,J131-S_depth,Base,0,0
7,J136-S_depth,Base,5,25
8,J138-S_depth,Base,2,10
9,J141-S_depth,Base,0,0
10,J157-S_depth,Base,5,25
11,J163-S_depth,Base,0,0
12,J165-S_depth,Base,0,0
13,J171-S_depth,Base,0,0
14,J177-S_depth,Base,0,0
15,J182-S_depth,Base,4,20
16,J191-S_depth,Base,1,5
17,J1-S_depth,Base,0,0
18,J204-S_depth,Base,0,0
19,J208-S_depth,Base,3,15
20,J211-S_depth,Base,1,5
21,J227-S_depth,Base,8,40
22,J231-S_depth,Base,0,0
23,J232-S_depth,Base,0,0
24,J234-S_depth,Base,0,0
25,J238-S_depth,Base,0,0
26,J240-S_depth,Base,2,10
27,J245-S_depth,Base,3,15
28,J253-S_depth,Base,0,0
29,J260-S_depth,Base,0,0
30,J266-S_depth,Base,0,0
31,J268-S_depth,Base,0,0
32,J273-S_depth,Base,0,0
33,J278-S_depth,Base,0,0
34,J27-S_depth,Base,0,0
35,J280-S_depth,Base,4,20
36,J328-S_depth,Base,7,35
37,J329-S_depth,Base,1,5
38,J338-S_depth,Base,4,20
39,J33-S_depth,Base,6,30
40,J34-S_depth,Base,0,0
41,J361-S_depth,Base,4,20
42,J366-S_depth,Base,0,0
43,J385-S_depth,Base,10,50
44,J3-S_depth,Base,0,0
45,J413-S_depth,Base,0,0
46,J421-S_depth,Base,7,35
47,J42-S_depth,Base,0,0
48,J433-S_depth,Base,0,0
49,J437-S_depth,Base,0,0
50,J438-S_depth,Base,5,25
51,J450-S_depth,Base,0,0
52,J456-S_depth,Base,2,10
53,J45-S_depth,Base,0,0
54,J460-S_depth,Base,0,0
55,J461-S_depth,Base,2,10
56,J46-S_depth,Base,0,0
57,J471-S_depth,Base,5,25
58,J480-S_depth,Base,3,15
59,J484-S_depth,Base,4,20
60,J491-S_depth,Base,3,15
61,J492-S_depth,Base,0,0
62,J49-S_depth,Base,0,0
63,J4-S_depth,Base,2,10
64,J506-S_depth,Base,3,15
65,J507-S_depth,Base,4,20
66,J50-S_depth,Base,0,0
67,J512-S_depth,Base,0,0
68,J534-S_depth,Base,3,15
69,J539-S_depth,Base,7,35
70,J541-S_depth,Base,1,5
71,J548-S_depth,Base,7,35
72,J556-S_depth,Base,5,25
73,J567-S_depth,Base,0,0
74,J568-S_depth,Base,1,5
