,Base,I,V,V&I,node_name,node_id,neighborhood,historic_stream
0,0.0,-2.873892168869796e-05,-1.5238201356404524e-05,-3.626822299118704e-05,J105-S_depth,J105-S,Downtown,"Southside, Drains to Harbor"
1,0.0,-0.04216668615845409,-0.003916883799304605,-0.0460801621985473,J10-S_depth,J10-S,Downtown,"Southside, Drains to Harbor"
2,0.0,-0.030220709229466902,-0.002270080943934105,-0.031391876637011706,J116-S_depth,J116-S,Downtown,"Southside, Drains to Harbor"
3,0.0,-0.025047088326219005,-0.0009003199002406981,-0.0263237716335359,J119-S_depth,J119-S,Downtown,"Southside, Drains to Harbor"
4,0.0,-0.08167997387742779,-9.343169752160096e-05,-0.08168039019187269,J128-S_depth,J128-S,Canton,Harris Creek
5,0.0,-0.055951130438880586,-0.0020037738936323213,-0.0573031030854983,J130-S_depth,J130-S,Downtown,"Southside, Drains to Harbor"
6,0.0,-0.0290086004229774,-0.000816653795673597,-0.029575101890073396,J131-S_depth,J131-S,Downtown,"Southside, Drains to Harbor"
7,0.0,-0.03312261139801226,-0.0011404525553473932,-0.03479252256624077,J136-S_depth,J136-S,Downtown,"Southside, Drains to Harbor"
8,0.0,0.004912713185294376,7.981856515709707e-05,0.005128936470031292,J138-S_depth,J138-S,Downtown,"Southside, Drains to Harbor"
9,0.0,-0.00011717100376962275,-0.00042529678387850933,-0.0005447573444041232,J141-S_depth,J141-S,Downtown,"Southside, Drains to Harbor"
10,0.0,-0.03249819884644681,-0.001487646863460812,-0.03389843092683631,J157-S_depth,J157-S,Downtown,"Southside, Drains to Harbor"
11,0.0,-2.678874613129545e-05,-0.0008270302562752851,-0.0008546155493129037,J163-S_depth,J163-S,Downtown,"Southside, Drains to Harbor"
12,0.0,-0.0007550574994688031,-0.0006218248684647931,-0.0013739841160834987,J165-S_depth,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,0.0,-4.252733740994774e-07,5.440048329863334e-08,-3.572431515053154e-07,J171-S_depth,J171-S,Canton,"Northside, Drains to Harbor"
14,0.0,-5.369692253101577e-05,-3.712037319131278e-05,-9.07085962150167e-05,J177-S_depth,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,0.0,-0.04381053201250129,-0.0007252434909977845,-0.044441935936407495,J182-S_depth,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,0.0,-0.005418823890580099,-1.601456128819123e-08,-0.0054188435022285986,J191-S_depth,J191-S,Fells Point,Canal Street Creek
17,0.0,0.00029891456192319976,3.560370527790069e-05,0.0003820891076117966,J1-S_depth,J1-S,Clifton Park,Canal Street Creek
18,0.0,2.534388998799708e-05,-2.6936509203712156e-08,2.532649010919541e-05,J204-S_depth,J204-S,Fells Point,Canal Street Creek
19,0.0,0.000885762209562102,-0.0015993248677663163,-0.0007669234173185158,J208-S_depth,J208-S,Downtown,"Southside, Drains to Harbor"
20,0.0,-0.023949649876181395,-0.00020611877528609046,-0.0241377547957293,J211-S_depth,J211-S,Fells Point,Canal Street Creek
21,0.0,-0.013644747419264636,3.6186732077503336e-07,-0.013644710851209607,J227-S_depth,J227-S,Locust Point,"Southside, Drains to Harbor"
22,0.0,-2.743279375540253e-05,1.6023744097981574e-06,-2.42670978242987e-05,J231-S_depth,J231-S,Locust Point,"Southside, Drains to Harbor"
23,0.0,0.0001656270696191002,5.737050259007476e-07,0.00016660964532850056,J232-S_depth,J232-S,Locust Point,"Southside, Drains to Harbor"
24,0.0,-1.309379108999087e-06,7.74472730391551e-09,-1.3015455412046517e-06,J234-S_depth,J234-S,Locust Point,"Southside, Drains to Harbor"
25,0.0,3.728407069192308e-08,8.658811169459657e-08,1.3666176050530776e-07,J238-S_depth,J238-S,Locust Point,"Southside, Drains to Harbor"
26,0.0,-0.0039776671353994875,-0.00010904506218079035,-0.004113759014109486,J240-S_depth,J240-S,Locust Point,"Southside, Drains to Harbor"
27,0.0,-0.03999020315735341,-0.00013868384078941087,-0.04014566192696009,J245-S_depth,J245-S,Locust Point,"Southside, Drains to Harbor"
28,0.0,-0.0201874146413817,-0.004284365306292406,-0.0232367067001895,J253-S_depth,J253-S,Eager Park,Canal Street Creek
29,0.0,-0.014335717563992198,-0.0018236255675291996,-0.0159110903637579,J260-S_depth,J260-S,Broadway East,Canal Street Creek
30,0.0,-0.008972184424937482,-0.0022688586460779814,-0.01110789554578799,J266-S_depth,J266-S,Clifton Park,Canal Street Creek
31,0.0,0.00031143037697480003,-0.0010005843714422924,-0.0006626668424404014,J268-S_depth,J268-S,Clifton Park,Canal Street Creek
32,0.0,0.0001554199697961986,1.951088713950111e-05,0.00019800895440679617,J273-S_depth,J273-S,Clifton Park,Canal Street Creek
33,0.0,-0.036871138662068606,-0.004393747139845416,-0.04029146875325071,J278-S_depth,J278-S,Broadway East,Canal Street Creek
34,0.0,-0.0210591642664541,-5.000572110558377e-08,-0.021058727106227304,J27-S_depth,J27-S,Locust Point,"Southside, Drains to Harbor"
35,0.0,-0.04056063116090092,-0.0076683460381054,-0.0467657279676551,J280-S_depth,J280-S,Broadway East,Canal Street Creek
36,0.0,0.00593987279425523,-0.004237099356592278,0.0015342325887173214,J328-S_depth,J328-S,Broadway East,Canal Street Creek
37,0.0,-0.026692239641563087,-0.004852318374265391,-0.0309076577015137,J329-S_depth,J329-S,Broadway East,Canal Street Creek
38,0.0,-0.04821922030446871,-0.011138608710254017,-0.0569023607832444,J338-S_depth,J338-S,Eager Park,Canal Street Creek
39,0.0,-0.024045855729240617,-5.892352326064554e-07,-0.024046058962890915,J33-S_depth,J33-S,Locust Point,"Southside, Drains to Harbor"
40,0.0,-6.617519814400286e-06,-3.767230138951305e-08,-6.56110055960446e-06,J34-S_depth,J34-S,Locust Point,"Southside, Drains to Harbor"
41,0.0,-0.028101044192935493,-0.0036194734996612965,-0.02990927961361689,J361-S_depth,J361-S,Eager Park,Canal Street Creek
42,0.0,-0.047451427054209586,-0.006874928226941079,-0.05301416907327888,J366-S_depth,J366-S,Eager Park,Canal Street Creek
43,0.0,0.01981752773127099,-0.009037067560068973,0.009601011468344689,J385-S_depth,J385-S,Broadway East,Harris Creek
44,0.0,-0.03334705400616321,-0.0014248217290836196,-0.034397646877403806,J3-S_depth,J3-S,Fells Point,"Northside, Drains to Harbor"
45,0.0,5.5366576816096025e-05,-0.0008191021183368841,-0.0007424741554835912,J413-S_depth,J413-S,Broadway East,Harris Creek
46,0.0,-0.015614207751916687,-0.004673745134647911,-0.020165649225148796,J421-S_depth,J421-S,McElderry Park,Harris Creek
47,0.0,-4.390843541202116e-06,-1.6301799299345276e-08,-4.366622568002798e-06,J42-S_depth,J42-S,Locust Point,"Southside, Drains to Harbor"
48,0.0,0.001298270152742087,-0.00010369490694811523,0.0011935904660531071,J433-S_depth,J433-S,Madison-Eastend,Harris Creek
49,0.0,-0.007059020471528787,-0.00013459193404000147,-0.0072235909869814985,J437-S_depth,J437-S,Patterson Park,Harris Creek
50,0.0,-0.071714750799551,-0.004221096766994309,-0.0748838547654902,J438-S_depth,J438-S,McElderry Park,Harris Creek
51,0.0,-0.005423800086959696,-9.554182655939492e-05,-0.005516475498648393,J450-S_depth,J450-S,Madison-Eastend,Harris Creek
52,0.0,0.009409736372343797,0.00012611119580258068,0.009498904325854096,J456-S_depth,J456-S,Orangeville,Harris Creek
